"Begin Time - hh:mm:ss.ms","End Time - hh:mm:ss.ms","Duration - hh:mm:ss.ms","Notes_SV","PP_Notes","SV1_P1","SV1_P2","SV2_P1","SV2_P2","PP_P1","PP_P2","Experimenter 2","Experimenter","Experimenter 1","Experimenter-1","Experimenter 2-1","P1","P2",
00:16:11.505,00:16:13.620,00:00:02.115,,,,,,,,,,,,,,,"so x equals ninety-four",
00:16:18.379,00:16:20.275,00:00:01.896,,,,,,,,,,,,,,,"I haven't done the reciprocal for a long time",
00:16:20.275,00:16:23.527,00:00:03.252,,,,,,,,,,,,,,,"so that's why I'm just",
00:16:24.894,00:16:25.533,00:00:00.639,,,"SV",,"SV1A",,,,,,,,,"it is fun",,
00:16:25.533,00:16:27.249,00:00:01.716,,,,,,,,,,,,,,,"so big numbers now",
00:16:27.339,00:16:28.496,00:00:01.157,,,,,,,,,,,,,,,"minus",
00:16:30.691,00:16:31.010,00:00:00.319,,,,,,,,,,,,,,"yeah",,
00:16:31.429,00:16:32.607,00:00:01.178,,,,,,,,,,,,,,,"forty-eight so",
00:16:32.607,00:16:43.003,00:00:10.396,,,,,,,,,,,,,,"yeah so you want to subtract",,
00:16:43.003,00:16:46.754,00:00:03.751,,,,,,,,,,,,,,,"would that be forty-nine",
00:16:47.173,00:16:47.642,00:00:00.469,,,,,,,,,,,,,,"yeah",,
00:16:47.642,00:16:48.680,00:00:01.038,,,,,,,,,,,,,,,"all right",
00:16:51.204,00:17:00.942,00:00:09.738,,,,,,,,,,,,,,,"all right so so that would be five over twelve there",
00:17:00.942,00:17:01.860,00:00:00.918,,,,,,,,,,,,,,"yeah",,
00:17:02.229,00:17:04.823,00:00:02.594,,,,,,,,,,,,,,,"here I'm just going to",
00:17:13.494,00:17:14.082,00:00:00.588,,,,,,,,,,,,,,"yeah okay",,
00:17:14.082,00:17:16.507,00:00:02.425,,,,,,,,,,,,,,"and that would be a y right (inaudible)",,
00:17:16.507,00:17:22.513,00:00:06.006,,,,,,,,,,,,,,,"all right so forty-nine times five",
00:17:22.513,00:17:25.067,00:00:02.554,,,,"SV",,"SV1A",,,,,,,,,"I wish there was a calculator gosh",
00:17:25.167,00:17:25.786,00:00:00.619,,,"SV",,"SV1A",,,,,,,,,"I know",,
00:17:26.853,00:17:37.579,00:00:10.726,,,,,,,,,,,,,,,"so nine times five equals pause filler forty-five sorry forty-five",
00:17:38.946,00:17:39.415,00:00:00.469,,,,,,,,,,,,,,"forty-five",,
00:17:39.415,00:17:42.617,00:00:03.202,,,,,,,,,,,,,,"and that equals to a hundred well",,
00:17:44.354,00:17:46.249,00:00:01.895,,,,,,,,,,,,,,,"one hundred sixty-five",
00:17:47.297,00:17:48.833,00:00:01.536,,,,,,,,,,,,,,"no wait that wait",,
00:17:49.023,00:17:50.909,00:00:01.886,,,,,,,,,,,,,,"forty-five does a hundred and forty-five",,
00:17:51.048,00:17:56.376,00:00:05.328,,,,,,,,,,,,,,"because forty times five equals two hundred so",,
00:17:56.376,00:18:03.450,00:00:07.074,,,,,,,,,,,,,,,"are you sure it's not a hundred sixty-five",
00:18:03.450,00:18:04.987,00:00:01.537,,,,,,,,,,,,,,"wait maybe",,
00:18:04.987,00:18:08.120,00:00:03.133,,,,,,,,,,,,,,"oh wait yeah it's forty-nine",,
00:18:08.479,00:18:13.208,00:00:04.729,,,,,,,,,,,,,,"yeah forty-nine times five equals five okay",,
00:18:14.545,00:18:18.346,00:00:03.801,,,,,,,,,,,,,,"that's like okay so that's your five right pause filler",,
00:18:19.164,00:18:20.681,00:00:01.517,,,,,,,,,,,,,,"so you have four over pause filler",,
00:18:22.088,00:18:30.239,00:00:08.151,,,,,,,,,,,,,,"then as you go like that because you have to have zero there",,
00:18:30.239,00:18:31.746,00:00:01.507,,,,,,,,,,,,,,"and that's yeah",,
00:18:31.746,00:18:39.867,00:00:08.121,,,,,,,,,,,,,,"so it would be two hundred forty-five and pause filler five (inaudible)",,
00:18:39.867,00:18:42.102,00:00:02.235,,,,,,,,,,,,,,,"all right next page",
00:18:42.531,00:18:44.008,00:00:01.477,,,,,,,,,,,,,,,"oh gosh all right",
00:18:44.098,00:18:50.334,00:00:06.236,,,,,,,,,,,,,,,"so this one is going to be plus sixty-one to both sides",
00:18:50.543,00:18:50.703,00:00:00.160,,,,,,,,,,,,,,"yup",,
00:18:50.703,00:18:57.018,00:00:06.315,,,,,,,,,,,,,,,"and then you also want to add the two ys y thing right",
00:18:57.168,00:18:58.425,00:00:01.257,,,,,,,,,,,,,,,"because that's like (inaudible)",
00:18:58.425,00:18:59.323,00:00:00.898,,,,,,,,,,,,,,"yeah so yeah",,
00:18:59.323,00:19:04.511,00:00:05.188,,,,,,,,,,,,,,"because there is two ones I really want one",,
00:19:04.511,00:19:07.016,00:00:02.505,,,,,,,,,,,,,,,"what just happened",
00:19:07.016,00:19:07.534,00:00:00.518,,,,,,,,,,,,,,"wait a minute",,
00:19:07.534,00:19:16.255,00:00:08.721,,,,,,,,,,,,,,"so would you really want to so wait which side would you want to have your y on before you do this",,
00:19:18.090,00:19:20.455,00:00:02.365,,,,,,,,,,,,,,,"pause filler I guess this side",
00:19:20.455,00:19:22.091,00:00:01.636,,,,,,,,,,,,,,,"like this side over here",
00:19:23.329,00:19:26.252,00:00:02.923,,,,,,,,,,,,,,"oh so for that you'd have to subtract the y pause filler",,
00:19:26.761,00:19:31.600,00:00:04.839,,,,,,,,,,,,,,"no so that would be harder than adding the y over here",,
00:19:31.600,00:19:36.339,00:00:04.739,,,,,,,,,,,,,,"because I guess if you add it over here then you would get pause filler",,
00:19:36.339,00:19:36.519,00:00:00.180,,,,,,,,,,,,,,"oh wait (inaudible)",,
00:19:36.668,00:19:37.327,00:00:00.659,,,,,,,,,,,,,,"huh huh",,
00:19:38.215,00:19:46.197,00:00:07.982,,,,,,,,,,,,,,"I guess it doesn't make a difference",,
00:19:46.197,00:19:51.714,00:00:05.517,,,,,,,,,,,,,,"but the y would be you'd have the negative y if you do it this way",,
00:19:51.714,00:19:54.558,00:00:02.844,,,,,,,,,,,,,,"or you have a positive y if you did it that way",,
00:19:55.286,00:19:57.690,00:00:02.404,,,,,,,,,,,,,,"so that yeah it doesn't matter that much",,
00:19:57.910,00:19:59.017,00:00:01.107,,,,,,,,,,,,,,"so I guess yeah",,
00:19:59.975,00:20:03.557,00:00:03.582,,,,,,,,,,,,,,,"just work through the first step really quick because I'm confused just",
00:20:03.557,00:20:04.226,00:00:00.669,,,,,,,,,,,,,,,"I'm sorry",
00:20:05.014,00:20:07.079,00:00:02.065,,,,,,,,,,,,,,"yeah pause filler",,
00:20:07.209,00:20:14.193,00:00:06.984,,,,,,,,,,,,,,"yeah not subtracting sixty-one I mean this one is like a smaller one so I mean",,
00:20:14.193,00:20:19.451,00:00:05.258,,,,,,,,,,,,,,"usually we'll do the one that was smaller but it doesn't matter exactly",,
00:20:22.404,00:20:23.861,00:00:01.457,,,,,,,,,,,,,,,"well this one is smaller right",
00:20:23.901,00:20:24.709,00:00:00.808,,,,,,,,,,,,,,,"oh yeah so",
00:20:24.709,00:20:30.386,00:00:05.677,,,,,,,,,,,,,,"I mean when I add the sixty-five just sixty-one yeah",,
00:20:32.192,00:20:34.048,00:00:01.856,,,,,,,,,,,,,,,"all right so twenty-five",
00:20:39.046,00:20:39.865,00:00:00.819,,,,,,,,,,,,,,"eight-six",,
00:20:39.954,00:20:40.274,00:00:00.320,,,,,,,,,,,,,,,"yeah",
00:20:54.671,00:20:55.310,00:00:00.639,,,,,,,,,,,,,,"okay",,
00:20:55.679,00:20:57.205,00:00:01.526,,,,,,,,,,,,,,,"oh wait no that's equals",
00:20:57.554,00:20:58.762,00:00:01.208,,,,,,,,,,,,,,,"oh my gosh",
00:20:59.360,00:20:59.969,00:00:00.609,,,,,,,,,,,,,,,"I'll just",
00:21:00.418,00:21:06.594,00:00:06.176,,,,,,,,,,,,,,,"and then pause filler",
00:21:10.026,00:21:21.480,00:00:11.454,,,,,,,,,,,,,,,"so then you would sub you would oh so how do you add this then",
00:21:21.480,00:21:22.228,00:00:00.748,,,,,,,,,,,,,,,"because it's like",
00:21:22.997,00:21:23.476,00:00:00.479,,,,,,,,,,,,,,"oh wait",,
00:21:23.476,00:21:28.105,00:00:04.629,,,,,,,,,,,,,,"so you want to get rid of the wait so now you want to subtract the y right",,
00:21:28.105,00:21:30.001,00:00:01.896,,,,,,,,,,,,,,"because you only have y on one side",,
00:21:30.549,00:21:32.874,00:00:02.325,,,,,,,,,,,,,,"and so if you got rid of that y",,
00:21:32.874,00:21:36.167,00:00:03.293,,,,,,,,,,,,,,"then you would have like a zero so",,
00:21:36.925,00:21:43.929,00:00:07.004,,,,,,,,,,,,,,,"so would that be negative six over six y then",
00:21:43.929,00:21:44.049,00:00:00.120,,,,,,,,,,,,,,"pause filler six",,
00:21:44.049,00:21:44.258,00:00:00.209,,,,,,,,,,,,,,"wait",,
00:21:45.236,00:21:53.078,00:00:07.842,,,,,,,,,,,,,,,"like what is going to get six over seven minus one",
00:21:53.078,00:21:54.844,00:00:01.766,,,,,,,,,,,,,,,"because y is one basically",
00:21:55.383,00:22:08.942,00:00:13.559,,,,,,,,,,,,,,"well so when you're subtracting that y the y pause filler is really just can be pause filler a negative seven over seven y right",,
00:22:08.942,00:22:19.528,00:00:10.586,,,,,,,,,,,,,,"so then it would just be a negative thirteen over seven y when you subtract them together",,
00:22:20.396,00:22:24.337,00:00:03.941,,,,,,,,,,,,,,,"all right",
00:22:24.337,00:22:24.417,00:00:00.080,,,,,,,,,,,,,,,"so",
00:22:28.887,00:22:31.142,00:00:02.255,,,,,,,,,,,,,,"so then once you have that y",,
00:22:38.465,00:22:45.639,00:00:07.174,,,,,,,,,,,,,,"you have that",,
00:22:45.639,00:22:51.525,00:00:05.886,,,,,,,,,,,,,,"and then you just want to multiply it by seven over thirteen",,
00:22:51.525,00:22:53.431,00:00:01.906,,,,,,,"UL",,,,,,,"mm-hmm that's lovely",,
00:22:54.469,00:22:58.140,00:00:03.671,,,,,,,,,,,,,,,"so what's eighty-six times seven",
00:22:58.200,00:23:01.134,00:00:02.934,,,,,,,,,,,,,,"pause filler I don't know",,
00:23:01.433,00:23:07.180,00:00:05.747,,,,,,,,,,,,,,"okay (inaudible) okay eight six times seven two two",,
00:23:07.180,00:23:18.185,00:00:11.005,,,,,,,,,,,,,,"and for the four (inaudible) six fifty-six plus four sixty-eight pause filler",,
00:23:18.185,00:23:22.455,00:00:04.270,,,,,,,,,,,,,,"maybe six hundred and two",,
00:23:22.515,00:23:37.700,00:00:15.185,,,,,,,,,,,,,,,"all right that's so close so six hundred two and then pause filler that is over negative thirteen",
00:23:39.466,00:23:40.474,00:00:01.008,,,,,,,,,,,,,,"yeah",,
00:23:40.474,00:23:49.563,00:00:09.089,,,,,,,,,,,,,,,"like I'm just going to go with that you know (laughter)",
00:23:50.481,00:23:52.537,00:00:02.056,,,,,,,,,,,,,,"put a little negative sign then",,
00:23:53.175,00:23:55.031,00:00:01.856,,,,,,,,,,,,,,"there we go",,
00:23:55.031,00:23:59.002,00:00:03.971,,,,,,,,,,,,,,,"all right let's move onto the next one",
00:23:59.002,00:24:07.882,00:00:08.880,,,,,,,,,,,,,,,"all right so let's just start off by adding a two",
00:24:19.984,00:24:23.726,00:00:03.742,,,,,,,,,,,,,,,"so this cancels out then it",
00:24:29.173,00:24:30.750,00:00:01.577,,,,,,,,,,,,,,"and then you just have",,
00:24:30.750,00:24:35.329,00:00:04.579,,,,,,,,,,,,,,,"one hundred yeah (laughter) so",
00:24:36.407,00:24:36.986,00:00:00.579,,,,,,,,,,,,,,"you have",,
00:24:38.073,00:24:41.924,00:00:03.851,,,,,,,,,,,,,,,"plus ten over third x",
00:24:41.924,00:24:45.776,00:00:03.852,,,,,,,,,,,,,,,"and then negative eleven x is left over on the other side",
00:24:46.354,00:24:52.890,00:00:06.536,,,,,,,,,,,,,,,"so now you want to add eleven x right",
00:24:53.089,00:24:59.904,00:00:06.815,,,,,,,,,,,,,,,"so then would that be if you're adding eleven x would that be",
00:24:59.904,00:25:09.262,00:00:09.358,,,,,,,,,,,,,,"pause filler wait if you're adding wait if you're adding elevenx",,
00:25:09.701,00:25:13.732,00:00:04.031,,,,,,,,,,,,,,,"would that be eleven and then ten over three",
00:25:14.830,00:25:23.470,00:00:08.640,,,,,,,,,,,,,,"okay if you're going to do that then on the other side you have zero equals scribble",,
00:25:24.578,00:25:32.450,00:00:07.872,,,,,,,,,,,,,,"so then you only want you want to have x on one side and the hundred on the other",,
00:25:32.769,00:25:36.411,00:00:03.642,,,,,,,,,,,,,,"so you don't want to do that",,
00:25:36.411,00:25:40.821,00:00:04.410,,,,,,,,,,,,,,"you would either have to pause filler put the hundred on the other side or",,
00:25:40.821,00:25:44.203,00:00:03.382,,,,,,,,,,,,,,"you would have to subtract your ten x (inaudible)",,
00:25:44.901,00:25:51.407,00:00:06.506,,,,,,,,,,,,,,"do you get that",,
00:25:53.173,00:25:54.190,00:00:01.017,,,,,,,,,,,,,,,"all right so pause filler",
00:25:54.190,00:26:02.042,00:00:07.852,,,,,,,,,,,,,,"so which one would you rather do",,
00:26:02.072,00:26:05.235,00:00:03.163,,,,,,,,,,,,,,"so you could either subtract a hundred",,
00:26:05.694,00:26:08.019,00:00:02.325,,,,,,,,,,,,,,"or you could subtract ten x",,
00:26:10.004,00:26:14.484,00:00:04.480,,,,,,,,,,,,,,"the ten x will probably have less steps in here because you already put a hundred on one side",,
00:26:14.484,00:26:17.966,00:00:03.482,,,,,,,,,,,,,,,"all right so subtract ten x",
00:26:21.349,00:26:38.978,00:00:17.629,,,,,,,,,,,,,,,"so that would be negative twenty-one x equals one hundred plus three",
00:26:40.884,00:26:42.670,00:00:01.786,,,,,,,,,,,,,,"wait wait pause filler",,
00:26:44.057,00:26:48.796,00:00:04.739,,,,,,,,,,,,,,"it doesn't look right",,
00:26:49.265,00:26:50.442,00:00:01.177,,,,,,,,,,,,,,,"three x or three",
00:26:52.647,00:27:01.228,00:00:08.581,,,,,,,,,,,,,,"well you pause filler wait one second sorry",,
00:27:01.557,00:27:03.523,00:00:01.966,,,,,,,,,,,,,,,"it's okay",
00:27:03.523,00:27:04.032,00:00:00.509,,,,,,,,,,,,,,"wait a minute pause filler",,
00:27:04.979,00:27:08.900,00:00:03.921,,,,,,,,,,,,,,"I'm sorry I like zoned out for a couple second wait",,
00:27:08.900,00:27:12.422,00:00:03.522,,,,,,,,,,,,,,"so you added the eleven x",,
00:27:12.422,00:27:15.376,00:00:02.954,,,,,,,,,,,,,,"is that what you ended up doing",,
00:27:19.107,00:27:26.840,00:00:07.733,,,,,,,,,,,,,,,"pause filler I well then you say that you could subtract ten x from both sides",
00:27:26.840,00:27:28.227,00:00:01.387,,,,,,,,,,,,,,"yeah so is that what you did",,
00:27:28.386,00:27:28.785,00:00:00.399,,,,,,,,,,,,,,,"yeah so",
00:27:28.785,00:27:28.935,00:00:00.150,,,,,,,,,,,,,,"okay so",,
00:27:28.935,00:27:34.083,00:00:05.148,,,,,,,,,,,,,,,"so negative twenty-one x equals one hundred plus three",
00:27:34.083,00:27:34.562,00:00:00.479,,,,,,,,,,,,,,"no no no",,
00:27:34.562,00:27:39.072,00:00:04.510,,,,,,,,,,,,,,"so your question is would it be a negative twenty-one x",,
00:27:39.800,00:27:41.945,00:00:02.145,,,,,,,,,,,,,,"because you still have to divide it by three",,
00:27:41.945,00:27:42.823,00:00:00.878,,,,,,,,,,,,,,"so I'm pretty sure it won't",,
00:27:43.103,00:27:45.388,00:00:02.285,,,,,,,,,,,,,,"but yeah I'm getting confused",,
00:27:45.687,00:27:48.131,00:00:02.444,,,,,,,,,,,,,,"wait no wait no",,
00:27:48.131,00:27:56.442,00:00:08.311,,,,,,,,,,,,,,"you can't do that yeah because pause filler yeah you can't put the divided by three thing underneath that because that wouldn't work",,
00:27:58.019,00:28:01.531,00:00:03.512,,,,,,,,,,,,,,"so ten over three",,
00:28:02.628,00:28:03.776,00:00:01.148,,,,,,,,,,,,,,,"so you would have to",
00:28:03.776,00:28:12.506,00:00:08.730,,,,,,,,,,,,,,"so your negative eleven x because negative eleven is like over one and",,
00:28:12.606,00:28:15.140,00:00:02.534,,,,,,,,,,,,,,,"wouldn't you multiply it by three x probably",
00:28:16.587,00:28:22.334,00:00:05.747,,,,,,,,,,,,,,"well you're not trying to get rid well you're trying to get rid on that side by subtraction not multiplication",,
00:28:23.780,00:28:25.067,00:00:01.287,,,,,,,,,,,,,,"so what you can do",,
00:28:25.067,00:28:25.965,00:00:00.898,,,,,,,,,,,,,"how did it go",,,
00:28:26.438,00:28:26.444,00:00:00.006,,"00",,,,,,,,,,,,,,
00:28:26.444,00:28:29.697,00:00:03.253,,"00",,,,,,,,,,,,,"It's going good",
00:28:29.697,00:28:29.708,00:00:00.011,,"00",,,,,,,,,,,"cool all right so this is the end of the first tutoring session",,,
00:28:29.708,00:28:33.009,00:00:03.301,,,,,,,,,,,,,"cool all right so this is the end of the first tutoring session",,,
00:28:33.009,00:28:33.528,00:00:00.519,,,,,,,,,,,,,,,"all right",
00:28:33.817,00:28:39.694,00:00:05.877,,,,,,,,,,,,,"pause filler we have to test some things out",,,
00:28:39.694,00:28:42.518,00:00:02.824,,,,,,,,,,,,,"and in to the server pause filler",,,
00:28:42.817,00:28:45.671,00:00:02.854,,,,,,,,,,,,,"and it would be a few minutes so",,,
00:28:45.760,00:28:46.509,00:00:00.749,,,,,,,,,,,,,"(inaudible) (laughter) some things",,,
00:28:46.678,00:28:48.973,00:00:02.295,,,,,,,,,,,,,"so I'll be back in a few minutes pause filler (inaudible)",,,
00:28:48.973,00:28:49.332,00:00:00.359,,,,,,,,,,,,,,,"okay",
00:28:49.332,00:28:50.769,00:00:01.437,,,,,,,,,,,,"(inaudible) this worksheet from you",,,,
00:28:50.809,00:28:51.218,00:00:00.409,,,,,,,,,,,,,,"okay",,
00:28:51.777,00:28:57.703,00:00:05.926,,,,,,,,,,,,"all right so now we'll switch things up and (inaudible)",,,,
00:28:57.703,00:28:58.342,00:00:00.639,,,,,,,,,,,,,,"okay",,
00:28:58.342,00:29:01.095,00:00:02.753,,,,,,,,,,,,"so before we start I'm just going to pause filler",,,,
00:29:01.095,00:29:06.513,00:00:05.418,,,,,,,,,,,,"I need to get something set up on hand and (inaudible)",,,,
00:29:06.513,00:29:14.495,00:00:07.982,,,,,,,,,,,,"all right so I'll be back in a few minutes",,,,
00:29:16.451,00:29:24.003,00:00:07.552,,,,,,,,,,,,"this is well I'm getting some things ready",,,,
00:29:24.263,00:29:31.297,00:00:07.034,,,,,,,,,,,,"and you guys can go hang around and talk",,,,
00:29:31.297,00:29:33.991,00:00:02.694,,,,,,,,,,,,"I'll be right back",,,,
00:29:35.128,00:29:35.388,00:00:00.260,,,,,,,,,,,,,,,"okay",
00:29:35.966,00:29:40.087,00:00:04.121,,,,,,,,,,,,,,,"what did you get",
00:29:40.177,00:29:47.560,00:00:07.383,,,,,,,,,,,,,,"Skittles as well",,
00:29:47.560,00:29:51.261,00:00:03.701,,,,,,,,,,,,,,"I haven't had Skittles in like forever",,
00:29:51.820,00:29:52.429,00:00:00.609,,,,,,,,,,,,,,,"me neither",
00:29:53.666,00:30:05.040,00:00:11.374,,,,,,,,,,,,,,"huh that is somewhat weird",,
00:30:06.217,00:30:16.664,00:00:10.447,,,,,,,,,,,,,,"on the back it says a blue one is blue raspberry",,
00:30:16.664,00:30:18.420,00:00:01.756,,,,,,,,,,,,,,"but it doesn't say like blue raspberry",,
00:30:18.420,00:30:19.637,00:00:01.217,,,,,,,,,,,,,,"it just says raspberry",,
00:30:19.787,00:30:22.000,00:00:02.213,,,,,,,,,,,,,,,"okay so you know what like those marshmallow Peeps are right",
00:30:22.000,00:30:22.882,00:00:00.882,,,,,,,,,,,,,,"mm-hmm","okay so you know what like those marshmallow Peeps are right",
00:30:22.882,00:30:24.606,00:00:01.724,,,,,,,,,,,,,,,"okay so you know what like those marshmallow Peeps are right",
00:30:24.705,00:30:27.768,00:00:03.063,,,,,,,,,,,,,,,"so my mom just buy pause filler Peeps",
00:30:27.768,00:30:30.652,00:00:02.884,,,,,,,,,,,,,,,"but they're blue raspberry flavored",
00:30:31.021,00:30:33.116,00:00:02.095,,,,,,,,,,,,,,,"and it was really weird",
00:30:33.206,00:30:34.773,00:00:01.567,,,,,,,,,,,,,,"it sounds weird",,
00:30:34.812,00:30:40.559,00:00:05.747,,,,,,,,,,,,,,"I should've known they're flavored Peeps",,
00:30:40.559,00:30:42.485,00:00:01.926,,,,,,,,,,,,,,"I thought they were just marshmallow flavored",,
00:30:42.485,00:30:42.904,00:00:00.419,,,,,,,,,,,,,,,"me too (laughter)",
00:30:42.904,00:30:43.892,00:00:00.988,,,,,,,,,,,,,,"and sugar on top",,
00:30:44.251,00:30:54.198,00:00:09.947,,,,,,,,,,,,,,,"so until now I mean they have them for Easter Christmas Halloween every holiday basically",
00:30:55.954,00:31:04.395,00:00:08.441,,,,,,,,,,,,,,,"these are probably my new favorite type of Skittles",
00:31:05.523,00:31:11.020,00:00:05.497,,,,,,,,,,,,,,"I see",,
00:31:11.429,00:31:17.017,00:00:05.588,,,,,,,,,,,,,,"I don't really like the new green ones",,
00:31:17.545,00:31:18.234,00:00:00.689,,,,,,,,,,,,,,,"melon berry",
00:31:18.234,00:31:18.363,00:00:00.129,,,,,,,,,,,,,,"I know",,
00:31:18.563,00:31:28.431,00:00:09.868,,,,,,,,,,,,,,"okay come on see what flavor just",,
00:31:30.037,00:31:35.185,00:00:05.148,,,,,,,,,,,,,,"we got to try",,
00:31:35.185,00:31:36.293,00:00:01.108,,,,,,,,,,,,,,"there's a red one",,
00:31:37.161,00:31:43.417,00:00:06.256,,,,,,,,,,,,,,,"so would you want to go to college here",
00:31:44.414,00:31:47.507,00:00:03.093,,,,,,,,,,,,,,"pause filler I mean I think so",,
00:31:47.507,00:32:02.493,00:00:14.986,,,,,,,,,,,,,,"I don't know because there's like I mean it's a nice school",,
00:32:03.212,00:32:11.862,00:00:08.650,,,,,,,,,,,,,,"so yeah I'm not actually sure",,
00:32:14.057,00:32:33.982,00:00:19.925,,,,,,,,,,,,,,"like I'm not actually sure what I want to major in I guess so",,
00:32:33.982,00:32:45.565,00:00:11.583,,,,,,,,,,,,,,,"you don't have any idea what you want to be when you grow up",
00:32:47.361,00:32:49.077,00:00:01.716,,,,,,,,,,,,,,"somewhat but not really",,
00:32:50.275,00:32:51.502,00:00:01.227,,,,,,,,,,,,,,,"what is your somewhat idea",
00:32:51.502,00:32:52.520,00:00:01.018,,,,,,,,,,,,,,"I don't know",,
00:32:52.599,00:33:00.112,00:00:07.513,,,,,,,,,,,,,,"maybe I'm thinking maybe I'd be like a computer scientist or something like that-ish",,
00:33:00.751,00:33:02.267,00:00:01.516,,,,,,,,,,,,,,"you know I like computers",,
00:33:02.267,00:33:03.554,00:00:01.287,,,,,,,,,,,,,,,"that's cool",
00:33:03.944,00:33:05.261,00:00:01.317,,,,,,,,,,,,,,"what about you",,
00:33:05.290,00:33:09.671,00:00:04.381,,,,,,,,,,,,,,,"well as I told you last week I'm really into like theater and stuff",
00:33:10.139,00:33:11.267,00:00:01.128,,,,,,,,,,,,,,,"and I do musical theater",
00:33:11.267,00:33:14.170,00:00:02.903,,,,,,,,,,,,,,,"and I do shows and everything",
00:33:14.729,00:33:16.844,00:00:02.115,,,,,,,,,,,,,,,"and CMU is probably like one of the",
00:33:16.844,00:33:17.403,00:00:00.559,,,,,,,,,,,,,,"yeah",,
00:33:17.403,00:33:20.027,00:00:02.624,,,,,,,,,,,,,,,"it's one of the best like stuff for theater in the country",
00:33:20.995,00:33:24.088,00:00:03.093,,,,,,,,,,,,,,,"so this is like my dream school to go here for that",
00:33:25.784,00:33:29.086,00:00:03.302,,,,,,,,,,,,,,"oh yeah yeah it's sort of weird because",,
00:33:29.086,00:33:37.657,00:00:08.571,,,,,,,,,,,,,,"you don't really because you know pause filler this school it's like has a really good computer science and theater thing",,
00:33:37.657,00:33:39.543,00:00:01.886,,,,,,,,,,,,,,"which is sort of a weird combination",,
00:33:39.752,00:33:40.221,00:00:00.469,,,,,,,,,,,,,,,"yeah",
00:33:46.966,00:33:49.570,00:00:02.604,,,,,,,,,,,,,,,"the purple I don't know if I really like the purple ones",
00:33:50.318,00:33:51.785,00:00:01.467,,,,,,,,,,,,,,"let's see",,
00:33:52.363,00:33:53.421,00:00:01.058,,,,,,,,,,,,,,"the red ones are okay",,
00:33:53.421,00:33:55.117,00:00:01.696,,,,,,,,,,,,,,"I don't really like the green ones",,
00:33:55.117,00:33:56.803,00:00:01.686,,,,,,,,,,,,,,"I haven't tried the purple ones yet",,
00:33:58.350,00:33:58.609,00:00:00.259,,,,,,,,,,,,,,,"heh",
00:34:04.925,00:34:18.734,00:00:13.809,,,,,,,,,,,,,,"like the ones are like best so far are the blue ones I think you know",,
00:34:19.143,00:34:36.344,00:00:17.201,,,,,,,,,,,,,,"I like the purple ones they're the best",,
00:34:36.743,00:34:55.979,00:00:19.236,,,,,,,,,,,,,,,"all of these kind of remind me of a holiday",
00:34:57.166,00:34:57.665,00:00:00.499,,,,,,,,,,,,,,"really",,
00:34:58.234,00:34:59.561,00:00:01.327,,,,,,,,,,,,,,,"I know it's kind of weird to say",
00:34:59.561,00:35:01.486,00:00:01.925,,,,,,,,,,,,,,,"but the blue ones kind of remind me of Easter",
00:35:01.486,00:35:08.600,00:00:07.114,,,,,,,,,,,,,,,"and the red ones remind me of the Valentine's day just like the taste",
00:35:10.187,00:35:18.448,00:00:08.261,,,,,,,,,,,,,,,"and the purple ones remind me Christmas",
00:35:18.627,00:35:22.568,00:00:03.941,,,,,,,,,,,,,,"the purple ones feel sort of summery",,
00:35:22.818,00:35:39.000,00:00:16.182,,,,,,,,,,,,,,"I (inaudible) the purple ones would have to taste like the fourth of July",,
00:35:39.000,00:35:39.468,00:00:00.468,,,,,,,,,,,,,"(inaudible)","I (inaudible) the purple ones would have to taste like the fourth of July",,
00:35:39.468,00:35:40.707,00:00:01.239,,,,,,,,,,,,,,"I (inaudible) the purple ones would have to taste like the fourth of July",,
00:35:40.997,00:35:45.187,00:00:04.190,,,,,,,,,,,,,"we're going to start",,,
00:35:45.766,00:35:46.095,00:00:00.329,,,,,,,,,,,,,,"huh",,
00:35:46.135,00:35:46.424,00:00:00.289,,,,,,,,,,,,,,"yes",,
00:35:46.584,00:35:55.713,00:00:09.129,,,,,,,,,,,,"okay (inaudible) and you have twenty minutes to work through as many problems as you can",,,,
00:35:55.713,00:36:00.133,00:00:04.420,,,,,,,,,,,,"there's no pressure if you can solve (inaudible)",,,,
00:36:00.133,00:36:02.847,00:00:02.714,,,,,,,,,,,,,,,"all right so first you're going to",
00:36:03.246,00:36:10.210,00:00:06.964,,,,,,,,,,,,,,"one second I don't have that thing up",,
00:36:10.959,00:36:12.266,00:00:01.307,,,,,,,,,,,,,,"are you in Chrome",,
00:36:12.266,00:36:13.622,00:00:01.356,,,,,,,,,,,,,,"is that it",,
00:36:13.622,00:36:23.360,00:00:09.738,,,,,,,,,,,,,,"are you in Chrome for the browser",,
00:36:25.206,00:36:27.421,00:00:02.215,,,,,,,,,,,,,,,"pause filler I'm not sure",
00:36:28.489,00:36:29.427,00:00:00.938,,,,,,,,,,,,,,"one sec",,
00:36:30.424,00:36:31.482,00:00:01.058,,,,,,,,,,,,,,"oh yeah you are",,
00:36:31.532,00:36:38.167,00:00:06.635,,,,,,,,,,,,,,"but one second let me open up",,
00:36:38.286,00:36:38.945,00:00:00.659,,,,,,,,,,,,,,"so you're on",,
00:36:39.364,00:36:41.868,00:00:02.504,,,,,,,,,,,,,,,"where did the pen go",
