"Begin Time - hh:mm:ss.ms","End Time - hh:mm:ss.ms","Duration - hh:mm:ss.ms","Notes_SV","PP_Notes","SV1_P1","SV1_P2","SV2_P1","SV2_P2","PP_P1","PP_P2","Experimenter 1-1","P1","Experimenter 2-1","P2",
00:13:37.046,00:13:40.997,00:00:03.951,,,,,,,,,,"thirty-seven so",,,
00:13:40.997,00:13:42.673,00:00:01.676,,,,,,,,,,,,"okay how would you do that",
00:13:42.673,00:13:46.614,00:00:03.941,,,,,,,,,,"I think we might have to set up a forty as a fraction",,,
00:13:46.614,00:13:51.323,00:00:04.709,,,,,,,,,,"so maybe we could put it over one forty over one times",,,
00:13:52.141,00:13:54.067,00:00:01.926,,,,,,,,,,,,"yeah that makes sense",
00:13:54.067,00:13:54.356,00:00:00.289,,,,,,,,,,"yeah",,,
00:13:54.356,00:13:55.903,00:00:01.547,,,,,,,,,,,,"three that's a bad three",
00:13:55.903,00:13:57.988,00:00:02.085,,,,,,,,,,,,"but at least I know it's a three",
00:13:57.988,00:13:58.357,00:00:00.369,,,,,,,,,,"yeah it's a three (laughter)",,,
00:13:58.357,00:14:12.315,00:00:13.958,,,,,,,,,,,,"okay times forty over one",
00:14:12.315,00:14:16.077,00:00:03.762,,,,,,,,,,"so let me find the common denominator and all that",,,
00:14:16.246,00:14:18.242,00:00:01.996,,,,,,,,,,,,"or wait can I just do this no can I no",
00:14:18.242,00:14:26.822,00:00:08.580,,,,,,,,,,,,"I think kind of multiplying",
00:14:26.822,00:14:28.708,00:00:01.886,,,,,,,,,,,,"can you just go straight across",
00:14:28.768,00:14:29.456,00:00:00.688,,,,,,,,,,"I think so yeah",,,
00:14:29.536,00:14:32.949,00:00:03.413,,,,,,,,,,,,"yeah it's adding and subtracting",
00:14:32.949,00:14:38.246,00:00:05.297,,,,,,,,,,,,"but you have to find the common denominator I think",
00:14:38.246,00:14:41.200,00:00:02.954,,,,,,,,,,"yeah I think so",,,
00:14:41.200,00:14:42.597,00:00:01.397,,,,,,,,,,"I'm not sure",,,
00:14:42.806,00:14:44.582,00:00:01.776,,,,,,,,,,"it looks so weird (laughter)",,,
00:14:44.582,00:14:45.510,00:00:00.928,,,,,,,,,,"this is like yeah",,,
00:14:45.650,00:14:48.962,00:00:03.312,,,,,,,,,,,,"(inaudible) so it would be one twenty",
00:14:49.162,00:14:55.378,00:00:06.216,,,,,,,,,,"one twenty over one or one twenty and ten also I think we got it (laughter)",,,
00:14:55.378,00:15:00.536,00:00:05.158,,,,,,,,,,,,"yeah so we have one twenty over seven",
00:15:00.566,00:15:09.007,00:00:08.441,,,,,,,,,,,,"we do have to simplify that over one or wait divide it",
00:15:09.007,00:15:16.460,00:00:07.453,,,,,,,,,,"one twenty divided by seven",,,
00:15:16.460,00:15:21.648,00:00:05.188,,,,,,,,,,,,"seven goes into twelve one time",
00:15:21.648,00:15:37.492,00:00:15.844,,,,,,,,,,,,"one times seven is seven minus",
00:15:37.492,00:15:39.747,00:00:02.255,,,,,,,,,,,,"wait I'm confused now yeah okay yeah and then",
00:15:39.747,00:16:15.825,00:00:36.078,,,,,,,,,,,,"I haven't done long division too long too long spent long so five",
00:16:15.825,00:16:16.375,00:00:00.550,,,,"SV",,"SV1A",,,,,,"I'm sorry",
00:16:16.375,00:16:16.383,00:00:00.008,"TRC",,,"SV",,"SV1A",,,,,,"I'm sorry",
00:16:16.383,00:16:19.955,00:00:03.572,"TRC",,,"SV",,"SV1A",,,,,,"I'm just like blanking out having a brain fart",
00:16:19.955,00:16:19.979,00:00:00.024,"TRC",,"SV",,"SV1A",,,,,"me too",,,
00:16:19.979,00:16:20.754,00:00:00.775,,,"SV",,"SV1A",,,,,"me too",,,
00:16:20.754,00:16:34.462,00:00:13.708,,,,,,,,,,,,"okay so pause filler minus five oh yeah wait do seven times five oh yeah seven divide",
00:16:34.462,00:16:38.543,00:00:04.081,,,,,,,,,,,,"don't cancel you bring down zero right",
00:16:38.543,00:16:49.748,00:00:11.205,,,,,,,,,,,,"I didn't see how many times seven goes into fifty",
00:16:49.748,00:16:49.937,00:00:00.189,,,,,,,,,,"yeah yeah",,,
00:16:49.937,00:16:51.863,00:00:01.926,,,,,,,,,,,,"okay it's coming back",
00:16:51.923,00:17:28.881,00:00:36.958,,,,,,,,,,,,"seven goes into fifty oh seven goes into fifty seventy twenty-eight twenty-eight",
00:17:28.881,00:17:28.909,00:00:00.028,"TRC",,,,,,,,,,,"seven goes into fifty oh seven goes into fifty seventy twenty-eight twenty-eight",
00:17:28.909,00:17:42.348,00:00:13.439,"TRC",,"SV",,"SV1A",,,,,"oh my god it's going to be long (laughter) forty",,,
00:17:42.348,00:17:42.361,00:00:00.013,"TRC",,,,,,,,,,,,
00:17:42.478,00:17:49.372,00:00:06.894,,,,,,,,,,,,"forty-two okay pause filler forty-two forty-nine is one two three four five six seven",
00:17:49.522,00:17:52.066,00:00:02.544,,,,,,,,,,,,"I got seven times and forty-nine right",
00:17:52.066,00:17:53.213,00:00:01.147,,,,,,,,,,"yeah yeah",,,
00:17:53.213,00:17:57.304,00:00:04.091,,,,,,,,,,,,"okay so seven goes and fifty seven times seven",
00:17:57.304,00:17:58.112,00:00:00.808,,,,,,,,,,"how did you get",,,
00:17:58.531,00:17:59.649,00:00:01.118,,,,,,,,,,"wait you have forty-nine",,,
00:17:59.649,00:18:00.098,00:00:00.449,,,,,,,,,,,,"huh",
00:18:00.098,00:18:01.714,00:00:01.616,,,,,,,,,,"because it will go",,,
00:18:01.714,00:18:03.590,00:00:01.876,,,,,,,,,,,,"it goes into seven",
00:18:03.590,00:18:06.673,00:00:03.083,,,,,,,,,,,,"oh wait seven goes and fifty pause filler seven times",
00:18:06.673,00:18:14.605,00:00:07.932,,,,,,,,,,"because with the seven fourteen twenty-one twenty-eight thirty-two or no no nothing I can remember",,,
00:18:14.924,00:18:16.860,00:00:01.936,,,,,,,,,,"no you're right (laughter)",,,
00:18:16.860,00:18:19.124,00:00:02.264,,,,,,,,,,"I messed up my mind",,,
00:18:19.184,00:18:22.038,00:00:02.854,,,,,,,,,,,,"oh no can I scroll down or something",
00:18:22.038,00:18:25.979,00:00:03.941,,,,,,,,,,,,"I guess not fifty oh well forty-nine",
00:18:26.338,00:18:32.903,00:00:06.565,,,,,,,,,,"we'll just go one twenty over seven (laughter)",,,
00:18:32.963,00:18:37.393,00:00:04.430,,,,,,,,,,,,"yeah can I scroll down for a while",
00:18:37.393,00:18:40.955,00:00:03.562,,,,,,,,,,,,"I'll just do up to this side",
00:18:41.075,00:18:41.204,00:00:00.129,,,,,,,,,,"yeah",,,
00:18:41.244,00:18:50.862,00:00:09.618,,,,,,,,,,,,"fifty minus nine is one",
00:18:50.862,00:18:52.788,00:00:01.926,,,,,,,,,,,,"and what do you do",
00:18:52.788,00:18:56.270,00:00:03.482,,,,,,,,,,,,"can I just say r one",
00:18:56.270,00:18:57.018,00:00:00.748,,,,,,,,,,"then you get a one",,,
00:18:57.018,00:18:58.385,00:00:01.367,,,,,,,,,,"and then you'd get another zero",,,
00:18:58.385,00:19:01.508,00:00:03.123,,,,,,,,,,"so you get ten one time",,,
00:19:01.508,00:19:03.055,00:00:01.547,,,,,,,,,,,,"so ten okay",
00:19:03.344,00:19:04.841,00:00:01.497,,,,,,,,,,"this is a repeating process",,,
00:19:04.841,00:19:07.235,00:00:02.394,,,,,,,,,,,,"I really need to scroll down scrolling",
00:19:07.235,00:19:08.891,00:00:01.656,,,,,,,,,,,,"there's a setting that says scrolling",
00:19:08.891,00:19:11.645,00:00:02.754,,,,,,,,,,"this will just be pretty much",,,
00:19:11.665,00:19:14.678,00:00:03.013,,,,,,,,,,"but this will pretty much just be a repeating thing",,,
00:19:14.678,00:19:17.292,00:00:02.614,,,,,,,,,,,,"yeah right one repeating seventeen",
00:19:17.292,00:19:20.565,00:00:03.273,,,,,,,,,,"so seventeen what's seventeen seventeen seventeen",,,
00:19:20.565,00:19:20.625,00:00:00.060,,,,,,,,,,,,"yeah",
00:19:20.625,00:19:21.732,00:00:01.107,,,"SV",,"SV1A",,,,,"so it will be a long decimal",,,
00:19:21.732,00:19:22.929,00:00:01.197,,,,,,,,,,"so just say seven",,,
00:19:22.929,00:19:25.075,00:00:02.146,,,,,,,,,,,,"fifteen point one repeated right",
00:19:25.174,00:19:25.334,00:00:00.160,,,,,,,,,,"yeah",,,
00:19:26.721,00:19:30.323,00:00:03.602,,,,,,,,,,,,"one repeated so what was it",
00:19:30.323,00:19:47.224,00:00:16.901,,,,,,,,,,,,"the variable x equals pause filler seventeen point one p",
00:19:47.224,00:19:50.822,00:00:03.598,,,,,,,,,,,,"encircle it so people know that's the very answer",
00:19:50.822,00:19:50.836,00:00:00.014,"TRC",,,,,,,,,,,"encircle it so people know that's the very answer",
00:19:50.836,00:19:55.007,00:00:04.171,"TRC",,,"SV",,"SV1A",,,,,,"because everything else is a mess",
00:19:55.007,00:19:55.027,00:00:00.020,"TRC",,,,,,,,,"yeah",,,
00:19:55.027,00:19:55.066,00:00:00.039,,,,,,,,,,"yeah",,,
00:19:55.066,00:19:55.915,00:00:00.849,,,,,,,,,,,,"that's it forever",
00:19:55.915,00:19:56.753,00:00:00.838,,,,,,,,,,,,"I'm sorry",
00:19:56.753,00:19:58.638,00:00:01.885,,,,,,,,,,"next to go",,,
00:19:58.708,00:20:02.180,00:00:03.472,,,,,,,,,,,,"finally again this is like same thing",
00:20:02.240,00:20:04.266,00:00:02.026,,,,,,,,,,,,"this wasn't on the paper",
00:20:04.266,00:20:05.602,00:00:01.336,,,,,,,,,,,,"this was on the paper",
00:20:05.622,00:20:06.710,00:00:01.088,,,,,,,,,,,,"I think it was on paper now",
00:20:06.710,00:20:08.695,00:00:01.985,,,,,,,,,,,,"it just didn't get far enough",
00:20:08.695,00:20:13.804,00:00:05.109,,,,,,,,,,,,"okay yeah except I don't have a paper",
00:20:13.904,00:20:16.338,00:00:02.434,,,,,,,,,,,,"okay so what does it say to do",
00:20:16.418,00:20:22.684,00:00:06.266,,,,,,,,,,"it says this one is a hundred equals two over three y",,,
00:20:23.053,00:20:27.702,00:00:04.649,,,,,,,,,,"so it says multiply both sides by three over two",,,
00:20:27.702,00:20:30.177,00:00:02.475,,,,,,,,,,"and then it gets a hundred and fifty",,,
00:20:30.177,00:20:33.948,00:00:03.771,,,,,,,,,,,,"so multiply oh yeah that makes sense now okay",
00:20:33.968,00:20:36.113,00:00:02.145,,,,,,,,,,,,"because you're trying to get k",
00:20:36.113,00:20:39.456,00:00:03.343,,,,,,,,,,,,"so we'll multiply why side by three over eight",
00:20:39.456,00:20:45.971,00:00:06.515,,,,,,,,,,"because three over eight times three over eight we'll cross cancel that out so fourteen time three over eight",,,
00:20:46.250,00:20:54.841,00:00:08.591,,,,,,,,,,,,"so here I just got k and then oh three over eight and the answer",
00:20:54.841,00:21:07.212,00:00:12.371,,,,,,,,,,,,"this has been a b equal to k times fourteen over one equals",
00:21:07.322,00:21:09.906,00:00:02.584,,,,,,,,,,"maybe I guess a lowest common denominator thing",,,
00:21:09.906,00:21:16.032,00:00:06.126,,,,,,,,,,,,"maybe or you just got to like divide or something",
00:21:16.032,00:21:18.198,00:00:02.166,,,,,,,,,,"because one could go into eight pretty easily",,,
00:21:18.198,00:21:20.722,00:00:02.524,,,,,,,,,,"so eight would be the lowest common denominator",,,
00:21:20.722,00:21:26.908,00:00:06.186,,,,,,,,,,"so it would be three over eight times fourteen over eight (inaudible)",,,
00:21:26.908,00:21:33.443,00:00:06.535,,,,,,,,,,,,"okay three times fourteen twenty-eight thirty-two oh",
00:21:33.443,00:21:33.642,00:00:00.199,,,,,,,,,,"yeah",,,
00:21:33.642,00:21:33.712,00:00:00.070,,,,,,,,,,,,"yeah",
00:21:33.712,00:21:36.606,00:00:02.894,,,,,,,,,,"I think so",,,
00:21:36.646,00:21:40.776,00:00:04.130,,,,,,,,,,"so let me let me just check it",,,
00:21:40.776,00:21:44.248,00:00:03.472,,,,"SV",,"SV1A",,,,,,"okay I don't know why there's weird dots",
00:21:44.398,00:21:48.449,00:00:04.051,,,,"SV",,"SV1A",,,,,,"yeah I don't know why but okay",
00:21:48.449,00:21:48.908,00:00:00.459,,,,,,,,,,"I don't know",,,
00:21:48.908,00:21:52.869,00:00:03.961,,,,,,,,,,,,"okay I'm going to start y up here",
00:21:53.018,00:21:54.535,00:00:01.517,,,,,,,,,,"in forty-two",,,
00:21:54.655,00:21:55.383,00:00:00.728,,,,,,,,,,,,"forty or thirty",
00:21:55.942,00:22:00.412,00:00:04.470,,,,,,,,,,"forty-two because it will be four plus four plus four equals twelve",,,
00:22:00.412,00:22:01.798,00:00:01.386,,,,,,,,,,"so you carry a one",,,
00:22:01.798,00:22:06.368,00:00:04.570,,,,,,,,,,,,"what's forty-two over eight",
00:22:06.408,00:22:06.568,00:00:00.160,,,,,,,,,,"yeah",,,
00:22:06.568,00:22:06.867,00:00:00.299,,,,,,,,,,,,"okay",
00:22:06.867,00:22:09.441,00:00:02.574,,,,,,,,,,"so then eight would go into forty-two",,,
00:22:09.441,00:22:11.167,00:00:01.726,,,,,,,,,,,,"okay wait now that's I set this up wrong",
00:22:11.167,00:22:12.694,00:00:01.527,,,,,,,,,,,,"eight goes into forty-two what did you",
00:22:12.694,00:22:13.163,00:00:00.469,,,,,,,,,,"you go first",,,
00:22:13.163,00:22:28.598,00:00:15.435,,,,,,,,,,,,"oh I was going to ask if you bother anything",
00:22:28.598,00:22:31.671,00:00:03.073,,,,,,,,,,,,"because I'm still working on it",
00:22:31.671,00:22:33.636,00:00:01.965,,,,,,,,,,"so eight and eight equals sixteen",,,
00:22:33.636,00:22:38.605,00:00:04.969,,,,,,,,,,"sixteen plus eight equals twenty-four",,,
00:22:38.605,00:22:41.349,00:00:02.744,,,,,,,,,,"twenty-four plus eight equals thirty-two",,,
00:22:41.349,00:22:44.002,00:00:02.653,,,,,,,,,,"so then thirty-two plus eight equals forty",,,
00:22:44.002,00:22:46.696,00:00:02.694,,,,,,,,,,"so you can get the forty",,,
00:22:46.696,00:22:46.886,00:00:00.190,,,,,,,,,,,,"okay",
00:22:46.886,00:22:48.622,00:00:01.736,,,,,,,,,,"so then it would be five times",,,
00:22:48.622,00:22:55.766,00:00:07.144,,,,,,,,,,,,"five times",
00:22:55.766,00:23:00.006,00:00:04.240,,,,,,,,,,"(laughter) I have no idea what to talk about",,,
00:23:00.395,00:23:02.920,00:00:02.525,,,,,,,,,,,,"me neither wait what's the surgery called again",
00:23:02.920,00:23:03.937,00:00:01.017,,,,,,,,,,,,"I didn't hear you the first time",
00:23:03.937,00:23:06.372,00:00:02.435,,,,,,,,,,"I don't know what's it called",,,
00:23:06.372,00:23:09.036,00:00:02.664,,,,,,,,,,"I guess that is called oral surgery",,,
00:23:09.036,00:23:11.520,00:00:02.484,,,,,,,,,,"because that's what it's considered",,,
00:23:11.560,00:23:13.366,00:00:01.806,,,,,,,,,,,,"oh well like are they going to numb it",
00:23:13.366,00:23:15.281,00:00:01.915,,,,,,,,,,"I'm not sure",,,
00:23:15.281,00:23:17.127,00:00:01.846,,,,,,,,,,,,"I hope they do (inaudible)",
00:23:17.127,00:24:56.292,00:01:39.165,,,,,,,,,,"two (inaudible) are cutting into me",,,
00:24:57.230,00:24:59.854,00:00:02.624,,,,,,,,,,,,"yeah they possibly will",
00:24:59.904,00:25:06.698,00:00:06.794,,,,,,,,,,"because my teeth are connected to the bones",,,
00:25:06.698,00:25:12.206,00:00:05.508,,,,,,,,,,"that kind of hurts",,,
00:25:12.206,00:25:17.524,00:00:05.318,,,,,,,,,,,,"yeah that would it probably make you number",
00:25:17.524,00:25:18.771,00:00:01.247,,,,,,,,,,,,"I don't know",
00:25:18.771,00:25:30.444,00:00:11.673,,,,,,,,,,"and just knock me out and just hit me in the heat with a hammer",,,
00:25:30.444,00:25:35.313,00:00:04.869,,,,,,,,,,,,"I'm sure they'll do it in a much more sophisticated way",
00:25:35.513,00:25:42.517,00:00:07.004,,,,,,,,,,"so I hope they don't just make me breath in the mask",,,
00:25:42.646,00:25:43.505,00:00:00.859,,,,,,,,,,"oh that scares me",,,
00:25:43.505,00:25:50.080,00:00:06.575,,,,,,,,,,"I'm so scared to walk in the world around you go dark",,,
00:25:50.658,00:25:55.238,00:00:04.580,,,,,,,,,,,,"yeah like (inaudible) numb I think",
00:25:55.238,00:25:57.573,00:00:02.335,,,,,,,,,,"I prefer being hit in the head",,,
00:25:57.573,00:25:58.211,00:00:00.638,,,,,,,,,,,,"really",
00:25:58.560,00:26:07.410,00:00:08.850,,,,,,,,,,"yes because I am terrified with needles and feeling of walking your surroundings with spade in and out so scary",,,
00:26:07.410,00:26:08.089,00:00:00.679,,,,,,,,,,"I'd rather wave in the head",,,
00:26:08.089,00:26:09.306,00:00:01.217,,,,,,,,,,,,"just close your eyes",
00:26:09.306,00:26:12.379,00:00:03.073,,,,,,,,,,,,"and then do it so just like you're closing",
00:26:12.379,00:26:13.167,00:00:00.788,,,,,,,,,,"but it gets hard to breath",,,
00:26:13.167,00:26:18.196,00:00:05.029,,,,,,,,,,"it feels like your entire body is just going numb",,,
00:26:18.365,00:26:21.059,00:00:02.694,,,,,,,,,,"it's (sfx) not fun",,,
00:26:21.149,00:26:22.486,00:00:01.337,,,,,,,,,,,,"(inaudible) I wouldn't know",
00:26:22.486,00:26:24.322,00:00:01.836,,,,,,,,,,"I'm just terrified of surgery",,,
00:26:24.322,00:26:26.866,00:00:02.544,,,,,,,,,,"because I had a bad surgery before",,,
00:26:26.866,00:26:27.455,00:00:00.589,,,,,,,,,,"so this will be fun",,,
00:26:27.455,00:26:27.664,00:00:00.209,,,,,,,,,,,,"really",
00:26:27.664,00:26:29.261,00:00:01.597,,,,,,,,,,"I had a tunnel surgery",,,
00:26:29.360,00:26:29.839,00:00:00.479,,,,,,,,,,"and they made a (inaudible)",,,
00:26:29.839,00:26:30.877,00:00:01.038,,,,,,,,,,,,"really",
00:26:30.877,00:26:35.097,00:00:04.220,,,,,,,,,,"which ended up in three months in the hospital so",,,
00:26:35.277,00:26:36.554,00:00:01.277,,,,,,,,,,,,"oh that stinks",
00:26:37.542,00:26:40.744,00:00:03.202,,,,,,,,,,"yeah it was so great",,,
00:26:40.824,00:26:44.217,00:00:03.393,,,,,,,,,,,,"well I'll try to think",
00:26:44.396,00:26:47.878,00:00:03.482,,,,,,,,,,,,"I don't think I've ever had surgery",
00:26:49.076,00:26:51.360,00:00:02.284,,,,,,,,,,,,"but my sister has",
00:26:51.360,00:26:52.258,00:00:00.898,,,,,,,,,,,,"my dog has",
00:26:52.258,00:26:55.690,00:00:03.432,,,,,,,,,,,,"and my mom has but not me",
00:26:55.690,00:26:56.878,00:00:01.188,,,,,,,,,,"my mom has",,,
00:26:56.978,00:26:58.374,00:00:01.396,,,,,,,,,,"my sister has not",,,
00:26:58.873,00:27:01.956,00:00:03.083,,,,,,,,,,"I don't have a dog",,,
00:27:02.425,00:27:06.735,00:00:04.310,,,,,,,,,,,,"my dog when we brought her dog",
00:27:06.735,00:27:10.317,00:00:03.582,,,,,,,,,,,,"we just said everything was okay with her not like",
00:27:10.317,00:27:11.814,00:00:01.497,,,,,,,,,,,,"we were the first owner",
00:27:11.814,00:27:16.583,00:00:04.769,,,,,,,,,,,,"but she lied because the dog had had an owner before that",
00:27:16.583,00:27:18.289,00:00:01.706,,,,,,,,,,,,"and pause filler she had her leg I think yeah",
00:27:18.668,00:27:22.609,00:00:03.941,,,,,,,,,,,,"yeah I think she broke her leg or something",
00:27:22.609,00:27:27.708,00:00:05.099,,,,,,,,,,,,"and the breeder tried to just put a cast on it",
00:27:27.708,00:27:29.065,00:00:01.357,,,,,,,,,,,,"and she did it wrong",
00:27:29.065,00:27:31.200,00:00:02.135,,,,,,,,,,,,"and so the bone like healed the wrong way",
00:27:31.349,00:27:39.880,00:00:08.531,,,,,,,,,,,,"and so yeah so pause filler my dog has to like get a surgery and like it had to fix it",
00:27:40.080,00:27:44.799,00:00:04.719,,,,,,,,,,"say mom has had several surgeries several",,,
00:27:45.787,00:27:47.453,00:00:01.666,,,,,,,,,,"because my mom has a disease",,,
00:27:47.792,00:27:49.089,00:00:01.297,,,,,,,,,,,,"okay what does she have",
00:27:49.538,00:27:52.920,00:00:03.382,,,,,,,,,,"she has Crohn's disease which is",,,
00:27:52.920,00:27:54.387,00:00:01.467,,,,,,,,,,"it's pretty much something in the intestines",,,
00:27:54.387,00:27:58.308,00:00:03.921,,,,,,,,,,"so she had to get part of her intestine taken out taken",,,
00:27:58.308,00:27:58.867,00:00:00.559,,,,,,,,,,,,"how long",
00:27:58.867,00:28:03.127,00:00:04.260,,,,,,,,,,"so she's had several surgeries several",,,
00:28:03.127,00:28:05.632,00:00:02.505,,,,,,,,,,,,"oh that's annoying",
00:28:05.971,00:28:09.513,00:00:03.542,,,,,,,,,,"yeah but he won't die from it so",,,
00:28:09.722,00:28:14.022,00:00:04.300,,,,,,,,,,,,"yeah it's like it's better than something",
00:28:14.022,00:28:28.510,00:00:14.488,,,,,,,,,,,,"that like better to have not just surgeries than to have it something worse",
00:28:28.510,00:28:28.569,00:00:00.059,,,,,,,,,,"yeah",,,
00:28:28.569,00:28:29.787,00:00:01.218,,,,,,,,,,,,"the weird thing though was like",
00:28:29.787,00:28:32.500,00:00:02.713,,,,,,,,,,,,"I've never seen a dog with a cast",
00:28:32.500,00:28:35.773,00:00:03.273,,,,,,,,,,,,"and my dog she had to get this cast",
00:28:35.773,00:28:38.078,00:00:02.305,,,,,,,,,,,,"it was like pink camouflage",
00:28:38.078,00:28:39.445,00:00:01.367,,,,,,,,,,,,"it was so cute",
00:28:39.445,00:28:40.632,00:00:01.187,,,,,,,,,,,,"and now like she's all better",
00:28:40.632,00:28:42.458,00:00:01.826,,,,,,,,,,,,"but she just has this slight limp",
00:28:42.458,00:28:45.142,00:00:02.684,,,,,,,,,,,,"and I don't think it hurts her",
00:28:45.142,00:28:51.238,00:00:06.096,,,,,,,,,,,,"but it's like really cute when she runs (sfx)",
00:28:51.637,00:28:54.979,00:00:03.342,,,,,,,,,,"so I've never had a dog",,,
00:28:54.979,00:28:56.855,00:00:01.876,,,,,,,,,,"I've only had one guinea pig",,,
00:28:56.855,00:28:59.379,00:00:02.524,,,,,,,,,,,,"I like guinea pigs",
00:28:59.379,00:29:02.422,00:00:03.043,,,,,,,,,,,"you're enjoying your sour candies",,
00:29:02.422,00:29:02.802,00:00:00.380,,,,,,,,,,,,"yes",
00:29:03.530,00:29:08.359,00:00:04.829,,,,,,,,,"cool so pause filler it is time to switch",,,,
00:29:08.359,00:29:10.903,00:00:02.544,,,,,,,,,,"yeah it's like you hit over that door",,,
00:29:10.943,00:29:11.911,00:00:00.968,,,,,,,,,,"and I was like yup",,,
00:29:11.911,00:29:13.248,00:00:01.337,,,,,,,,,,,,"I don't think this one is mine",
00:29:13.248,00:29:18.596,00:00:05.348,,,,,,,,,,,"I know you just had to do better than with a mouse",,
00:29:18.596,00:29:20.471,00:00:01.875,,,,,,,,,,,"but in fairness we have only one",,
00:29:20.571,00:29:24.432,00:00:03.861,,,,,,,,,,,"and I'm just going to put this",,
00:29:24.432,00:29:26.109,00:00:01.677,,,,,,,,,,,,"I just want to clarify",
00:29:26.109,00:29:28.982,00:00:02.873,,,,,,,,,,,,"I was not the one who broke the pen",
00:29:29.052,00:29:31.337,00:00:02.285,,,,,,,,,,,"no this is someone else like before",,
00:29:31.496,00:29:39.388,00:00:07.892,,,,,,,,,,,,"she said it was her brother's partner",
00:29:41.234,00:29:43.339,00:00:02.105,,,,,,,,,,,,"my mouse is not moving so",
00:29:43.339,00:29:45.105,00:00:01.766,,,,,,,,,,,"pause filler it's the tablet closing",,
00:29:45.105,00:29:50.184,00:00:05.079,,,,,,,,,,"yup I don't know if it works",,,
00:29:50.892,00:29:53.207,00:00:02.315,,,,,,,,,,"looks like it used",,,
00:29:54.863,00:29:58.056,00:00:03.193,,,,,,,,,,,,"not really I thinks so",
00:29:58.096,00:30:02.516,00:00:04.420,,,,,,,,,,,"okay no that's fine let's see",,
00:30:02.715,00:30:06.996,00:00:04.281,,,,,,,,,"and as a tutor now you'll be using the mouse",,,,
00:30:06.996,00:30:12.573,00:00:05.577,,,,,,,,,"so we make sure that you are not solving the problems in order",,,,
00:30:13.152,00:30:16.504,00:00:03.352,,,,,,,,,"make sure that you're helping your",,,,
00:30:16.504,00:30:22.471,00:00:05.967,,,,,,,,,"I just want to let you know that (inaudible)",,,,
00:30:22.610,00:30:22.989,00:00:00.379,,,,,,,,,,,,"okay",
00:30:23.169,00:30:39.641,00:00:16.472,,,,,,,,,"and so you have about twenty minutes to solve as many problems",,,,
00:30:39.731,00:30:43.393,00:00:03.662,,,,,,,,,,,,"all right thank you",
00:30:43.612,00:30:44.750,00:00:01.138,,,,,,,,,,"oh I can't see",,,
00:30:44.750,00:30:45.658,00:00:00.908,,,,,,,,,,,,"(inaudible) your ballpen is like um",
00:30:45.658,00:30:46.815,00:00:01.157,,,,,,,,,,,"I'm going to try it okay",,
00:30:47.055,00:30:47.783,00:00:00.728,,,,,,,,,,,,"yup blue and cool",
00:30:47.933,00:30:48.501,00:00:00.568,,,,,,,,,"so",,,,
00:30:48.601,00:30:50.607,00:00:02.006,,,,,,,,,,,,"oh I like this",
00:30:50.607,00:30:54.927,00:00:04.320,,,,,,,,,"she's going to be the tutor this time",,,,
00:30:54.997,00:30:58.998,00:00:04.001,,,,,,,,,"where's the Chrome",,,,
00:31:00.744,00:31:03.767,00:00:03.023,,,,,,,,,,"pause filler right there (laughter) I was using oh my gosh",,,
00:31:03.767,00:31:06.411,00:00:02.644,,,,,,,,,,"why is it upside down",,,
00:31:06.979,00:31:13.684,00:00:06.705,,,,,,,,,,"this is like what the heck left while",,,
00:31:13.824,00:31:15.640,00:00:01.816,,,,,,,,,"there that should be it (inaudible)",,,,
00:31:15.640,00:31:17.000,00:00:01.360,,,,,,,,,,"oh she left it out",,,
00:31:17.000,00:31:17.276,00:00:00.276,,,,,,,,,"(inaudible)","oh she left it out",,,
00:31:17.276,00:31:18.024,00:00:00.748,,,,,,,,,"this no I can't (inaudible)",,,,
00:31:18.523,00:31:29.827,00:00:11.304,,,,,,,,,,"it will help with my left hand-ism anyway left hand-ism (inaudible)",,,
00:31:29.907,00:31:31.753,00:00:01.846,,,,,,,,,,"no why do you move over here",,,
00:31:31.883,00:31:35.385,00:00:03.502,,,,,,,,,"yeah and I think pause filler yeah close out of this app there",,,,
00:31:36.063,00:31:36.123,00:00:00.060,,,,,,,,,,"no",,,
00:31:36.123,00:31:43.047,00:00:06.924,,,,,,,,,"it should be like one to one on the screen isn't it",,,,
00:31:43.047,00:31:46.190,00:00:03.143,,,,,,,,,,,,"(inaudible) huh no nothing is turned off (inaudible)",
00:31:46.190,00:31:56.656,00:00:10.466,,,,,,,,,"great so you have about twenty minutes again",,,,
00:31:56.726,00:32:02.034,00:00:05.308,,,,,,,,,"and (inaudible) here all right yeah I think so (inaudible)",,,,
00:32:03.531,00:32:05.197,00:00:01.666,,,,,,,,,,,,"you're in charge now (laughter)",
00:32:05.197,00:32:12.091,00:00:06.894,,,,,,,,,,"I have no idea what's happening",,,
00:32:12.091,00:32:14.446,00:00:02.355,,,,,,,,,,,,"pause filler you're solving the problem I think",
00:32:14.705,00:32:16.062,00:00:01.357,,,,,,,,,,"solving the problem",,,
00:32:16.142,00:32:18.367,00:00:02.225,,,,,,,,,,,,"it sounds fairly easy",
00:32:19.305,00:32:25.810,00:00:06.505,,,,,,,,,,"probably get rid of that one",,,
00:32:27.345,00:32:27.367,00:00:00.022,"TRC",,,,,,,,,,,,
