"Begin Time - hh:mm:ss.ms","End Time - hh:mm:ss.ms","Duration - hh:mm:ss.ms","Notes_SV","PP_Notes","SV1_P1","SV1_P2","SV2_P1","SV2_P2","PP_P1","PP_P2","Experimenter 1","Experimenter 2","P1","P2","Experimenter",
00:27:53.200,00:27:57.900,00:00:04.700,,,,,,,,,,"you're writing in green text before correct",,,,
00:27:57.900,00:27:58.000,00:00:00.100,,,,,,,,,,,"yeah",,,
00:27:58.000,00:28:01.400,00:00:03.400,,,,,,,,,,"okay so you'll be writing in black text now",,,,
00:28:01.400,00:28:01.600,00:00:00.200,,,,,,,,,,,"yeah",,,
00:28:01.600,00:28:04.400,00:00:02.800,,,,,,,,,,"guys you hang out a bit more",,,,
00:28:04.500,00:28:09.700,00:00:05.200,,,,,,,,,,"so we're just going to watch this and (inaudible)",,,,
00:28:09.700,00:28:14.600,00:00:04.900,,,,,,,,,,"because you're going to get some Skittles",,,,
00:28:15.300,00:28:17.600,00:00:02.300,,,,,,,,,,"here you go",,,,
00:28:17.900,00:28:18.800,00:00:00.900,,,,,,,,,,"and take one",,,,
00:28:19.200,00:28:29.000,00:00:09.800,,,,,,,,,,"so yeah just chill pause filler for a bit",,,,
00:28:29.000,00:28:33.800,00:00:04.800,,,,,,,,,,"and we'll do that",,,,
00:28:34.800,00:28:35.400,00:00:00.600,,,,,,,,,,,"okay",,,
00:28:45.600,00:28:55.300,00:00:09.700,,,,,,,,,,,,"you know",,
00:29:19.400,00:29:33.400,00:00:14.000,,,,,,,,,,,"five minutes",,,
00:29:33.900,00:29:39.000,00:00:05.100,,,,,,,,,,,,"ouch wait did he take my stylus again",,
00:29:41.600,00:30:06.800,00:00:25.200,,,,,,,,,,,,"oh my gosh he's always taking my stylus",,
00:30:10.200,00:30:10.300,00:00:00.100,,,,,,,,,,,"yeah",,,
00:30:11.900,00:30:13.700,00:00:01.800,,,,,,,,,,,,"this is a big microphone",,
00:30:14.300,00:30:25.800,00:00:11.500,,,,,,,,,,,"yeah testing",,,
00:30:26.600,00:31:45.000,00:01:18.400,,,,,,,,,,,"yeah they have like a giant super computer connected to a terrible dumb monitors kind of funny",,,
00:31:45.000,00:31:49.400,00:00:04.400,,,,,,,,,,,"yeah they have like a giant super computer connected to a terrible dumb monitors kind of funny","(inaudible)",,
00:31:49.400,00:32:30.000,00:00:40.600,,,,,,,,,,,"yeah they have like a giant super computer connected to a terrible dumb monitors kind of funny",,,
00:32:30.000,00:32:31.000,00:00:01.000,,,,,,,,,,,"yeah they have like a giant super computer connected to a terrible dumb monitors kind of funny","(inaudible)",,
00:32:31.000,00:32:31.500,00:00:00.500,,,,,,,,,,,"yeah they have like a giant super computer connected to a terrible dumb monitors kind of funny",,,
00:32:33.000,00:32:33.200,00:00:00.200,,,,,,,,,,,"yeah",,,
00:32:33.700,00:33:01.700,00:00:28.000,,,,,,,,,,,,"pause filler isn't it",,
00:34:08.900,00:34:13.100,00:00:04.200,,,,,,,,,,,,"they'll return five minutes",,
00:34:14.500,00:34:15.200,00:00:00.700,,,,,,,,,,,"I don't know",,,
00:34:15.200,00:34:18.200,00:00:03.000,,,,,,,,,,,"I don't think they're very good at telling time (inaudible)",,,
00:34:18.500,00:34:25.500,00:00:07.000,,,,,,,,,,,"they don't exactly keep their promises",,,
00:34:27.200,00:34:29.100,00:00:01.900,,,,,,,,,,,,"well here they come now",,
00:34:29.100,00:34:31.300,00:00:02.200,,,,,,,,,,,,"I think they can hear us or see us",,
00:34:32.500,00:34:32.900,00:00:00.400,,,,,,,,,,,"oh boy",,,
00:34:33.000,00:34:37.800,00:00:04.800,,,,,,,,,,,,,"all right we're going to get started again",
00:34:38.700,00:34:39.300,00:00:00.600,,,,,,,,,,,,,"so pause filler here you go pause filler",
00:34:40.200,00:34:41.300,00:00:01.100,,,,,,,,,,"how are you",,,,
00:34:41.300,00:34:42.700,00:00:01.400,,,,,,,,,,"I'm sorry (inaudible)",,,,
00:34:42.700,00:34:42.800,00:00:00.100,,,,,,,,,,,"no",,,
00:34:44.700,00:34:46.800,00:00:02.100,,,,,,,,,,"okay pause filler so now you're going to be tutored",,,,
00:34:46.800,00:34:50.700,00:00:03.900,,,,,,,,,,"so just open up the Google Chrome again and then same thing for pitching out",,,,
00:34:50.700,00:34:53.200,00:00:02.500,,,,,,,,,,"but he'll have the tutor sheets",,,,
00:34:53.200,00:34:55.000,00:00:01.800,,,,,,,,,,"and you'll be bringing in (inaudible) and that",,,,
00:34:55.200,00:34:58.300,00:00:03.100,,,,,,,,,,,,,"yeah these are similar kind of problems in between",
00:34:58.500,00:35:01.400,00:00:02.900,,,,,,,,,,,,"I probably have to turn them in",,
00:35:01.400,00:35:01.800,00:00:00.400,,,,,,,,,,,,,"pause filler we'll begin",
00:35:01.800,00:35:04.100,00:00:02.300,,,,,,,,,,,,,"you have about twenty minutes to help them work through",
00:35:04.100,00:35:06.300,00:00:02.200,,,,,,,,,,,,,"just make sure that you're not solving the problems",
00:35:06.300,00:35:07.900,00:00:01.600,,,,,,,,,,,,,"pause filler because you're the tutor",
00:35:07.900,00:35:11.500,00:00:03.600,,,,,,,,,,,,,"or maybe just like circle the things underline that kind of thing",
00:35:11.500,00:35:18.700,00:00:07.200,,,,,,,,,,,"all right so do we like try to just kind of finish all over or",,,
00:35:18.700,00:35:22.400,00:00:03.700,,,,,,,,,,"pause filler oh yeah once you get to number ten do come out to like",,,,
00:35:22.400,00:35:25.500,00:00:03.100,,,,,,,,,,"I guess again probably to pause pause filler",,,,
00:35:25.500,00:35:28.600,00:00:03.100,,,,,,,,,,,"also for the pause filler questions that like it's not a whole number",,,
00:35:28.600,00:35:32.400,00:00:03.800,,,,,,,,,,,"do you want me to like actually solve it",,,
00:35:32.400,00:35:46.600,00:00:14.200,,,,,,,,,,,"or can I just leave it as",,,
00:35:46.600,00:35:48.700,00:00:02.100,,,,,,,,,,"probably fraction pause filler or (inaudible)",,,,
00:35:48.700,00:35:49.900,00:00:01.200,,,,,,,,,,,"okay cool okay so this is",,,
00:35:49.900,00:36:05.400,00:00:15.500,,,,,,,,,,,"I see cool twenty-five all right next problem",,,
00:36:05.400,00:36:32.900,00:00:27.500,,,,,,,,,,,"okay so you have y",,,
00:36:32.900,00:36:34.600,00:00:01.700,,,,,,,,,,,"subtract it",,,
00:36:34.600,00:36:41.000,00:00:06.400,,,,,,,,,,,"or subtract it to twenty-two equals y",,,
00:36:41.000,00:36:45.800,00:00:04.800,,,,,,,,,,,"one equals three over five",,,
00:36:45.800,00:36:52.000,00:00:06.200,,,,,,,,,,,"okay so you have y equals negative five",,,
00:36:52.300,00:37:10.400,00:00:18.100,,,,,,,,,,,"okay oops okay oh that's going okay so let's see",,,
00:37:10.400,00:37:10.900,00:00:00.500,,,,,,,,,,,"oh no this is",,,
00:37:11.300,00:37:13.900,00:00:02.600,,,,,,,,,,,"okay okay so subtract okay equals",,,
00:37:13.900,00:37:21.800,00:00:07.900,,,,,,,,,,,"so k equals twenty-five okay yup",,,
00:37:21.900,00:37:23.100,00:00:01.200,,,,"SV",,"SV1A",,,,,,"I wonder if we could (inaudible)",,
00:37:23.100,00:37:25.100,00:00:02.000,,,,"SV",,"SV1A",,,,,,"would they let us leave early",,
00:37:25.400,00:37:27.600,00:00:02.200,,,"SV",,"SV1A",,,,,,"yeah that's what I'm doing (inaudible)",,,
00:37:28.500,00:37:31.700,00:00:03.200,,,,,,,,,,,"fifteen equals eight",,,
00:37:31.900,00:37:44.700,00:00:12.800,,,,,,,,,,,"okay nineteen equals negative nine",,,
00:37:45.700,00:37:57.500,00:00:11.800,,,,,,,,,,,"subtract (inaudible) equals negative nine",,,
00:37:58.685,00:37:58.700,00:00:00.015,"TRC",,,,,,,,,,,,,
00:37:58.700,00:38:03.000,00:00:04.300,"TRC",,,"SV",,"SV1A",,,,,,"better let me at man",,
00:38:03.000,00:38:03.006,00:00:00.006,"TRC",,,,,,,,,,,,,
00:38:03.400,00:38:08.500,00:00:05.100,,,,,,,,,,,"pause filler I'm not accurate though okay sixty-two",,,
00:38:08.500,00:38:10.800,00:00:02.300,,,,"SV",,"SV1A",,,,,,"I missed on that three in sports",,
00:38:11.400,00:38:14.700,00:00:03.300,,,"SV",,"SV1A",,,,,,"in sports it's really good to be in sports",,,
00:38:16.100,00:38:18.300,00:00:02.200,,,,"SV",,"SV1A",,,,,,"he's coming on your side now",,
00:38:19.400,00:38:20.600,00:00:01.200,,,,"SV",,"SV1C",,,,,,"the white guy is coming over",,
00:38:21.300,00:38:24.400,00:00:03.100,,,"SV",,"SV1A",,,,,,"okay so",,,
00:38:26.300,00:38:32.400,00:00:06.100,,,,,,,,,,"a very slow one oh this one here",,,,
00:38:32.400,00:39:01.500,00:00:29.100,,,,,,,,,,,"okay so you have sixty-two (inaudible) equals sixty-two over three ten x okay is equal okay next question",,,
00:39:01.500,00:39:17.200,00:00:15.700,,,,,,,,,,,"add that yeah pause filler (inaudible)",,,
00:39:31.600,00:39:45.200,00:00:13.600,,,,,,,,,,,"two equals six",,,
00:39:45.800,00:40:10.400,00:00:24.600,,,,,,,,,,,"seven equals nineteen okay last question over now",,,
00:40:10.500,00:40:11.000,00:00:00.500,,,,,,,,"UL",,,,"wow",,
00:40:11.200,00:40:11.800,00:00:00.600,,,,,,,,,,,"add that",,,
00:40:12.200,00:40:14.000,00:00:01.800,,,,,,,,,,,"subtract that",,,
00:40:14.000,00:40:43.000,00:00:29.000,,,,,,,,,,,"y equals sixty equals forty (inaudible) negative ten",,,
00:40:45.500,00:40:55.900,00:00:10.400,,,,,,,,,,,"we have sixteen (inaudible)",,,
00:40:56.200,00:40:57.400,00:00:01.200,,,"SV",,"SV1A",,,,,,"okay so now we're going",,,
00:40:58.000,00:41:03.200,00:00:05.200,,,,"SV",,"SV1A",,,,,,"oh can I get him",,
00:41:13.400,00:41:34.400,00:00:21.000,,,,,,,,,,,,"because they're both before my side",,
00:41:35.500,00:41:39.700,00:00:04.200,,,,,,,,,,"all righty you are through ten already",,,,
00:41:40.000,00:41:40.200,00:00:00.200,,,,,,,,,,,"yeah",,,
00:41:40.400,00:41:44.700,00:00:04.300,,,,,,,,,,"oh so (inaudible) pause filler so you're on thirteen now",,,,
00:41:44.700,00:41:49.300,00:00:04.600,,,,,,,,,,,"oh no I have not taken the question",,,
00:41:49.300,00:41:58.000,00:00:08.700,,,,,,,,,,"okay just a blank naturally so just continue along",,,,
00:41:58.100,00:42:16.300,00:00:18.200,,,,,,,,,,,"all right okay I'm so stressed out",,,
00:42:16.800,00:42:22.400,00:00:05.600,,,,,,,,,,,,"yup do you think they check this or grade it check it",,
00:42:22.400,00:42:25.900,00:00:03.500,,,,,,,,,,,"I have no idea",,,
00:42:26.000,00:42:30.300,00:00:04.300,,,,,,,,,,,"I think that's probably not the point of the exercise",,,
00:42:30.300,00:42:32.100,00:00:01.800,,,,,,,,,,,"but I don't know okay",,,
00:42:32.100,00:42:45.200,00:00:13.100,,,,,,,,,,,"okay you subtract that",,,
00:42:46.000,00:43:20.900,00:00:34.900,,,,,,,,,,,"so move it here to here (inaudible) equals six sixty",,,
00:43:22.600,00:43:33.300,00:00:10.700,,,,,,,,,,,"(inaudible) thirty-eight equals two okay (inaudible) six",,,
00:43:34.400,00:44:03.300,00:00:28.900,,,,,,,,,,,"the answer is three (inaudible) equals ten (inaudible) eighteen",,,
00:44:03.700,00:44:16.200,00:00:12.500,,,,,,,,,,,"eighteen equals x divided by",,,
00:44:16.200,00:44:18.200,00:00:02.000,,,,"SV",,"SV1A",,,,,,"this room is really spacious",,
00:44:18.200,00:44:20.200,00:00:02.000,,,,,,,,,,,"yeah it's a really",,,
00:44:20.900,00:44:23.600,00:00:02.700,,,,,,,,,,,"I have a pretty nice room too",,,
00:44:23.600,00:44:27.000,00:00:03.400,,,,"SV",,"SV1A",,,,,,"they got all this project stuff going on in the walls",,
00:44:27.500,00:44:28.900,00:00:01.400,,,,,,,,,,,"oh wow yeah",,,
00:44:28.900,00:44:36.800,00:00:07.900,,,,"SV",,"SV1A",,,,,,"refrigerators and on the outside is this",,
00:44:36.800,00:44:44.700,00:00:07.900,,,,,,,,,,,"wow nice yeah I'm in like a lounge place",,,
00:44:44.700,00:44:50.000,00:00:05.300,,,,,,,,,,,"I have like couches and stuff like all around here",,,
00:44:50.000,00:44:53.100,00:00:03.100,,,,"SV",,"SV1A",,,,,,"yeah you got the TV or something oh yeah you're right next door",,
00:44:53.400,00:44:56.600,00:00:03.200,,,,,,,,,,,"yeah yeah (laughter) okay what's going on this",,,
00:44:56.600,00:45:11.600,00:00:15.000,,,,,,,,,,,"(inaudible) equals negative two okay",,,
00:45:11.600,00:46:43.400,00:01:31.800,,,,,,,,,,,"and so you have (inaudible) forty-two equals forty-seven (inaudible) fifty",,,
00:46:43.400,00:47:03.900,00:00:20.500,,,,,,,,,,,"and this is fifteen sixty-five six seven okay pens up",,,
00:47:03.900,00:47:04.700,00:00:00.800,,,,,,,,,,,"there we go okay",,,
00:47:04.800,00:47:05.700,00:00:00.900,,,,,,,,,,,,"oh my gosh",,
00:47:05.800,00:47:09.000,00:00:03.200,,,,,,,,,,,"this is let's see",,,
00:47:09.000,00:47:09.200,00:00:00.200,,,,,,,,,,,"this is let's see","(inaudible)",,
00:47:09.200,00:47:09.600,00:00:00.400,,,,,,,,,,,,"(inaudible)",,
00:47:09.600,00:47:12.600,00:00:03.000,,,,,,,,,,,"yeah negative thirteen so we have thirty-five","(inaudible)",,
00:47:12.600,00:47:29.700,00:00:17.100,,,,,,,,,,,"yeah negative thirteen so we have thirty-five",,,
00:47:29.700,00:47:31.600,00:00:01.900,,,,,,,,,,,"eighteen plus forty equals fifty",,,
00:47:31.600,00:47:44.000,00:00:12.400,,,,,,,,,,,"you add that to make it forty-five equals one hundred",,,
00:47:44.000,00:47:46.100,00:00:02.100,,,,,,,,,,,"and ninety equals one ninety over",,,
00:47:46.100,00:47:47.800,00:00:01.700,,,,,,,,,,,,"(inaudible) yesterday",,
00:47:47.900,00:47:49.300,00:00:01.400,,,,,,,,,,,"oh nice with friends",,,
00:47:49.300,00:47:53.100,00:00:03.800,,,,,,,,,,,"I haven't been there in a while Salton",,,
00:47:53.100,00:47:54.100,00:00:01.000,,,,,,,,,,,"that's cool",,,
00:47:54.100,00:47:55.900,00:00:01.800,,,,"SV",,"SV1A",,,,,,"mm-hmm yesterday is the first day okay sure okay",,
00:47:55.900,00:48:05.800,00:00:09.900,,,,,,,,,,,,"so one forty-five minus sixty equals",,
00:48:05.800,00:48:07.600,00:00:01.800,,,,,,,,,,,"I didn't get a full season pay",,,
00:48:07.600,00:48:09.200,00:00:01.600,,,,,,,,,,,"so I was there",,,
00:48:09.200,00:48:12.600,00:00:03.400,,,,,,,,,,,"so I don't think I remember of course",,,
00:48:12.600,00:48:15.600,00:00:03.000,,,,,,,,,,,"my cousin works there",,,
00:48:15.600,00:48:21.200,00:00:05.600,,,,"SV",,"SV1A",,,,,,"ah school yeah yeah my sister's friend used to work there",,
00:48:21.200,00:48:26.100,00:00:04.900,,,,"SV",,"SV1A",,,,,,"oh there are nothing on this page",,
00:48:26.200,00:48:29.800,00:00:03.600,,,,"SV",,"SV1A",,,,,,"and there's nothing on that page",,
00:48:30.300,00:48:31.900,00:00:01.600,,,,"SV",,"SV1A",,,,,,"let's go get them",,
00:48:36.200,00:49:27.000,00:00:50.800,,,,,,,,,,"(inaudible) then this needs to show the timer for you on this end",,,,
00:49:27.000,00:49:32.000,00:00:05.000,,,,,,,,,,"(inaudible) then this needs to show the timer for you on this end",,,"hey so pause filler (inaudible)",
00:49:32.000,00:49:41.200,00:00:09.200,,,,,,,,,,"(inaudible) then this needs to show the timer for you on this end",,,,
00:49:41.200,00:49:42.100,00:00:00.900,,,,,,,,,,"okay okay Tyler",,,,
00:49:43.000,00:49:44.100,00:00:01.100,,,,,,,,,,,,"yeah",,
00:49:44.100,00:49:47.600,00:00:03.500,,,,,,,,,,"okay yeah you're pause filler done",,,,
00:49:55.200,00:49:59.900,00:00:04.700,,,,,,,,,,"so I guess just to say goodbye to Tyler right and pause filler",,,,
00:50:00.500,00:50:03.300,00:00:02.800,,,,,,,,,,,"okay okay do you want us again next week or",,,
00:50:03.300,00:50:08.500,00:00:05.200,,,,,,,,,,,"all right I'll see you Tyler",,,
00:50:19.000,00:50:20.000,00:00:01.000,,,,,,,,,,,"okay",,,
00:50:21.000,00:50:22.000,00:00:01.000,,,,,,,,,,"say goodbye you're done so",,,,
00:50:25.000,00:50:26.000,00:00:01.000,,,,,,,,,,"pause filler let me just",,,,
