"Begin Time - hh:mm:ss.ms","End Time - hh:mm:ss.ms","Duration - hh:mm:ss.ms","Notes_SV","PP_Notes","SV1_P1","SV1_P2","SV2_P1","SV2_P2","PP_P1","PP_P2","Experimenter 2","Experimenter","Experimenter 1","Experimenter-1","P2","P1","Experimenter 2-1",
00:16:27.099,00:16:30.920,00:00:03.821,,,,,,,,,,,,,,"so now do you tutor me or what",,
00:16:30.990,00:16:31.878,00:00:00.888,,,,,,,,,,,,,,"I'm confused",,
00:16:32.188,00:16:33.515,00:00:01.327,,,,,,,,,,,,,"he didn't tell me he just",,,
00:16:33.544,00:16:34.622,00:00:01.078,,,,,,,,,,,,,"I think I still do it",,,
00:16:34.622,00:16:34.802,00:00:00.180,,,,,,,,,,,,,,"okay",,
00:16:35.450,00:16:35.859,00:00:00.409,,,,,,,,,,,,,"okay yeah",,,
00:16:36.039,00:16:36.178,00:00:00.139,,,,,,,,,,,,,,"so",,
00:16:36.378,00:16:37.116,00:00:00.738,,,,,,,,,,,,,"pause filler let's see",,,
00:16:37.116,00:16:42.424,00:00:05.308,,,"SV",,"SV1A",,,,,,,,,"oh my god I hate this thing",,
00:16:43.651,00:16:45.876,00:00:02.225,,,"SV",,"SV1A",,,,,,,,,"so I'll make this full screen let's see",,
00:16:48.000,00:16:48.041,00:00:00.041,,,,,,,,,,,,,,"(inaudible)",,
00:16:48.041,00:16:49.498,00:00:01.457,,,"SV",,"SV1A",,,,,,,,,"there we go",,
00:16:49.498,00:16:57.380,00:00:07.882,,,"SV",,"SV1A",,,,,,,,,"there we go that way (inaudible) if he's here okay close",,
00:17:00.354,00:17:01.980,00:00:01.626,,,,,,,,,,,,,,"oh you subtract to two Rs instead of r",,
00:17:01.980,00:17:02.928,00:00:00.948,,,,,,,,,,,,,,"wait hold on",,
00:17:08.166,00:17:10.171,00:00:02.005,,,,,,,,,,,,,,"I want to make sure it's right",,
00:17:10.331,00:17:14.990,00:00:04.659,,,,,,,,,,,,"did you guys unlocked the bonus round down",,,,
00:17:15.250,00:17:15.569,00:00:00.319,,,,,,,,,,,,,,"what",,
00:17:15.569,00:17:16.856,00:00:01.287,,,,,,,,,,,,"did you guys unlocked the bonus round",,,,
00:17:16.856,00:17:18.632,00:00:01.776,,,,,,,,,,,,"so I'm going to take this away",,,,
00:17:18.632,00:17:20.538,00:00:01.906,,,,,,,,,,,,"pause filler just keep working keep helping",,,,
00:17:20.538,00:17:22.054,00:00:01.516,,,,,,,,,,,,"you work through the problems",,,,
00:17:22.204,00:17:24.129,00:00:01.925,,,,,,,,,,,,"pause filler but you are still the tutor",,,,
00:17:24.369,00:17:25.007,00:00:00.638,,,,,,,,,,,,,,"okay thank you",,
00:17:25.287,00:17:25.536,00:00:00.249,,,,,,,,,,,,"yup",,,,
00:17:27.372,00:17:27.592,00:00:00.220,,,,,,,,,,,,,"okay",,,
00:17:28.639,00:17:30.605,00:00:01.966,,,,,,,,,,,,"you guys make sure you're (inaudible)",,,,
00:17:30.784,00:17:38.437,00:00:07.653,,,,,,,"LPB",,,,,,,"r minus thirty how is your handwriting so neat with this thing oh my god",,
00:17:39.175,00:17:41.849,00:00:02.674,,,,"SV",,"SV1A",,,,,,,"really I think it looks really messy",,,
00:17:41.849,00:17:42.029,00:00:00.180,,,"SV",,"SV1A",,,,,,,,,"really",,
00:17:42.308,00:17:46.648,00:00:04.340,,,,"SV",,"SV1A",,,,,,,"wait I think okay I think you're in the room like right next to me",,,
00:17:46.648,00:17:48.434,00:00:01.786,,,,"SV",,"SV1A",,,,,,,"because he just walked yeah",,,
00:17:48.434,00:17:49.821,00:00:01.387,,,,"SV",,"SV1A",,,,,,,"and you're like right over there",,,
00:17:50.280,00:17:53.632,00:00:03.352,,,"SV",,"SV1A",,,,,,,,,"wait no because my room is in the your room is in the next hallway",,
00:17:53.632,00:17:55.608,00:00:01.976,,,"SV",,"SV1A",,,,,,,,,"because this hallway only has one room",,
00:17:56.705,00:17:56.995,00:00:00.290,,,,"SV",,"SV1A",,,,,,,"oh",,,
00:17:57.803,00:18:00.168,00:00:02.365,,,"SV",,"SV1A",,,,,,,,,"you're like okay so like this is the hallway",,
00:18:00.168,00:18:01.315,00:00:01.147,,,"SV",,"SV1A",,,,,,,,,"can you see me",,
00:18:01.505,00:18:01.754,00:00:00.249,,,,"SV",,"SV1A",,,,,,,"yeah",,,
00:18:01.804,00:18:04.338,00:00:02.534,,,"SV",,"SV1A",,,,,,,,,"it's like this is the room",,
00:18:04.338,00:18:06.423,00:00:02.085,,,"SV",,"SV1A",,,,,,,,,"and then there's like a dividing door",,
00:18:06.423,00:18:07.680,00:00:01.257,,,"SV",,"SV1A",,,,,,,,,"and then there's another hallway",,
00:18:07.680,00:18:11.771,00:00:04.091,,,"SV",,"SV1A",,,,,,,,,"and then this hallway just has an entry way in the room",,
00:18:11.771,00:18:11.951,00:00:00.180,,,,"SV",,"SV1A",,,,,,,"okay",,,
00:18:11.991,00:18:13.866,00:00:01.875,,,"SV",,"SV1A",,,,,,,,,"math right wait I'm going to draw it",,
00:18:13.866,00:18:17.089,00:00:03.223,,,"SV",,"SV1A",,,,,,,,,"let's see there right there",,
00:18:17.129,00:18:17.688,00:00:00.559,,,"SV",,"SV1A",,,,,,,,,"like that�s where I am",,
00:18:17.967,00:18:23.524,00:00:05.557,,,"SV",,"SV1A",,,,,,,,,"and then like that�s the rest of the hall",,
00:18:24.083,00:18:26.059,00:00:01.976,,,,,,,,,,,,,"okay moving on",,,
00:18:27.017,00:18:31.007,00:00:03.990,,,,,,,,,,,,,,"okay he told us we unlocked the bonus round or something",,
00:18:31.007,00:18:31.716,00:00:00.709,,,,"SV",,"SV1A",,,,,,,"we're special",,,
00:18:33.163,00:18:36.246,00:00:03.083,,,,,,,,,,,,,,"okay so would you subtract the u or four u",,
00:18:36.246,00:18:37.233,00:00:00.987,,,,,,,,,,,,,,"or do you subtract",,
00:18:37.233,00:18:39.049,00:00:01.816,,,,,,,,,,,,,,"or do you add forty-two or subtract eight",,
00:18:39.169,00:18:41.753,00:00:02.584,,,,,,,,,,,,,"I'm subtracting the eight",,,
00:18:41.973,00:18:45.914,00:00:03.941,,,,,,,"UL",,,,,,,"good yeah sometimes I'm like no",,
00:18:45.914,00:18:47.484,00:00:01.570,,,,,,,,,,,,,,"I don�t want to subtract the eight",,
00:18:47.484,00:18:47.500,00:00:00.016,"utterance division issue ",,,,,,,,,,,,,"I don�t want to subtract the eight",,
00:18:47.500,00:18:50.044,00:00:02.544,"utterance division issue ",,,,,,,,,,,,,"but today I am let's see",,
00:18:50.044,00:18:50.046,00:00:00.002,"utterance division issue ",,,,,,,,,,,,,,,
00:18:50.503,00:18:51.391,00:00:00.888,,,,,,,,,,,,,,"so let's see",,
00:18:51.391,00:19:03.514,00:00:12.123,,,,,,,,,,,,,,"negative of fifty plus u equals four u minus u minus u negative fifty",,
00:19:04.382,00:19:10.947,00:00:06.565,,,,,,,,,,,,,,"wait I'll make sure you got it first three why are you",,
00:19:11.875,00:19:18.180,00:00:06.305,,,"SV",,"SV1A",,,,,,,,,"why do you hate me just computers such a mean human",,
00:19:18.490,00:19:21.852,00:00:03.362,,,,"SV",,"SV1A",,,,,,,"wait no undo go back",,,
00:19:23.788,00:19:29.544,00:00:05.756,,,,,,,,,,,,,,"seventeen this will be negative sixteen and then one thirty wait hold",,
00:19:31.211,00:19:35.301,00:00:04.090,,,,,,,,,,,,,"will be two thirds because sixteen times three is forty-eight yeah okay",,,
00:19:35.301,00:19:39.751,00:00:04.450,,,,,,,,,,,,,,"yup yup there that is the answer",,
00:19:40.210,00:19:53.640,00:00:13.430,,,,,,,,,,,,,"yeah okay pause filler okay so this is forty-nine and",,,
00:19:55.426,00:19:57.790,00:00:02.364,,,,,,,,,,,,,,"wait you do that forty-nine and from",,
00:19:58.848,00:20:02.739,00:00:03.891,,,,,,,,,,,,,"oh wow I (laughter) that was wrong",,,
00:20:03.200,00:20:03.218,00:00:00.018,"teasing math performance : tone of ""yeah"" and facial expression",,,,,,,,,,,,,,,
00:20:03.218,00:20:12.367,00:00:09.149,"teasing math performance : tone of ""yeah"" and facial expression",,,,,,,,,,,,,"yeah so I would do n minus ninety-nine",,
00:20:12.367,00:20:12.370,00:00:00.003,"teasing math performance : tone of ""yeah"" and facial expression",,,,,,,,,,,,,,,
00:20:12.836,00:20:13.395,00:00:00.559,,,,,,,,,,,,,"equals",,,
00:20:13.395,00:20:19.072,00:00:05.677,,,,,,,,,,,,,,"wait hold on equals one hundred n minus n",,
00:20:20.020,00:20:24.011,00:00:03.991,,,,,,,,,,,,,"okay and then seven wait yeah",,,
00:20:24.649,00:20:32.900,00:00:08.251,,,,,,,,,,,,,,"so then you get negative ninety-nine equals ninety-nine and (inaudible) nine over ninety-nine wow",,
00:20:32.900,00:20:41.750,00:00:08.850,,,"SV",,"SV1A",,,,,,,,,"so many big numbers and yet you just get negative one what a waste of math",,
00:20:42.329,00:20:43.955,00:00:01.626,,,,,,,,,,,,,,"pause filler so how would you start this",,
00:20:44.514,00:20:49.114,00:00:04.600,,,,,,,,,,,,,"pause filler I subtracted the seven because why not",,,
00:20:49.852,00:20:50.341,00:00:00.489,,,,,,,,,,,,,,"forty",,
00:20:50.341,00:20:53.893,00:00:03.552,,,,,,,,,,,,,"you subtract the g",,,
00:20:54.811,00:21:00.887,00:00:06.076,,,,,,,,,,,,,"and then you have g equals four boom",,,
00:21:01.186,00:21:17.719,00:00:16.533,,,,,,,,,,,,,,"wait hold on I want to make sure that�s right yup wait isn't eighteen minus seven wait oh never mind",,
00:21:17.719,00:21:18.557,00:00:00.838,,,,,,,,,,,,,,"you did differently than me",,
00:21:18.557,00:21:21.729,00:00:03.172,,,"SV",,"SV1A",,,,,,,,,"you know what I screwed up I can't math",,
00:21:22.178,00:21:26.469,00:00:04.291,,,"SV",,"SV1A",,,,,,,,,"I'm terrible at math like wow",,
00:21:27.227,00:21:28.584,00:00:01.357,,,,,,,,,,,,,"pause filler okay so this is",,,
00:21:28.584,00:21:31.318,00:00:02.734,,,,,,,,,,,,,"you subtract the ten m",,,
00:21:31.837,00:21:40.058,00:00:08.221,,,,,,,,,,,,,"and so you have wait what negative nine equals",,,
00:21:41.425,00:21:43.979,00:00:02.554,,,,,,,,,,,,,,"and then you can add the nine right",,
00:21:45.555,00:21:47.100,00:00:01.545,,,,,,,,,,,,,"well you have the twenty-seven to the other side right",,,
00:21:48.349,00:21:51.921,00:00:03.572,,,,,,,,,,,,,,"oh yup you're right",,
00:21:51.921,00:21:54.166,00:00:02.245,,,,,,,,,,,,,"what's negative nine plus twenty-seven",,,
00:21:54.924,00:21:55.593,00:00:00.669,,,,,,,,,,,,,,"eighteen",,
00:21:56.411,00:21:58.256,00:00:01.845,,,,,,,,,,,,,"oh thanks",,,
00:21:58.885,00:22:02.287,00:00:03.402,,,,,,,,,,,,,,"and then divide out by negative nine",,
00:22:02.287,00:22:04.901,00:00:02.614,,,,,,,,,,,,,,"so then what did you get m equals what",,
00:22:05.400,00:22:07.416,00:00:02.016,,,,,,,,,,,,,"negative two",,,
00:22:07.416,00:22:08.663,00:00:01.247,,,,,,,,,,,,,,"that�s what I go",,
00:22:08.753,00:22:10.359,00:00:01.606,,,,,,,,,,,,,,"so it's probably right",,
00:22:11.327,00:22:14.520,00:00:03.193,,,,,,,,,,,,,,"okay go to the next one I guess",,
00:22:16.545,00:22:22.132,00:00:05.587,,,,,,,,,,,,,"yup pause filler minus subtract the pause filler eight y",,,
00:22:22.132,00:22:25.644,00:00:03.512,,,,,,,,,,,,,"so you have negative seven y equals",,,
00:22:25.644,00:22:26.692,00:00:01.048,,,,,,,,,,,,,"add the eleven",,,
00:22:27.061,00:22:27.779,00:00:00.718,,,,,,,,,,,,,,"thirty-five",,
00:22:27.779,00:22:28.498,00:00:00.719,,,,,,,,,,,,,"thirty-five",,,
00:22:28.498,00:22:38.994,00:00:10.496,,,"SV",,"SV1A",,,,,,,,,"and then you get y equals negative five oh what was really really not that hard okay",,
00:22:39.533,00:22:42.207,00:00:02.674,,,,,,,,,,,,,,"so I would personally subtract the nineteen",,
00:22:42.207,00:22:42.366,00:00:00.159,,,,,,,,,,,,,"oh wait",,,
00:22:42.366,00:22:44.841,00:00:02.475,,,,,,,,,,,,,,"because I don�t",,
00:22:45.489,00:22:50.159,00:00:04.670,,,,,,,,,,,,,"fifty-three minus twenty-eight is five",,,
00:22:50.318,00:23:03.658,00:00:13.340,,,,,,,,,,,,,,"oh it's going to be a fraction again",,
00:23:03.658,00:23:10.682,00:00:07.024,,,,,,,,,,,,,,"this one you get pause filler negative ten",,
00:23:13.954,00:23:19.103,00:00:05.149,,,,,,,,,,,,,,"do that negative ten point two",,
00:23:20.031,00:23:21.228,00:00:01.197,,,,,,,,,,,,,"one second pause filler",,,
00:23:23.682,00:23:24.999,00:00:01.317,,,,,,,,,,,,,,"it's a fraction",,
00:23:24.999,00:23:26.127,00:00:01.128,,,"SV",,"SV1A",,,,,,,,,"but I made it that small",,
00:23:26.127,00:23:27.703,00:00:01.576,,,"SV",,"SV1A",,,,,,,,,"because I feel like being fancy",,
00:23:30.387,00:23:33.560,00:00:03.173,,,,,,,,,,,,,,"because one fifth is zero point two",,
00:23:34.009,00:23:36.643,00:00:02.634,,,"SV",,"SV1A",,,,,,,,,"I think I'm finally figuring out how to write with this thing",,
00:23:37.572,00:23:37.591,00:00:00.019,"it is better if the utterance is separated ",,,,,,,,,,,,,,,
00:23:37.591,00:23:42.021,00:00:04.430,"it is better if the utterance is separated ",,,"SV",,"SV1A",,,,,,,"yes same okay I got negative two",,,
00:23:42.021,00:23:42.022,00:00:00.001,"it is better if the utterance is separated ",,,,,,,,,,,,"add one twenty fifths",,,
00:23:42.022,00:23:43.727,00:00:01.705,,,,,,,,,,,,,"add one twenty fifths",,,
00:23:44.715,00:23:46.890,00:00:02.175,,,,,,,,,,,,,,"what wait how did you get that",,
00:23:46.939,00:23:49.983,00:00:03.044,,,,,,,,,,,,,"pause filler wait thirty",,,
00:23:50.332,00:23:57.535,00:00:07.203,,,,,,,,,,,,,,"twenty you forgot the other side existed thing wait",,
00:23:57.535,00:23:58.623,00:00:01.088,,,,,,,,,,,,,,"show all the work for it",,
00:23:58.623,00:23:59.750,00:00:01.127,,,,,,,,,,,,,,"hold on clear it",,
00:24:00.439,00:24:02.963,00:00:02.524,,,,,,,,,,,,,"it's all up here in green up here",,,
00:24:02.963,00:24:06.216,00:00:03.253,,,,,,,,,,,,,,"hold on but can you like show each step out",,
00:24:06.216,00:24:08.111,00:00:01.895,,,,,,,,,,,,,,"so I can see what you did",,
00:24:08.111,00:24:10.775,00:00:02.664,,,,,,,,,,,,,,"because you should get that from what I understand",,
00:24:10.775,00:24:12.611,00:00:01.836,,,,,,,,,,,,,,"can you clear it",,
00:24:12.841,00:24:15.894,00:00:03.053,,,"SV",,"SV1A",,,,,,,,,"how do I why can't I not clear it",,
00:24:20.862,00:24:21.521,00:00:00.659,,,"SV",,"SV1A",,,,,,,,,"oh clear",,
00:24:21.641,00:24:26.629,00:00:04.988,,,,,,,,,,,,,"I'm trying to like erase it all",,,
00:24:26.629,00:24:29.154,00:00:02.525,,,,,,,,,,,,,,"but where's the erasing button",,
00:24:29.712,00:24:31.269,00:00:01.557,,,,,,,,,,,,,"it's on the side it's like",,,
00:24:31.269,00:24:34.581,00:00:03.312,,,,,,,,,,,,,,"oh thank you oh my god thank you I didn't even know it existed",,
00:24:36.537,00:24:37.944,00:00:01.407,,,,,,,,,,,,,,"I'm erasing at all",,
00:24:39.650,00:24:48.230,00:00:08.580,,,"SV",,"SV1A",,,,,,,,,"okay got it I wish you can make the eraser a little",,
00:24:48.230,00:24:48.440,00:00:00.210,,,,"SV",,"SV1A",,,,,,,"yeah",,,
00:24:49.038,00:24:55.723,00:00:06.685,,,"SV",,"SV1A",,,,,,,,,"if you like I'm scratching the touchscreen every time I write on it",,
00:24:55.723,00:24:57.459,00:00:01.736,,,,,,,,,,,,,"okay starting over",,,
00:24:59.534,00:24:59.704,00:00:00.170,,,,,,,,,,,,,,"okay",,
00:25:02.119,00:25:06.908,00:00:04.789,,,,,,,,,,,,,"so I started by subtracting the twenty-eight d from the fifty-three",,,
00:25:06.908,00:25:21.205,00:00:14.297,,,,,,,,,,,,,"so fifty-three minus twenty-eight equals twenty-five right",,,
00:25:21.205,00:25:25.835,00:00:04.630,,,,,,,,,,,,,"and then you have twenty-five d",,,
00:25:26.663,00:25:26.822,00:00:00.159,,,,,,,,,,,,,,"right",,
00:25:26.872,00:25:28.229,00:00:01.357,,,,,,,,,,,,,"and then you do",,,
00:25:28.409,00:25:30.893,00:00:02.484,,,,,,,,,,,,,"you subtract the seventy from that side",,,
00:25:30.893,00:25:42.337,00:00:11.444,,,,,,,,,,,,,"and then you do seventy minus nineteen equals pause filler fifty-one",,,
00:25:43.016,00:25:45.929,00:00:02.913,,,,,,,,,,,,,"so that�s negative fifty-one",,,
00:25:46.428,00:25:48.862,00:00:02.434,,,"SV",,"SV1A",,,,,,,,,"the time on my computer is really off",,
00:25:49.960,00:25:51.157,00:00:01.197,,,,"SV",,"SV1A",,,,,,,"what does it say",,,
00:25:51.157,00:25:53.562,00:00:02.405,,,"SV",,"SV1A",,,,,,,,,"six zero five and then it's five thirty-two",,
00:25:53.562,00:25:53.671,00:00:00.109,,,,"SV",,"SV1A",,,,,,,"that�s a (inaudible)",,,
00:25:54.130,00:26:04.617,00:00:10.487,,,,,,,,,,,,,"and then d equals negative fifty-one twenty-five",,,
00:26:06.053,00:26:11.112,00:00:05.059,,,,,,,,,,,,,"or that equals negative two one",,,
00:26:12.469,00:26:13.417,00:00:00.948,,,,,,,,,,,,,"that�s what I got",,,
00:26:13.456,00:26:14.654,00:00:01.198,,,,,,,,,,,,,"I mean I think it's right",,,
00:26:16.071,00:26:19.752,00:00:03.681,,,,,,,,,,,,,,"oh wait yeah well yeah I think you're right",,
00:26:20.520,00:26:20.670,00:00:00.150,,,,,,,,,,,,,"okay",,,
00:26:20.750,00:26:31.166,00:00:10.416,,,,,,,,,,,,,,"I'm not even going to write",,
00:26:31.296,00:27:07.105,00:00:35.809,,,,,,,,,,,,,,"I just look (inaudible)",,
00:27:18.469,00:27:22.230,00:00:03.761,,,,,,,,,,,,,,"we get the same answer yeah that�s",,
00:27:22.490,00:27:25.144,00:00:02.654,,,,,,,,,,,,,,"you're allowed to leave it as an improper fraction",,
00:27:25.632,00:27:26.002,00:00:00.370,,,,,,,,,,,,,"oh okay",,,
00:27:26.840,00:27:29.234,00:00:02.394,,,"SV",,"SV1A",,,,,,,,,"my math teacher always tells that",,
00:27:30.791,00:27:33.295,00:00:02.504,,,,,,,,,,,,,"okay so we subtract the y",,,
00:27:33.295,00:27:38.773,00:00:05.478,,,,,,,,,,,,,"twelve y equals is that a negative oh my gosh",,,
00:27:39.671,00:27:50.476,00:00:10.805,,,,,,,,,,,,,,"negative ninety right no negative hundred negative hundred right twenty-seven (inaudible)",,
00:27:51.464,00:27:53.729,00:00:02.265,,,,,,,,,,,,,"yeah it's a hundred",,,
00:27:53.729,00:28:03.207,00:00:09.478,,,,,,,,,,,,,,"I put slashes through my (inaudible) so",,
00:28:05.622,00:28:07.208,00:00:01.586,,,"SV",,"SV1A",,,,,,,,,"okay I'm weird",,
00:28:07.976,00:28:09.423,00:00:01.447,,,,,,,,,,,,,"yeah that boom",,,
00:28:09.423,00:28:13.224,00:00:03.801,,,,,,,,,,,,,,"all right next problem",,
00:28:13.374,00:28:17.714,00:00:04.340,,,,,,,,,,,,,"pause filler okay so subtract that twenty",,,
00:28:19.879,00:28:21.505,00:00:01.626,,,,"SV",,"SV1A",,,,,,,"wait there's a person",,,
00:28:23.232,00:28:25.776,00:00:02.544,,,,,,,,,,,,,,,"so now (inaudible) and you're going to",
00:28:25.776,00:28:28.200,00:00:02.424,,,,,,,,,,,,"let's end the first session",,,,
00:28:28.200,00:28:28.559,00:00:00.359,,,,,,,,,,,,,,"hello",,
00:28:29.128,00:28:29.777,00:00:00.649,,,,,,,,,,,,"pause filler congratulations",,,,
00:28:29.777,00:28:30.216,00:00:00.439,,,,,,,,,,,,,,"thank you",,
00:28:30.216,00:28:35.983,00:00:05.767,,,,,,,,,,,,"pause filler so we can have a little break switch and tutor you pause filler",,,,
00:28:36.481,00:28:40.253,00:00:03.772,,,,,,,,,,,,"just take about five minutes to hang out to teach some skills",,,,
00:28:40.412,00:28:46.090,00:00:05.678,,,,,,,,,,,,"and I'm going to reboot some modules on our backend here pause filler",,,,
00:28:46.439,00:28:50.260,00:00:03.821,,,,,,,,,,,,,,"yeah it's not exactly letting me write there easily",,
00:28:50.360,00:28:53.433,00:00:03.073,,,,,,,,,,,,"okay cool so I'll be back in five minutes",,,,
00:28:53.433,00:28:54.381,00:00:00.948,,,,,,,,,,,,,,"all right thank you",,
00:28:54.461,00:29:03.161,00:00:08.700,,,,,,,,,,,,"hang on and talk for a little bit and we'll switch",,,,
00:29:03.620,00:29:05.974,00:00:02.354,,,,,,,,,,,,,,"all right did you get Skittles too",,
00:29:06.543,00:29:06.763,00:00:00.220,,,,,,,,,,,,,"yeah",,,
00:29:07.202,00:29:09.217,00:00:02.015,,,,,,,,,,,,,,"I don�t even like Skittles",,
00:29:09.347,00:29:17.059,00:00:07.712,,,,,,,,,,,,,,"but I'm going to eat them",,
00:29:17.059,00:29:18.835,00:00:01.776,,,,,,,,,,,,,,"because I'm really hungry",,
00:29:18.835,00:29:21.798,00:00:02.963,,,,,,,,,,,,,"yeah I don�t like Skittles either",,,
00:29:22.237,00:29:24.562,00:00:02.325,,,,,,,,,,,,,,"(inaudible) it went like eleven forty-five",,
00:29:24.672,00:29:25.969,00:00:01.297,,,,,,,,,,,,,,"and I didn't hear any (inaudible)",,
00:29:25.969,00:29:32.883,00:00:06.914,,,,,,,,,,,,,,"so I'm just going to (inaudible)",,
00:29:33.512,00:29:44.527,00:00:11.015,,,,,,,,,,,,,,"Skittles actually aren't that disgusting (inaudible) hopefully",,
00:29:44.946,00:29:51.860,00:00:06.914,,,,,,,,,,,,,,"eww it tastes like gross I don�t know when you're like five",,
00:29:52.598,00:29:53.287,00:00:00.689,,,,,,,,,,,,,"there's a pink one",,,
00:29:53.796,00:29:58.465,00:00:04.669,,,,,,,,,,,,,,"yeah a wild but a fancy ones just like",,
00:29:58.465,00:30:00.451,00:00:01.986,,,,,,,,,,,,,"oh I have the regular ones",,,
00:30:01.428,00:30:18.090,00:00:16.662,,,,,,,,,,,,,,"(inaudible) they look like M&Ms (inaudible) a little",,
00:30:18.090,00:30:22.441,00:00:04.351,,,,,,,,,,,,,"yeah M&M�s are better in my opinion",,,
00:30:22.441,00:30:23.798,00:00:01.357,,,,,,,,,,,,,,"I agree with that",,
00:30:23.798,00:30:31.211,00:00:07.413,,,,,,,,,,,,,,"next you're going to teach me math",,
00:30:32.238,00:30:39.282,00:00:07.044,,,,,,,,,,,,,,"it means I get to do problems for how many minutes like twenty-ish minutes",,
00:30:40.410,00:30:42.545,00:00:02.135,,,,,,,,,,,,,"we get forty dollars for this right",,,
00:30:43.000,00:30:43.233,00:00:00.233,,,,,,,,,,,,,"mm-hmm",,,
00:30:43.233,00:30:43.762,00:00:00.529,,,,,,,,,,,,,"okay",,,
00:30:44.461,00:30:46.795,00:00:02.334,,,,,,,,,,,,,,"I owe my mom ten",,
00:30:46.795,00:30:48.661,00:00:01.866,,,,,,,,,,,,,,"because I bought something on vacation",,
00:30:48.661,00:30:50.916,00:00:02.255,,,,,,,,,,,,,,"and I didn't have no money to pay through it",,
00:30:51.036,00:30:51.973,00:00:00.937,,,,,,,,,,,,,,"so I owe her money",,
00:30:53.300,00:30:58.120,00:00:04.820,,,,,,,,,,,,,,"and I'm like add money to buy a bunch of crap today so exciting",,
00:30:58.628,00:31:14.223,00:00:15.595,,,,,,,,,,,,,,"wait like the real question is is this actually worth it",,
00:31:14.223,00:31:18.393,00:00:04.170,,,,,,,,,,,,,"I mean the math is pretty easy so it's like",,,
00:31:18.423,00:31:22.933,00:00:04.510,,,,,,,,,,,,,,"I mean I guess I was going towards a study that will help people do algebra in the future",,
00:31:23.193,00:31:25.038,00:00:01.845,,,,,,,,,,,,,,"it's like beneficial",,
00:31:25.657,00:31:28.401,00:00:02.744,,,,,,,,,,,,,,"because like you don�t have a good like suck on a problem",,
00:31:28.401,00:31:30.366,00:00:01.965,,,,,,,,,,,,,,"and your friends are like I don't know",,
00:31:30.456,00:31:31.693,00:00:01.237,,,,,,,,,,,,,,"so then let them be hopeful",,
00:31:31.693,00:31:34.168,00:00:02.475,,,,,,,,,,,,,,"I'd be hopeful to have this type of thing I presume",,
00:31:34.168,00:31:34.337,00:00:00.169,,,,,,,,,,,,,"yeah",,,
00:31:38.388,00:31:42.349,00:00:03.961,,,,,,,,,,,,,,"but then (inaudible) people have already taken algebra tutoring people who are taking algebra",,
00:31:43.856,00:31:46.320,00:00:02.464,,,,,,,,,,,,,"do have is this the only thing we have to do because",,,
00:31:46.320,00:31:49.114,00:00:02.794,,,,,,,,,,,,,"or is there another session like after this",,,
00:31:49.114,00:31:50.590,00:00:01.476,,,,,,,,,,,,,,"I think this is the only one",,
00:31:50.590,00:32:00.777,00:00:10.187,,,,,,,,,,,,,,"and if there's another one we�d better be paid forty dollars for it",,
00:32:01.875,00:32:03.631,00:00:01.756,,,,,,,,,,,,,,"blue ones aren't that gross",,
00:32:13.458,00:32:19.275,00:00:05.817,,,,,,,,,,,,,,"I don�t feel like doing algebra",,
00:32:20.113,00:32:24.423,00:00:04.310,,,,,,,,,,,,,,"but for the (inaudible) to be getting I felt like I was doing my math homework",,
00:32:25.132,00:32:27.895,00:00:02.763,,,,,,,,,,,,,"pause filler are you an algebra right now like algebra one",,,
00:32:27.895,00:32:28.574,00:00:00.679,,,,,,,,,,,,,,"yeah are you",,
00:32:28.983,00:32:29.153,00:00:00.170,,,,,,,,,,,,,"yeah",,,
00:32:30.500,00:32:35.758,00:00:05.258,,,,,,,,,,,,,,"oh that�s so like I want to have a really nice teacher and all",,
00:32:36.067,00:32:38.950,00:00:02.883,,,,,,,,,,,,,,"but it's kind of like tedious",,
00:32:40.048,00:32:42.802,00:00:02.754,,,,,,,,,,,,,,"I don't know why kind of whitelist",,
00:32:42.802,00:32:46.084,00:00:03.282,,,,,,,,,,,,,"yeah we did this at the beginning of the year",,,
00:32:46.154,00:32:47.401,00:00:01.247,,,,,,,,,,,,,"now we're doing all this stuff",,,
00:32:47.581,00:32:50.285,00:00:02.704,,,,,,,,,,,,,"but you said you didn't like Shadyside or something",,,
00:32:50.285,00:32:50.953,00:00:00.668,,,,,,,,,,,,,,"uh-uh uh-uh",,
00:32:51.093,00:32:51.781,00:00:00.688,,,,,,,,,,,,,"why not",,,
00:32:53.597,00:32:57.059,00:00:03.462,,,,,,,,,,,,,,"for what you pay the teacher should be better a little",,
00:32:57.059,00:33:00.142,00:00:03.083,,,,,,,,,,,,,,"they have the worst science teacher in the universe",,
00:33:00.402,00:33:02.337,00:00:01.935,,,,,,,,,,,,,,"and they like they care so much about sports",,
00:33:02.337,00:33:04.103,00:00:01.766,,,,,,,,,,,,,,"and at the high school you're not allowed to leave early",,
00:33:04.103,00:33:07.725,00:00:03.622,,,,,,,,,,,,,,"and you have to go after and make up the hours you missed and so like",,
00:33:08.663,00:33:09.780,00:00:01.117,,,,,,,,,,,,,"oh that sucks",,,
00:33:09.780,00:33:11.417,00:00:01.637,,,,,,,,,,,,,,"so I'm going to Winchester",,
00:33:12.484,00:33:13.711,00:00:01.227,,,,,,,,,,,,,,"because they are crazy",,
00:33:13.711,00:33:16.744,00:00:03.033,,,,,,,,,,,,,,"and so that�s exciting",,
