"Begin Time - hh:mm:ss.ms","End Time - hh:mm:ss.ms","Duration - hh:mm:ss.ms","SV_Notes","SV1_P1","SV1_P2","SV2_P1","SV2_P2","PP_P1","PP_P2","PP_Notes","P1","P2",
00:19:03.494,00:19:05.070,00:00:01.576,,,,,,,,,,"yeah I faintly see it",
00:19:05.070,00:19:07.195,00:00:02.125,,,,,,,,,,"so I got that in mind now",
00:19:07.195,00:19:13.251,00:00:06.056,,,,,,,,,"pause filler it's minus nine plus thirteen p equals forty-one",,
00:19:15.107,00:19:15.596,00:00:00.489,,,,,,,,,,"yeah",
00:19:16.734,00:19:19.338,00:00:02.604,,,,,,,,,,"let's see how we would oh wait so we would",
00:19:21.672,00:19:24.935,00:00:03.263,,,,,,,,,,"add nine to the negative nine and forty-one",
00:19:26.641,00:19:28.716,00:00:02.075,,,,,,,,,"we'd add nine to forty-one",,
00:19:28.716,00:19:31.799,00:00:03.083,,,,,,,,,"we wouldn't do anything with subtraction",,
00:19:33.376,00:19:41.068,00:00:07.692,,,,,,,,,,"right so plus because pause filler we're just doing the opposite on the other side",
00:19:41.427,00:19:42.246,00:00:00.819,,,,,,,,,,"we're not really",
00:19:43.473,00:19:49.858,00:00:06.385,,,,,,,,,,"oh yeah so the negative nine really doesn't have any value to us as of right now",
00:19:49.858,00:19:52.871,00:00:03.013,,,,,,,,,"yeah and all you have to do is do it on the other side too",,
00:19:52.871,00:19:57.082,00:00:04.211,,,,,,,,,"and then just cross it out because it says they said we have to like show our work",,
00:19:57.082,00:19:58.798,00:00:01.716,,,,,,,,,"and that's why we typically do it",,
00:20:00.245,00:20:02.968,00:00:02.723,,,,,,,,,,"yeah so only teachers could explain it this simply",
00:20:03.467,00:20:07.398,00:00:03.931,,,,,,,,,"pause filler hearing it from a kid is like ten times better",,
00:20:07.927,00:20:09.045,00:00:01.118,,,,,,,,,,"yeah why",
00:20:09.045,00:20:10.851,00:00:01.806,,,,,,,,,,"I can't draw on this",
00:20:11.679,00:20:12.038,00:00:00.359,,,,,,,,,"oh",,
00:20:13.495,00:20:17.855,00:00:04.360,,,,,,,,,,"okay let's see",
00:20:18.204,00:20:18.932,00:00:00.728,,,,,,,,,,"here we go",
00:20:19.232,00:20:21.885,00:00:02.653,,,,,,,,,"whoops",,
00:20:21.885,00:20:23.512,00:00:01.627,,,,,,,,,,"yeah I'll draw another one",
00:20:23.851,00:20:24.440,00:00:00.589,,,,,,,,,"all right",,
00:20:24.539,00:20:24.949,00:00:00.410,,,,,,,,,,"here we go",
00:20:24.949,00:20:26.645,00:00:01.696,,,,,,,,,"yeah yeah all right you got fifty",,
00:20:27.183,00:20:28.830,00:00:01.647,,,,,,,,,,"fifty and thirteen",
00:20:28.830,00:20:31.284,00:00:02.454,,,,,,,,,"and then here comes the trickier part",,
00:20:31.484,00:20:38.518,00:00:07.034,,,,,,,,,"you have (laughter) oh you have to pause filler divide fifty by thirteen",,
00:20:38.518,00:20:42.010,00:00:03.492,,,,,,,,,,"oh you got to be kidding me",
00:20:42.010,00:20:44.115,00:00:02.105,,,,,,,,,"which is actually pretty difficult",,
00:20:44.305,00:20:46.949,00:00:02.644,,,,,,,,,,"yeah because it doesn't go into any bits",
00:20:46.949,00:20:49.134,00:00:02.185,,,,,,,,,,"so you have to figure out what number it is",
00:20:50.650,00:20:55.901,00:00:05.251,,,,,,,,,"yeah so just I mean it will take a while because we're riding on this thing",,
00:20:55.901,00:20:55.935,00:00:00.034,,,,"SV2A",,,,,"yeah so just I mean it will take a while because we're riding on this thing",,
00:20:55.935,00:20:55.958,00:00:00.023,,"SV",,"SV2A",,,,,"yeah so just I mean it will take a while because we're riding on this thing",,
00:20:55.958,00:20:58.422,00:00:02.464,,"SV",,"SV2A",,,,,"and you're obviously a newbie to this sport",,
00:20:58.422,00:20:58.434,00:00:00.012,,"SV",,"SV2A",,,,,,,
00:20:58.991,00:21:05.466,00:00:06.475,,,,,,,,,"so pause filler might pause filler be a bit difficult",,
00:21:06.055,00:21:09.028,00:00:02.973,,,,,,,,,,"all right I'm going to wing it here",
00:21:09.388,00:21:12.969,00:00:03.581,,,,,,,,,,"and see where pause filler thirteen times five gets me",
00:21:13.937,00:21:17.539,00:00:03.602,,,,,,,,,,"and then I'll try to see how that goes",
00:21:18.048,00:21:19.235,00:00:01.187,,,,,,,,,"thirteen times five",,
00:21:19.235,00:21:20.183,00:00:00.948,,,,,,,,,"how does that work",,
00:21:20.283,00:21:26.598,00:00:06.315,,,,,,,,,,"pause filler well for me what I would do is that I would you know do the problem",
00:21:26.598,00:21:30.829,00:00:04.231,,,,,,,,,,"and if that's not the number I'd to go a little higher then to a little lower which then",
00:21:30.829,00:21:31.218,00:00:00.389,,,,,,,,,"oh",,
00:21:32.246,00:21:34.730,00:00:02.484,,,,,,,,,,"wow that's not it at all",
00:21:35.817,00:21:41.085,00:00:05.268,,,,,,,,,,"pause filler I'm going to try four because four seems to be the magic number today",
00:21:43.340,00:21:46.403,00:00:03.063,,,,,,,,,,"all right do me some good",
00:21:48.848,00:21:50.484,00:00:01.636,,,,,,,,,,"okay that's not a twelve",
00:21:50.484,00:21:51.113,00:00:00.629,,,,,,,,,,"that's not a two",
00:21:51.113,00:21:52.869,00:00:01.756,,,,,,,,,"that's a twenty",,
00:21:52.869,00:21:54.695,00:00:01.826,,,,,,,,,"that's a z oh",,
00:21:55.373,00:21:56.890,00:00:01.517,,,,,,,,,,"it's something",
00:21:57.129,00:21:57.887,00:00:00.758,,,,,,,,,,"it's something",
00:21:59.344,00:21:59.933,00:00:00.589,,,,,,,,,"surely",,
00:22:00.841,00:22:01.339,00:00:00.498,,,,,,,,,,"so it",
00:22:01.759,00:22:02.517,00:00:00.758,,,,,,,,,,"wow",
00:22:02.826,00:22:04.412,00:00:01.586,,,,,,,,,,"that's actually really close",
00:22:05.739,00:22:08.044,00:00:02.305,,,,,,,,,,"so my guess it would be three because",
00:22:09.112,00:22:09.950,00:00:00.838,,,,,,,,,"I don't think it would be three",,
00:22:09.950,00:22:15.058,00:00:05.108,,,,,,,,,"it would have to be pause filler a decimal number because pause filler it's between three and four",,
00:22:15.258,00:22:19.129,00:00:03.871,,,,,,,,,"pause filler if you did three and if you did basic math you'd get thirty-nine",,
00:22:19.847,00:22:23.000,00:00:03.153,,,,,,,,,,"yeah so we would have so",
00:22:23.230,00:22:24.467,00:00:01.237,,,,,,,,,"you just have to divide",,
00:22:24.467,00:22:26.602,00:00:02.135,,,,,,,,,"I mean there's really no other way of doing it",,
00:22:27.121,00:22:29.515,00:00:02.394,,,,,,,,,,"yeah so we get there",
00:22:29.755,00:22:30.982,00:00:01.227,,,,,,,,,,"and it would be",
00:22:34.594,00:22:34.913,00:00:00.319,,,,,,,,,,"wow",
00:22:34.913,00:22:38.914,00:00:04.001,,,,,,,,,,"this okay so we would get eleven from this right",
00:22:39.323,00:22:40.760,00:00:01.437,,,,,,,,,,"if we were to subtract this",
00:22:42.366,00:22:43.384,00:00:01.018,,,,,,,,,,"I'm totally stumped",
00:22:43.384,00:22:44.771,00:00:01.387,,,,,,,,,,"I'm totally stumped",
00:22:44.771,00:22:48.053,00:00:03.282,,,,,,,,,"all right so let me tell you what you would do",,
00:22:48.502,00:22:51.815,00:00:03.313,,,,,,,,,"so basically what you would do is that you just write thirteen",,
00:22:52.583,00:22:53.411,00:00:00.828,,,,,,,,,"and undo that",,
00:22:53.690,00:22:55.556,00:00:01.866,,,,,,,,,"and then fifty",,
00:22:59.298,00:22:59.787,00:00:00.489,,,,,,,,,"all right",,
00:23:00.365,00:23:07.958,00:00:07.593,,,,,,,,,"and then what you do is that you try to find the highest number that's closest to this which is pause filler three",,
00:23:08.906,00:23:09.255,00:00:00.349,,,,,,,,,,"yeah",
00:23:10.891,00:23:11.999,00:00:01.108,,,,,,,,,"and then you do that",,
00:23:11.999,00:23:13.256,00:00:01.257,,,,,,,,,"and you get thirty-nine",,
00:23:16.090,00:23:17.955,00:00:01.865,,,,,,,,,"and then you'd cross out the five",,
00:23:17.955,00:23:19.113,00:00:01.158,,,,,,,,,"and then you get the four",,
00:23:19.622,00:23:20.569,00:00:00.947,,,,,,,,,"and then you get that",,
00:23:21.118,00:23:23.652,00:00:02.534,,,,,,,,,"and then you get one hundred and ten",,
00:23:23.972,00:23:30.726,00:00:06.754,,,,,,,,,"and then what you'd have to do is you'd have to ridiculously try to find what one hundred and ten is",,
00:23:31.205,00:23:36.144,00:00:04.939,,,,,,,,,"so pause filler thirteen times",,
00:23:38.209,00:23:39.437,00:00:01.228,,,,,,,,,"pause filler let's try eight",,
00:23:40.454,00:23:41.651,00:00:01.197,,,,,,,,,"pause filler twenty-four",,
00:23:45.593,00:23:46.620,00:00:01.027,,,,,,,,,"pause filler one zero four",,
00:23:46.740,00:23:47.538,00:00:00.798,,,,,,,,,"that's correct",,
00:23:48.047,00:23:56.428,00:00:08.381,,,,,,,,,"so it would be eight and one zero four pause filler oh six",,
00:23:59.531,00:24:00.289,00:00:00.758,,,,,,,,,"sixty",,
00:24:01.227,00:24:06.854,00:00:05.627,,,,,,,,,"now if you we're going to get an answer like this it's going to be like infinite all right",,
00:24:07.343,00:24:07.602,00:00:00.259,,,,,,,,,,"yeah",
00:24:08.041,00:24:11.304,00:00:03.263,,,,,,,,,"pause filler what we're going to do is that we're going to get this",,
00:24:11.653,00:24:12.701,00:00:01.048,,,,,,,,,"and then we're going to do it",,
00:24:12.741,00:24:14.656,00:00:01.915,,,,,,,,,"we're going to get one more decimal number",,
00:24:15.085,00:24:20.214,00:00:05.129,,,,,,,,,"and if it's above five we just set it to the number above it",,
00:24:20.214,00:24:23.876,00:00:03.662,,,,,,,,,"so pause filler let's say we get seven",,
00:24:26.230,00:24:29.203,00:00:02.973,,,,,,,,,"pause filler we get like three point seven eight",,
00:24:29.612,00:24:32.426,00:00:02.814,,,,,,,,,"if this number is four we don't have to change it",,
00:24:33.095,00:24:38.053,00:00:04.958,,,,,,,,,,"oh yeah because it rounds up or down depending on the number and then the last of it",
00:24:38.173,00:24:41.256,00:00:03.083,,,,,,,,,"yeah yeah and so basically this is just going to be a rounding thing",,
00:24:44.708,00:24:47.222,00:00:02.514,,,,,,,,,"and yeah so pause filler",,
00:24:50.445,00:24:51.433,00:00:00.988,,,,,,,,,"thirteen",,
00:24:53.458,00:24:55.045,00:00:01.587,,,,,,,,,,"and sixteen",
00:24:57.908,00:24:59.056,00:00:01.148,,,,,,,,,,"wouldn't that be four then",
00:24:59.425,00:25:00.432,00:00:01.007,,,,,,,,,"it would have",,
00:25:02.677,00:25:04.912,00:00:02.235,,,,,,,,,,"yeah because thirteen times four is fifty-two",
00:25:06.688,00:25:09.661,00:00:02.973,,,,,,,,,"yeah right you're looking at your previous work",,
00:25:09.671,00:25:11.108,00:00:01.437,,,,,,,,,"and I'm not (laughter)",,
00:25:11.108,00:25:14.032,00:00:02.924,,,,,,,,,"all right and then fifty-two",,
00:25:14.032,00:25:15.817,00:00:01.785,,,,,,,,,"oh I'm going off the page ding it",,
00:25:16.227,00:25:17.633,00:00:01.406,,,,,,,,,"and then that would be eight",,
00:25:19.449,00:25:21.036,00:00:01.587,,,,,,,,,"and then that would be eighty",,
00:25:21.036,00:25:25.027,00:00:03.991,,,,,,,,,"so it's obviously a number higher than five you see",,
00:25:25.116,00:25:27.880,00:00:02.764,,,,,,,,,"so this would round to",,
00:25:28.788,00:25:29.975,00:00:01.187,,,,,,,,,,"three point eight five",
00:25:30.414,00:25:31.282,00:00:00.868,,,,,,,,,"yeah correct",,
00:25:31.711,00:25:32.330,00:00:00.619,,,,,,,,,,"all right",
00:25:34.295,00:25:36.381,00:00:02.086,,,,,,,,,"oh do you know what I just realized",,
00:25:36.590,00:25:37.019,00:00:00.429,,,,,,,,,,"what",
00:25:38.496,00:25:45.809,00:00:07.313,,,,,,,,,"what we could've done this is going to sound really really bad pause filler",,
00:25:46.967,00:25:53.073,00:00:06.106,,,,,,,,,"basically what we could've done is that we could've just done this",,
00:25:54.160,00:26:06.602,00:00:12.442,,,,,,,,,"and then we could've just stopped",,
00:26:06.841,00:26:08.318,00:00:01.477,,,,,,,,,,"(laughter) oh wow",
00:26:08.318,00:26:10.194,00:00:01.876,,,,,,,,,"oh we overcomplicated the problem",,
00:26:10.443,00:26:11.501,00:00:01.058,,,,,,,,,,"yeah oh my gosh",
00:26:11.920,00:26:18.435,00:00:06.515,,,,,,,,,"all right but I think we showed enough work on this page already",,
00:26:18.864,00:26:19.303,00:00:00.439,,,,,,,,,,"yeah",
00:26:19.423,00:26:20.000,00:00:00.577,,,,,,,,,,"there's nothing (inaudible)",
00:26:20.000,00:26:20.877,00:00:00.877,,,,,,,,,"pause filler","there's nothing (inaudible)",
00:26:20.877,00:26:20.920,00:00:00.043,,,,,,,,,,"there's nothing (inaudible)",
00:26:22.037,00:26:26.277,00:00:04.240,,,,,,,,,"so I'm just going to underline both of these just in case",,
00:26:27.634,00:26:28.063,00:00:00.429,,,,,,,,,,"yeah",
00:26:28.732,00:26:31.625,00:00:02.893,,,,,,,,,"oh I am a great tutor",,
00:26:31.625,00:26:33.122,00:00:01.497,,,,,,,,,"all right next page",,
00:26:34.638,00:26:38.400,00:00:03.762,,,,,,,,,"all right oh",,
00:26:38.400,00:26:41.014,00:00:02.614,,,,,,,,,,"okay I think I got this",
00:26:41.014,00:26:41.972,00:00:00.958,,,,,,,,,,"let's see if I can get this",
00:26:41.972,00:26:42.441,00:00:00.469,,,,,,,,,"all right",,
00:26:46.102,00:26:49.864,00:00:03.762,,,,,,,,,,"wait not it kept cutting out",
00:26:49.864,00:26:51.929,00:00:02.065,,,,,,,,,,"I have no idea why the pen cuts out",
00:26:52.548,00:26:53.476,00:00:00.928,,,,,,,,,,"come on undo",
00:26:53.476,00:26:55.581,00:00:02.105,,,,,,,,,,"I tell you to undo you undo",
00:26:58.275,00:26:59.053,00:00:00.778,,,,,,,,,,"here we go",
00:26:59.103,00:27:00.160,00:00:01.057,,,,,,,,,,"no I want that there",
00:27:00.350,00:27:02.206,00:00:01.856,,,,,,,,,,"there we go okay",
00:27:02.206,00:27:03.233,00:00:01.027,,,,,,,,,,"let's try this again",
00:27:05.658,00:27:06.276,00:00:00.618,,,,,,,,,,"oh sweet",
00:27:06.276,00:27:10.477,00:00:04.201,,,,,,,,,"all right that was okay I mean oh",,
00:27:11.684,00:27:14.198,00:00:02.514,,,,,,,,,,"yeah I am so new to this",
00:27:15.525,00:27:18.369,00:00:02.844,,,,,,,,,"well it just takes time to get used to I mean",,
00:27:18.658,00:27:23.388,00:00:04.730,,,,,,,,,,"yeah well everything in general takes time to get used to",
00:27:23.866,00:27:27.299,00:00:03.433,,,,,,,,,"yeah like I've only used this three times but I don't own one",,
00:27:27.299,00:27:28.656,00:00:01.357,,,,,,,,,"but I am really good at using it",,
00:27:28.656,00:27:34.363,00:00:05.707,,,,,,,,,"like I could just like draw something really good on this side",,
00:27:34.562,00:27:40.499,00:00:05.937,,,,,,,,,"but (inaudible) pause filler yes six divided by twenty-four that's four equals x right",,
00:27:40.499,00:27:42.895,00:00:02.396,,,,,,,,,"we actually got a simpler answer",,
00:27:42.895,00:27:42.929,00:00:00.034,,,,"SV1B",,,,,"we actually got a simpler answer",,
00:27:42.929,00:27:42.933,00:00:00.004,,"SV",,"SV1B",,,,,"we actually got a simpler answer",,
00:27:42.933,00:27:45.128,00:00:02.195,,"SV",,"SV1B",,,,,"thank you CMU all right",,
00:27:45.128,00:27:45.158,00:00:00.030,,"SV",,"SV1B",,,,,,,
00:27:45.225,00:27:45.288,00:00:00.063,"00",,,,,,,,,,
00:27:45.288,00:27:49.079,00:00:03.791,"00",,,,,,,,,"I don't understand college technology",
00:27:49.079,00:27:49.109,00:00:00.030,"00",,,,,,,,"(inaudible) pause filler this is like I'm in a game designing studios",,
00:27:49.109,00:27:55.365,00:00:06.256,,,,,,,,,"(inaudible) pause filler this is like I'm in a game designing studios",,
00:27:55.365,00:27:59.765,00:00:04.400,,,,,,,,,"so I guess that's why they use this so (inaudible) yeah so",,
00:27:59.765,00:28:04.754,00:00:04.989,,,,,,,,,,"I have a room surrounded by glass",
00:28:06.360,00:28:07.837,00:00:01.477,,,,,,,,,"that is terrifying",,
00:28:07.956,00:28:08.415,00:00:00.459,,,,,,,,,,"yeah",
00:28:08.655,00:28:15.479,00:00:06.824,,,,,,,,,"all right so pause filler this one is a bit easier I guess",,
00:28:15.479,00:28:18.422,00:00:02.943,,,,,,,,,"so take note I said I guess",,
00:28:18.851,00:28:27.572,00:00:08.721,,,,,,,,,"so pause filler what we're going to do is that this is probably going to be another one of those problems where it's going to be like ridiculously like pause filler",,
00:28:27.681,00:28:30.685,00:00:03.004,,,,,,,,,,"just a crazy crazy number",
00:28:30.984,00:28:36.132,00:00:05.148,,,,,,,,,"yeah so all we have to do is that we have to make a fraction this time all right",,
00:28:36.212,00:28:37.699,00:00:01.487,,,,,,,,,,"yeah a fraction",
00:28:37.908,00:28:42.069,00:00:04.161,,,,,,,,,"yeah because we're wait one minute",,
00:28:46.978,00:28:47.317,00:00:00.339,,,,,,,,,"yeah",,
00:28:47.317,00:28:52.724,00:00:05.407,,,,,,,,,"I'm not looking at this at all pause filler",,
00:28:52.754,00:28:57.743,00:00:04.989,,,,,,,,,,"all right hang on a sec",
00:29:03.001,00:29:03.320,00:00:00.319,,,,,,,,,,"okay",
00:29:23.165,00:29:23.774,00:00:00.609,,,,,,,,,"all right",,
00:29:37.463,00:29:38.111,00:00:00.648,,,,,,,,,"roger that",,
00:29:40.885,00:29:43.479,00:00:02.594,,,,,,,,,"all right so now you're going to tutor me",,
00:29:43.888,00:29:44.881,00:00:00.993,,,,,,,,,,"sweet",
00:29:44.881,00:29:44.906,00:00:00.025,,,,,,"LPB",,,,"sweet",
00:29:44.906,00:29:54.604,00:00:09.698,,,,,,"LPB",,,"yeah so basically what's going to happen is that you're going to pause filler master the art of the pause filler this thing",,
00:29:54.604,00:29:54.608,00:00:00.004,,,,,,"LPB",,,,,
00:29:55.216,00:29:55.242,00:00:00.026,,,,,,"UL",,,,,
00:29:55.242,00:29:57.445,00:00:02.203,,,,,,"UL",,,"and it's going to be great",,
00:29:57.445,00:29:57.447,00:00:00.002,,,,,,"UL",,,"and it's going to be great",,
00:29:57.447,00:30:02.117,00:00:04.670,,,,,,"UL",,,"like what you get used to it it's going to be sweet",,
00:30:02.117,00:30:02.139,00:00:00.022,,,,,,"UL",,,,,
00:30:02.516,00:30:09.570,00:00:07.054,,,,,,,,,"you're going to be like mastering pause filler as you animate people say it going Super Saiyan",,
00:30:09.570,00:30:10.837,00:00:01.267,,,,,,,,,,"yeah",
00:30:10.997,00:30:14.369,00:00:03.372,,,,,,,,,"yeah so pause filler weirdos",,
00:30:14.519,00:30:19.068,00:00:04.549,,,,,,,,,"anyway basically pause filler it's sort of hard to get used to",,
00:30:19.068,00:30:22.590,00:00:03.522,,,,,,,,,"but once you start to realize that it's just like a piece of paper",,
00:30:23.079,00:30:24.426,00:00:01.347,,,,,,,,,"it's really really easy",,
00:30:24.855,00:30:29.455,00:00:04.600,,,,,,,,,,"yeah like the one thing that gets me off is that you have like a smaller pad to draw on",
00:30:29.455,00:30:31.201,00:00:01.746,,,,,,,,,,"but then the pad gets so much larger",
00:30:32.588,00:30:38.913,00:00:06.325,,,,,,,,,"oh yeah basically what they use this for is that they're able to adjust the page",,
00:30:38.943,00:30:39.881,00:00:00.938,,,,,,,,,"but we're not",,
00:30:40.080,00:30:44.181,00:00:04.101,,,,,,,,,"like you have to be on like that side (inaudible) the thing that we on that side is okay",,
00:30:44.401,00:30:47.254,00:00:02.853,,,,,,,,,"so it's basically like telling us how big the page should be",,
00:30:47.434,00:30:57.531,00:00:10.097,,,,,,,,,"so it's sort of like an adaption process because you have to like pause filler on the screen you have to like get used to the size",,
00:30:58.040,00:31:07.658,00:00:09.618,,,,,,,,,"so basically if you're to do a straight line like this on this thing on that side it be like the way you'd want it to be drawn",,
00:31:07.658,00:31:14.991,00:00:07.333,,,,,,,,,"but if you're to do this and that page is like this it's going to like be really short",,
00:31:15.610,00:31:17.306,00:00:01.696,,,,,,,,,,"yeah oh",
00:31:18.583,00:31:18.783,00:00:00.200,,,,,,,,,"yeah",,
00:31:19.002,00:31:20.928,00:00:01.926,,,,,,,,,,"if only this is like heat sensitive",
00:31:20.928,00:31:22.155,00:00:01.227,,,,,,,,,,"so I can use my hands",
00:31:22.724,00:31:23.791,00:00:01.067,,,,,,,,,,"this would be so much easier",
00:31:24.230,00:31:25.717,00:00:01.487,,,,,,,,,"oh yeah definitely but",,
00:31:25.717,00:31:27.343,00:00:01.626,,,,,,,,,"and they don't have the mouses turned on",,
00:31:27.343,00:31:28.690,00:00:01.347,,,,,,,,,"so you can't I don't know",,
00:31:29.169,00:31:32.222,00:00:03.053,,,,,,,,,,"oh a mouse probably would've been the easiest",
00:31:32.511,00:31:34.686,00:00:02.175,,,,,,,,,"I know I'm used to using my mouse",,
00:31:35.026,00:31:37.570,00:00:02.544,,,,,,,,,"so and I'm good at drawing with my mouse",,
00:31:39.545,00:31:42.918,00:00:03.373,,,,,,,,,,"I just draw on the computer when I get very very bored",
00:31:43.486,00:31:46.410,00:00:02.924,,,,,,,,,"oh who doesn't draw on the computer whenever they get really bored",,
00:31:47.168,00:31:47.527,00:00:00.359,,,,,,,,,,"yeah",
00:31:47.966,00:31:51.099,00:00:03.133,,,,,,,,,"pause filler I have a YouTube channel",,
00:31:52.865,00:31:54.661,00:00:01.796,,,,,,,,,,"oh pause filler what's it called",
00:31:54.920,00:31:56.517,00:00:01.597,,,,,,,,,"pause filler negative pixel",,
00:31:56.517,00:31:59.091,00:00:02.574,,,,,,,,,"and it's not the way you'd think it be spelled",,
00:31:59.690,00:32:05.945,00:00:06.255,,,,,,,,,"pause filler n and it has the picture with dinosaur that I drew in two seconds",,
00:32:06.205,00:32:15.753,00:00:09.548,,,,,,,,,"so and it's N-E-G-A-T-I-V-E P-I-C-K-S-A-L",,
00:32:15.753,00:32:18.247,00:00:02.494,,,,,,,,,,"all right I'll find that",
00:32:18.567,00:32:21.261,00:00:02.694,,,,,,,,,"yeah what's yours",,
00:32:21.919,00:32:28.773,00:00:06.854,,,,,,,,,,"pause filler mine is you know I've been meaning to change it for a long time my parents have blocked some of the computer",
00:32:28.773,00:32:30.310,00:00:01.537,,,,,,,,,,"so I can't change it at all",
00:32:30.988,00:32:32.844,00:00:01.856,,,,,,,,,,"so it's still Charlie Sprenkel",
00:32:32.844,00:32:37.404,00:00:04.560,,,,,,,,,,"and it's a terrible channel it is so bad",
00:32:37.404,00:32:40.726,00:00:03.322,,,,,,,,,,"I upload a video three months and it has two views",
00:32:41.574,00:32:42.732,00:00:01.158,,,,,,,,,"oh my gosh",,
00:32:42.732,00:32:43.430,00:00:00.698,,,,,,,,,,"yeah",
00:32:43.430,00:32:47.142,00:00:03.712,,,,,,,,,"are you the really small like really really really small YouTuber",,
00:32:48.409,00:32:51.671,00:00:03.262,,,,,,,,,,"well I probably would've had more subscribers",
00:32:51.721,00:32:55.363,00:00:03.642,,,,,,,,,,"but I have blocks every corner I turn",
00:32:55.772,00:32:58.067,00:00:02.295,,,,,,,,,,"so I can't really upload any videos (inaudible)",
00:32:58.296,00:33:01.998,00:00:03.702,,,,,,,,,"oh pause filler I don't really have a schedule",,
00:33:02.217,00:33:07.056,00:00:04.839,,,,,,,,,"but I guess you could say my videos are a bit vulgar sometimes",,
00:33:07.166,00:33:12.604,00:00:05.438,,,,,,,,,"like pause filler basically I just play like random games",,
00:33:12.604,00:33:19.678,00:00:07.074,,,,,,,,,"or I just make a bunch of random videos when I don't feel like doing anything so because I have like no blocks from my computer",,
00:33:19.778,00:33:28.797,00:00:09.019,,,,,,,,,"so I just go pause filler I uploaded the video like three days ago of pause filler have you heard of the Elder Scrolls",,
00:33:29.017,00:33:30.473,00:00:01.456,,,,,,,,,,"yeah I've heard of that",
00:33:30.473,00:33:35.851,00:00:05.378,,,,,,,,,"yeah pause filler I basically I took a clip from the Elder Scrolls 4 of the imperial guard",,
00:33:35.851,00:33:38.335,00:00:02.484,,,,,,,,,"and he has the funniest dialogue ever",,
00:33:38.395,00:33:41.119,00:00:02.724,,,,,,,,,"so he's like stop you violated the law",,
00:33:41.279,00:33:42.396,00:00:01.117,,,,,,,,,"pay a quarter fine",,
00:33:42.396,00:33:45.988,00:00:03.592,,,,,,,,,"or serve your sentence your stolen goods and now forfeit",,
00:33:45.988,00:33:50.598,00:00:04.610,,,,,,,,,"and basically what I did and what I did is that I amplified it",,
00:33:50.917,00:33:54.648,00:00:03.731,,,,,,,,,"and I made it really loud",,
00:33:55.297,00:33:58.929,00:00:03.632,,,,,,,,,"so I made it as I call it",,
00:33:59.038,00:34:03.359,00:00:04.321,,,,,,,,,"I'm basically what happens is that it just like really loud",,
00:34:03.568,00:34:06.551,00:00:02.983,,,,,,,,,"it's like stop you violated the law you know",,
00:34:06.651,00:34:09.375,00:00:02.724,,,,,,,,,"and my friend listened to the video",,
00:34:09.485,00:34:11.480,00:00:01.995,,,,,,,,,"and he liked tied",,
00:34:11.690,00:34:14.094,00:00:02.404,,,,,,,,,"he was like oh you know",,
00:34:15.241,00:34:17.866,00:00:02.625,,,,,,,,,,"pause filler I'm going to find that channel when I get home",
00:34:17.965,00:34:21.777,00:00:03.812,,,,,,,,,"yeah so pause filler yours is Charlie Sprenkel",,
00:34:22.096,00:34:24.381,00:00:02.285,,,,,,,,,,"yeah and it's not spelled to how you would think it is",
00:34:24.720,00:34:26.067,00:00:01.347,,,,,,,,,,"Charlie spelled normal",
00:34:26.117,00:34:31.125,00:00:05.008,,,,,,,,,,"but then the last name is S-P-R-E-N-K-E-L",
00:34:31.983,00:34:32.532,00:00:00.549,,,,,,,,,"oh",,
00:34:33.221,00:34:35.695,00:00:02.474,,,,,,,,,,"yeah it's very strange",
00:34:35.695,00:34:37.132,00:00:01.437,,,,,,,,,,"it's a very strange name",
00:34:37.401,00:34:40.414,00:00:03.013,,,,,,,,,"are you able to change your profile picture or no",,
00:34:41.103,00:34:43.747,00:00:02.644,,,,,,,,,,"pause filler I did change my profile picture",
00:34:44.206,00:34:45.124,00:00:00.918,,,,,,,,,"what is it",,
00:34:45.124,00:34:46.560,00:00:01.436,,,,,,,,,,"pause filler it's about a Google",
00:34:46.560,00:34:56.228,00:00:09.668,,,,,,,,,,"someone did like pause filler an animated drawing of a Titan from a show and stuff like that",
00:34:56.917,00:34:59.291,00:00:02.374,,,,,,,,,,"and I don't feel like putting my picture up anywhere",
00:34:59.750,00:35:00.509,00:00:00.759,,,,,,,,,"oh yeah",,
00:35:02.953,00:35:03.971,00:00:01.018,,,,,,,,,,"all sweet this time",
00:35:09.378,00:35:12.052,00:00:02.674,,,,,,,,,"well we weren't doing anything",,
00:35:15.155,00:35:15.754,00:00:00.599,,,,,,,,,"all right",,
00:35:24.145,00:35:26.829,00:00:02.684,,,,,,,,,"I think I exited out the other one",,
00:35:28.485,00:35:28.635,00:00:00.150,,,,,,,,,"yeah",,
00:35:38.343,00:35:39.111,00:00:00.768,,,,,,,,,"all right",,
00:35:39.271,00:35:39.729,00:00:00.458,,,,,,,,,,"got it",
00:35:43.421,00:35:46.634,00:00:03.213,,,,,,,,,"yeah because I was closing something up there",,
00:35:46.714,00:35:50.246,00:00:03.532,,,,,,,,,"and I accidentally closed pause filler that one so pause filler",,
00:35:51.902,00:35:53.598,00:00:01.696,,,,,,,,,"yeah that's really cool",,
00:35:53.628,00:35:55.474,00:00:01.846,,,,,,,,,"all right so I'm going to get everything",,
00:36:04.284,00:36:05.152,00:00:00.868,,,,,,,,,"I'm good (laughter)",,
