"Begin Time - hh:mm:ss.ms","End Time - hh:mm:ss.ms","Duration - hh:mm:ss.ms","Notes_SV","PP_Notes","SV1_P1","SV1_P2","SV2_P1","SV2_P2","PP_P1","PP_P2","Experimenter 1-1","P1","Experimenter 2-1","P2","Experiment 1",
00:34:40.494,00:34:42.659,00:00:02.165,,,,,,,,,,"it's it's crazy",,,,
00:34:42.679,00:34:45.862,00:00:03.183,,,,,,,,,,"she yells at everybody and hates everybody",,,,
00:34:46.301,00:34:47.388,00:00:01.087,,,,,,,,,,,,"oh that's not good",,
00:34:47.518,00:35:00.339,00:00:12.821,,,,,,,,,,"yeah she called the principal of our school like at least once or twice about this one kid in my class who's just annoying",,,,
00:35:00.658,00:35:04.071,00:00:03.413,,,,,,,,,,,,"pause filler yeah so I have this English teacher",,
00:35:04.071,00:35:07.363,00:00:03.292,,,,,,,,,,,,"and he manages to spend the entire period talking",,
00:35:08.061,00:35:09.329,00:00:01.268,,,,,,,,,,,,"we barely do anything",,
00:35:09.329,00:35:11.593,00:00:02.264,,,,,,,,,,,,"because for the first five minutes he's not there",,
00:35:12.422,00:35:15.554,00:00:03.132,,,,,,,,,,,,"and then for the last five minutes he lets us leave early",,
00:35:15.634,00:35:17.171,00:00:01.537,,,,,,,,,,,,"well he lets the other periods leave early",,
00:35:17.171,00:35:18.308,00:00:01.137,,,,,,,,,,,,"because they have to go to lunch",,
00:35:18.318,00:35:24.155,00:00:05.837,,,,,,,,,,,,"and so for the thirty-something minutes in between he talks",,
00:35:24.155,00:35:25.212,00:00:01.057,,,,,,,,,,,,"and we do worksheets",,
00:35:25.252,00:35:26.240,00:00:00.988,,,,,,,,,,,,"it's really boring",,
00:35:27.946,00:35:33.015,00:00:05.069,,,,,,,,,,"yeah my history teacher she'll start talking about the lesson",,,,
00:35:33.015,00:35:34.332,00:00:01.317,,,,,,,,,,"and she rambles a little bit",,,,
00:35:34.332,00:35:35.339,00:00:01.007,,,,,,,,,,"and then she keeps talking",,,,
00:35:35.339,00:35:36.936,00:00:01.597,,,,,,,,,,"and then we read",,,,
00:35:36.936,00:35:37.993,00:00:01.057,,,,,,,,,,"and she gives us work",,,,
00:35:37.993,00:35:39.000,00:00:01.007,,,,,,,,,,"and then we leave",,,,
00:35:39.000,00:35:39.251,00:00:00.251,,,,,,,,,,"and then we leave",,"pause filler",,
00:35:39.251,00:35:39.510,00:00:00.259,,,,,,,,,,,,"pause filler",,
00:35:39.510,00:35:39.754,00:00:00.244,,,,,,,,,,"and it's crazy",,"pause filler",,
00:35:39.754,00:35:40.647,00:00:00.893,,,,,,,,,,"and it's crazy",,,,
00:35:41.086,00:35:45.975,00:00:04.889,,,,,,,,,,"my homeroom teacher lectures us like at least once a week",,,,
00:35:45.975,00:35:47.681,00:00:01.706,,,,,,,,,,"like he yells at us",,,,
00:35:47.681,00:35:50.774,00:00:03.093,,,,,,,,,,"and he gets really mad",,,,
00:35:50.774,00:35:52.490,00:00:01.716,,,,,,,,,,"and it's almost funny",,,,
00:35:52.490,00:35:53.488,00:00:00.998,,,,,,,,,,"and you hate him",,,,
00:35:53.558,00:36:01.181,00:00:07.623,,,,,,,,,,"and it's just a routine now which is sort of bad but sort of funny",,,,
00:36:02.538,00:36:04.114,00:00:01.576,,,,,,,,,,,,"pause filler so I had a homeroom teacher",,
00:36:04.174,00:36:06.329,00:00:02.155,,,,,,,,,,,,"but I've only been there like two days",,
00:36:07.047,00:36:12.415,00:00:05.368,,,,,,,,,,,,"because the other days I've been sitting outside a stairwell waiting to go up to a class at the high school",,
00:36:12.415,00:36:12.445,00:00:00.030,,,,,,,,,,"oh",,,,
00:36:12.705,00:36:17.264,00:00:04.559,,,,,,,,,,,,"and I'm with a few other kids",,
00:36:17.264,00:36:31.312,00:00:14.048,,,,,,,,,,,,"and because no teacher is ever there we just play on our phones the entire time our school's administrative people",,
00:36:31.761,00:36:33.058,00:00:01.297,,,,,,,,,,,,"probably don't know about it",,
00:36:33.058,00:36:38.715,00:00:05.657,,,,,,,,,,"my one friend at she goes to Hampton",,,,
00:36:38.925,00:36:40.880,00:00:01.955,,,,,,,,,,"it was so funny",,,,
00:36:41.320,00:36:42.976,00:00:01.656,,,,,,,,,,"she said there was this one kid",,,,
00:36:43.145,00:36:48.294,00:00:05.149,,,,,,,,,,"and they were in the reading or something like that some sort of library or whatever",,,,
00:36:48.294,00:36:51.925,00:00:03.631,,,,,,,,,,"and the teacher had turned around (laughs)",,,,
00:36:51.925,00:36:55.058,00:00:03.133,,,,,,,,,,"and this kid had his camera on (laughter)",,,,
00:36:55.058,00:36:57.503,00:00:02.445,,,,,,,,,,"he took a picture (laughter)",,,,
00:36:57.622,00:37:04.547,00:00:06.925,,,,,,,,,,"and it made it look like (laughter)",,,,
00:37:04.886,00:37:10.433,00:00:05.547,,,,,,,,,,"and she started yelling at everybody",,,,
00:37:10.802,00:37:12.808,00:00:02.006,,,,,,,,,,"(laughter) it was so funny",,,,
00:37:12.808,00:37:15.252,00:00:02.444,,,,,,,,,,,,"I hate how when like one kid does something wrong",,
00:37:15.412,00:37:17.278,00:00:01.866,,,,,,,,,,,,"and then the teacher yells at everybody",,
00:37:17.338,00:37:25.898,00:00:08.560,,,,,,,,,,"thank you that's my class every single period of every single day that",,,,
00:37:25.898,00:37:29.201,00:00:03.303,,,,,,,,,,"the boys in my class are nut jobs",,,,
00:37:29.650,00:37:32.000,00:00:02.350,,,,,,,,,,"and (sfx) the teacher's going to kill us all before we graduate",,,,
00:37:32.000,00:37:38.000,00:00:06.000,,,,,,,,,,"and (sfx) the teacher's going to kill us all before we graduate",,"pause filler",,
00:37:38.000,00:37:39.000,00:00:01.000,,,,,,,,,,"and (sfx) the teacher's going to kill us all before we graduate","(inaudible)","pause filler",,
00:37:39.000,00:37:39.335,00:00:00.335,,,,,,,,,,"and (sfx) the teacher's going to kill us all before we graduate",,"pause filler",,
00:37:39.335,00:37:41.642,00:00:02.307,,,,,,,,,,"and (sfx) the teacher's going to kill us all before we graduate",,,,
00:37:41.762,00:37:42.660,00:00:00.898,,,,,,,,,"all right",,,,,
00:37:42.660,00:37:42.820,00:00:00.160,,,,,,,,,,,,"okay",,
00:37:42.860,00:37:44.000,00:00:01.140,,,,,,,,,,,"pause filler so",,,
00:37:44.000,00:37:45.000,00:00:01.000,,,,,,,,,"so pause filler",,"pause filler so",,,
00:37:45.000,00:37:46.000,00:00:01.000,,,,,,,,,,,"pause filler so",,,
00:37:46.000,00:37:48.856,00:00:02.856,,,,,,,,,,,"pause filler (inaudible)",,,
00:37:48.856,00:37:52.637,00:00:03.781,,,,,,,,,"thank you for your patience",,"pause filler (inaudible)",,,
00:37:52.637,00:38:00.000,00:00:07.363,,,,,,,,,"you have twenty minutes to work through any of these problems as you can",,"pause filler (inaudible)",,,
00:38:00.000,00:38:02.000,00:00:02.000,,,,,,,,,"you have twenty minutes to work through any of these problems as you can",,,,,
00:38:02.000,00:38:03.000,00:00:01.000,,,,,,,,,"you have twenty minutes to work through any of these problems as you can","pause filler",,,,
00:38:03.000,00:38:05.778,00:00:02.778,,,,,,,,,"you have twenty minutes to work through any of these problems as you can",,,,,
00:38:05.917,00:38:10.277,00:00:04.360,,,,,,,,,"no pressure if you don't complete them all",,,,,
00:38:10.277,00:38:15.805,00:00:05.528,,,,,,,,,"go ahead and get started pause filler",,,,,
00:38:15.805,00:38:18.139,00:00:02.334,,,,,,,,,"and you guys can get going",,,,,
00:38:18.578,00:38:25.373,00:00:06.795,,,,,,,,,"can you guys hear each other well enough with the headphones off",,,,,
00:38:25.373,00:38:25.792,00:00:00.419,,,,,,,,,"okay great",,,,,
00:38:25.792,00:38:26.041,00:00:00.249,,,,,,,,,,,"all right (inaudible)",,,
00:38:26.041,00:38:28.975,00:00:02.934,,,,,,,,,"pause filler I think that I will take your snack",,,,,
00:38:29.384,00:38:30.930,00:00:01.546,,,,,,,,,"but you'll get them back at the end",,,,,
00:38:32.217,00:38:33.973,00:00:01.756,,,,,,,,,,"yay okay so",,,,
00:38:33.973,00:38:37.376,00:00:03.403,,,,,,,,,,,,"pause filler so pause filler do you need any help solving this",,
00:38:40.559,00:38:46.000,00:00:05.441,,,,,,,,,,,,"or do you think you know what you're doing",,
00:38:46.000,00:38:49.618,00:00:03.618,,,,,,,,,,"pause filler",,"or do you think you know what you're doing",,
00:38:49.618,00:38:50.037,00:00:00.419,,,,,,,,,,"pause filler",,,,
00:38:50.037,00:38:52.222,00:00:02.185,,,,,,,,,,"I think I got this",,,,
00:38:52.222,00:38:54.557,00:00:02.335,,,,,,,,,,,,"okay if you do anything wrong I'll just tell you",,
00:38:54.766,00:38:55.245,00:00:00.479,,,"SV",,"SV1A",,,,,"what the",,,,
00:38:55.375,00:38:59.495,00:00:04.120,,,,"SV",,"SV1A",,,,,,"yeah the pen's a little weird to use",,
00:39:00.334,00:39:00.393,00:00:00.059,,,"SV",,"SV1A",,,,,"yay",,,,
00:39:00.393,00:39:00.463,00:00:00.070,,,,"SV",,"SV1A",,,,,,"yeah",,
00:39:00.463,00:39:03.107,00:00:02.644,,,,,,,,,,,,"so you're pause filler doing what here",,
00:39:04.175,00:39:05.153,00:00:00.978,,,,,,,,,,"I add the opposite",,,,
00:39:05.153,00:39:06.430,00:00:01.277,,,"SV",,"SV1A",,,,,"it's really weird",,,,
00:39:06.589,00:39:07.797,00:00:01.208,,,,,,,,,,,,"yeah yeah I I see",,
00:39:07.797,00:39:11.269,00:00:03.472,,,"SV",,"SV1A",,,,,"instead of subtracting my teacher yells at us to do it so",,,,
00:39:12.047,00:39:14.451,00:00:02.404,,,,"SV",,"SV1A",,,,,,"oh you guys add the inverse interesting",,
00:39:14.731,00:39:16.816,00:00:02.085,,,"SV",,"SV1A",,,,,"yeah it's really it's really weird",,,,
00:39:16.816,00:39:19.071,00:00:02.255,,,"SV",,"SV1A",,,,,"my math teacher is a nut job",,,,
00:39:19.071,00:39:23.222,00:00:04.151,,,,"SV",,"SV1A",,,,,,"I had one math teacher who was just pause filler crazy",,
00:39:23.222,00:39:26.684,00:00:03.462,,,,"SV",,"SV1A",,,,,,"he spent one day like talking about pirates",,
00:39:27.582,00:39:28.510,00:00:00.928,,,"SV",,"SV1A",,,,,"what (laughs)",,,,
00:39:30.246,00:39:42.288,00:00:12.042,,,,"SV",,"SV1A",,,,,,"and?�skiers?�because it was for lines so twenty-three minus fifteen pause filler",,
00:39:42.513,00:39:42.528,00:00:00.015,"TRC",,,,,,,,,,,,,
00:39:42.528,00:39:52.089,00:00:09.561,"TRC",,"SV",,"SV1A",,,,,"wow this is really weird",,,,
00:39:52.089,00:39:52.106,00:00:00.017,"TRC",,"SV",,"SV1A",,,,,"wow this is really weird",,,,
00:39:52.106,00:39:52.176,00:00:00.070,"TRC",,,"SV",,"SV1A",,,,,,"yeah",,
00:39:52.176,00:39:52.189,00:00:00.013,"TRC",,,,,,,,,,,,,
00:39:52.854,00:39:57.115,00:00:04.261,,,,,,,,,,"(inaudible) y is equal to negative five",,,,
00:39:57.324,00:39:58.481,00:00:01.157,,,,,,,,,,,,"yup that's it",,
00:39:59.263,00:39:59.270,00:00:00.007,"TRC",,,,,,,,,,,,,
00:39:59.270,00:40:00.477,00:00:01.207,"TRC",,"SV",,"SV1A",,,,,"that's easy",,,,
00:40:00.477,00:40:00.498,00:00:00.021,"TRC",,,,,,,,,,,,,
00:40:01.854,00:40:12.450,00:00:10.596,,,,,,,,,,"okay so that's negative k equals what the",,,,
00:40:13.717,00:40:21.928,00:00:08.211,,,,,,,,,,"(sfx) fourteen equals thirty-six plus k",,,,
00:40:23.016,00:40:24.742,00:00:01.726,,,,,,,,,,,,"and then yeah",,
00:40:24.961,00:40:31.277,00:00:06.316,,,,,,,,,,"all right so pause filler k pause filler add k",,,,
00:40:33.342,00:40:48.847,00:00:15.505,,,,,,,,,,"now you have fourteen is equal to thirty-six plus two k (sfx)",,,,
00:40:48.917,00:40:59.044,00:00:10.127,,,,,,,,,,,,"you have some space kind of over on that side",,
00:41:00.141,00:42:01.651,00:01:01.510,,,,,,,,,,"okay moving over here now pause filler okay fourteen equal to thirty-six plus two k pause filler six okay thirty-six pause filler okay so that's negative twenty-five two k finally done",,,,
00:42:01.651,00:42:08.666,00:00:07.015,,,,,,,,,,,,"what did you get for that last one",,
00:42:08.705,00:42:10.731,00:00:02.026,,,,,,,,,,"negative twenty-five",,,,
00:42:11.838,00:42:18.633,00:00:06.795,,,,,,,,,,,,"yeah that seems right",,
00:42:18.902,00:42:21.027,00:00:02.125,,,"SV",,"SV1A",,,,,"pause filler okay that's weird",,,,
00:42:21.706,00:42:31.244,00:00:09.538,,,,,,,,,,"pause filler okay I see how I can do this",,,,
00:42:31.454,00:42:51.279,00:00:19.825,,,,,,,,,,"I guess that's seventeen plus negative b equals thirteen b no wait plus b sorry",,,,
00:42:51.279,00:43:17.010,00:00:25.731,,,,,,,,,,"so that's plus negative b negative two b equal what the what did I just do no",,,,
00:43:17.010,00:43:23.037,00:00:06.027,,,,,,,,,,,,"pause filler it should equal thirteen I think",,
00:43:24.812,00:44:02.866,00:00:38.054,,,,,,,,,,"thirteen (inaudible) seventeen negative two b is equal to negative four (inaudible) two this one would be b is equal to two",,,,
00:44:03.954,00:44:04.552,00:00:00.598,,,,,,,,,,,,"yes",,
00:44:07.775,00:44:24.557,00:00:16.782,,,,,,,,,,"oh okay this is much easier so I just divide both sides by negative nine g is equal to negative nine",,,,
00:44:24.676,00:44:25.026,00:00:00.350,,,,,,,,,,,,"yup",,
00:44:26.822,00:44:49.031,00:00:22.209,,,,,,,,,,"okay so add negative ten seventy-two is equal to negative eight y",,,,
00:44:49.031,00:45:04.616,00:00:15.585,,,,,,,,,,"negative eight it's negative nine is equal to y",,,,
00:45:07.260,00:45:08.916,00:00:01.656,,,,,,,,,,,,"yes yeah",,
00:45:10.881,00:45:55.440,00:00:44.559,,,,,,,,,,"okay (inaudible) one o seven is equal to six sixty-five plus negative fourteen x oh (inaudible) plus negative sixty-five what the",,,,
00:46:00.479,00:46:52.850,00:00:52.371,,,,,,,,,,"that's two and (inaudible) four is forty-two equal to negative fourteen x (inaudible) fourteen (sfx) fourteen (sfx)",,,,
00:46:52.850,00:47:18.032,00:00:25.182,,,,,,,,,,"okay so that's (sfx) fourteen (sfx) twelve two (inaudible) (sfx)so that's negative three is equal to x",,,,
00:47:18.441,00:47:18.761,00:00:00.320,,,,,,,,,,,,"yup",,
00:47:20.158,00:47:41.679,00:00:21.521,,,,,,,,,,"finally okay then forty-four equal to negative forty-one minus (inaudible)",,,,
00:47:42.397,00:48:03.798,00:00:21.401,,,,,,,,,,"so that's that's forty-one seventy-five is equal to negative nine k pause filler",,,,
00:48:07.570,00:48:17.000,00:00:09.430,,,,,,,,,,"nine that's a five (inaudible)",,,,
00:48:17.000,00:48:18.000,00:00:01.000,,,,,,,,,,"nine that's a five (inaudible)",,"pause filler",,
00:48:18.000,00:48:24.741,00:00:06.741,,,,,,,,,,"nine that's a five (inaudible)",,,,
00:48:25.180,00:48:43.249,00:00:18.069,,,,,,,,,,,,"yeah it's in its reduced form okay",,
00:48:43.249,00:49:09.050,00:00:25.801,,,,,,,,,,"okay so then can be negative p plus negative fifty-two is equal to eight p plus negative sixteen okay so all right pause filler p",,,,
00:49:09.978,00:49:42.524,00:00:32.546,,,,,,,,,,"add p negative fifty-two is equal to nine p plus negative sixteen plus sixteen",,,,
00:49:42.933,00:49:47.393,00:00:04.460,,,,,,,,,,"there we go",,,,
00:49:47.393,00:50:03.157,00:00:15.764,,,,,,,,,,"fifty-two minus sixteen four twelve six three so it's thirty-six",,,,
00:50:03.157,00:50:16.527,00:00:13.370,,,,,,,,,,"negative plus nine p nine four is equal to p okay",,,,
00:50:16.527,00:50:23.062,00:00:06.535,,,,,,,,,,,,"all right",,
00:50:23.601,00:50:37.749,00:00:14.148,,,,,,,,,,"big numbers and four one plus one is negative",,,,
00:50:37.908,00:50:49.372,00:00:11.464,,,,,,,,,,"and four w equals one nine plus two six (inaudible)",,,,
00:50:49.632,00:51:07.900,00:00:18.268,,,,,,,,,,"okay so that's plus fourteen w okay",,,,
00:51:07.900,00:51:10.744,00:00:02.844,,,,,,,,,,"so then that's eighty-one",,,,
00:51:10.883,00:51:15.233,00:00:04.350,,,,,,,,,,"forty-one equals ninety",,,,
00:51:15.233,00:51:31.257,00:00:16.024,,,,,,,,,,"nineteen plus (inaudible) three four forty (inaudible) oh equals (inaudible)",,,,
00:51:31.257,00:51:35.168,00:00:03.911,,,,,,,,,,"okay so that's (inaudible)",,,,
00:51:35.168,00:52:01.738,00:00:26.570,,,,,,,,,,"that's ten (inaudible) six (inaudible) sixty is equal to forty w pause filler (inaudible) forty",,,,
00:52:01.738,00:52:17.043,00:00:15.305,,,,,,,,,,"it's negative four equals w",,,,
00:52:17.222,00:52:21.952,00:00:04.730,,,,,,,,,,,,"yes okay then I will be right back",,
00:52:21.952,00:52:24.466,00:00:02.514,,,,,,,,,,,"all right (inaudible)",,,
00:52:24.466,00:52:25.115,00:00:00.649,,,,,,,,,,,,"okay",,
00:52:25.134,00:52:28.198,00:00:03.064,,,,,,,,,,,,"okay then",,
00:52:30.747,00:52:30.772,00:00:00.025,"TRC",,,,,,,,,,,,,
00:52:30.772,00:52:40.639,00:00:09.867,"TRC",,"SV",,"SV1A",,,,,"all right oh this is lovely",,,,
00:52:40.639,00:52:40.657,00:00:00.018,"TRC",,,,,,,,,,,,,
00:52:43.463,00:52:52.000,00:00:08.537,,,,,,,,,,"so that's negative y plus negative sixty-three is equal to forty-three plus y plus negative y that's negative two y plus negative sixty-three is equal to forty-three",,,,
00:52:52.000,00:52:56.000,00:00:04.000,,,,,,,,,,"(sfx)",,,,
00:53:08.000,00:53:09.000,00:00:01.000,,,,,,,,,,,"(inaudible)",,,
00:53:53.813,00:53:59.251,00:00:05.438,,,,,,,,,,"add sixty-three to both sides",,,,
00:53:59.590,00:54:02.014,00:00:02.424,,,,,,,,,,"that's eighty-six",,,,
00:54:02.214,00:54:06.344,00:00:04.130,,,,,,,,,,"that's one o six is equal to negative two y",,,,
00:54:06.344,00:54:23.835,00:00:17.491,,,,,,,,,,"negative two get two y is equal to fifty-three",,,,
00:54:24.842,00:54:25.531,00:00:00.689,,,,,,,,,,,,"yup",,
00:54:30.270,00:54:48.169,00:00:17.899,,,,,,,,,,"oh well two plus negative p equal to forty-eight plus p",,,,
00:54:48.339,00:54:51.921,00:00:03.582,,,,,,,,,,"add negative p",,,,
00:54:53.348,00:54:56.361,00:00:03.013,,,,,,,,,,,,"so wait are you moving pause filler",,
00:54:56.361,00:54:57.578,00:00:01.217,,,,,,,,,,"I'm moving this p over here",,,,
00:54:57.578,00:54:58.855,00:00:01.277,,,,,,,,,,,,"variable first or the other one",,
00:54:59.394,00:55:02.128,00:00:02.734,,,,,,,,,,"I'm moving this one to here",,,,
00:55:02.547,00:55:02.906,00:00:00.359,,,,,,,,,,,,"okay",,
00:55:04.472,00:55:35.183,00:00:30.711,,,,,,,,,,"so plus negative p (inaudible) one eighty-two plus negative two p equals forty (inaudible) okay negative two p",,,,
00:55:35.661,00:55:37.677,00:00:02.016,,,"SV",,"SV1A",,,,,"this is really weird",,,,
00:55:37.817,00:56:04.526,00:00:26.709,,,"SV",,"SV1A",,,,,"I hear music outside of my room",,,,
00:56:05.214,00:56:22.655,00:00:17.441,,,,"SV",,"SV1A",,,,,,"yeah I hear it because of the microphone pause filler",,
00:56:22.675,00:56:36.034,00:00:13.359,,,,,,,,,,"(inaudible) negative two oh wait that's a negative",,,,
00:56:36.144,00:56:40.105,00:00:03.961,,,,,,,,,,"that is a negative",,,,
00:56:40.863,00:56:47.428,00:00:06.565,,,,,,,,,,"okay so it's pause filler cancel",,,,
00:56:47.428,00:57:10.556,00:00:23.128,,,,,,,,,,"that cancels p equal to negative what one two three two (inaudible) five (inaudible)",,,,
00:57:10.556,00:57:28.764,00:00:18.208,,,,,,,,,,"I think I did that right",,,,
00:57:30.012,00:57:30.620,00:00:00.608,,,,,,,,,,,,"yeah",,
00:57:35.459,00:58:09.202,00:00:33.743,,,,,,,,,,"okay (inaudible) plus negative g is equal to fifty-three plus g okay so plus g plus g negative nine equal to fifty-three plus two g",,,,
00:58:09.811,00:58:14.700,00:00:04.889,,,,,,,,,,"add negative fifty-three",,,,
00:58:20.267,00:58:23.001,00:00:02.734,,,,,,,,,,"so that's two g",,,,
00:58:23.710,00:58:36.760,00:00:13.050,,,,,,,,,,"that's a g six pause filler",,,,
00:58:42.706,00:58:48.523,00:00:05.817,,,,,,,,,,"that's seven",,,,
00:58:48.932,00:58:52.614,00:00:03.682,,,,,,,,,,,,"there we go no go (sfx)",,
00:58:53.103,00:58:56.864,00:00:03.761,,,,"SV",,"SV1A",,,,,,"I accidentally opened Windows",,
00:58:57.004,00:59:00.975,00:00:03.971,,,"SV",,"SV1A",,,,,"really you accidentally opened Windows",,,,
00:59:00.975,00:59:07.700,00:00:06.725,,,,"SV",,"SV1A",,,,,,"(laughter) yeah I know because my pen was near the bottom of the screen",,
00:59:07.700,00:59:10.982,00:00:03.282,,,,,,,,,,,"all right (inaudible) so",,,
00:59:10.982,00:59:24.192,00:00:13.210,,,,,,,,,"okay so you're done with the tutoring portion today pause filler so",,,,,
00:59:24.541,00:59:30.009,00:00:05.468,,,,,,,,,"okay I'm just gonna show the clock again",,,,,
00:59:30.009,00:59:30.298,00:00:00.289,,,,,,,,,,,"all right (inaudible)",,,
00:59:30.298,00:59:31.655,00:00:01.357,,,,,,,,,"all right so you can say goodbye",,,,,
00:59:31.695,00:59:31.795,00:00:00.100,,,,,,,,,,"bye",,,,
00:59:31.795,00:59:32.922,00:00:01.127,,,,,,,,,,,,"see you",,
