"Begin Time - hh:mm:ss.ms","End Time - hh:mm:ss.ms","Duration - hh:mm:ss.ms","Notes_SV","PP_Notes","SV1_P1","SV1_P2","SV2_P1","SV2_P2","PP_P2","Experimenter 2","Experimenter","Experimenter 1","P1","P2","Experimenter-1","PP_P1",
00:13:33.294,00:13:35.848,00:00:02.554,,,,,,,,,,,"I mean like thirteen is like prawn numbers",,,,
00:13:35.848,00:13:38.063,00:00:02.215,,,,,,,,,,,"so it would not be that likely",,,,
00:13:38.323,00:13:41.645,00:00:03.322,,,,,,,,,,,,"yeah so with this one it's a little bit different",,,
00:13:41.645,00:13:46.694,00:00:05.049,,,,,,,,,,,,"but you just subtract ten from both sides",,,
00:13:47.741,00:13:47.981,00:00:00.240,,,,,,,,,,,"yup",,,,
00:13:48.549,00:13:51.064,00:00:02.515,,,,,,,,,,,,"so twenty-four",,,
00:13:53.508,00:14:00.113,00:00:06.605,,,,,,,,,,,,"and pause filler so you're left with six x equals twenty-four",,,
00:14:00.113,00:14:01.610,00:00:01.497,,,,,,,,,,,,"so then you divide by (laughter)",,,
00:14:01.759,00:14:04.104,00:00:02.345,,,,"SV",,"SV1A",,,,,,"sorry I'm getting over a cold",,,
00:14:04.104,00:14:05.152,00:00:01.048,,,,"SV",,"SV1A",,,,,,"so that's why I sound",,,
00:14:05.371,00:14:07.486,00:00:02.115,,,,,,,,,,,"pause filler yeah a six",,,,
00:14:08.674,00:14:09.592,00:00:00.918,,,,,,,,,,,,"divided by six",,,
00:14:09.592,00:14:13.373,00:00:03.781,,,,,,,,,,,,"and then x equals four because twenty-four divided by six equals four",,,
00:14:13.722,00:14:17.673,00:00:03.951,,,,,,,,,,,"yeah oh your equals signs are getting better",,,"LPB",
00:14:17.673,00:14:18.252,00:00:00.579,,,,,,,,,,,,"yeah",,,
00:14:18.362,00:14:20.826,00:00:02.464,,,,,,,,,,,"okay next one",,,,
00:14:20.946,00:14:23.390,00:00:02.444,,,,,,,,,,,,"all right so",,,
00:14:26.254,00:14:30.604,00:00:04.350,,,,,,,,,,,,"with this one since that's a negative you add it right so",,,
00:14:31.113,00:14:31.572,00:00:00.459,,,,,,,,,,,"yeah",,,,
00:14:40.871,00:14:41.519,00:00:00.648,,,,,,,,,,,,"oh okay",,,
00:14:44.283,00:14:45.181,00:00:00.898,,,,,,,,,,,,"oh my gosh",,,
00:14:45.370,00:14:50.239,00:00:04.869,,,,,,,,,,,,"so that would equal",,,
00:14:53.622,00:14:58.850,00:00:05.228,,,,,,,,,,,,"sixty-two equals fifteen k",,,
00:14:58.850,00:14:59.668,00:00:00.818,,,,,,,,,,,,"oh my god",,,
00:15:00.286,00:15:04.487,00:00:04.201,,,,,,,,,,,,"pause filler and then divide that by fifteen",,,
00:15:07.390,00:15:09.037,00:00:01.647,,,,,,,,,,,,"so that would just be another",,,
00:15:09.675,00:15:10.254,00:00:00.579,,,,,,,,,,,"let's see",,,,
00:15:10.254,00:15:11.870,00:00:01.616,,,,,,,,,,,"where were we sixty-two (inaudible)",,,,
00:15:11.870,00:15:12.060,00:00:00.190,,,,,,,,,,,"nope",,,,
00:15:12.060,00:15:17.697,00:00:05.637,,,,,,,,,,,"I'd say that no you can't simplify",,,,
00:15:17.697,00:15:19.213,00:00:01.516,,,,,,,,,,,"it maybe maybe not",,,,
00:15:25.160,00:15:26.716,00:00:01.556,,,,,,,,,,,"yeah because yeah",,,,
00:15:26.716,00:15:27.325,00:00:00.609,,,,,,,,,,,,"all right",,,
00:15:29.061,00:15:32.783,00:00:03.722,,,,,,,,,,,,"so for this one",,,
00:15:35.696,00:15:36.684,00:00:00.988,,,,,,,,,,,,"subtract",,,
00:15:37.382,00:15:38.011,00:00:00.629,,,,,,,,,,,"twelve",,,,
00:15:41.912,00:15:51.480,00:00:09.568,,,,,,,,,,,,"sorry it's like it takes a minute for it to show up",,,
00:15:52.408,00:15:55.531,00:00:03.123,,,,,,,,,,,"yeah real slow okay",,,,
00:15:56.449,00:16:09.499,00:00:13.050,,,,,,,,,,,"so yeah twenty-one",,,,
00:16:09.609,00:16:10.088,00:00:00.479,,,,,,,,,,,"that's right",,,,
00:16:10.178,00:16:13.809,00:00:03.631,,,,,,,,,,,,"so then that cancels out obviously",,,
00:16:13.959,00:16:14.448,00:00:00.489,,,,,,,,,,,"yeah",,,,
00:16:14.787,00:16:15.725,00:00:00.938,,,,,,,,,,,,"so plus",,,
00:16:15.795,00:16:18.409,00:00:02.614,,,,,,,,,,,,"oh no that equals",,,
00:16:18.409,00:16:21.731,00:00:03.322,,,,,,,,,,,,"twenty-one equals seven x",,,
00:16:22.080,00:16:24.585,00:00:02.505,,,,,,,,,,,,"and then twenty-one is divisible by sevens",,,
00:16:24.585,00:16:28.895,00:00:04.310,,,,,,,,,,,,"so that's pause filler divisible by three",,,
00:16:28.895,00:16:32.158,00:00:03.263,,,,,,,,,,,,"so then pause filler x equals three",,,
00:16:33.435,00:16:34.343,00:00:00.908,,,,,,,,,,,"yup okay",,,,
00:16:36.687,00:16:38.693,00:00:02.006,,,,,,,"UL",,,,,"all right great",,,
00:16:38.832,00:16:39.012,00:00:00.180,,,,,,,,,,,,"oh",,,
00:16:39.012,00:16:40.808,00:00:01.796,,,,,,,,,,,,"so this is a different one",,,
00:16:41.407,00:16:46.575,00:00:05.168,,,,,,,,,,,,"so first you're going to get to pause filler you're going to do the variables first",,,
00:16:46.754,00:16:49.937,00:00:03.183,,,,,,,,,,,,"and then you do the one that's like less right",,,
00:16:49.937,00:16:50.935,00:00:00.998,,,,,,,,,,,"yeah you do the less",,,,
00:16:50.945,00:16:52.621,00:00:01.676,,,,,,,,,,,"because otherwise you'll have the negative p",,,,
00:16:52.621,00:16:53.749,00:00:01.128,,,,,,,,,,,"and that's not that fun",,,,
00:16:53.818,00:16:56.083,00:00:02.265,,,,,,,,,,,,"yeah so minus p",,,
00:16:56.083,00:16:57.660,00:00:01.577,,,,,,,,,,,,"and then minus p",,,
00:16:58.268,00:17:01.022,00:00:02.754,,,,,,,,,,,,"so you end up with fifteen equals",,,
00:17:01.391,00:17:01.980,00:00:00.589,,,,,,,,,,,,"oh gosh",,,
00:17:02.708,00:17:04.494,00:00:01.786,,,,,,,,,,,,"got it",,,
00:17:05.891,00:17:11.089,00:00:05.198,,,,,,,,,,,,"pause filler fifteen sorry pause filler fifteen equals two p plus twelve",,,
00:17:12.177,00:17:12.296,00:00:00.119,,,,,,,,,,,"yeah",,,,
00:17:12.925,00:17:13.573,00:00:00.648,,,,,,,,,,,,"so then pause filler",,,
00:17:13.573,00:17:15.888,00:00:02.315,,,,,,,,,,,"it's just like the other problems",,,,
00:17:15.888,00:17:17.684,00:00:01.796,,,,,,,,,,,,"yeah now you subtract twelve",,,
00:17:19.460,00:17:21.785,00:00:02.325,,,,,,,,,,,,"so three equals",,,
00:17:22.174,00:17:22.653,00:00:00.479,,,,,,,,,,,,"oh god",,,
00:17:24.319,00:17:27.532,00:00:03.213,,,,,,,,,,,,"two p no",,,
00:17:27.532,00:17:29.856,00:00:02.324,,,,,,,,,,,,"no you divide it by two",,,
00:17:29.856,00:17:32.999,00:00:03.143,,,,,,,,,,,,"so you end up with three halves",,,
00:17:35.105,00:17:35.803,00:00:00.698,,,,,,,,,,,"yeah so",,,,
00:17:35.803,00:17:37.719,00:00:01.916,,,,,,,,,,,"because you can't simplify that anymore",,,,
00:17:37.719,00:17:46.259,00:00:08.540,,,,,,,,,,,,"yeah all right",,,
00:17:46.259,00:17:53.243,00:00:06.984,,,,,,,,,,,"okay so for this one yeah you want to start off by having only one k",,,,
00:17:56.147,00:18:00.028,00:00:03.881,,,,,,,,,,,,"so you have to subtract that anyway",,,
00:18:00.966,00:18:04.508,00:00:03.542,,,,,,,,,,,,"subtract that from this",,,
00:18:04.508,00:18:06.134,00:00:01.626,,,,,,,,,,,,"so you would end up with negative ten",,,
00:18:06.134,00:18:08.409,00:00:02.275,,,,,,,,,,,,"because you leave the negative there equals",,,
00:18:08.409,00:18:09.087,00:00:00.678,,,,,,,,,,,"yeah",,,,
00:18:10.115,00:18:17.538,00:00:07.423,,,,,,,,,,,,"seven k minus sixty-eight",,,
00:18:17.837,00:18:25.690,00:00:07.853,,,,,,,,,,,,"then plus ten on both sides",,,
00:18:25.690,00:18:25.749,00:00:00.059,,,,,,,,,,,"no",,,,
00:18:25.749,00:18:31.666,00:00:05.917,,,,,,,,,,,"actually you wouldn't want to do the plus ten because then you'll have seven k equals yeah so",,,,
00:18:31.666,00:18:33.352,00:00:01.686,,,,,,,,,,,,"you add sixty-eight",,,
00:18:33.632,00:18:33.841,00:00:00.209,,,,,,,,,,,"yup",,,,
00:18:34.779,00:18:36.884,00:00:02.105,,,,,,,,,,,,"I'm just going to write over it you know what",,,
00:18:37.243,00:18:40.316,00:00:03.073,,,,,,,,,,,,"so plus sixty-eight",,,
00:18:40.506,00:18:42.152,00:00:01.646,,,,,,,,,,,,"so that cancels out",,,
00:18:42.491,00:18:43.060,00:00:00.569,,,,,,,,,,,,"then",,,
00:18:45.644,00:18:46.861,00:00:01.217,,,,,,,,,,,,"seventy-eight",,,
00:18:49.655,00:18:54.364,00:00:04.709,,,,,,,,,,,,"equals seven k",,,
00:18:54.364,00:18:58.036,00:00:03.672,,,,,,,,,,,,"wait is seventy-eight divided by seven divisible by seven I mean",,,
00:18:58.036,00:19:00.830,00:00:02.794,,,,,,,,,,,"wait no I think you messed up because that's a negative ten",,,,
00:19:00.830,00:19:02.915,00:00:02.085,,,,,,,,,,,"so it wouldn't be ten plus sixty",,,,
00:19:02.915,00:19:06.846,00:00:03.931,,,,,,,,,,,"it would be ten minus it would be sixty-eight minus ten",,,,
00:19:07.036,00:19:07.934,00:00:00.898,,,,,,,,,,,,"oh",,,
00:19:08.083,00:19:09.400,00:00:01.317,,,,,,,,,,,"yeah so",,,,
00:19:09.400,00:19:10.617,00:00:01.217,,,,,,,,,,,,"it would be fifty-eight",,,
00:19:12.094,00:19:14.209,00:00:02.115,,,,,,,,,,,,"so fifty-eight equals seven k",,,
00:19:14.209,00:19:17.592,00:00:03.383,,,,,,,,,,,,"so is fifty-eight divisible by a seven",,,
00:19:17.592,00:19:19.467,00:00:01.875,,,,,,,,,,,,"I can't talk I'm sorry pause filler",,,
00:19:19.467,00:19:22.620,00:00:03.153,,,,,,,,,,,"pause filler I don't think though because I don't remember that",,,,
00:19:22.620,00:19:25.224,00:00:02.604,,,,,,,,,,,"fifty-six fifty-eight isn't",,,,
00:19:25.494,00:19:26.202,00:00:00.708,,,,,,,"UL",,,,,"okay great",,,
00:19:27.120,00:19:30.742,00:00:03.622,,,,,,,,,,,"so you can just here we go",,,,
00:19:31.350,00:19:34.294,00:00:02.944,,,,,,,,,,,,"so k equals fifty-eight",,,
00:19:35.012,00:19:35.381,00:00:00.369,,,,,,,,,,,"yeah",,,,
00:19:35.381,00:19:42.994,00:00:07.613,,,,,,,,,,,,"all right next stop",,,
00:19:43.173,00:19:47.184,00:00:04.011,,,,,,,,,,,"pause filler okay to solve this problem you have to delete all the variables",,,,
00:19:50.507,00:19:51.954,00:00:01.447,,,,,,,,,,,,"wait so it said come out",,,
00:19:51.954,00:19:52.812,00:00:00.858,,,,,,,,,,,,"and get us",,,
00:19:53.041,00:19:53.370,00:00:00.329,,,,,,,,,,,"yeah",,,,
00:19:53.789,00:19:56.812,00:00:03.023,,,,,,,,,,,"pause filler do you know where they are",,,,
00:19:58.449,00:20:00.235,00:00:01.786,,,,,,,,,,,,"pause filler I don't but",,,
00:20:00.235,00:20:03.398,00:00:03.163,,,,,,,,,,,"okay maybe they're outside",,,,
00:20:03.398,00:20:04.974,00:00:01.576,,,,,,,,,,,"I'll look and you will",,,,
00:20:05.094,00:20:06.281,00:00:01.187,,,,,,,,,,,,"all right I'll be right back",,,
00:20:06.560,00:20:31.184,00:00:24.624,,,,,,,,,,,,,"okay there's a couple more these",,
00:20:31.274,00:20:34.627,00:00:03.353,,,,,,,,,,,,,"don't have pause filler instructions for her",,
00:20:35.854,00:20:37.001,00:00:01.147,,,,,,,,,,,,,"so go keep going",,
00:20:37.141,00:20:41.032,00:00:03.891,,,,,,,,,,,,,"you've unlocked the free bonus round",,
00:20:41.032,00:20:42.828,00:00:01.796,,,,,,,,,,,,"all right great",,,
00:20:42.828,00:20:44.474,00:00:01.646,,,,,,,,,,,,"so she's tutoring me",,,
00:20:44.474,00:20:44.744,00:00:00.270,,,,,,,,,,,,,"yes",,
00:20:44.744,00:20:45.193,00:00:00.449,,,,,,,,,,,,"all right",,,
00:20:45.252,00:20:47.218,00:00:01.966,,,,,,,,,,,"okay yeah okay (laughter)",,,,
00:20:47.218,00:20:51.378,00:00:04.160,,,,,,,,,,,"so yeah you want to make sure one side has variables and one side doesn't",,,,
00:20:51.498,00:20:55.599,00:00:04.101,,,,,,,,,,,"so which one do you want to start with",,,,
00:20:56.088,00:20:58.393,00:00:02.305,,,,,,,,,,,,"pause filler let's just start with the variables",,,
00:20:58.393,00:21:01.585,00:00:03.192,,,,,,,,,,,,"so you subtract r",,,
00:21:02.134,00:21:06.354,00:00:04.220,,,,,,,,,,,,"so then you would just end up with r  because you don't say one r because it's all yeah",,,
00:21:06.354,00:21:06.674,00:00:00.320,,,,,,,,,,,"yeah",,,,
00:21:06.793,00:21:11.533,00:00:04.740,,,,,,,,,,,,"so you keep the negative thirty-three equals",,,
00:21:15.124,00:21:17.579,00:00:02.455,,,,,,,,,,,,"r minus fifteen",,,
00:21:19.874,00:21:25.860,00:00:05.986,,,,,,,,,,,,"and then you add fifteen to both sides right",,,
00:21:27.257,00:21:27.656,00:00:00.399,,,,,,,,,,,"yup",,,,
00:21:31.507,00:21:31.866,00:00:00.359,,,,,,,,,,,,"so",,,
00:21:32.076,00:21:39.210,00:00:07.134,,,,,,,,,,,"so then you would that would be",,,,
00:21:39.320,00:21:42.752,00:00:03.432,,,,,,,,,,,,"so negative three plus negative thirty-three plus fifteen",,,
00:21:43.640,00:21:44.508,00:00:00.868,,,,,,,,,,,"is",,,,
00:21:45.685,00:21:47.162,00:00:01.477,,,,,,,,,,,"pause filler that's a negative three",,,,
00:21:47.162,00:21:55.443,00:00:08.281,,,,,,,,,,,"I just want to",,,,
00:21:55.952,00:21:58.855,00:00:02.903,,,,,,,,,,,"pause filler that would be a negative twelve I'm pretty sure",,,,
00:22:05.101,00:22:08.344,00:00:03.243,,,,,,,,,,,,"oh wait don't you always want to end up with a variable on the left side",,,
00:22:09.172,00:22:11.885,00:00:02.713,,,,,,,,,,,"pause filler I'm pretty sure that doesn't matter",,,,
00:22:11.885,00:22:13.831,00:00:01.946,,,,,,,,,,,"but yeah if you want to write that around",,,,
00:22:13.831,00:22:15.378,00:00:01.547,,,,,,,,,,,,"all right",,,
00:22:15.378,00:22:15.906,00:00:00.528,,,,,,,,,,,"okay",,,,
00:22:17.543,00:22:21.154,00:00:03.611,,,,,,,,,,,,"negative forty-two plus u equals eight plus four u so",,,
00:22:22.352,00:22:25.205,00:00:02.853,,,,,,,,,,,"so want to get for the variable again",,,,
00:22:25.894,00:22:28.727,00:00:02.833,,,,,,,,,,,,"yeah you subtract u from both sides",,,
00:22:28.727,00:22:34.225,00:00:05.498,,,,,,,,,,,,"so you'd end up with negative forty-two equals eight",,,
00:22:37.238,00:22:40.550,00:00:03.312,,,,,,,,,,,,"plus three u now",,,
00:22:41.518,00:22:42.187,00:00:00.669,,,,,,,,,,,,"so",,,
00:22:42.626,00:22:44.801,00:00:02.175,,,,,,,,,,,"now you want to get rid of that eight",,,,
00:22:46.537,00:22:48.323,00:00:01.786,,,"SV",,"SV1A",,,,,,"oh that's fun underlining stuff (laughter)",,,,
00:22:50.977,00:22:54.080,00:00:03.103,,,,,,,,,,,,"so then you subtract eight from this",,,
00:22:54.439,00:23:00.305,00:00:05.866,,,,,,,,,,,,"so since it's a negative you would base yeah I'm just thinking of",,,
00:23:01.263,00:23:03.139,00:00:01.876,,,,,,,,,,,"yes so it would still be a negative",,,,
00:23:03.139,00:23:05.683,00:00:02.544,,,,,,,,,,,,"oh so yeah it would still be a negative",,,
00:23:05.683,00:23:07.798,00:00:02.115,,,,,,,,,,,,"so you're basically just adding it",,,
00:23:07.798,00:23:10.123,00:00:02.325,,,,,,,,,,,,"but it's a negative kind of",,,
00:23:10.213,00:23:10.582,00:00:00.369,,,,,,,,,,,"yeah",,,,
00:23:10.722,00:23:17.945,00:00:07.223,,,,,,,,,,,,"yeah yeah so you would obviously end up with negative fifty equals three u",,,
00:23:17.945,00:23:21.667,00:00:03.722,,,,,,,,,,,,"and then fifty isn't divisible by three",,,
00:23:22.226,00:23:25.289,00:00:03.063,,,,,,,,,,,,"so just divide it by three",,,
00:23:25.428,00:23:31.285,00:00:05.857,,,,,,,,,,,,"and then u equals oh fifty over three",,,
00:23:31.864,00:23:32.881,00:00:01.017,,,,,,,,,,,,"all right",,,
00:23:34.109,00:23:34.627,00:00:00.518,,,,,,,,,,,,"so",,,
00:23:36.543,00:23:39.915,00:00:03.372,,,,,,,,,,,"I'll pick numbers okay",,,,
00:23:41.412,00:23:49.334,00:00:07.922,,,,,,,,,,,,"so you're just going to add no subtract n",,,
00:23:49.334,00:23:52.327,00:00:02.993,,,,,,,,,,,,"just forget I put that sign there",,,
00:23:53.325,00:23:55.251,00:00:01.926,,,,,,,,,,,,"pause filler subtract n from both sides",,,
00:23:55.939,00:24:08.780,00:00:12.841,,,,,,,,,,,,"so what you end up with one of six equals ninety-nine n plus seven",,,
00:24:10.137,00:24:12.900,00:00:02.763,,,,,,,,,,,,"and then u",,,
00:24:13.569,00:24:15.554,00:00:01.985,,,,,,,,,,,,"do you subtract seven next",,,
00:24:16.243,00:24:18.208,00:00:01.965,,,,,,,,,,,"pause filler yeah you want to subtract the seven",,,,
00:24:18.588,00:24:22.748,00:00:04.160,,,,,,,,,,,,"so you that you end up with ninety-nine on this side also",,,
00:24:22.748,00:24:23.836,00:00:01.088,,,,,,,,,,,,"so ninety-nine equals",,,
00:24:23.836,00:24:24.255,00:00:00.419,,,,,,,,,,,"that would be easy",,,,
00:24:24.474,00:24:25.143,00:00:00.669,,,,,,,,,,,,"ninety-nine",,,
00:24:25.143,00:24:28.475,00:00:03.332,,,,,,,,,,,,"and then obviously that divides into one",,,
00:24:28.475,00:24:31.339,00:00:02.864,,,,,,,,,,,,"so n equals one",,,
00:24:31.648,00:24:33.184,00:00:01.536,,,,,,,,,,,,"that was an easy problem",,,
00:24:33.424,00:24:35.379,00:00:01.955,,,,,,,,,,,"yeah that (inaudible) numbers",,,,
00:24:35.459,00:24:36.567,00:00:01.108,,,,,,,,,,,,"all right",,,
00:24:37.674,00:24:38.432,00:00:00.758,,,,,,,,,,,,"so",,,
00:24:40.378,00:24:40.797,00:00:00.419,,,,,,,,,,,"yeah",,,,
00:24:41.066,00:24:42.723,00:00:01.657,,,,,,,"UL",,,,,"fifty-five all right great",,,
00:24:42.723,00:24:46.414,00:00:03.691,,,,,,,,,,,,"so you subtract g this time because",,,
00:24:46.754,00:24:52.770,00:00:06.016,,,,,,,,,,,"it's so that will less oh I want to try with g",,,,
00:24:54.007,00:24:57.170,00:00:03.163,,,,,,,,,,,"there we go",,,,
00:24:58.088,00:24:59.345,00:00:01.257,,,,,,,,,,,,"fifty-five",,,
00:25:01.410,00:25:02.797,00:00:01.387,,,,,,,,,,,,"I can't even write on this",,,
00:25:02.797,00:25:04.004,00:00:01.207,,,,,,,,,,,,"wait I'm just going to go back",,,
00:25:05.710,00:25:07.317,00:00:01.607,,,,,,,,,,,"you want with the",,,,
00:25:07.317,00:25:07.925,00:00:00.608,,,,,,,,,,,,"all right",,,
00:25:08.514,00:25:12.166,00:00:03.652,,,,,,,,,,,,"so fifty-five minus",,,
00:25:16.825,00:25:24.049,00:00:07.224,,,,,,,,,,,,"no like I'm sorry fifty-five equals seven plus twelve g",,,
00:25:24.368,00:25:24.607,00:00:00.239,,,,,,,,,,,"yup",,,,
00:25:25.725,00:25:26.982,00:00:01.257,,,,,,,,,,,,"so then",,,
00:25:29.037,00:25:29.806,00:00:00.769,,,,,,,,,,,,"plus",,,
00:25:31.582,00:25:33.198,00:00:01.616,,,,,,,,,,,,"no it's minus seven right",,,
00:25:33.368,00:25:35.094,00:00:01.726,,,,,,,,,,,"yeah you want as good as positive",,,,
00:25:35.712,00:25:36.780,00:00:01.068,,,,,,,,,,,,"so minus seven",,,
00:25:37.688,00:25:43.934,00:00:06.246,,,,,,,,,,,,"and then that would end up being forty-eight yeah forty-eight",,,
00:25:44.043,00:25:44.732,00:00:00.689,,,,,,,,,,,"yeah forty-eight",,,,
00:25:44.732,00:25:49.531,00:00:04.799,,,,,,,,,,,"(inaudible) oh yeah because I want to subtract the two",,,,
00:25:50.169,00:25:55.996,00:00:05.827,,,,,,,,,,,,"so forty-eight is pause filler that's twelve times four right",,,
00:25:57.483,00:25:57.762,00:00:00.279,,,,,,,,,,,"pause filler yeah",,,,
00:25:57.762,00:26:00.466,00:00:02.704,,,,,,,,,,,"that's what so you'd want to divide the twelve",,,,
00:26:00.705,00:26:04.666,00:00:03.961,,,,,,,,,,,,"so g equals four great",,,
00:26:05.884,00:26:11.451,00:00:05.567,,,,,,,,,,,"and okay and",,,,
00:26:11.451,00:26:18.545,00:00:07.094,,,,,,,,,,,,"all right so you would want to start out by subtracting the n",,,
00:26:19.503,00:26:23.105,00:00:03.602,,,,,,,,,,,,"and then doing that on both sides and",,,
00:26:23.105,00:26:25.649,00:00:02.544,,,,,,,,,,,,,"all right",,
00:26:27.335,00:26:29.241,00:00:01.906,,,,,,,,,,,,,"how did it go",,
00:26:29.999,00:26:30.159,00:00:00.160,,,,,,,,,,,,"huh",,,
00:26:30.159,00:26:31.106,00:00:00.947,,,,,,,,,,,,,"how did it go",,
00:26:31.106,00:26:31.745,00:00:00.639,,,,,,,,,,,,"oh it's doing great",,,
00:26:31.954,00:26:32.543,00:00:00.589,,,,,,,,,,,,,"cool great",,
00:26:32.653,00:26:34.449,00:00:01.796,,,,,,,,,,,,,"so we're actually finished with this portion",,
00:26:34.688,00:26:36.734,00:00:02.046,,,,,,,,,,,,,"so I'll take these pens back",,
00:26:36.734,00:26:37.312,00:00:00.578,,,,,,,,,,,,"oh sorry",,,
00:26:37.312,00:26:44.326,00:00:07.014,,,,,,,,,,,,,"mm-hmm pause filler and you guys have a little bit of break here for a second while we get something",,
00:26:44.326,00:26:46.062,00:00:01.736,,,,,,,,,,,,,"pause filler what for the meanwhile",,
00:26:46.691,00:26:49.924,00:00:03.233,,,,,,,,,,,,,"so take a few minutes hang out pause filler",,
00:26:49.924,00:26:53.875,00:00:03.951,,,,,,,,,,,,,"and I love it bring food snack",,
00:26:55.321,00:27:00.400,00:00:05.079,,,,,,,,,,,,,"so you can (inaudible) pause filler yeah that's",,
00:27:00.400,00:27:01.627,00:00:01.227,,,,,,,,,,,,,"and I'm coming back in",,
00:27:02.096,00:27:02.256,00:00:00.160,,,,,,,,,,,"okay",,,,
00:27:02.345,00:27:23.856,00:00:21.511,,,,,,,,,,,"(laughter) this is weird",,,,
00:27:24.305,00:27:25.443,00:00:01.138,,,,,,,,,,,"this is so weird",,,,
00:27:25.583,00:27:33.764,00:00:08.181,,,,,,,,,,,"it's like you're holding hands",,,,
00:27:33.764,00:27:38.613,00:00:04.849,,,,,,,,,,,,"these are confusing me",,,
00:27:38.753,00:27:39.740,00:00:00.987,,,,,,,,,,,"the smell",,,,
00:27:40.988,00:27:57.440,00:00:16.452,,,,,,,,,,,,"they're supposed to be sweet and sour",,,
00:27:57.929,00:28:00.613,00:00:02.684,,,,,,,,,,,"that is weird",,,,
00:28:00.613,00:28:00.673,00:00:00.060,,,,,,,,,,,,"yeah",,,
00:28:01.371,00:28:04.833,00:00:03.462,,,,,,,,,,,,"better eat all the gummy candy I can because I have to get braces",,,
00:28:04.833,00:28:06.051,00:00:01.218,,,,,,,,,,,,"I don't have the exact (inaudible)",,,
00:28:06.051,00:28:07.437,00:00:01.386,,,,,,,,,,,,"but yeah it sucks",,,
00:28:08.236,00:28:12.705,00:00:04.469,,,,,,,,,,,,"it's like all my friends are getting their braces off",,,
00:28:12.705,00:28:14.012,00:00:01.307,,,,,,,,,,,,"and I'm getting them on",,,
00:28:15.329,00:28:18.422,00:00:03.093,,,,,,,,,,,"well my teeth were like bad",,,,
00:28:18.422,00:28:19.979,00:00:01.557,,,,,,,,,,,"and I have to",,,,
00:28:20.408,00:28:24.938,00:00:04.530,,,,,,,,,,,"so I have braces but since they're like so bad I need to get a second pair",,,,
00:28:25.496,00:28:25.945,00:00:00.449,,,,,,,,,,,,"oh",,,
00:28:27.063,00:28:31.912,00:00:04.849,,,,,,,,,,,"yeah so (inaudible) called on vacation for my teeth at the moment",,,,
00:28:33.947,00:28:34.865,00:00:00.918,,,,,,,,,,,,"oh my gosh",,,
00:28:36.581,00:28:41.690,00:00:05.109,,,,,,,,,,,"it's like a long vacation actually",,,,
00:28:41.809,00:28:43.046,00:00:01.237,,,,,,,,,,,"so not too bad",,,,
00:28:45.102,00:28:47.646,00:00:02.544,,,,,,,,,,,,"wait so is your school a private school",,,
00:28:48.474,00:28:49.741,00:00:01.267,,,,,,,,,,,"no it's a public school",,,,
00:28:50.779,00:28:52.645,00:00:01.866,,,,,,,,,,,,"so but you have spring break right now",,,
00:28:53.413,00:28:55.807,00:00:02.394,,,,,,,,,,,"no not now like a vacation for my teeth",,,,
00:28:56.296,00:28:56.546,00:00:00.250,,,,,,,,,,,,"oh",,,
00:28:56.705,00:28:58.950,00:00:02.245,,,,,,,,,,,"and the spring break is next week yeah",,,,
00:28:59.130,00:29:02.073,00:00:02.943,,,,,,,,,,,"and the spring break is next week I'm pretty sure yeah",,,,
00:29:02.073,00:29:03.859,00:00:01.786,,,,,,,,,,,,"do you guys even get a spring break",,,
00:29:04.428,00:29:04.757,00:00:00.329,,,,,,,,,,,"yeah",,,,
00:29:05.366,00:29:07.571,00:00:02.205,,,,,,,,,,,"we have weeklong yeah",,,,
00:29:07.750,00:29:08.688,00:00:00.938,,,,,,,,,,,,"we don't even get a week",,,
00:29:08.688,00:29:10.005,00:00:01.317,,,,,,,,,,,,"we get like three days",,,
00:29:10.005,00:29:11.322,00:00:01.317,,,,,,,,,,,"oh that sucks",,,,
00:29:12.430,00:29:17.149,00:00:04.719,,,,,,,,,,,"yeah maybe your like pause filler winter break might be longer or",,,,
00:29:17.628,00:29:18.117,00:00:00.489,,,,,,,,,,,,"yeah",,,
00:29:18.765,00:29:22.198,00:00:03.433,,,,,,,,,,,,"how long is your winter break",,,
00:29:22.946,00:29:31.167,00:00:08.221,,,,,,,,,,,"oh I mean I think it was like oh it was like it was somewhere between one and two weeks",,,,
00:29:31.566,00:29:34.150,00:00:02.584,,,,,,,,,,,,"yeah we get like eleven or twelve days",,,
00:29:35.517,00:29:37.453,00:00:01.936,,,,,,,,,,,"yeah maybe I don't know maybe your summer is longer",,,,
00:29:37.453,00:29:37.932,00:00:00.479,,,,,,,,,,,"I don't know",,,,
00:29:37.932,00:29:39.349,00:00:01.417,,,,,,,,,,,"probably adds up somewhere",,,,
00:29:40.227,00:29:41.544,00:00:01.317,,,,,,,,,,,"maybe you get out of school earlier",,,,
00:29:41.863,00:29:48.977,00:00:07.114,,,,,,,,,,,,"well this year my spring break actually lasted three weeks because I went to Florida the week that everyone went back to school (laughter)",,,
00:29:48.977,00:29:59.932,00:00:10.955,,,,,,,,,,,,"I'm so jealous at my friend because she just her birthday was just yesterday",,,
00:30:00.361,00:30:04.721,00:00:04.360,,,,,,,,,,,,"and pause filler her parents had been apparently planning a trip for Europe for three years",,,
