,Dyad,Session,Time_begin,P1,P2,SD,QE,SV,PR,HD,a,sca,b,scb,c,scc,d,scd,e,sce
15913,7,1,00:39:00.400000,,it's on my leg pause filler,,,x,,,it's on my leg pause filler,90,just trying to go through it,86.0,oh my gosh,50.0,so,45.0,oh,45.0
16016,7,1,00:46:10.200000,,really (laughter),,,x,,,it like makes really little lines though,90,really (laughter),90.0,well if you add k to this side,57.0,ops okay pause filler I just pressed actually pressing it,40.0,I see that,30.0
16990,7,2,00:50:35.900000,,I think I know (laughter),,,x,,x,I think I know (laughter),90,(laughter) I'll draw another fancy k,86.0,let me figure out what we have to do for this just so I can pause filler,86.0,all right so then fifteen point five equals k,50.0,how do I get,48.0
17068,8,1,00:00:43.100000,awesome okay so pause filler where do you go to school,,,x,,,,awesome,90,alright so hi I'm Joey,86.0,nice to meet you,86.0,what grade are you in,86.0,I go to Dice,86.0
16206,7,2,00:04:12.000000,,pause filler I just play for my school,x,,,,x,pause filler I just play for my school,90,I'm okay,86.0,I don't want to touch any of them because I'd probably mess them up so,86.0,oh this mechanical pencil is I like mechanical pencils,86.0,I play for CAPA yeah,64.0
15307,6,2,00:56:30.100000,I quit I,,,,x,,,I quit I hated it ,90,oh I'd I'd never (inaudible),86.0,I hate it I hate it so much ,86.0,and they all tell me how I should stay,86.0,and why I should stay,86.0
16443,7,2,00:18:09.300000,,what (laughter),,,x,,,what (laughter),90,what's fourteen time wait,90.0,do you mean three over eight,45.0,why are you switching it though,45.0,why are you searching the fraction,30.0
16252,7,2,00:07:38.800000,I'm using a mouse (laughter),,,,x,,,I'm using a mouse (laughter),90,I have a mouse,74.0,it's nine over forty-nine,43.0,your face it's like,42.0,okay and now we have to do forty over one times three over seven equals seven,42.0
16277,7,2,00:09:05.000000,,so pause filler,,,x,,,so pause filler,90,a fraction,45.0,I can't see,45.0,oh my gosh,45.0,I see it okay,45.0
14607,6,2,00:05:39.700000,,yeah so stay we're getting late twenty-five dollars oh okay,,,x,,,twenty-five dollars oh okay,90,did you get fifteen dollars last time,86.0,so today we're getting like ,86.0,They're coming back,86.0,okay,60.0
16279,7,2,00:09:06.700000,,oh here we go okay (laughter),,,x,,,okay,90,oh here we go okay (laughter),90.0,oh my gosh,86.0,oh oh oh there we go,77.0,I see it okay,58.0
16774,7,2,00:38:38.100000,,rebel (laughter),,,x,,,rebel (laughter),90,red,60.0,well I think you're supposed to be black,54.0,and then it's just going to be x alone,36.0,so whatever twenty-five equals x,36.0
15284,6,2,00:55:33.400000,,there go here,,,x,,,don't go there go here,90,so I might go to Winchester,86.0,like I was like pretty much about to go to Winchester,86.0,oh yeah I wouldn't fit in there then,86.0,yeah I might like after two years at Ellis my parents will like me switch schools,56.0
17048,7,2,00:53:46.800000,,no okay pause filler,,,x,,,no okay pause filler,90,okay so for this one you have to oh,86.0,so we had to divide two hundred ten to each side,39.0,so then the other side just became y,39.0,all right want to go to the next one,39.0
16332,7,2,00:11:53.900000,okay sorry (laughter),,,,x,,,okay sorry (laughter),90,okay,90.0,one twenty (laughter) (inaudible) sorry,86.0,so yeah okay next problem,86.0,okay got it,57.0
16360,7,2,00:13:11.700000,pause filler hold up,,,,x,,,pause filler hold up,90,that just takes up more room,86.0,you just how about you just my like writing and then,49.0,why don't you just use this,39.0,so it's neither and you can actually understand it,39.0
16051,7,1,00:47:54.300000,this damps (laughter),,,,x,,,this damps (laughter),90,this is really scary,86.0,what am I doing,36.0,it was weird,36.0,I have no idea,33.0
16250,7,2,00:07:30.200000,,I have no idea (laughter),,,x,,,I have no idea (laughter),90,I'm like trying so hard,86.0,okay negative or positive,46.0,what oh three over seven,45.0,we (inaudible) three wait three over seven times three over,45.0
15778,7,1,00:26:29.500000,,(laughter) okay,,,x,,,(laughter) okay,90,oh okay okay and then this is thirteen time like three,60.0,yeah I think you're supposed to have green okay,60.0,oh they're coming okay you can select I think,60.0,okay oh yeah pause filler and then yeah,60.0
15790,7,1,00:26:58.100000,,we are working right (laughter),,,x,,,we are working right (laughter),90,all right,86.0,we're working now,76.0,(laughter) okay,46.0,oh they're coming okay you can select I think,45.0
15267,6,2,00:54:54.600000,and I'm also bad,,,,x,,,and I'm also bad and I get really bad grades so I don't understand how they will accept me,90,and our sweatshirts have to say (inaudible),86.0,and it can have a hood on them,86.0,and sweaters they changed the rule every day,86.0,and somebody say like you have to take that up,86.0
14922,6,2,00:36:38.300000,hold on,,,,x,,,oh wait mine's the wrong color hold on,90,what would that be hold on,90.0,I was supposed to write on black right,86.0,  x and circle and well I don't know why I'm doing it,51.0,one twenty fifth equals x ,49.0
14994,6,2,00:40:18.300000,awesome track,,,,x,,,awesome track what is it pause filler,90,so you would subtract twenty-five,53.0,so I guess you could just really subtract one over x minus one over thirty-five equals eight over x,46.0,(inaudible) negative nine x equals one of three,41.0,so then you get one zero three,39.0
14995,6,2,00:40:21.800000,what is it pause filler,,,,x,,,awesome track what is it pause filler,90,I don't know it's like eleven and four ninths,86.0,yeah I know it's not writing,86.0,it's not writing,86.0,I don't know why I'm so annoyed,54.0
15039,6,2,00:43:01.400000,well let's draw,,,,x,,,well let's draw I'm drawing (sfx),90,okay let me see how much time we have left,86.0,let's see who can fill up the page first,86.0,can I go get them so we can,42.0,for nineteen minutes until we get to finish,42.0
15040,6,2,00:43:08.000000,I'm drawing (sfx),,,,x,,,well let's draw I'm drawing (sfx),90,can I go get them so we can,86.0,I can't see any of your writing,86.0,and you get eleven three hundred and forty x,40.0,okay let me see how much time we have left,40.0
15443,7,1,00:09:06.300000,,(laughter) it's like really big,,,x,,,(laughter) it's like really big,90,they just like tried to do it I guess,86.0,yeah okay so I think it says to add six right,86.0,okay plus oh just like they're like so then,86.0,I'm just like,86.0
14563,6,2,00:01:13.500000,(laughter) how are you,,,x,,,,good (laughter) how are you,90,and now we're doing more math,50.0,I had to take a math test this morning  so I could get extra credit and that,40.0,but this math is really easy,40.0,this makes my life super easy ,40.0
15105,6,2,00:47:16.100000,I'm just trying to kill time,,,,x,,,I'm just trying to kill time so we don't have to do all of them,90,so then you just got to like yeah that's the answer,86.0,we just did this you just cleared the page,86.0,I don't know what I'm drawing I just feel like drawing,86.0,I also like (inaudible) she looks for her like that,86.0
15106,6,2,00:47:20.400000,so we don't have to do all of them,,,,x,,,I'm just trying to kill time so we don't have to do all of them,90,so then you just got to like yeah that's the answer,86.0,I don't know what I'm drawing I just feel like drawing,86.0,so like if you didn't do it,53.0,oh she's (inaudible),48.0
15364,7,1,00:01:40.500000,,probably algebra (laughter),x,,,,x,probably algebra (laughter),90,oh I don't have yeah that's probably science yeah,86.0,yeah like our algebra teacher,86.0,yeah,45.0,mm-hmm we have so many crazy teachers that's why,40.0
15330,7,1,00:00:15.600000,,pause filler what's your name,,x,,,,pause filler what's your name,90,same,68.0,same,68.0,what grade are you in,62.0,(laughter) yup but yeah but do you have to take keystones,50.0
15162,6,2,00:50:04.700000,,pause filler sorry,,,,,x,pause filler sorry,90,oh my god,36.0,that's so nice,36.0,seventeen thirty-eight ha ha,36.0,but mine is just a conference room,21.0
15195,6,2,00:51:45.200000,,pause filler like physics or something,x,,x,,,pause filler like physics or something,90,I think like the first year of Winchester because now I was looking there for high school,86.0,we have to take physics as well the first year,86.0,but it's like a nice place I guess pause filler,86.0,I was considering,48.0
15103,6,2,00:47:09.600000,I don't know what I'm drawing,,,,x,,,I don't know what I'm drawing I just feel like drawing,90,I'm just trying to kill time so we don't have to do all of them,86.0,I also like (inaudible) she looks for her like that,86.0,well this is what happens when you put two thirteen year olds on FaceTime,86.0,so like if you didn't do it,48.0
17345,8,1,00:38:21.300000,okay so,,,,x,,,okay,90,so,90.0,I'm not accurate though okay sixty-two,86.0,okay so you have sixty-two (inaudible) equals sixty-two over three ten x okay is equal okay next question,60.0,in sports it's really good to be in sports,51.0
15268,6,2,00:54:55.300000,and I get really bad grades,,x,,x,,,and I'm also bad and I get really bad grades so I don't understand how they will accept me,90,and our sweatshirts have to say (inaudible),86.0,and sweaters they changed the rule every day,86.0,and somebody say like you have to take that up,86.0,like if I were against the school just like a black Star Wars voucher,86.0
14815,6,2,00:30:18.900000,I'm tired,,x,,,,,I'm not even hungry I'm tired,90,I hope they don't bring us skittles again,86.0,I don't want some,86.0,I had a milkshake,86.0,I can't chew them because of my stupid braces,86.0
17472,8,2,00:07:19.400000,pause filler I think so,,,,,,x,oh I think so because you have so when we divide it by three,90,so again these are kind of the logic behind,86.0,yeah so how many do we have this time,86.0,awesome so can we start,86.0,I don't think you got a whole number,86.0
14678,6,2,00:10:49.700000,this one,,,,x,,,you can select it with this one,90,it's a socket pen option,53.0,have you used the calligraphy pen it's a little bit easier,43.0,wow,30.0,,0.0
15646,7,1,00:20:04.800000,,yeah well then yeah (laughter),,,x,,,yeah well then yeah (laughter),90,yeah yeah because (inaudible) yeah,86.0,and then you could like cross that,86.0,well wait negative nine plus nine,86.0,I think you tutor me for like half the time,44.0
17262,8,1,00:24:28.100000,,oh one second I don't know why we're kind of through this,,,x,,x,oh one second,90,yeah I want to switch to this computer,86.0,how to do that,49.0,,0.0,,0.0
14741,6,2,00:18:28.400000,,pause filler I don't know what to do,x,,x,,,pause filler I don't know what to do,90,so I'm not going to do,64.0,I'm just going to build on,49.0,oh it says stop come out,43.0,oh whatever we'll just move on,42.0
15630,7,1,00:19:29.100000,,what (laughter),,,x,,,what (laughter),90,erase that,68.0,wait so wait,68.0,like the cheat sheet thing,68.0,all right,45.0
14745,6,2,00:18:41.700000,do you want to get them,,,,x,,,do you want to get them I'll get them next time,90,did you,86.0,no we have to go get them,67.0,,0.0,,0.0
15269,6,2,00:54:57.000000,so I don't understand how they will accept me,,,,x,,,and I'm also bad and I get really bad grades so I don't understand how they will accept me,90,or I'm giving you detention,86.0,like if I were against the school just like a black Star Wars voucher,86.0,I would get yelled at,86.0,yeah they're,86.0
14747,6,2,00:18:46.100000,,pause filler okay,,,x,,,pause filler okay,90,oh it says stop come out,45.0,it says come out,45.0,I'm just going to build on,22.0,oh whatever we'll just move on,22.0
14757,6,2,00:19:42.800000,I don't know what I'm going,,x,,x,,,I don't know what I'm going I'm just like really bored,90,I can't math,86.0,did you,39.0,oh sorry,34.0,good job,32.0
14758,6,2,00:19:45.600000,I'm just like really bored,,x,,x,,,I don't know what I'm going I'm just like really bored,90,I can't math,86.0,did you,49.0,good job,43.0,oh sorry,34.0
15557,7,1,00:15:52.300000,no I'm just joking (laughter),,,,x,,x,no I'm just joking (laughter),90,well I don't want to write anything,86.0,I have no idea what you are doing,86.0,okay how about you just erase everything,86.0,wait go to that box like that window box and see,40.0
15554,7,1,00:15:41.400000,okay (laughter),,,,x,,,okay (laughter),90,oh look at that,68.0,really,45.0,no I'm just joking (laughter),45.0,well I don't want to write anything,30.0
14814,6,2,00:30:15.300000,I'm not even hungry,,x,,,,,I'm not even hungry I'm tired,90,I hope they don't bring us skittles again,86.0,I can't chew them because of my stupid braces,86.0,and I can't like eat (inaudible),86.0,but now you get to tutor me cuz I'm stupid,86.0
15541,7,1,00:14:53.500000,,pause filler what oh my gosh okay (laughter),,,x,,,pause filler what oh my gosh okay (laughter),90,oh yeah yeah yeah okay so I'll do,86.0,oh gosh,86.0,pause filler okay so I'll just do like eighty-eight which should be like,86.0,oh my god,86.0
14661,6,2,00:09:50.000000,oh pause filler,,,,,,x,oh pause filler,90,oh right I have to put my face on the screen the whole time,60.0,negative two thirds y that is eighteen it's fifty-two,30.0,so what would you do first to this eighteen,30.0,(inaudible) I'm so tired,30.0
14746,6,2,00:18:44.800000,I'll get them next time,,,,x,,,do you want to get them I'll get them next time,90,no we have to go get them,59.0,did you,25.0,,0.0,,0.0
13800,6,1,00:06:18.300000,and they paid me twenty bucks an hour and a half,,x,,,,,an hour and a half,90,the last study I did here took like five minutes and they paid me twenty bucks ,86.0,I didn't realize I was signing up to do math problems that I did for a homework,86.0,okay they're back okay,86.0,we're getting paid forty bucks for ninety minutes,49.0
575,10,1,00:34:12.900000,I have a C in math others are all As,,x,,,,,how bad my grades this year I'm going to  I have a C in math others are all As,90,I really don't know why people think that like it's cool to say like how's your school,86.0,it's really because I got a really bad grade in the first quarter,86.0,and then you're just trying to work that up I've got an 80%,86.0,and I'm like I sat here bored as always what's,52.0
9848,3,1,00:30:35.200000,,well the reason I went to Florida is because pause filler my grandparents go up every year for a few months,x,,,,,my grandparents go up every year,90,my grandparents go up every year,90.0,apparently planning a trip for Europe for three years and they're going to travel to like Paris and Italy and all these different places in Europe and it's going to be really nice,86.0,where are you going are you going on vacation this year,86.0,well the reason I went to Florida is because umm,86.0
9857,3,1,00:31:10.200000,so like I always get headaches when I get there,,x,,,,,really high altitude so like I always get headaches when I get there but it's still fun,90,really high altitude so like I always get headaches when I get there but it's still fun,90.0,yeah it's nice in there,86.0,yeah it's nice in there,86.0,so,60.0
9861,3,1,00:31:21.100000,,I've never been out of the US,x,,,,,I'm going to Mexico this summer it's going to be really fun I've never been out of the US,90,I'm going to Mexico this summer it's going to be really fun I've never been out of the US,90.0,well the reason I went to Florida is because umm,86.0,my dad umm my dad and I just went up for a little bit,86.0,my mom stayed back home because I have a baby sister so,86.0
9871,3,1,00:31:53.200000,,so what do you do like,,x,,,,what do you do,90,what do you do,90.0,like umm,86.0,I usually just go to like a regular beach like Myrtle beach or somewhere of the year but,86.0,what like what is your hobby what are your hobbies what do you do,86.0
9872,3,1,00:31:55.700000,,what is your hobby,,x,,,,what like what is your hobby what are your hobbies what do you do,90,what like what is your hobby what are your hobbies what do you do,90.0,what do you do,69.0,what do you do,69.0,I do musical theater,45.0
9873,3,1,00:31:56.700000,,what are your hobbies,,x,,,,what like what is your hobby what are your hobbies what do you do,90,what like what is your hobby what are your hobbies what do you do,90.0,what do you do,86.0,what do you do,86.0,I'm going to Mexico this summer it's going to be really fun I've never been out of the US,44.0
9881,3,1,00:32:19.500000,,I am not good at sports at all,x,,,,,you're lucky you can play a sport I am not good at sports at all,90,you're lucky you can play a sport I am not good at sports at all,90.0,I usually just go to like a regular beach like Myrtle beach or somewhere of the year but,86.0,I went to Tennessee one year oh god my voice just crack really bad,86.0,I do musical theater,86.0
9957,3,1,00:38:21.300000,,yeah I'm okay,,,,,x,yeah I'm okay thank you,90,yeah I'm okay thank you,90.0,yeah you should start off with the variable,86.0,I know but would you,86.0,yeah you should start off with the variable,86.0
10008,3,1,00:41:41.600000,,all right great,,,,x,,all right,90,all right great now next,90.0,all right,90.0,all right great now next,90.0,all right so for this one it's different than the last one,86.0
10045,3,1,00:44:27.300000,,you're moving fast,,,,x,,onto the next problem you're moving fast,90,onto the next problem you're moving fast,90.0,you would start off by adding what number,86.0,so you just want to make that equal on both sides,86.0,you would start off by adding what number,86.0
10086,3,1,00:47:02.800000,pause filler I'll say forty forty w,,,,,,x,forty w,90,forty w,90.0,forty w,90.0,forty w,90.0,umm I'll say forty,88.0
750,10,1,00:44:13.900000,,and you follow this,,,x,,,and you understand the rules gonna help but we all have different ways of thinking like some people are just like this is the rule and you follow this,90,yeah I just don't want to watch this and (inaudible) and be like oh that girl didn't teach her anything,86.0,so seven and what would the other side be,86.0,but sometimes like pause filler you can if you just follow like the rules,86.0,and we're like well logically that doesn't make sense like that's like,86.0
10184,3,2,00:01:51.500000,pause filler pretty good pause filler,,x,,,,,ah pretty good spring break just started for me,90,oh,45.0,that would be nice,40.0,I hope that it works out,40.0,have you guys spring break yet,38.0
10214,3,2,00:03:10.900000,,I'm tired,x,,,,,I'm tired (laughter),90,and I'll go to church probably on that day,86.0,so are you tired,86.0,oh yeah I have to wake up at seven o'clock also,86.0,I'm at eight six o'clock I can't yet,86.0
652,10,1,00:38:41.400000,that is the worst thing I've ever done,,,,x,,,let me try no no press the button oh my god that is the worst thing I've ever done,90,that's all right now,86.0,oh what did I do,86.0,yay no next one I suppose,86.0,I think so,86.0
606,10,1,00:36:24.400000,,I'm not sure,,,x,,,yeah it might do that if you're hovering over it I'm not sure,90,and I always split it down the middle on the equals sign like that,86.0,because they said not to give you the answers,86.0,so I don't want to just do it,86.0,okay wait a minute I'm sorry,86.0
14382,6,1,00:44:37.700000,and that would be kind of problematic,,,,,,x,so if you subtracted y then there would be zero ys and that would be kind of problematic,90,so when you get negative one hundred and six equals two y divided by two divided by two negative fifty-three okay is that right probably,86.0,I was writing that upside down that whole time,48.0,okay so add y to both sides like you're saying,41.0,okay oh,39.0
10467,3,2,00:19:18.100000,,pause filler I guess this side,,,,,x,pause filler I guess this side,90,so this one is going to be plus sixty-one to both sides,86.0,just work through the first step really quick because I'm confused just,86.0,like this side over here,66.0,because that's like (inaudible),48.0
561,10,1,00:33:29.600000,I really don't know why people think that,,x,,,,,I really don't know why people think that like it's cool to say like how's your school,90,I dont know,86.0,yeah that would be fun,86.0,how bad my grades this year I'm going to  I have a C in math others are all As,86.0,people don't just stop by pause filler (laughter),48.0
10817,3,2,00:49:18.300000,pause filler ops one second I think pause filler oh actually a way to scroll down,,,,,,x,ops one second,90,actually a way to scroll down,90.0,no that one,86.0,I'll just try and go with it,86.0,yes you divide a hundred and three,86.0
543,10,1,00:32:37.500000,,because I'm pretty sure you're in that room,x,,,,,like I'm not going to do this but (inaudible) on that wall and you could hear me because I'm pretty sure you're in that room I could be wrong,90,we're in different rooms,86.0,I'm pretty sure we just hear each other super loud due to the earphone,86.0,and they ask questions that you usually wouldn't ask in real life but,86.0,but they're just commonly questions like what's your favorite subject or what are your hobbies but,86.0
532,10,1,00:32:03.100000,it's just annoying,,x,,,,,yeah I know it's not (inaudible) it's just annoying,90,this is like standing in a room with somebody you know it's just like what do I do,86.0,I know it's just,68.0,I don't know,47.0,yeah I have no idea what to do right now,43.0
11090,4,1,00:27:53.500000,,it's easier to just subtract that y,,,,,x,thirteen y plus twenty-seven pause filler it's easier to just subtract that y,90,so you get twelve y plus twenty-seven equals negative seventy-three,86.0,you get twelve y equals pause filler twenty-seven negative seventy-three a hundred negative one hundred,86.0,okay and negative one hundred twelfths or y equals negative pause filler twenty-five thirds,86.0,because you can reduce it okay pause filler a hundred okay,86.0
11164,4,1,00:35:35.300000,and then we read,,x,,,,,and she rambles a little bit and then she keeps talking and then we read and she gives us work and then we leave,90,and it's crazy,60.0,like he yells at us and he gets really mad and it's almost funny and you hate him and it's just a routine now which is sort of bad but sort of funny,57.0,my homeroom teacher lectures us like at least once a week,45.0,oh,45.0
11165,4,1,00:35:36.900000,and she gives us work,,x,,,,,and she rambles a little bit and then she keeps talking and then we read and she gives us work and then we leave,90,yeah my history teacher she'll start talking about the lesson,86.0,and it's crazy,86.0,my homeroom teacher lectures us like at least once a week,86.0,like he yells at us and he gets really mad and it's almost funny and you hate him and it's just a routine now which is sort of bad but sort of funny,86.0
9835,3,1,00:29:41.900000,,well this year my spring break actually lasted three weeks because I went to Florida the week that everyone went back to school (laughter),,,,,x,well this year my spring break actually lasted three weeks because I went to Florida,90,well this year my spring break actually lasted three weeks because I went to Florida,90.0,do you guys even get a spring break,86.0,we don't even get a week we get like three days,86.0,how long is your winter break,86.0
11166,4,1,00:35:38.000000,and then we leave,,x,,,,,and she rambles a little bit and then she keeps talking and then we read and she gives us work and then we leave,90,like he yells at us and he gets really mad and it's almost funny and you hate him and it's just a routine now which is sort of bad but sort of funny,57.0,yeah my history teacher she'll start talking about the lesson,56.0,and it's crazy,52.0,my homeroom teacher lectures us like at least once a week,45.0
9829,3,1,00:29:22.900000,oh I mean I think it was like oh it was like it was somewhere between one and two weeks,,x,,,,,I mean I think it was like,90,it was like,90.0,it was somewhere between one and two weeks,90.0,I mean I think it was like,90.0,it was like,90.0
9823,3,1,00:29:07.700000,,we don't even get a week,x,,,,,we don't even get a week we get like three days,90,we don't even get a week we get like three days,90.0,wait so is your school a private school,86.0,yeah we get like eleven or twelve days,86.0,the week that everyone went back to school (laughter),86.0
9347,3,1,00:02:17.000000,,I just can't see the problem,,,,,x,I see green on most of the pages I just can't see the problem,90,I see green on most of the pages I just can't see the problem,90.0,wait I can't,86.0,umm I'll go to a page keep going on pages I can all I see is different pages with like scribbles and stuff,86.0,wait I can't,86.0
1540,10,2,00:40:07.400000,uh-huh (laughter),,,,x,,,uh-huh (laughter),90,I don't know what the heck we're doing anyway,45.0,what are we doing (laughter),45.0,two hundred forty,45.0,whoa pointless (inaudible) on that (laughter),45.0
9365,3,1,00:03:19.300000,,my name is McKenna,x,,,,,my name is McKenna what about you,90,my name is McKenna what about you,90.0,is this it,86.0,is it x minus six equals thirteen,86.0,wait is it three plus x equals twenty-two,86.0
9366,3,1,00:03:21.100000,,what about you,,x,,,,my name is McKenna what about you,90,my name is McKenna what about you,90.0,wait what's your name,86.0,so what grade are you in,86.0,wait what's your name,86.0
1528,10,2,00:39:24.200000,what are we doing (laughter),,,,x,,,what are we doing (laughter),90,I don't know what the heck we're doing anyway,86.0,yeah what is this,50.0,so negative three (inaudible) but yeah,48.0,I want to get rid of all that,48.0
1519,10,2,00:39:05.000000,ah goodbye (laughter),,,,x,,,ah goodbye (laughter),90,yeah well let's try it twenty-four so twenty-four zero zero not twenty-four zero,43.0,so negative three (inaudible) but yeah,36.0,I want to get rid of all that,36.0,that looks like an upside down sock,36.0
9413,3,1,00:05:42.700000,,okay great great,,,,x,,wait are you on the yeah okay great great all right thank you,90,wait are you on the yeah okay great great all right thank you,90.0,all right great,65.0,all right great,65.0,oh okay it's working,54.0
9423,3,1,00:06:25.900000,I go to SciTech,,,,x,,,I go to SciTech what about you,90,I go to SciTech what about you,90.0,I mean I like math because it I mean it's sort of fun,86.0,yeah I'm on the same page umm did they change your page or,86.0,I mean I like math because it I mean it's sort of fun,86.0
9424,3,1,00:06:26.600000,what about you,,,,x,,,I go to SciTech what about you,90,I go to SciTech what about you,90.0,yeah accidentally got like this it's like over the things you can't really erase,86.0,okay yeah so they exactly know what's happening,86.0,but you got yeah homework listed and all that those are unfun stuff,86.0
9485,3,1,00:09:44.200000,,so it would be k equals six,,,,,x,then those who cancel out so it would be k equals six,90,then those who cancel out so it would be k equals six,90.0,so you would subtract eleven because it's a positive right,86.0,yeah yeah yeah yeah so you'd have to divide because it's multiplication then you do the opposites so divided by forty,86.0,I have to take a moment to think now because I'm so accustomed in my class to using calculators like she lets us,86.0
9532,3,1,00:11:59.100000,,so are you an advanced then,,,x,,,so are you an advanced then because you're an algebra in the seventh grade,90,so are you an advanced then because you're an algebra in the seventh grade,90.0,it seems so embarrassing because it's just like we're so used to using calculators but it just,86.0,and English is more my subject like I'm in advanced English all the time but,86.0,it seems so embarrassing because it's just like we're so used to using calculators but it just,86.0
9533,3,1,00:12:01.100000,,because you're an algebra in the seventh grade,,,x,,,so are you an advanced then because you're an algebra in the seventh grade,90,so are you an advanced then because you're an algebra in the seventh grade,90.0,it seems so embarrassing because it's just like we're so used to using calculators but it just,86.0,and English is more my subject like I'm in advanced English all the time but,86.0,all right so now you add,86.0
9535,3,1,00:12:05.500000,so what I'm doing at the moment I'm taking a full year of algebra one,,,,x,,,umm yes so what I'm doing at the moment I'm taking a full year of algebra one but at the same time I'm also taking geometry,90,umm yes so what I'm doing at the moment I'm taking a full year of algebra one but at the same time I'm also taking geometry,90.0,it's a two yeah a two,86.0,it's a two yeah a two,86.0,yeah so,57.0
9536,3,1,00:12:09.300000,but at the same time I'm also taking geometry,,,,x,,,umm yes so what I'm doing at the moment I'm taking a full year of algebra one but at the same time I'm also taking geometry,90,umm yes so what I'm doing at the moment I'm taking a full year of algebra one but at the same time I'm also taking geometry,90.0,four times that that's also yeah it's five,52.0,four times that that's also yeah it's five,52.0,yeah so,49.0
9545,3,1,00:12:30.800000,,and English is more my subject,,,x,,,and English is more my subject like I'm in advanced English all the time but,90,and English is more my subject like I'm in advanced English all the time but,90.0,and I'm like right where I should be in my grade,86.0,and then you're left with thirteen p equals fifty,86.0,and I'm like right where I should be in my grade,86.0
9546,3,1,00:12:32.800000,,like I'm in advanced English all the time,,,x,,,and English is more my subject like I'm in advanced English all the time but,90,and English is more my subject like I'm in advanced English all the time but,90.0,all right great,86.0,so are you an advanced then because you're an algebra in the seventh grade,86.0,math it's all right I just,86.0
9573,3,1,00:14:01.800000,,sorry I'm getting over a cold,,,x,,,sorry I'm getting over a cold so that's why I sound,90,sorry I'm getting over a cold so that's why I sound,90.0,does the fifty divided by thirteen equal out to a fraction,86.0,I thought that it could've been a simplified fraction I was not sure,86.0,so with this one it's a little bit different but you just subtract ten,86.0
9574,3,1,00:14:04.100000,,so that's why I sound,,,x,,,sorry I'm getting over a cold so that's why I sound,90,sorry I'm getting over a cold so that's why I sound,90.0,I thought that it could've been a simplified fraction I was not sure,86.0,so with this one it's a little bit different but you just subtract ten,86.0,twenty-four so then you divide by,86.0
9671,3,1,00:19:17.600000,,I can't talk I'm sorry pause filler,,,,,x,so fifty-eight equals seven k so is fifty-eight divisible by a seven I can't talk I'm sorry umm,90,so fifty-eight equals seven k so is fifty-eight divisible by a seven I can't talk I'm sorry umm,90.0,I'm just going to write over it you know what,86.0,don't,86.0,I'm just going to write over it you know what,86.0
9712,3,1,00:22:09.200000,pause filler I'm pretty sure that doesn't matter,,,,,,x,pause filler I'm pretty sure that doesn't matter but yeah if you want to write that around,90,pause filler I'm pretty sure that doesn't matter but yeah if you want to write that around,90.0,get rid of that eight,86.0,get rid of that eight,86.0,that would be a negative twelve I'm pretty sure,69.0
9729,3,1,00:23:05.700000,,so you're basically just adding it,,,,,x,oh so yeah it would still be a negative so you're basically just adding it but it's a negative,90,oh so yeah it would still be a negative so you're basically just adding it but it's a negative,90.0,yeah you subtract u,86.0,from both sides so you'd end up with negative forty-two,86.0,yeah you,86.0
9759,3,1,00:24:41.100000,,fifty-five all right great,,,,x,,all right,90,fifty five,90.0,fifty-five,90.0,all right,90.0,fifty five,90.0
9804,3,1,00:28:12.700000,,and I'm getting them on,x,,,,,all my friends are getting their braces off and I'm getting them on,90,all my friends are getting their braces off and I'm getting them on,90.0,they're supposed to be sweet and sour,86.0,better eat all the gummy candy I can because,86.0,they're supposed to be sweet and sour,86.0
9805,3,1,00:28:15.300000,well my teeth were like bad,,x,,,,,well,90,well,90.0,my teeth are like,86.0,bad and I have to,86.0,but since they're like so bad I need to get a second pair,86.0
951,10,2,00:01:51.600000,pause filler a couple of days ago,,x,,,,,pause filler a couple of days ago,90,I all I have is I have a mouse,86.0,because apparently one of the pens broke,86.0,yup,60.0,I do,45.0
9824,3,1,00:29:08.700000,,we get like three days,x,,,,,we don't even get a week we get like three days,90,we don't even get a week we get like three days,90.0,do you guys even get a spring break,86.0,yeah we get like eleven or twelve days,86.0,well this year my spring break actually lasted three weeks because I went to Florida,86.0
11170,4,1,00:35:46.000000,like he yells at us,,x,,,,,like he yells at us and he gets really mad and it's almost funny and you hate him and it's just a routine now which is sort of bad but sort of funny,90,and she rambles a little bit and then she keeps talking and then we read and she gives us work and then we leave,86.0,my homeroom teacher lectures us like at least once a week,86.0,yeah my history teacher she'll start talking about the lesson,52.0,and it's crazy,34.0
16771,7,2,00:38:32.300000,,red well,,,x,,,red,90,okay well do that,86.0,well I think you're supposed to be black,86.0,rebel (laughter),56.0,then that will cancel out right,53.0
11176,4,1,00:36:04.200000,,but I've only been there like two days,x,,,,,I had a homeroom teacher but I've only been there like two days,90,because the other days I've been sitting outside a stairwell waiting to go up to a class at the high school,86.0,and because no teacher is ever there we just play on our phones the entire time,86.0,and I'm with a few other kids,46.0,it's really boring,45.0
226,10,1,00:13:58.800000,,yeah okay pause filler I'm sorry,,,x,,,yeah,90,okay,90.0,yeah,90.0,that looks like an r oops okay,86.0,yeah okay pause filler I'm sorry,86.0
225,10,1,00:13:57.400000,it has to have the answer,,,,x,,,well it doesn't have to be perfect just it has to have the answer,90,I got it too,86.0,and that the same thing is,56.0,me too na I am the same,55.0,because you're trying to find the k,48.0
