"Begin Time - hh:mm:ss.ms","End Time - hh:mm:ss.ms","Duration - hh:mm:ss.ms","default","Experimenter 1","P1","Experimenter 2","P2"
00:13:20.413,00:13:25.299,00:00:04.886,,,"it sounds like a hundred equals the fraction with a number (inaudible)",,
00:13:25.542,00:13:27.896,00:00:02.354,,,"so it says to go like first",,
00:13:27.896,00:13:30.211,00:00:02.315,,,"it would be forty times thirty-seven",,
00:13:30.211,00:13:32.007,00:00:01.796,,,"and then that's the answer",,
00:13:33.234,00:13:35.037,00:00:01.803,,,,,"forty times what"
00:13:35.037,00:13:36.691,00:00:01.654,,,"thirty-seven so",,"forty times what"
00:13:36.691,00:13:36.846,00:00:00.155,,,,,"forty times what"
00:13:37.196,00:13:42.261,00:00:05.065,,,,,"okay how would you do that"
00:13:42.673,00:13:46.037,00:00:03.364,,,"I think we might have to set up a forty as a fraction",,
00:13:46.614,00:13:49.299,00:00:02.685,,,"so maybe we could put it over one forty over one times",,
00:13:49.299,00:13:51.224,00:00:01.925,,,"so maybe we could put it over one forty over one times",,"yeah that makes sense"
00:13:51.224,00:13:51.323,00:00:00.099,,,"so maybe we could put it over one forty over one times",,
00:13:52.084,00:13:52.542,00:00:00.458,,,"yeah",,
00:13:52.542,00:13:52.588,00:00:00.046,,,"yeah",,"three that's a bad three"
00:13:52.588,00:13:54.616,00:00:02.028,,,,,"three that's a bad three"
00:13:54.616,00:13:56.037,00:00:01.421,,,,,"but at least I know it's a three"
00:13:56.392,00:13:58.357,00:00:01.965,,,"yeah it's a three (laughter)",,
00:13:58.357,00:13:58.626,00:00:00.269,,,"yeah it's a three (laughter)",,"okay times forty over one"
00:13:58.626,00:14:06.446,00:00:07.820,,,,,"okay times forty over one"
00:14:12.315,00:14:15.538,00:00:03.223,,,"so let me find the common denominator and all that",,
00:14:16.246,00:14:25.674,00:00:09.428,,,,,"or wait can I just do this no can I no"
00:14:25.674,00:14:29.102,00:00:03.428,,,,,"I don't- I think we're multiplying "
00:14:29.102,00:14:30.974,00:00:01.872,,,,,"can you just go straight across"
00:14:31.675,00:14:32.662,00:00:00.987,,,"I think so yeah",,
00:14:33.948,00:14:35.649,00:00:01.701,,,,,"yeah it's adding and subtracting"
00:14:35.649,00:14:37.090,00:00:01.441,,,,,"but you have to find the common denominator I think"
00:14:37.688,00:14:38.584,00:00:00.896,,,"yeah I think so",,
00:14:38.584,00:14:39.688,00:00:01.104,,,"I'm not sure",,
00:14:39.974,00:14:40.362,00:00:00.388,,,"it looks so weird (laughter)",,
00:14:40.362,00:14:41.233,00:00:00.871,,,"it looks so weird (laughter)",,"and then"
00:14:41.233,00:14:41.259,00:00:00.026,,,"it looks so weird (laughter)",,
00:14:41.477,00:14:42.477,00:00:01.000,,,"(laughter)",,
00:14:42.784,00:14:43.311,00:00:00.527,,,,,"(laughter)"
00:14:43.311,00:14:43.506,00:00:00.195,,,"this is like yeah",,"(laughter)"
00:14:43.506,00:14:44.467,00:00:00.961,,,"this is like yeah",,
00:14:44.553,00:14:44.623,00:00:00.070,,,"(laughter)",,
00:14:44.623,00:14:45.155,00:00:00.532,,,"(laughter)",,"(inaudible) so it would be one twenty"
00:14:45.155,00:14:52.103,00:00:06.948,,,,,"(inaudible) so it would be one twenty"
00:14:53.168,00:14:57.311,00:00:04.143,,,"one twenty over one or one twenty and ten also I think we got it (laughter)",,
00:14:57.311,00:14:58.246,00:00:00.935,,,"one twenty over one or one twenty and ten also I think we got it (laughter)",,"yeah so we have one twenty over seven"
00:14:58.246,00:15:01.285,00:00:03.039,,,,,"yeah so we have one twenty over seven"
00:15:03.051,00:15:09.007,00:00:05.956,,,,,"we do have to simplify that over one or wait divide it"
00:15:11.168,00:15:12.662,00:00:01.494,,,"one twenty divided by seven",,
00:15:15.467,00:15:21.038,00:00:05.571,,,,,"seven goes into twelve one time"
00:15:21.648,00:15:31.013,00:00:09.365,,,,,"one times seven is seven minus"
00:15:37.454,00:15:56.649,00:00:19.195,,,,,"wait I'm confused now yeah okay yeah and then"
00:15:58.311,00:15:59.029,00:00:00.718,,,,,"oh"
00:15:59.029,00:16:01.594,00:00:02.565,,,,,"I haven't done long division too long too long spent long so five"
00:16:01.594,00:16:02.594,00:00:01.000,,,"and forever",,"I haven't done long division too long too long spent long so five"
00:16:02.594,00:16:03.454,00:00:00.860,,,,,"I haven't done long division too long too long spent long so five"
00:16:03.454,00:16:04.064,00:00:00.610,,,"yeah",,"I haven't done long division too long too long spent long so five"
00:16:04.064,00:16:08.090,00:00:04.026,,,,,"I haven't done long division too long too long spent long so five"
00:16:15.629,00:16:15.826,00:00:00.197,,,,,"I'm sorry"
00:16:15.826,00:16:17.883,00:00:02.057,,,,,"I'm just like blanking out having a brain fart"
00:16:17.883,00:16:18.645,00:00:00.762,,,"I know right",,"I'm just like blanking out having a brain fart"
00:16:18.645,00:16:19.606,00:00:00.961,,,,,"I'm just like blanking out having a brain fart"
00:16:20.346,00:16:20.984,00:00:00.638,,,"me too",,
00:16:20.984,00:16:21.047,00:00:00.063,,,"me too",,"okay so pause filler minus five oh yeah wait do seven times five oh yeah seven divide"
00:16:21.047,00:16:34.462,00:00:13.415,,,,,"okay so pause filler minus five oh yeah wait do seven times five oh yeah seven divide"
00:16:34.462,00:16:38.118,00:00:03.656,,,,,"don't cancel you bring down zero right"
00:16:38.543,00:16:40.527,00:00:01.984,,,,,"I didn't see how many times seven goes into fifty"
00:16:40.708,00:16:41.087,00:00:00.379,,,"yeah yeah",,
00:16:41.087,00:16:41.519,00:00:00.432,,,"yeah yeah",,"okay it's coming back"
00:16:41.519,00:16:43.421,00:00:01.902,,,,,"okay it's coming back"
00:16:43.551,00:17:00.344,00:00:16.793,,,,,"seven goes into fifty oh seven goes into fifty seventy twenty-eight twenty-eight"
00:17:16.655,00:17:22.459,00:00:05.804,,,"oh my god it's going to be long (laughter) forty",,
00:17:27.758,00:17:36.758,00:00:09.000,,,,,"forty-two okay pause filler forty-two forty-nine is one two three four five six seven"
00:17:44.770,00:17:48.252,00:00:03.482,,,,,"forty-two okay pause filler forty-two forty-nine is one two three four five six seven"
00:17:48.977,00:17:52.264,00:00:03.287,,,,,"I got seven times and forty-nine right"
00:17:52.264,00:17:52.344,00:00:00.080,,,"yeah yeah",,"I got seven times and forty-nine right"
00:17:52.344,00:17:53.213,00:00:00.869,,,"yeah yeah",,
00:17:53.213,00:17:53.413,00:00:00.200,,,"yeah yeah",,"okay so seven goes and fifty seven times seven"
00:17:53.413,00:17:57.517,00:00:04.104,,,,,"okay so seven goes and fifty seven times seven"
00:17:57.517,00:17:57.735,00:00:00.218,,,"how did you get",,"okay so seven goes and fifty seven times seven"
00:17:57.735,00:17:57.965,00:00:00.230,,,"how did you get",,
00:17:58.531,00:17:59.649,00:00:01.118,,,"wait you have forty-nine",,
00:18:00.092,00:18:00.540,00:00:00.448,,,,,"huh"
00:18:01.218,00:18:02.000,00:00:00.782,,,"because it will go",,
00:18:02.034,00:18:03.590,00:00:01.556,,,,,"it goes into seven"
00:18:03.590,00:18:07.528,00:00:03.938,,,,,"oh wait seven goes and fifty pause filler seven times"
00:18:08.471,00:18:14.804,00:00:06.333,,,"because with the seven fourteen twenty-one twenty-eight thirty-two or no no nothing I can remember",,
00:18:14.924,00:18:16.344,00:00:01.420,,,"no you're right (laughter)",,
00:18:16.379,00:18:16.876,00:00:00.497,,,"I messed up my mind",,
00:18:16.876,00:18:17.172,00:00:00.296,,,"I messed up my mind",,"(laughter)"
00:18:17.172,00:18:18.839,00:00:01.667,,,"I messed up my mind",,
00:18:18.839,00:18:19.124,00:00:00.285,,,"I messed up my mind",,"oh no can I scroll down or something"
00:18:19.124,00:18:21.344,00:00:02.220,,,,,"oh no can I scroll down or something"
00:18:21.862,00:18:22.069,00:00:00.207,,,,,"I guess not fifty oh well forty-nine"
00:18:22.069,00:18:24.988,00:00:02.919,,,"I'm not sure",,"I guess not fifty oh well forty-nine"
00:18:24.988,00:18:31.471,00:00:06.483,,,,,"I guess not fifty oh well forty-nine"
00:18:32.023,00:18:33.241,00:00:01.218,,,"we'll just go one twenty over seven (laughter)",,
00:18:33.241,00:18:34.482,00:00:01.241,,,"we'll just go one twenty over seven (laughter)",,"yeah can I scroll down for a while"
00:18:34.482,00:18:39.034,00:00:04.552,,,,,"yeah can I scroll down for a while"
00:18:39.138,00:18:40.955,00:00:01.817,,,,,"I'll just do up to this side"
00:18:41.217,00:18:41.874,00:00:00.657,,,"yeah",,
00:18:47.724,00:18:51.004,00:00:03.280,,,,,"fifty minus nine is one"
00:18:51.916,00:18:52.715,00:00:00.799,,,"why",,
00:18:52.797,00:18:54.077,00:00:01.280,,,,,"and what do you do"
00:18:54.919,00:18:54.956,00:00:00.037,,,"can I just say",,
00:18:54.956,00:18:55.657,00:00:00.701,,,"can I just say",,"can I just say r one"
00:18:55.657,00:18:56.270,00:00:00.613,,,,,"can I just say r one"
00:18:56.280,00:18:57.014,00:00:00.734,,,"then you get a one",,
00:18:57.024,00:18:58.385,00:00:01.361,,,"and then you'd get another zero",,
00:18:58.526,00:18:59.321,00:00:00.795,,,"so you get ten one time",,
00:18:59.321,00:18:59.806,00:00:00.485,,,"so you get ten one time",,"yeah"
00:18:59.806,00:19:00.323,00:00:00.517,,,"so you get ten one time",,
00:19:00.323,00:19:01.686,00:00:01.363,,,"so you get ten one time",,"so ten okay"
00:19:01.686,00:19:02.864,00:00:01.178,,,,,"so ten okay"
00:19:03.386,00:19:04.841,00:00:01.455,,,"this is a repeating process",,
00:19:04.841,00:19:07.223,00:00:02.382,,,,,"I really need to scroll down scrolling"
00:19:07.223,00:19:07.835,00:00:00.612,,,"I know",,"I really need to scroll down scrolling"
00:19:07.835,00:19:07.932,00:00:00.097,,,,,"I really need to scroll down scrolling"
00:19:07.932,00:19:09.149,00:00:01.217,,,,,"there's a setting that says scrolling"
00:19:09.700,00:19:11.642,00:00:01.942,,,"this will just be pretty much",,
00:19:11.927,00:19:13.719,00:00:01.792,,,"but this will pretty much just be a repeating thing",,
00:19:14.678,00:19:14.820,00:00:00.142,,,,,"yeah right one repeating seventeen"
00:19:14.820,00:19:16.004,00:00:01.184,,,"yeah",,"yeah right one repeating seventeen"
00:19:16.004,00:19:17.292,00:00:01.288,,,,,"yeah right one repeating seventeen"
00:19:17.292,00:19:19.560,00:00:02.268,,,"so seventeen what's seventeen seventeen seventeen",,
00:19:19.840,00:19:20.095,00:00:00.255,,,,,"yeah"
00:19:20.725,00:19:21.732,00:00:01.007,,,"so it will be a long decimal",,
00:19:21.732,00:19:22.800,00:00:01.068,,,"so just say seven",,
00:19:22.800,00:19:23.191,00:00:00.391,,,"so just say seven",,"fifteen point one repeated right"
00:19:23.191,00:19:25.067,00:00:01.876,,,,,"fifteen point one repeated right"
00:19:25.188,00:19:25.425,00:00:00.237,,,"yeah",,
00:19:26.721,00:19:29.953,00:00:03.232,,,,,"one repeated so what was it"
00:19:29.953,00:19:29.999,00:00:00.046,,,"",,"one repeated so what was it"
00:19:29.999,00:19:30.035,00:00:00.036,,,"",,
00:19:30.035,00:19:30.240,00:00:00.205,,,"",,"the variable x equals pause filler seventeen point one p"
00:19:30.240,00:19:32.093,00:00:01.853,,,,,"the variable x equals pause filler seventeen point one p"
00:19:32.093,00:19:32.717,00:00:00.624,,,"yeah",,"the variable x equals pause filler seventeen point one p"
00:19:32.717,00:19:47.224,00:00:14.507,,,,,"the variable x equals pause filler seventeen point one p"
00:19:48.088,00:19:50.768,00:00:02.680,,,,,"encircle it so people know that's the very answer"
00:19:51.609,00:19:53.248,00:00:01.639,,,,,"because everything else is a mess"
00:19:53.428,00:19:54.002,00:00:00.574,,,"yeah",,
00:19:54.630,00:19:56.134,00:00:01.504,,,,,"that's it forever"
00:19:56.134,00:19:56.483,00:00:00.349,,,,,"I'm sorry"
00:19:56.483,00:19:56.753,00:00:00.270,,,"next to go",,"I'm sorry"
00:19:56.753,00:19:57.753,00:00:01.000,,,"next to go",,
00:19:58.764,00:20:03.020,00:00:04.256,,,,,"finally again this is like same thing"
00:20:04.299,00:20:05.328,00:00:01.029,,,,,"this wasn't on the paper"
00:20:05.841,00:20:06.710,00:00:00.869,,,,,"I think it was on paper now"
00:20:07.187,00:20:08.480,00:00:01.293,,,,,"it just didn't get far enough"
00:20:09.980,00:20:09.992,00:00:00.012,,,,,"okay yeah except I don't have a paper"
00:20:09.992,00:20:10.992,00:00:01.000,,,"okay",,"okay yeah except I don't have a paper"
00:20:10.992,00:20:11.443,00:00:00.451,,,,,"okay yeah except I don't have a paper"
00:20:11.443,00:20:12.177,00:00:00.734,,,"I don't know",,"okay yeah except I don't have a paper"
00:20:12.177,00:20:13.576,00:00:01.399,,,,,"okay yeah except I don't have a paper"
00:20:13.904,00:20:14.704,00:00:00.800,,,,,"okay so what does it say to do"
00:20:14.704,00:20:15.110,00:00:00.406,,,"yeah",,"okay so what does it say to do"
00:20:15.110,00:20:16.338,00:00:01.228,,,,,"okay so what does it say to do"
00:20:17.033,00:20:22.684,00:00:05.651,,,"it says this one is a hundred equals two over three y",,
00:20:23.091,00:20:23.124,00:00:00.033,,,"so it says multiply both sides by three over two",,
00:20:23.124,00:20:23.490,00:00:00.366,,,"so it says multiply both sides by three over two",,"okay"
00:20:23.490,00:20:28.658,00:00:05.168,,,"so it says multiply both sides by three over two",,
00:20:29.177,00:20:29.644,00:00:00.467,,,,,"okay"
00:20:29.701,00:20:30.899,00:00:01.198,,,"and then it gets a hundred and fifty",,
00:20:31.572,00:20:34.990,00:00:03.418,,,,,"so multiply oh yeah that makes sense now okay"
00:20:35.480,00:20:35.492,00:00:00.012,,,,,"because you're trying to get k"
00:20:35.492,00:20:35.961,00:00:00.469,,,"yeah",,"because you're trying to get k"
00:20:35.961,00:20:36.908,00:00:00.947,,,,,"because you're trying to get k"
00:20:36.908,00:20:39.451,00:00:02.543,,,,,"so we'll multiply why side by three over eight"
00:20:39.971,00:20:43.454,00:00:03.483,,,"because three over eight times three over eight we'll cross cancel that out so fourteen time three over eight",,
00:20:43.454,00:20:43.927,00:00:00.473,,,"because three over eight times three over eight we'll cross cancel that out so fourteen time three over eight",,"yeah"
00:20:43.927,00:20:45.971,00:00:02.044,,,"because three over eight times three over eight we'll cross cancel that out so fourteen time three over eight",,
00:20:46.250,00:20:55.317,00:00:09.067,,,,,"so here I just got k and then oh three over eight and the answer"
00:20:55.317,00:21:00.913,00:00:05.596,,,,,"this has been a b equal to k times fourteen over one equals"
00:21:00.913,00:21:01.754,00:00:00.841,,,"fourteen",,"this has been a b equal to k times fourteen over one equals"
00:21:01.754,00:21:06.874,00:00:05.120,,,,,"this has been a b equal to k times fourteen over one equals"
00:21:07.466,00:21:09.906,00:00:02.440,,,"maybe I guess a lowest common denominator thing",,
00:21:11.057,00:21:15.567,00:00:04.510,,,,,"maybe or you just got to like divide or something"
00:21:16.124,00:21:18.198,00:00:02.074,,,"because one could go into eight pretty easily",,
00:21:18.198,00:21:20.722,00:00:02.524,,,"so eight would be the lowest common denominator",,
00:21:20.722,00:21:21.317,00:00:00.595,,,"so it would be three over eight times fourteen over eight (inaudible)",,
00:21:21.317,00:21:21.711,00:00:00.394,,,"so it would be three over eight times fourteen over eight (inaudible)",,"yeah"
00:21:21.711,00:21:25.769,00:00:04.058,,,"so it would be three over eight times fourteen over eight (inaudible)",,
00:21:26.908,00:21:34.230,00:00:07.322,,,,,"okay three times fourteen twenty-eight thirty-two oh"
00:21:36.366,00:21:36.903,00:00:00.537,,,,,"yeah"
00:21:36.903,00:21:37.144,00:00:00.241,,,"yeah",,"yeah"
00:21:37.144,00:21:37.274,00:00:00.130,,,,,"yeah"
00:21:38.826,00:21:39.802,00:00:00.976,,,"I think so",,
00:21:41.042,00:21:41.639,00:00:00.597,,,"(laughter)",,
00:21:41.639,00:21:42.456,00:00:00.817,,,"(laughter)",,"okay I don't know why there's weird dots"
00:21:42.456,00:21:44.248,00:00:01.792,,,,,"okay I don't know why there's weird dots"
00:21:44.398,00:21:46.653,00:00:02.255,,,,,"yeah I don't know why but okay"
00:21:46.653,00:21:47.110,00:00:00.457,,,"I don't know",,"yeah I don't know why but okay"
00:21:47.110,00:21:47.668,00:00:00.558,,,,,"yeah I don't know why but okay"
00:21:48.293,00:21:49.985,00:00:01.692,,,,,"okay I'm going to start y up here"
00:21:52.024,00:21:53.033,00:00:01.009,,,"in forty-two",,
00:21:53.673,00:21:55.408,00:00:01.735,,,,,"forty or thirty"
00:21:56.307,00:21:57.322,00:00:01.015,,,"forty-two because it will be four plus four plus four equals twelve",,
00:21:57.322,00:21:57.932,00:00:00.610,,,"forty-two because it will be four plus four plus four equals twelve",,"fourty"
00:21:57.932,00:22:00.412,00:00:02.480,,,"forty-two because it will be four plus four plus four equals twelve",,
00:22:00.412,00:22:01.798,00:00:01.386,,,"so you carry a one",,
00:22:06.086,00:22:06.245,00:00:00.159,,,,,"what's forty-two over eight"
00:22:06.245,00:22:06.562,00:00:00.317,,,"yeah",,"what's forty-two over eight"
00:22:06.562,00:22:08.024,00:00:01.462,,,,,"what's forty-two over eight"
00:22:08.461,00:22:08.745,00:00:00.284,,,"yeah",,
00:22:09.057,00:22:09.278,00:00:00.221,,,,,"okay"
00:22:10.230,00:22:12.158,00:00:01.928,,,"so then eight would go into forty-two",,
00:22:42.167,00:22:44.457,00:00:02.290,,,,,"eight goes into forty-two what did you"
00:22:58.023,00:22:58.495,00:00:00.472,,,"you go first",,
00:22:58.748,00:22:59.224,00:00:00.476,,,"(laughter)",,
00:22:59.464,00:23:01.015,00:00:01.551,,,,,"oh I was going to ask if you bother anything"
00:23:01.937,00:23:02.007,00:00:00.070,,,,,"because I'm still working on it"
00:23:02.007,00:23:03.092,00:00:01.085,,,"so eight and eight equals sixteen",,"because I'm still working on it"
00:23:03.092,00:23:05.542,00:00:02.450,,,"so eight and eight equals sixteen",,
00:23:05.542,00:23:07.441,00:00:01.899,,,"sixteen plus eight equals twenty-four",,
00:23:07.441,00:23:09.775,00:00:02.334,,,"twenty-four plus eight equals thirty-two",,
00:23:09.775,00:23:11.992,00:00:02.217,,,"so then thirty-two plus eight equals forty",,
00:23:11.992,00:23:13.030,00:00:01.038,,,"so you can get the forty",,
00:23:13.263,00:23:13.628,00:00:00.365,,,,,"okay"
00:23:15.031,00:23:18.779,00:00:03.748,,,"so then it would be five times",,
00:23:18.955,00:23:19.427,00:00:00.472,,,,,"five times"
00:24:55.006,00:24:56.811,00:00:01.805,,,"(laughter) I have no idea what to talk about",,
00:24:57.257,00:24:59.949,00:00:02.692,,,,,"me neither wait what's the surgery called again"
00:24:59.949,00:25:01.056,00:00:01.107,,,,,"I didn't hear you the first time"
00:25:01.452,00:25:02.622,00:00:01.170,,,"I don't know what's it called",,
00:25:03.893,00:25:06.036,00:00:02.143,,,"I guess that is called oral surgery",,
00:25:06.036,00:25:06.899,00:00:00.863,,,"because that's what it's considered",,
00:25:08.075,00:25:10.723,00:00:02.648,,,,,"oh well like are they going to numb it"
00:25:11.654,00:25:12.566,00:00:00.912,,,"I'm not sure",,
00:25:12.911,00:25:15.364,00:00:02.453,,,,,"I hope they do (inaudible)"
00:25:15.452,00:25:17.409,00:00:01.957,,,"two (inaudible) are cutting into me",,
00:25:17.750,00:25:19.079,00:00:01.329,,,,,"yeah they possibly will"
00:25:19.352,00:25:21.136,00:00:01.784,,,"because my teeth are connected to the bones",,
00:25:21.147,00:25:22.533,00:00:01.386,,,"that kind of hurts",,
00:25:22.533,00:25:22.977,00:00:00.444,,,"that kind of hurts",,"yeah that would it probably make you number"
00:25:22.977,00:25:23.440,00:00:00.463,,,,,"yeah that would it probably make you number"
00:25:23.440,00:25:25.340,00:00:01.900,,,"(laughter) (laughter)",,"yeah that would it probably make you number"
00:25:25.340,00:25:27.852,00:00:02.512,,,,,"yeah that would it probably make you number"
00:25:28.102,00:25:28.704,00:00:00.602,,,,,"I don't know"
00:25:29.114,00:25:29.227,00:00:00.113,,,,,"So I'm- so I'm"
00:25:29.227,00:25:31.791,00:00:02.564,,,"and just knock me out and just hit me in the heat with a hammer",,"So I'm- so I'm"
00:25:31.791,00:25:32.192,00:00:00.401,,,"and just knock me out and just hit me in the heat with a hammer",,
00:25:33.458,00:25:37.166,00:00:03.708,,,,,"I'm sure they'll do it in a much more sophisticated way"
00:25:37.166,00:25:37.645,00:00:00.479,,,"(laughter)",,"I'm sure they'll do it in a much more sophisticated way"
00:25:37.645,00:25:37.874,00:00:00.229,,,"(laughter)",,
00:25:39.562,00:25:42.458,00:00:02.896,,,"so I hope they don't just make me breath in the mask",,
00:25:42.666,00:25:43.541,00:00:00.875,,,"oh that scares me",,
00:25:47.687,00:25:50.395,00:00:02.708,,,"I'm so scared to walk in the world around you go dark",,
00:25:50.520,00:25:55.312,00:00:04.792,,,,,"yeah like (inaudible) numb I think"
00:25:55.312,00:25:55.958,00:00:00.646,,,"I prefer being hit in the head",,"yeah like (inaudible) numb I think"
00:25:55.958,00:25:57.562,00:00:01.604,,,"I prefer being hit in the head",,
00:25:57.562,00:25:57.645,00:00:00.083,,,"I prefer being hit in the head",,"really"
00:25:57.645,00:25:58.187,00:00:00.542,,,,,"really"
00:25:58.520,00:26:07.437,00:00:08.917,,,"yes because I am terrified with needles and feeling of walking your surroundings with spade in and out so scary",,
00:26:07.687,00:26:08.249,00:00:00.562,,,"I'd rather wave in the head",,
00:26:08.249,00:26:08.791,00:00:00.542,,,"I'd rather wave in the head",,"just close your eyes"
00:26:08.791,00:26:09.294,00:00:00.503,,,,,"just close your eyes"
00:26:09.294,00:26:12.338,00:00:03.044,,,,,"and then do it so just like you're closing"
00:26:12.338,00:26:13.058,00:00:00.720,,,"but it gets hard to breath",,"and then do it so just like you're closing"
00:26:13.058,00:26:13.117,00:00:00.059,,,"but it gets hard to breath",,
00:26:13.117,00:26:16.529,00:00:03.412,,,"it feels like your entire body is just going numb",,
00:26:16.573,00:26:19.264,00:00:02.691,,,"it's (sfx) not fun",,
00:26:19.970,00:26:22.852,00:00:02.882,,,,,"(inaudible) I wouldn't know"
00:26:23.705,00:26:25.132,00:00:01.427,,,"I'm just terrified of surgery",,
00:26:25.161,00:26:26.703,00:00:01.542,,,"because I had a bad surgery before",,
00:26:26.703,00:26:27.703,00:00:01.000,,,"so this will be fun",,
00:26:28.073,00:26:28.586,00:00:00.513,,,,,"really"
00:26:29.828,00:26:31.539,00:00:01.711,,,"I had a tunnel surgery",,
00:26:31.953,00:26:32.523,00:00:00.570,,,,,"really"
00:26:32.836,00:26:35.109,00:00:02.273,,,"which ended up in three months in the hospital so",,
00:26:35.156,00:26:36.609,00:00:01.453,,,,,"oh that stinks"
00:26:37.687,00:26:39.414,00:00:01.727,,,"yeah it was so great",,
00:26:44.164,00:26:44.906,00:00:00.742,,,,,"well I'll try to think"
00:26:44.906,00:26:47.828,00:00:02.922,,,,,"I don't think I've ever had surgery"
00:26:49.072,00:26:51.350,00:00:02.278,,,,,"but my sister has"
00:26:51.350,00:26:52.237,00:00:00.887,,,,,"my dog has"
00:26:52.237,00:26:54.350,00:00:02.113,,,,,"and my mom has but not me"
00:26:55.752,00:26:56.865,00:00:01.113,,,"my mom has",,
00:26:57.010,00:26:58.401,00:00:01.391,,,"my sister has not",,
00:26:58.865,00:26:59.948,00:00:01.083,,,"I don't have a dog",,
00:27:00.164,00:27:00.670,00:00:00.506,,,,,"(laughter)"
00:27:01.195,00:27:06.721,00:00:05.526,,,,,"my dog when we brought her dog"
00:27:06.721,00:27:09.711,00:00:02.990,,,,,"we just said everything was okay with her not like"
00:27:10.247,00:27:11.742,00:00:01.495,,,,,"we were the first owner"
00:27:12.144,00:27:16.133,00:00:03.989,,,,,"but she lied because the dog had had an owner before that"
00:27:17.010,00:27:21.680,00:00:04.670,,,,,"and pause filler she had her leg I think yeah"
00:27:22.463,00:27:25.051,00:00:02.588,,,,,"yeah I think she broke her leg or something"
00:27:25.092,00:27:27.845,00:00:02.753,,,,,"and the breeder tried to just put a cast on it"
00:27:28.082,00:27:29.154,00:00:01.072,,,,,"and she did it wrong"
00:27:29.216,00:27:31.360,00:00:02.144,,,,,"and so the bone like healed the wrong way"
00:27:31.834,00:27:31.901,00:00:00.067,,,,,"and so yeah so pause filler my dog has to like get a surgery and like it had to fix it"
00:27:31.901,00:27:32.505,00:00:00.604,,,"(laughter)",,"and so yeah so pause filler my dog has to like get a surgery and like it had to fix it"
00:27:32.505,00:27:39.154,00:00:06.649,,,,,"and so yeah so pause filler my dog has to like get a surgery and like it had to fix it"
00:27:40.484,00:27:44.762,00:00:04.278,,,"say mom has had several surgeries several",,
00:27:45.461,00:27:45.886,00:00:00.425,,,,,"yeah"
00:27:45.886,00:27:45.907,00:00:00.021,,,"because my mom has a disease",,"yeah"
00:27:45.907,00:27:47.536,00:00:01.629,,,"because my mom has a disease",,
00:27:48.237,00:27:49.092,00:00:00.855,,,,,"okay what does she have"
00:27:49.525,00:27:53.010,00:00:03.485,,,"she has Crohn's disease which is",,
00:27:53.010,00:27:54.474,00:00:01.464,,,"it's pretty much something in the intestines",,
00:27:54.474,00:27:58.082,00:00:03.608,,,"so she had to get part of her intestine taken out taken",,
00:27:58.082,00:27:58.391,00:00:00.309,,,"so she had to get part of her intestine taken out taken",,"how long"
00:27:58.391,00:27:58.639,00:00:00.248,,,,,"how long"
00:27:59.597,00:28:02.453,00:00:02.856,,,"so she's had several surgeries several",,
00:28:02.453,00:28:02.762,00:00:00.309,,,"so she's had several surgeries several",,"yeah"
00:28:02.762,00:28:03.546,00:00:00.784,,,"so she's had several surgeries several",,
00:28:03.546,00:28:03.865,00:00:00.319,,,"so she's had several surgeries several",,"oh that's annoying"
00:28:03.865,00:28:05.340,00:00:01.475,,,,,"oh that's annoying"
00:28:06.020,00:28:09.927,00:00:03.907,,,"yeah but he won't die from it so",,
00:28:09.927,00:28:10.257,00:00:00.330,,,"yeah but he won't die from it so",,"yeah it's like it's better than something"
00:28:10.257,00:28:14.226,00:00:03.969,,,,,"yeah it's like it's better than something"
00:28:14.855,00:28:20.176,00:00:05.321,,,,,"that like better to have not just surgeries than to have it something worse"
00:28:20.336,00:28:20.599,00:00:00.263,,,"yeah",,
00:28:28.373,00:28:29.844,00:00:01.471,,,,,"the weird thing though was like"
00:28:29.896,00:28:32.610,00:00:02.714,,,,,"I've never seen a dog with a cast"
00:28:32.791,00:28:33.428,00:00:00.637,,,"(laughter)",,
00:28:33.428,00:28:33.545,00:00:00.117,,,"(laughter)",,"and my dog she had to get this cast"
00:28:33.545,00:28:35.714,00:00:02.169,,,,,"and my dog she had to get this cast"
00:28:35.714,00:28:38.013,00:00:02.299,,,,,"it was like pink camouflage"
00:28:38.013,00:28:38.388,00:00:00.375,,,,,"it was so cute"
00:28:38.388,00:28:38.636,00:00:00.248,,,"(laughter)",,"it was so cute"
00:28:38.636,00:28:38.896,00:00:00.260,,,"(laughter)",,
00:28:38.896,00:28:39.013,00:00:00.117,,,"(laughter)",,"and now like she's all better"
00:28:39.013,00:28:40.558,00:00:01.545,,,,,"and now like she's all better"
00:28:40.558,00:28:42.883,00:00:02.325,,,,,"but she just has this slight limp"
00:28:42.935,00:28:43.436,00:00:00.501,,,,,"and I don't think it hurts her"
00:28:43.436,00:28:44.272,00:00:00.836,,,"",,"and I don't think it hurts her"
00:28:44.272,00:28:45.229,00:00:00.957,,,,,"and I don't think it hurts her"
00:28:45.237,00:28:49.144,00:00:03.907,,,,,"but it's like really cute when she runs (sfx)"
00:28:49.252,00:28:49.886,00:00:00.634,,,"(laughter) oh",,
00:28:53.700,00:28:54.700,00:00:01.000,,,"so I've never had a dog",,
00:28:54.700,00:28:56.175,00:00:01.475,,,"I've only had one guinea pig",,
