,Dyad,Session,Period,P1,P2,Time_begin,Time_end,Duration,SV_Tutor,SV_Tutee,PR_Tutor,PR_Tutee,SD_Tutor,SD_Tutee
10068,3,1,T2 ,so it would be fifty-two minus sixteen which happens to be fourteen that would be forty,,45:55.0,46:02.0,00:07.0,,,,,,
10069,3,1,T2 ,I'm pretty sure that would be thirty-six,,46:02.0,46:07.0,00:05.0,,,,,,
10070,3,1,T2 ,,yeah,46:08.0,46:08.0,00:00.0,,,,,,
10071,3,1,T2 ,that seems like (inaudible) okay thirty-six equals nine p,,46:08.0,46:14.0,00:06.0,,,,,,
10072,3,1,T2 ,pause filler okay so then we want to divide it by nine,,46:17.0,46:20.0,00:03.0,,,,,,
10073,3,1,T2 ,and we get pause filler,,46:20.0,46:23.0,00:03.0,,,,,,
10074,3,1,T2 ,,four,46:23.0,46:23.0,00:00.0,,,,,,
10075,3,1,T2 ,p equals four,,46:23.0,46:25.0,00:02.0,,,,,,
10076,3,1,T2 ,I feel like there's a lot of nines in here okay,,46:25.0,46:30.0,00:05.0,,,,,,
10077,3,1,T2 ,,all right great,46:30.0,46:32.0,00:02.0,,,UL,,,
10078,3,1,T2 ,(inaudible),,46:32.0,46:33.0,00:01.0,,,,,,
10079,3,1,T2 ,,,46:33.0,47:57.0,01:24.0,,,,,,
10080,3,1,T2 ,,next one up and,46:33.0,46:36.0,00:03.0,,,,,,
10081,3,1,T2 ,,so you're going to add,46:36.0,46:41.0,00:05.0,,,,,,
10082,3,1,T2 ,the pause filler fourteen w,,46:44.0,46:45.0,00:01.0,,,,,,
10083,3,1,T2 ,,yes,46:46.0,46:46.0,00:00.0,,,,,,
10084,3,1,T2 ,,so that equals,46:47.0,46:57.0,00:10.0,,,,,,
10085,3,1,T2 ,pause filler negative forty-one equals,,46:57.0,47:02.0,00:05.0,,,,,,
10086,3,1,T2 ,pause filler I'll say forty forty w,,47:03.0,47:08.0,00:05.0,,,,,,
10087,3,1,T2 ,,correct,47:10.0,47:10.0,00:00.0,,,,,,
10088,3,1,T2 ,oh wait and we don't want to figure about that nineteen plus,,47:11.0,47:16.0,00:05.0,,,,,,
10089,3,1,T2 ,okay so now subtract the nineteen,,47:17.0,47:22.0,00:05.0,,,,,,
10090,3,1,T2 ,and okay to make it a hundred,,47:24.0,47:29.0,00:05.0,,,,,,
10091,3,1,T2 ,be a negative a hundred sixty equals forty w,,47:31.0,47:36.0,00:05.0,,,,,,
10092,3,1,T2 ,here we go,,47:38.0,47:41.0,00:03.0,,,,,,
10093,3,1,T2 ,okay (inaudible) by forty and that would be negative four,,47:41.0,47:48.0,00:07.0,,,,,,
10094,3,1,T2 ,yeah w equals negative four,,47:48.0,47:51.0,00:03.0,,,,,,
10095,3,1,T2 ,,yeah because remember just regular sixteen divided by four equals four so,47:51.0,47:57.0,00:06.0,,,,,,
10096,3,1,T2 ,yeah I wonder what all these buttons are doing okay,,47:57.0,48:05.0,00:08.0,,,,,,
10097,3,1,T2 ,pause filler continuing on,,48:06.0,48:09.0,00:03.0,,,,,,
10098,3,1,T2 ,,all right great okay,48:09.0,48:10.0,00:01.0,,,UL,,,
10099,3,1,T2 ,pause filler is he over there,,48:10.0,48:11.0,00:01.0,,,,,,
10100,3,1,T2 ,,I'll go get him,48:11.0,48:14.0,00:03.0,,,,,,
10101,3,1,T2 ,okay because I think,,48:16.0,48:30.0,00:14.0,,,,,,
10102,3,1,T2 ,oh candy candy candy oh candy candy,,48:30.0,48:38.0,00:08.0,,,,,,
10103,3,1,T2 ,,all right great,48:45.0,48:46.0,00:01.0,,,,,,
10104,3,1,T2 ,,,48:47.0,54:25.0,05:38.0,,,,,,
10105,3,1,T2 ,okay so all right,,48:47.0,48:56.0,00:09.0,,,,,,
10106,3,1,T2 ,,,48:54.0,50:40.0,01:46.0,,,,,,
10107,3,1,T2 ,,so first you want to start off by adding y because it's negative n,48:56.0,49:05.0,00:09.0,,,,,,
10108,3,1,T2 ,and then we get negative sixty-three equals forty-three plus two y,,49:05.0,49:15.0,00:10.0,,,,,,
10109,3,1,T2 ,,so what do you think the next step is,49:18.0,49:20.0,00:02.0,,,,,,
10110,3,1,T2 ,I think well we've got to get rid of that forty-three,,49:22.0,49:25.0,00:03.0,,,,,,
10111,3,1,T2 ,kill it,,49:25.0,49:25.0,00:00.0,,,,,,
10112,3,1,T2 ,okay so we want to subtract forty-three forty-three,,49:25.0,49:31.0,00:06.0,,,,,,
10113,3,1,T2 ,,that cancels,49:31.0,49:33.0,00:02.0,,,,,,
10114,3,1,T2 ,yeah yeah like here we go,,49:34.0,49:38.0,00:04.0,,,,,,
10115,3,1,T2 ,oh come on now okay pause filler,,49:40.0,49:44.0,00:04.0,,,,,,
10116,3,1,T2 ,yeah we want to pause filler add yeah subtract them together,,49:44.0,49:48.0,00:04.0,,,,,,
10117,3,1,T2 ,we got a hundred and six equals two y,,49:48.0,49:55.0,00:07.0,,,,,,
10118,3,1,T2 ,so divide it by two,,49:56.0,49:58.0,00:02.0,,,,,,
10119,3,1,T2 ,and get y equals fifty-three pause filler,,50:01.0,50:04.0,00:03.0,,,,,,
10120,3,1,T2 ,,all right so,50:08.0,50:18.0,00:10.0,,,,,,
10121,3,1,T2 ,,oh gosh,50:19.0,50:20.0,00:01.0,,,,,,
10122,3,1,T2 ,well page you messed up,,50:20.0,50:23.0,00:03.0,,,,,,
10123,3,1,T2 ,,I can't even see what you're doing anymore,50:23.0,50:28.0,00:05.0,,,,,,
10124,3,1,T2 ,it's so on,,50:28.0,50:31.0,00:03.0,,,,,,
10125,3,1,T2 ,okay maybe we should just go to the next one,,50:33.0,50:36.0,00:03.0,,,,,,
10126,3,1,T2 ,,yeah did you get the answer,50:36.0,50:38.0,00:02.0,,,,,,
10127,3,1,T2 ,mm-hmm y equals fifty-three,,50:38.0,50:39.0,00:01.0,,,,,,
10128,3,1,T2 ,right over there,,50:39.0,50:40.0,00:01.0,,,,,,
10129,3,1,T2 ,,,50:42.0,52:03.0,01:21.0,,,,,,
10130,3,1,T2 ,okay now they're all like negative p and positive p,,50:42.0,50:47.0,00:05.0,,,,,,
10131,3,1,T2 ,,yeah so you would want to start up by adding p,50:47.0,50:49.0,00:02.0,,,,,,
10132,3,1,T2 ,equals two p okay,,51:02.0,51:04.0,00:02.0,,,,,,
10133,3,1,T2 ,and then pause filler you want to pause filler get rid of three,,51:06.0,51:13.0,00:07.0,,,,,,
10134,3,1,T2 ,that was totally necessary,,51:15.0,51:25.0,00:10.0,,,,,,
10135,3,1,T2 ,pause filler see pause filler a hundred ninety pause filler negative,,51:27.0,51:36.0,00:09.0,,,,,,
10136,3,1,T2 ,pause filler thirty equals two p,,51:44.0,51:46.0,00:02.0,,,,,,
10137,3,1,T2 ,,great,51:47.0,51:48.0,00:01.0,,,,,,
10138,3,1,T2 ,,so then what is that divided by two,51:49.0,51:51.0,00:02.0,,,,,,
10139,3,1,T2 ,p equals negative one hundred and fifteen okay,,51:53.0,52:03.0,00:10.0,,,,,,
10140,3,1,T2 ,,,52:04.0,53:09.0,01:05.0,,,,,,
10141,3,1,T2 ,,so what is your first step,52:04.0,52:06.0,00:02.0,,,,,,
10142,3,1,T2 ,seems like it really come with me okay it would just add pause filler,,52:07.0,52:17.0,00:10.0,,,,,,
10143,3,1,T2 ,okay,,52:32.0,52:32.0,00:00.0,,,,,,
10144,3,1,T2 ,pause filler nah,,52:32.0,52:33.0,00:01.0,,,,,,
10145,3,1,T2 ,okay six,,52:33.0,52:37.0,00:04.0,,,,,,
10146,3,1,T2 ,,do you need any help,52:42.0,52:55.0,00:13.0,,,,,,
10147,3,1,T2 ,no,,52:55.0,52:56.0,00:01.0,,,,,,
10148,3,1,T2 ,okay oh come on okay,,52:56.0,52:57.0,00:01.0,,SV,,,,
10149,3,1,T2 ,you're dead,,52:59.0,53:00.0,00:01.0,,SV,,,,
10150,3,1,T2 ,okay two equals thirty-eight yeah,,53:01.0,53:03.0,00:02.0,,,,,,
10151,3,1,T2 ,mm-hmm,,53:03.0,53:04.0,00:01.0,,,,,,
10152,3,1,T2 ,,you got it,53:07.0,53:09.0,00:02.0,,,,,,
10153,3,1,T2 ,,all right next one,53:09.0,53:11.0,00:02.0,,,,,,
10154,3,1,T2 ,,all right so add m to start off,53:12.0,53:17.0,00:05.0,,,,,,
10155,3,1,T2 ,,and make it equal on both sides,53:17.0,53:18.0,00:01.0,,,,,,
10156,3,1,T2 ,yup I didn't get where that m,,53:19.0,53:29.0,00:10.0,,,,,,
10157,3,1,T2 ,yeah seventy-one,,53:29.0,53:31.0,00:02.0,,,,,,
10158,3,1,T2 ,,just rewrite the problem,53:32.0,53:34.0,00:02.0,,,,,,
10159,3,1,T2 ,equals forty-three plus two m,,53:35.0,53:40.0,00:05.0,,,,,,
10160,3,1,T2 ,I'll subtract the forty-three again,,53:40.0,53:42.0,00:02.0,,,,,,
10161,3,1,T2 ,and then we get w sixty-eight sixty-eight minus forty,,53:42.0,53:53.0,00:11.0,,,,,,
10162,3,1,T2 ,it should be twenty-eight equals two m (inaudible),,53:54.0,53:58.0,00:04.0,,,,,,
10163,3,1,T2 ,now divided by two to get m equals fourteen,,53:59.0,54:07.0,00:08.0,,,,,,
10164,3,1,T2 ,,gosh you're good at this,54:08.0,54:10.0,00:02.0,,,LPA,,,
10165,3,1,T2 ,okay,,54:11.0,54:12.0,00:01.0,,,,,,
10166,3,1,T2 ,,,54:12.0,54:25.0,00:13.0,,,,,,
10167,3,1,T2 ,,all right so next up,54:12.0,54:13.0,00:01.0,,,,,,
10168,3,1,T2 ,,pause filler you want to start up by adding eleven x even though it's larger,54:13.0,54:18.0,00:05.0,,,,,,
10169,3,1,T2 ,well no,,54:18.0,54:19.0,00:01.0,,,,,,
10170,3,1,T2 ,it won't have to be smaller right it fits in,,54:19.0,54:24.0,00:05.0,,,,,,
10171,3,1,T2 ,,oh yes yeah,54:24.0,54:25.0,00:01.0,,,,,,
10172,3,1,T2 ,oh wait one second,,54:25.0,54:27.0,00:02.0,,,,,,
10173,3,1,T2 ,wait what,,54:27.0,54:28.0,00:01.0,,,,,,
10174,3,1,T2 ,,all right goodbye,54:36.0,54:36.0,00:00.0,,,,,,
10175,3,1,T2 ,oh bye yeah,,54:36.0,54:37.0,00:01.0,,,,,,
10176,3,1,T2 ,,bye Maya,54:37.0,54:38.0,00:01.0,,,,,,
10177,3,1,T2 ,,nice talking to you,54:38.0,54:39.0,00:01.0,,,0,,,
10178,3,1,T2 ,yeah yeah,,54:39.0,54:40.0,00:01.0,,,,,,
10179,3,1,T2 ,nice talking to you as well,,54:40.0,54:40.0,00:00.0,,,,,,
10180,3,1,T2 ,okay bye,,54:40.0,54:41.0,00:01.0,,,,,,
10181,3,2,S1 ,,,01:44.0,07:11.0,05:27.0,,,,,,
10182,3,2,S1 ,yeah nice to see you as well yeah,,01:46.0,01:50.0,00:04.0,,,,,,
10183,3,2,S1 ,,so how's your week,01:51.0,01:52.0,00:01.0,,,,,,QE
10184,3,2,S1 ,pause filler pretty good pause filler,,01:52.0,01:53.0,00:01.0,,,,,SD,
10185,3,2,S1 ,see spring break just started for me,,01:53.0,01:56.0,00:03.0,,,,,SD,
10186,3,2,S1 ,what about you,,01:56.0,01:56.0,00:00.0,,,,,QE,
10187,3,2,S1 ,have you guys spring break yet,,01:56.0,01:57.0,00:01.0,,,,,SD,
10188,3,2,S1 ,,no pause filler I have like a half day Wednesday,01:58.0,02:00.0,00:02.0,,,,,,
10189,3,2,S1 ,,and then on Thursday and Friday I'm off,02:00.0,02:03.0,00:03.0,,,,,,
10190,3,2,S1 ,,and then on Monday I'm off again so,02:03.0,02:06.0,00:03.0,,,,,,
10191,3,2,S1 ,I've had the entire week off,,02:06.0,02:08.0,00:02.0,,,,,SD,
10192,3,2,S1 ,so a little bit,,02:08.0,02:09.0,00:01.0,,,,,,
10193,3,2,S1 ,,really,02:09.0,02:09.0,00:00.0,,,,,,
10194,3,2,S1 ,yeah so this all be nice,,02:09.0,02:12.0,00:03.0,,,,,,
10195,3,2,S1 ,,I wish I had the entire week off,02:12.0,02:15.0,00:03.0,,,,,,SD
10196,3,2,S1 ,yeah that sucks,,02:15.0,02:17.0,00:02.0,,,,,,
10197,3,2,S1 ,,(laughter) I think next year my school was going to try to do like the entire week thing,02:17.0,02:26.0,00:09.0,,,,,,
10198,3,2,S1 ,,but not this year,02:26.0,02:27.0,00:01.0,,,,,,
10199,3,2,S1 ,oh,,02:28.0,02:28.0,00:00.0,,,,,,
10200,3,2,S1 ,that would be nice,,02:29.0,02:30.0,00:01.0,,,,,,
10201,3,2,S1 ,I hope that it works out,,02:30.0,02:32.0,00:02.0,,,,,,
10202,3,2,S1 ,,yeah so what are you doing for Easter,02:32.0,02:35.0,00:03.0,,,,,,
10203,3,2,S1 ,pause filler oh wow I think you realize I was coming up,,02:37.0,02:42.0,00:05.0,,,,,,
10204,3,2,S1 ,I don't know,,02:42.0,02:43.0,00:01.0,,,,,,
10205,3,2,S1 ,not much I don't think,,02:43.0,02:46.0,00:03.0,,,,,,
10206,3,2,S1 ,so I'm ever going to do anything,,02:46.0,02:50.0,00:04.0,,,,,,
10207,3,2,S1 ,are you going to do anything,,02:50.0,02:51.0,00:01.0,,,,,,
10208,3,2,S1 ,,I don't know,02:51.0,02:51.0,00:00.0,,,,,,
10209,3,2,S1 ,,I'm probably just going to have dinner with my family or something like that,02:51.0,02:55.0,00:04.0,,,,,,
10210,3,2,S1 ,,maybe some family will come over,02:55.0,02:56.0,00:01.0,,,,,,
10211,3,2,S1 ,,and I'll go to church probably on that day,02:57.0,02:59.0,00:02.0,,,,,,
10212,3,2,S1 ,that's nice,,03:02.0,03:04.0,00:02.0,,,,,,
10213,3,2,S1 ,,so are you tired,03:04.0,03:11.0,00:07.0,,,,,,QE
10214,3,2,S1 ,,I'm tired,03:11.0,03:13.0,00:02.0,,,,,,SD
10215,3,2,S1 ,yeah I guess I probably I stayed up a little bit late last night,,03:13.0,03:18.0,00:05.0,,,,,SD,
10216,3,2,S1 ,,yeah but sometimes and like I want to sleep but I don't but I should (laughter),03:18.0,03:24.0,00:06.0,,,,,,SD
10217,3,2,S1 ,yeah and me too,,03:24.0,03:26.0,00:02.0,,,,,SD,
10218,3,2,S1 ,I was reading and I'm like this book is good but I probably should go to bed,,03:26.0,03:31.0,00:05.0,,,,,,
10219,3,2,S1 ,,yeah,03:31.0,03:31.0,00:00.0,,,,,,
10220,3,2,S1 ,but you know since I didn't have to wake up as early,,03:34.0,03:37.0,00:03.0,,,,,,
10221,3,2,S1 ,so I (inaudible) myself stay up later,,03:37.0,03:40.0,00:03.0,,,,,,
10222,3,2,S1 ,,why do usually have to wake up early,03:41.0,03:43.0,00:02.0,,,,,,QE
10223,3,2,S1 ,yeah school starts at seven thirty-six for me,,03:43.0,03:46.0,00:03.0,,,,,,
10224,3,2,S1 ,so I have to wake up at six o'clock,,03:46.0,03:47.0,00:01.0,,,,,SD,
10225,3,2,S1 ,,oh yeah I have to wake up at seven o'clock also,03:47.0,03:51.0,00:04.0,,,,,,SD
10226,3,2,S1 ,,I'm at eight six o'clock I can't yet,03:51.0,03:53.0,00:02.0,,,,,,SD
10227,3,2,S1 ,yeah because it's just so annoying entire and waking up like that,,03:53.0,03:56.0,00:03.0,,,,,,
10228,3,2,S1 ,,yeah I agree,03:56.0,03:56.0,00:00.0,,,,,,
10229,3,2,S1 ,I was really lucky because like other people that takes a bus for like the first stop,,03:56.0,04:06.0,00:10.0,,,,,,
10230,3,2,S1 ,they have to wake up like around five so,,04:06.0,04:08.0,00:02.0,,,,,,
10231,3,2,S1 ,,yeah my bus comes at like seven o four or something like that,04:10.0,04:15.0,00:05.0,,,,,,
10232,3,2,S1 ,yeah my bus comes like yeah around that time,,04:15.0,04:18.0,00:03.0,,,,,,
10233,3,2,S1 ,somewhere between like six fifty-five,,04:18.0,04:21.0,00:03.0,,,,,,
10234,3,2,S1 ,so instead of five so usually on the earlier side on that,,04:21.0,04:25.0,00:04.0,,,,,,
10235,3,2,S1 ,,so where do you live,04:25.0,04:26.0,00:01.0,,,,,,QE
10236,3,2,S1 ,I live in Squirrel Hill,,04:27.0,04:29.0,00:02.0,,,,,SD,
10237,3,2,S1 ,,oh okay that's pretty far away then from my house I mean,04:29.0,04:32.0,00:03.0,,,,,,
10238,3,2,S1 ,,I live in pause filler I live in Imperial,04:32.0,04:34.0,00:02.0,,,,,,SD
10239,3,2,S1 ,,do you know where the airport is,04:34.0,04:35.0,00:01.0,,,,,,
10240,3,2,S1 ,yeah,,04:36.0,04:36.0,00:00.0,,,,,,
10241,3,2,S1 ,,I live like a few minutes away from the airport so,04:36.0,04:39.0,00:03.0,,,,,,SD
10242,3,2,S1 ,oh yeah that is far away,,04:39.0,04:41.0,00:02.0,,,,,,
10243,3,2,S1 ,,yeah (laughter),04:41.0,04:44.0,00:03.0,,,,,,
10244,3,2,S1 ,,so are you going on vacation this summer,04:47.0,04:49.0,00:02.0,,,,,,QE
10245,3,2,S1 ,,or doing anything fun,04:49.0,04:50.0,00:01.0,,,,,,
10246,3,2,S1 ,yeah because summer pause filler really,,04:51.0,04:52.0,00:01.0,,,,,,
10247,3,2,S1 ,so I'm not figured out what we're going to do,,04:52.0,04:54.0,00:02.0,,,,,,
10248,3,2,S1 ,but yeah we're probably going to end up going to Maryland because my grandparents are over there,,04:54.0,05:02.0,00:08.0,,,,,,SD
10249,3,2,S1 ,,that sounds fun,05:03.0,05:03.0,00:00.0,,,,,,
10250,3,2,S1 ,yeah we usually go to Colorado,,05:03.0,05:04.0,00:01.0,,,,,SD,
10251,3,2,S1 ,but we're not sure we're going to go this year,,05:05.0,05:08.0,00:03.0,,,,,,
10252,3,2,S1 ,so we need to figure that out,,05:09.0,05:11.0,00:02.0,,,,,,
10253,3,2,S1 ,,so it was just warm,05:16.0,05:18.0,00:02.0,,,,,,
10254,3,2,S1 ,,and then it's not even warm again,05:18.0,05:19.0,00:01.0,,,,,,
10255,3,2,S1 ,,it's just cold again,05:19.0,05:20.0,00:01.0,,,,,,
10256,3,2,S1 ,I know it sucks,,05:20.0,05:21.0,00:01.0,,,,,,
10257,3,2,S1 ,it's like all cool,,05:21.0,05:23.0,00:02.0,,,,,,
10258,3,2,S1 ,I want it to be warm,,05:23.0,05:25.0,00:02.0,,,,,SD,
10259,3,2,S1 ,and it's like somewhat snowing outside,,05:25.0,05:27.0,00:02.0,,,,,,
10260,3,2,S1 ,,it was snowing yeah,05:27.0,05:29.0,00:02.0,,,,,,
10261,3,2,S1 ,yeah,,05:29.0,05:30.0,00:01.0,,,,,,
10262,3,2,S1 ,,so are you excited for spring summer though,05:30.0,05:32.0,00:02.0,,,,,,QE
10263,3,2,S1 ,yeah I can't wait just not waking up as early,,05:34.0,05:36.0,00:02.0,,,,,SD,
10264,3,2,S1 ,,yeah the only thing I really like about winter is when it actually snows,05:37.0,05:41.0,00:04.0,,,,,,SD
10265,3,2,S1 ,,and then it barely even snowed this winter,05:41.0,05:42.0,00:01.0,,,,,,
10266,3,2,S1 ,,so I'm done,05:42.0,05:43.0,00:01.0,,,,,,SD
10267,3,2,S1 ,I know it was just sort of like annoying like enough that you had to shovel it,,05:43.0,05:47.0,00:04.0,,,,,,
10268,3,2,S1 ,but you didn't get any days off,,05:48.0,05:50.0,00:02.0,,,,,,
10269,3,2,S1 ,,yeah,05:50.0,05:51.0,00:01.0,,,,,,
10270,3,2,S1 ,I actually got like one day off this entire winter,,05:51.0,05:55.0,00:04.0,,,,,SD,
10271,3,2,S1 ,,yeah me too,05:55.0,05:55.0,00:00.0,,,,,,
10272,3,2,S1 ,yeah but it was like not even cold out,,05:56.0,05:58.0,00:02.0,,,,,,
10273,3,2,S1 ,,and I only got like two-hour delays probably,05:59.0,06:02.0,00:03.0,,,,,,SD
10274,3,2,S1 ,yeah we didn't get yeah the same for us,,06:02.0,06:05.0,00:03.0,,,,,SD,
10275,3,2,S1 ,it is like winter wasn't even here,,06:05.0,06:09.0,00:04.0,,,,,,
10276,3,2,S1 ,,yeah (laughter),06:10.0,06:10.0,00:00.0,,,,,,
10277,3,2,S1 ,,I don't know if they go to your school or not,06:10.0,06:16.0,00:06.0,,,,,,SD
10278,3,2,S1 ,,but a couple of my friends are at Squirrel Hill and then pause filler,06:16.0,06:19.0,00:03.0,,,,,,SD
10279,3,2,S1 ,,do you know Sophia Doyna or Trisha Soreta,06:19.0,06:21.0,00:02.0,,,,,,QE
10280,3,2,S1 ,I (inaudible),,06:21.0,06:22.0,00:01.0,,,,,,
10281,3,2,S1 ,,okay because I think they go to Falk,06:22.0,06:27.0,00:05.0,,,,,,
10282,3,2,S1 ,,never mind (laughter),06:27.0,06:29.0,00:02.0,,,,,,
10283,3,2,S1 ,yeah,,06:30.0,06:30.0,00:00.0,,,,,,
10284,3,2,S1 ,,so what made you decide to do the CMU thing,06:39.0,06:49.0,00:10.0,,,,,,QE
10285,3,2,S1 ,oh well I guess pause filler my mom works here,,06:49.0,06:54.0,00:05.0,,,,,SD,
10286,3,2,S1 ,so she noticed it,,06:54.0,06:55.0,00:01.0,,,,,,
10287,3,2,S1 ,and yeah I decided I'd do it,,06:55.0,06:58.0,00:03.0,,,,,,
10288,3,2,S1 ,,yeah,06:59.0,06:59.0,00:00.0,,,,,,
10289,3,2,S1 ,so,,06:59.0,06:59.0,00:00.0,,,,,,
10290,3,2,S1 ,,it's not too long you get money,07:00.0,07:03.0,00:03.0,,,,,,
10291,3,2,S1 ,yeah money is nice,,07:04.0,07:05.0,00:01.0,,,,,,
10292,3,2,S1 ,,yeah but it's a good experience also,07:05.0,07:08.0,00:03.0,,,,,,
10293,3,2,S1 ,yeah (inaudible),,07:09.0,07:09.0,00:00.0,,,,,,
10294,3,2,S1 ,,thank you,07:17.0,07:18.0,00:01.0,,,,,,
10295,3,2,S1 ,I have a question,,07:18.0,07:19.0,00:01.0,,,,,,
10296,3,2,S1 ,is there a way to turn this down a little bit,,07:19.0,07:25.0,00:06.0,,,,,,
10297,3,2,S1 ,,all right,07:25.0,07:26.0,00:01.0,,,,,,
10298,3,2,S1 ,(inaudible) all right thanks,,07:26.0,07:27.0,00:01.0,,,,,,
10299,3,2,T1 ,,,08:06.0,28:26.0,20:20.0,,,,,,
10300,3,2,T1 ,,,08:08.0,11:05.0,02:57.0,,,,,,
10301,3,2,T1 ,pause filler okay (laughter),,08:09.0,08:10.0,00:01.0,,,,,,
10302,3,2,T1 ,,so do you know how to do this,08:10.0,08:13.0,00:03.0,,,,,,
10303,3,2,T1 ,,you've learned this in school right,08:13.0,08:14.0,00:01.0,,,,,,
10304,3,2,T1 ,yeah so okay so yeah,,08:15.0,08:19.0,00:04.0,,,,,,
10305,3,2,T1 ,the first thing is you want to get x alone,,08:19.0,08:22.0,00:03.0,,,,,,
10306,3,2,T1 ,you want to get rid of those the three over seven pause filler,,08:22.0,08:26.0,00:04.0,,,,,,
10307,3,2,T1 ,,yes so then you would have to well on the sheet it was like saying that you would have to do seven x,08:27.0,08:36.0,00:09.0,,,,,,
10308,3,2,T1 ,,but I guess that's not,08:36.0,08:37.0,00:01.0,,,,,,
10309,3,2,T1 ,,well never mind,08:38.0,08:39.0,00:01.0,,,,,,
10310,3,2,T1 ,yeah so there's like two ways to do this,,08:40.0,08:42.0,00:02.0,,,,,,
10311,3,2,T1 ,you could either divide x plus three over seven,,08:42.0,08:46.0,00:04.0,,,,,,
10312,3,2,T1 ,or you could multiply it plus three over seven,,08:46.0,08:49.0,00:03.0,,,,,,
10313,3,2,T1 ,,yes so you would have to divide it by three sevens,08:50.0,08:53.0,00:03.0,,,,,,
10314,3,2,T1 ,yeah or we could multiply it by the reciprocal,,08:54.0,08:57.0,00:03.0,,,,,,
10315,3,2,T1 ,because that would also work,,08:58.0,08:59.0,00:01.0,,,,,,
10316,3,2,T1 ,because that would turn it into one,,08:59.0,09:00.0,00:01.0,,,,,,
10317,3,2,T1 ,,yeah yeah yeah,09:01.0,09:02.0,00:01.0,,,,,,
10318,3,2,T1 ,,so what do you think,09:02.0,09:04.0,00:02.0,,,,,,
10319,3,2,T1 ,,what do you,09:04.0,09:05.0,00:01.0,,,,,,
10320,3,2,T1 ,pause filler I mean it all depends,,09:06.0,09:09.0,00:03.0,,,,,,
10321,3,2,T1 ,would you rather divide forty or,,09:09.0,09:12.0,00:03.0,,,,,,
10322,3,2,T1 ,would you rather multiply over forty,,09:12.0,09:14.0,00:02.0,,,,,,
10323,3,2,T1 ,probably multiplying might be easier than dividing forty,,09:14.0,09:18.0,00:04.0,,,,,,
10324,3,2,T1 ,,all right then teach me how to do that then,09:18.0,09:21.0,00:03.0,,,,,,
10325,3,2,T1 ,okay okay that's weird oh okay yeah,,09:23.0,09:28.0,00:05.0,,,,,,
10326,3,2,T1 ,so you would want to do is,,09:28.0,09:30.0,00:02.0,,,,,,
10327,3,2,T1 ,you would want to just put like forty over here,,09:30.0,09:35.0,00:05.0,,,,,,
10328,3,2,T1 ,so that works,,09:36.0,09:39.0,00:03.0,,,,,,
10329,3,2,T1 ,so you I guess you would want to write out forty if you're going to multiply that,,09:39.0,09:45.0,00:06.0,,,,,,
10330,3,2,T1 ,,all right so then,09:45.0,09:50.0,00:05.0,,,,,,
10331,3,2,T1 ,so then pause filler if we're going to multiply it pause filler you're going to just write over here three over seven,,09:50.0,09:58.0,00:08.0,,,,,,
10332,3,2,T1 ,or seven over three yeah,,09:58.0,10:00.0,00:02.0,,,,,,
10333,3,2,T1 ,and you want to do a reciprocal,,10:00.0,10:02.0,00:02.0,,,,,,
10334,3,2,T1 ,,yeah,10:02.0,10:02.0,00:00.0,,,,,,
10335,3,2,T1 ,and I assume you know how to multiply fractions right,,10:04.0,10:07.0,00:03.0,,,,,,
10336,3,2,T1 ,,I actually haven't learned this for like a year or two,10:07.0,10:10.0,00:03.0,,,,,,
10337,3,2,T1 ,,so just refresh me on it,10:10.0,10:13.0,00:03.0,,,,,,
10338,3,2,T1 ,,I kind of remember but,10:13.0,10:17.0,00:04.0,,,,,,
10339,3,2,T1 ,so pause filler basically it's like multiplying normally except,,10:17.0,10:20.0,00:03.0,,,,,,
10340,3,2,T1 ,you want to multiply the forty times seven and the one times three,,10:20.0,10:26.0,00:06.0,,,,,,
10341,3,2,T1 ,,okay okay yeah yeah,10:27.0,10:29.0,00:02.0,,,,,,
10342,3,2,T1 ,you just multiply straight across so you get,,10:29.0,10:31.0,00:02.0,,,,,,
10343,3,2,T1 ,,two hundred eighty,10:32.0,10:33.0,00:01.0,,,,,,
10344,3,2,T1 ,yeah,,10:33.0,10:34.0,00:01.0,,,,,,
10345,3,2,T1 ,,over three right,10:37.0,10:41.0,00:04.0,,,,,,
10346,3,2,T1 ,,and then does that pause filler does that simplify,10:41.0,10:44.0,00:03.0,,,,,,
10347,3,2,T1 ,yea,,10:41.0,10:42.0,00:01.0,,,,,,
10348,3,2,T1 ,pause filler no,,10:45.0,10:46.0,00:01.0,,,,,,
10349,3,2,T1 ,,all right,10:47.0,10:48.0,00:01.0,,,,,,
10350,3,2,T1 ,no,,10:47.0,10:48.0,00:01.0,,,,,,
10351,3,2,T1 ,see pause filler I guess you could just say that,,10:48.0,10:52.0,00:04.0,,,,,,
10352,3,2,T1 ,because it would be okay,,10:53.0,10:59.0,00:06.0,,,,,,
10353,3,2,T1 ,because you know you probably know (inaudible) okay,,10:59.0,11:05.0,00:06.0,,,,,,
10354,3,2,T1 ,,all right next up,11:05.0,11:06.0,00:01.0,,,,,,
10355,3,2,T1 ,,,11:05.0,11:38.0,00:33.0,,,,,,
10356,3,2,T1 ,,so now do you want to multiply from the reciprocal again,11:06.0,11:10.0,00:04.0,,,,,,
10357,3,2,T1 ,,so fourteen,11:11.0,11:12.0,00:01.0,,,,,,
