"Begin Time - hh:mm:ss.ms","End Time - hh:mm:ss.ms","Duration - hh:mm:ss.ms","default","Experimenter","Experimenter 2","P2","P1"
00:31:51.400,00:31:52.950,00:00:01.550,,,,"they don't belong to the same company",
00:31:52.950,00:31:53.675,00:00:00.725,,,,"they don't belong to the same company","yeah but like yeah it's a pretty big rip off"
00:31:53.675,00:31:59.150,00:00:05.475,,,,,"yeah but like yeah it's a pretty big rip off"
00:32:00.450,00:32:03.850,00:00:03.400,,,,,"they totally stole the entire idea"
00:32:04.628,00:32:06.125,00:00:01.497,,"(inaudible) excited again",,,
00:32:06.775,00:32:08.225,00:00:01.450,,,,,"well there we go"
00:32:08.450,00:32:13.388,00:00:04.938,,,"now let's return to (inaudible)",,
00:32:13.388,00:32:13.907,00:00:00.519,,"very good",,,
00:32:13.907,00:32:17.369,00:00:03.462,,"now you'll be tutored oh",,,
00:32:17.948,00:32:25.980,00:00:08.032,,,"there you go so you'll be in green to make sure that you're not solving problems",,
00:32:28.015,00:32:34.500,00:00:06.485,,,"(inaudible) underlining and circling cool",,
00:32:34.969,00:32:41.944,00:00:06.975,,,"you have about twenty minutes and (inaudible)",,
00:32:42.153,00:32:48.379,00:00:06.226,,,,,"and this text should be green okay yeah all right"
00:32:48.379,00:32:55.054,00:00:06.675,,,,,"so yeah I'll be solving problems and"
00:32:55.054,00:32:56.700,00:00:01.646,,,"yup you have twenty minutes to just go as many as you can",,
00:32:56.700,00:32:57.425,00:00:00.725,,,"yup you have twenty minutes to just go as many as you can",,"all right okay okay so let's"
00:32:57.425,00:33:24.425,00:00:27.000,,,"yup you have twenty minutes to just go as many as you can",,
00:33:24.425,00:33:25.175,00:00:00.750,,,"yup you have twenty minutes to just go as many as you can","that would be funny like the (inaudible)",
00:33:25.175,00:33:29.246,00:00:04.071,,,,"that would be funny like the (inaudible)",
00:33:29.246,00:33:29.645,00:00:00.399,,,,"that would be funny like the (inaudible)","yeah"
00:33:29.645,00:33:29.975,00:00:00.330,,,,"that would be funny like the (inaudible)",
00:33:30.325,00:33:32.775,00:00:02.450,,,,"we did guarantee (inaudible)",
00:33:33.500,00:33:38.275,00:00:04.775,,,,,"yeah see (inaudible) eighty k twelve"
00:33:38.275,00:33:42.600,00:00:04.325,,,,"so we'll waste full time","yeah see (inaudible) eighty k twelve"
00:33:42.600,00:33:53.100,00:00:10.500,,,,,"yeah see (inaudible) eighty k twelve"
00:34:15.375,00:34:16.725,00:00:01.350,,,,"better than me (inaudible)",
00:34:16.725,00:34:18.425,00:00:01.700,,,,,"(laughter) minus twenty-two"
00:34:19.875,00:34:21.425,00:00:01.550,,,,,"oh wait no"
00:34:23.275,00:34:25.019,00:00:01.744,,,,"I wonder if it's still crowded outside",
00:34:26.875,00:34:27.550,00:00:00.675,,,,,"that's fine"
00:34:27.700,00:34:28.475,00:00:00.775,,,,,"oh it's pretty nice out"
00:34:33.729,00:34:36.200,00:00:02.471,,,,"I wonder what the Seahawks tastes like",
00:34:43.350,00:34:43.925,00:00:00.575,,,,,"seventy-two equals"
00:34:51.339,00:34:52.975,00:00:01.636,,,,"tastes good one",
00:34:57.125,00:34:58.375,00:00:01.250,,,,"and blue and green",
00:35:24.125,00:35:26.250,00:00:02.125,,,,"I wonder what a green mark change from",
00:35:27.975,00:35:31.299,00:00:03.324,,,,"there's that little green dark because I am white",
00:35:32.526,00:35:32.895,00:00:00.369,,,,,"yeah"
00:35:52.600,00:35:54.700,00:00:02.100,,,,"I think it's the first time I'm getting a purple one",
00:35:58.656,00:36:00.125,00:00:01.469,,,,,"they're not too good"
00:36:02.400,00:36:03.600,00:00:01.200,,,,"custom fit",
00:36:08.675,00:36:10.675,00:00:02.000,,,,"I went to go see Civil War yesterday",
00:36:10.775,00:36:12.375,00:00:01.600,,,,,"that was a hell movie"
00:36:13.134,00:36:15.259,00:00:02.125,,,,"I still don't know who that black guy is",
00:36:17.425,00:36:18.975,00:00:01.550,,,,"last one I really went to go see",
00:36:20.188,00:36:23.141,00:00:02.953,,,,"who was that black guy that black superhero",
00:36:23.969,00:36:27.551,00:00:03.582,,,,,"yeah he was from like Wakanda or something"
00:36:32.190,00:36:33.767,00:00:01.577,,,,"I was wondering if it was Batman",
00:36:34.136,00:36:34.555,00:00:00.419,,,,,"oh no"
00:36:35.832,00:36:37.618,00:00:01.786,,,,,"it's Black Panther"
00:36:38.785,00:36:40.741,00:00:01.956,,,,"Spiderman was killing it",
00:36:40.741,00:36:43.575,00:00:02.834,,,,"I was surprised to see Ant-Man",
00:36:44.233,00:36:45.271,00:00:01.038,,,,,"Ant-Man was hilarious"
00:36:48.500,00:36:50.775,00:00:02.275,,,,"I don't know why they picked him and not me",
00:36:51.250,00:36:51.975,00:00:00.725,,,,,"yeah"
00:36:53.821,00:36:54.819,00:00:00.998,,,,"or Spiderman",
00:36:57.425,00:36:58.650,00:00:01.225,,,,"I said or Spiderman",
00:36:58.650,00:37:00.125,00:00:01.475,,,,"but then again",
00:37:07.011,00:37:08.627,00:00:01.616,,,,"okay this showed their problem",
00:37:08.627,00:37:09.625,00:00:00.998,,,,"do you see that",
00:37:12.125,00:37:13.025,00:00:00.900,,,,,"what is that"
00:37:14.265,00:37:18.894,00:00:04.629,,,,"this looks like the stuff that they write to escalate were like fires to everywhere",
00:37:19.054,00:37:20.675,00:00:01.621,,,,,"yeah oh"
00:37:22.197,00:37:24.175,00:00:01.978,,,,"so (inaudible)",
00:37:33.575,00:37:36.225,00:00:02.650,,,,"nah we don't know (inaudible)",
00:37:45.625,00:37:47.150,00:00:01.525,,,,"do you watch basketball",
00:37:47.475,00:37:48.275,00:00:00.800,,,,,"not all the time"
00:37:48.275,00:37:48.925,00:00:00.650,,,,,"a little bit"
00:37:49.500,00:37:51.150,00:00:01.650,,,,"do you know who Dwyane Wade is",
00:37:51.989,00:37:53.665,00:00:01.676,,,,,"pause filler I think so"
00:37:54.344,00:37:55.641,00:00:01.297,,,,"number three for the Heat",
00:37:56.249,00:37:56.858,00:00:00.609,,,,,"yeah"
00:37:58.474,00:38:00.200,00:00:01.726,,,,"I just found out that's my cousin",
00:38:00.829,00:38:01.208,00:00:00.379,,,,,"wow"
00:38:02.894,00:38:03.892,00:00:00.998,,,,"I never knew that",
00:38:03.892,00:38:06.246,00:00:02.354,,,,"I know we have the same last name",
00:38:06.246,00:38:07.350,00:00:01.104,,,,"but I never knew it yeah",
00:38:09.175,00:38:10.025,00:00:00.850,,,,"oh it was my dad up",
00:38:10.025,00:38:10.450,00:00:00.425,,,,"oh it was my dad up","that's cool"
00:38:10.450,00:38:10.675,00:00:00.225,,,,,"that's cool"
00:38:10.825,00:38:13.125,00:00:02.300,,,,"he was on the phone just talking they sometimes said Dwyane",
00:38:13.250,00:38:15.875,00:00:02.625,,,,"but (inaudible) and said DWade I was like",
00:38:15.900,00:38:17.150,00:00:01.250,,,,"he's talking about Dwyane Wade from November",
00:38:18.748,00:38:19.915,00:00:01.167,,,,,"like really"
00:38:22.150,00:38:24.225,00:00:02.075,,,,"no no like no it's not",
00:38:24.275,00:38:25.350,00:00:01.075,,,,"like yes like FaceTime",
00:38:28.125,00:38:30.250,00:00:02.125,,,,"he was like yeah",
00:38:30.825,00:38:34.925,00:00:04.100,,,,"well that's how probably stand for like yeah bro Wade or something",
00:38:38.925,00:38:40.350,00:00:01.425,,,,"no it was no (inaudible)",
00:38:42.464,00:38:42.674,00:00:00.210,,,,,"yeah"
00:38:45.000,00:38:47.825,00:00:02.825,,,,"I was like oh my gosh",
00:38:57.425,00:39:00.184,00:00:02.759,,,,"how does he get on problem nine not this",
00:39:01.780,00:39:02.209,00:00:00.429,,,,,"I don't know"
00:39:04.925,00:39:06.525,00:00:01.600,,,,,"that stuff is like"
00:39:08.100,00:39:10.125,00:00:02.025,,,,,"it's something I don't know"
00:39:10.740,00:39:12.945,00:00:02.205,,,,"something out the best",
00:39:25.475,00:39:29.068,00:00:03.593,,,,"I want time the factory place that factory shop place",
00:39:30.365,00:39:31.263,00:00:00.898,,,,,"pause filler what"
00:39:31.842,00:39:33.975,00:00:02.133,,,,"factory shop like right on that corner",
00:39:34.825,00:39:35.775,00:00:00.950,,,,,"oh yeah yeah yeah yeah"
00:39:37.125,00:39:39.050,00:00:01.925,,,,"Lego factory shop",
00:39:40.500,00:39:41.500,00:00:01.000,,,,"it wasn't bad",
00:39:42.125,00:39:43.425,00:00:01.300,,,,,"yeah Lego factory is mass"
00:39:52.175,00:39:52.875,00:00:00.700,,,,,"there we go"
00:39:53.350,00:39:53.850,00:00:00.500,,,,"last skill get oh",
00:39:54.850,00:39:58.050,00:00:03.200,,,,"and we have fifteen minutes",
00:40:29.461,00:40:29.601,00:00:00.140,,,,,"yeah"
00:40:29.601,00:40:36.665,00:00:07.064,,"okay what's the next round",,,
00:40:36.665,00:40:42.721,00:00:06.056,,"so keep going stay in the same tutor role",,,
00:40:42.721,00:40:46.003,00:00:03.282,,"and take the tutor",,,
00:40:46.273,00:40:51.833,00:00:05.560,,,,,"I'm tutoring him so right"
00:40:51.833,00:40:53.000,00:00:01.167,,,,"ten more","I'm tutoring him so right"
00:40:53.000,00:40:53.327,00:00:00.327,,,,,"I'm tutoring him so right"
00:40:54.266,00:40:54.334,00:00:00.068,,,,"he should just cashed like this is that",
00:40:54.334,00:40:56.669,00:00:02.335,,"yup same roles",,"he should just cashed like this is that",
00:40:56.669,00:40:58.844,00:00:02.175,,,"all righty we just got ten more please","he should just cashed like this is that",
00:40:58.844,00:40:58.866,00:00:00.022,,,,"he should just cashed like this is that",
00:40:59.253,00:40:59.503,00:00:00.250,,,,,"okay"
00:41:10.757,00:41:24.000,00:00:13.243,,,,,"I'm tutoring all right"
00:41:24.000,00:41:27.100,00:00:03.100,,,,,"oh boy okay then"
00:41:27.349,00:41:29.085,00:00:01.736,,,,"what in the world is this",
00:41:29.175,00:41:30.642,00:00:01.467,,,,,"this looks terrible"
00:41:31.091,00:41:33.276,00:00:02.185,,,,"he took my tutor role",
00:41:35.433,00:41:37.466,00:00:02.033,,,,"what are you doing",
00:41:41.133,00:41:43.066,00:00:01.933,,,,"did you like the Goosebumps movie",
00:41:44.441,00:41:46.466,00:00:02.025,,,,,"pause filler I don't think I've ever seen it actually"
00:41:47.633,00:41:49.166,00:00:01.533,,,,"the one (inaudible)",
00:41:49.566,00:41:51.733,00:00:02.167,,,,,"no I don't know about it"
00:41:52.366,00:41:53.189,00:00:00.823,,,,"it's Netflix",
00:41:53.189,00:41:53.822,00:00:00.633,,,,"he was good",
00:41:54.255,00:41:54.800,00:00:00.545,,,,,"oh"
00:42:01.522,00:42:04.226,00:00:02.704,,,,"all right now this is really weird",
00:42:05.355,00:42:06.822,00:00:01.467,,,,,"what yeah"
00:42:09.613,00:42:10.155,00:00:00.542,,,,"this white",
00:42:12.878,00:42:13.704,00:00:00.826,,,,,"I don't mind (inaudible)"
00:42:17.436,00:42:19.666,00:00:02.230,,,,"Joey the (inaudible)",
00:43:03.200,00:43:04.455,00:00:01.255,,,,"the world may never know",
00:43:06.178,00:43:09.577,00:00:03.399,,,,,"I think pause filler the right answer is the world may never care"
00:43:11.175,00:43:12.000,00:00:00.825,,,,"that's better",
00:43:16.725,00:43:20.263,00:00:03.538,,,,,"aw what boy okay"
00:43:20.263,00:43:20.850,00:00:00.587,,,,"okay this is ridiculous","aw what boy okay"
00:43:20.850,00:43:22.029,00:00:01.179,,,,"okay this is ridiculous",
00:43:22.987,00:43:23.366,00:00:00.379,,,,,"let's see"
00:43:25.075,00:43:27.116,00:00:02.041,,,,"anyway we only got ten minutes left",
00:43:27.525,00:43:27.750,00:00:00.225,,,,,"yup"
00:43:41.100,00:43:42.792,00:00:01.692,,,,"I should've bought my portable charger",
00:43:47.350,00:43:50.800,00:00:03.450,,,,"when did they order just to get out (inaudible)",
00:43:51.566,00:43:53.767,00:00:02.201,,,,,"pause filler like early next month I think"
00:43:56.900,00:43:58.933,00:00:02.033,,,,"did the seniors get out already",
00:44:00.092,00:44:04.716,00:00:04.624,,,,,"most of them yeah because I mean none of them really did on the thing anyways this year but like okay pause filler"
00:44:17.066,00:44:18.690,00:00:01.624,,,,"do you know Darrell Porter",
00:44:20.207,00:44:21.703,00:00:01.496,,,,,"I don't think I heard the name no"
00:44:22.741,00:44:24.178,00:00:01.437,,,,"or a Michael Baldwin",
00:44:24.507,00:44:24.866,00:00:00.359,,,,,"no"
00:45:51.369,00:45:52.826,00:00:01.457,,,,,"can I beat the clock"
00:45:52.826,00:45:53.435,00:00:00.609,,,,,"let's see"
00:45:53.516,00:46:02.766,00:00:09.250,,,,,"and that's for sure sixty-nine over"
00:46:08.950,00:46:09.900,00:00:00.950,,,,,"is there a number here"
00:46:11.866,00:46:13.050,00:00:01.184,,,,"no there is",
00:46:19.416,00:46:20.066,00:00:00.650,,,,,"okay"
00:46:20.816,00:46:22.183,00:00:01.367,,,,"that is really clever",
00:46:24.200,00:46:24.750,00:00:00.550,,,,,"yeah"
00:46:32.266,00:46:42.064,00:00:09.798,,,,,"seventeen over three x two"
00:46:42.264,00:46:43.451,00:00:01.187,,,,,"god this is terrible"
00:46:43.451,00:46:43.750,00:00:00.299,,,,,"okay"
00:46:48.683,00:46:50.783,00:00:02.100,,,,,"okay let me see"
00:46:52.033,00:46:56.666,00:00:04.633,,,,,"three equals two"
00:46:58.627,00:47:01.560,00:00:02.933,,,,"now I wonder what Chris must (inaudible)",
00:47:19.966,00:47:21.716,00:00:01.750,,,,,"okay this is definitely not right"
00:47:21.716,00:47:28.650,00:00:06.934,,,,,"but really just cannot do anything with this mouse"
00:47:30.750,00:47:31.716,00:00:00.966,,,,,"what the hell"
00:47:33.587,00:48:00.197,00:00:26.610,,,,,"okay equals seventeen equals nineteen sixty-nine minus two over okay (inaudible)"
00:48:00.246,00:48:02.451,00:00:02.205,,,,"these problems just get harder and harder",
00:48:03.389,00:48:06.383,00:00:02.994,,,,,"yeah I don't know if I'm actually cutting them correct"
00:48:07.680,00:48:14.963,00:00:07.283,,,,,"so we have negative fourteen"
00:48:16.100,00:48:22.716,00:00:06.616,,,,"prob over negative two minus x minus twenty-seven equals negative twelve",
00:48:24.741,00:48:26.766,00:00:02.025,,,,"I want to be negative twenty-seven",
00:48:28.016,00:48:32.500,00:00:04.484,,,,,"wait that was positive wasn't it"
00:48:35.516,00:48:36.434,00:00:00.918,,,,,"I can't trust you (laughter)"
00:48:38.183,00:48:38.919,00:00:00.736,,,,,"let's see"
00:48:39.316,00:49:03.463,00:00:24.147,,,,,"seventeen over negative fourteen plus two equals negative x equals eighteen over fourteen minus two equals x"
00:49:08.372,00:49:09.429,00:00:01.057,,,,"for the nips",
00:49:09.928,00:49:10.317,00:00:00.389,,,,,"yup"
00:49:16.400,00:49:18.583,00:00:02.183,,,,"so you beat the clock",
00:49:41.650,00:49:44.250,00:00:02.600,,,,,"there's like people walking in like oh"
00:49:45.016,00:49:46.500,00:00:01.484,,,,,"don't ask me what I'm doing"
00:49:46.516,00:49:47.316,00:00:00.800,,,,,"I don't know"
00:49:47.772,00:49:48.680,00:00:00.908,,,,"the Chinese man",
00:49:49.000,00:49:49.566,00:00:00.566,,,,,"yeah"
00:49:54.166,00:49:57.683,00:00:03.517,,,,"okay are counting the three two one uploaded",
00:50:09.050,00:50:24.549,00:00:15.499,,,,,"negative one over seven minus nine over two equals x"
00:50:25.466,00:50:26.966,00:00:01.500,,,,"oh here the other the other girl",
00:50:27.800,00:50:28.889,00:00:01.089,,,,"he's coming to see",
00:50:28.889,00:50:29.450,00:00:00.561,,"all right so that is time",,"he's coming to see",
00:50:29.450,00:50:33.408,00:00:03.958,,"all right so that is time",,,
00:50:33.408,00:50:34.496,00:00:01.088,,,,"it's time",
00:50:34.815,00:50:35.065,00:00:00.250,,"yeah",,,
00:50:35.783,00:50:36.422,00:00:00.639,,,,"okay",
00:50:37.729,00:50:39.435,00:00:01.706,,"what number were you on",,,
00:50:39.524,00:50:40.183,00:00:00.659,,,,,"pause filler twenty"
00:50:40.832,00:50:42.149,00:00:01.317,,"oh okay you're almost",,,
00:50:42.448,00:50:43.007,00:00:00.559,,,,,"yeah I need to go"
00:50:43.007,00:50:44.603,00:00:01.596,,"all righty we're good",,,
00:50:45.551,00:50:49.262,00:00:03.711,,"so yeah this is almost done",,,
00:50:50.889,00:51:05.316,00:00:14.427,,"but you're done with the tutoring session",,,
00:51:05.535,00:51:08.678,00:00:03.143,,"so you guys just pause filler say goodbye",,,
00:51:08.678,00:51:09.397,00:00:00.719,,"and we'll end the call",,,
00:51:09.696,00:51:11.582,00:00:01.886,,,,,"okay see you"
00:51:12.051,00:51:14.036,00:00:01.985,,"say goodbye",,,
00:51:14.036,00:51:14.325,00:00:00.289,,,,,"goodbye"
00:51:14.715,00:51:14.974,00:00:00.259,,,,"yup",
