"Begin Time - hh:mm:ss.ms","End Time - hh:mm:ss.ms","Duration - hh:mm:ss.ms","default","Experimenter 2","Experimenter","P1","P2"
00:19:57.300,00:19:58.100,00:00:00.800,,,,"see you later",
00:19:58.300,00:20:03.200,00:00:04.900,,,,,"wait okay so then so then we have to do two eighty divide"
00:20:03.200,00:20:05.000,00:00:01.800,,,,,"or should we just keep the fraction"
00:20:05.400,00:20:07.020,00:00:01.620,,,,,"or do we have to divide it"
00:20:08.200,00:20:09.800,00:00:01.600,,,,"we leave that because it's done",
00:20:10.800,00:20:17.010,00:00:06.210,,,,,"so it's s equals two hundred eighty over three all right"
00:20:16.400,00:20:17.000,00:00:00.600,,,,"that's it",
00:20:18.000,00:20:19.900,00:00:01.900,,,,,"okay now let's redo the next one"
00:20:21.000,00:20:23.100,00:00:02.100,,,,,"last time was so much easier than this"
00:20:24.300,00:20:25.000,00:00:00.700,,,,,"do you remember"
00:20:25.800,00:20:30.700,00:00:04.900,,,,"okay so I have in my ears pierced",
00:20:30.700,00:20:32.700,00:00:02.000,,,,"but I never put any earrings",
00:20:32.700,00:20:37.000,00:00:04.300,,,,,"oh like it feels weird when you put on headphones"
00:20:37.000,00:20:38.500,00:00:01.500,,,,,"and like you have earrings"
00:20:38.500,00:20:39.900,00:00:01.400,,,,,"and like I only wear like studs"
00:20:39.900,00:20:44.700,00:00:04.800,,,,,"but okay fourteen over one times eight over three"
00:20:44.700,00:20:50.200,00:00:05.500,,,,,"and then three over times eight over three would cancel out right"
00:20:50.200,00:20:51.200,00:00:01.000,,,,"one twenty over three",
00:20:51.600,00:20:57.200,00:00:05.600,,,,"wait one eleven what one one two one hundred twelve sorry",
00:20:57.400,00:21:00.300,00:00:02.900,,,,,"one one oh (inaudible)"
00:21:02.500,00:21:04.700,00:00:02.200,,,,"okay and over three",
00:21:05.500,00:21:06.700,00:00:01.200,,,,"ooh that's a nice three",
00:21:08.000,00:21:09.800,00:00:01.800,,,,,"I don't even know what this is down here"
00:21:11.000,00:21:11.400,00:00:00.400,,,,,"what did I do"
00:21:11.400,00:21:16.800,00:00:05.400,,,,,"it's like a heart by looking at it"
00:21:17.000,00:21:19.200,00:00:02.200,,,,"I don't no idea okay",
00:21:20.900,00:21:21.100,00:00:00.200,,,,,"okay"
00:21:21.500,00:21:22.600,00:00:01.100,,,,"that's the answer",
00:21:23.600,00:21:26.520,00:00:02.920,,,,,"one hundred twelve over three equals k"
00:21:28.080,00:21:29.300,00:00:01.220,,,,"but we have to do this wait",
00:21:31.600,00:21:32.000,00:00:00.400,,,,,"what"
00:21:36.200,00:21:37.400,00:00:01.200,,,,"what are you doing",
00:21:37.400,00:21:39.500,00:00:02.100,,,,,"(laughter) it's a fancy k"
00:21:44.400,00:21:45.800,00:00:01.400,,,,"this is slow today",
00:21:46.700,00:21:51.000,00:00:04.300,,,,,"oh yeah like how like a second later it kind of like yeah"
00:21:53.200,00:21:54.300,00:00:01.100,,,,,"oh my gosh okay"
00:21:54.500,00:21:55.900,00:00:01.400,,,,,"so should we go to the next one"
00:21:56.300,00:21:57.830,00:00:01.530,,,,"that's a fancy k",
00:21:58.570,00:22:01.470,00:00:02.900,,,,"I have no idea what it is I actually",
00:22:01.000,00:22:05.600,00:00:04.600,,,,,"oh (laughter) is this the next one"
00:22:05.700,00:22:07.000,00:00:01.300,,,,,"oh gosh this one looks harder"
00:22:07.200,00:22:08.500,00:00:01.300,,,,,"wait I know what we do"
00:22:08.500,00:22:09.200,00:00:00.700,,,,,"I know what we do"
00:22:09.000,00:22:09.970,00:00:00.970,,,,"are you sure",
00:22:09.200,00:22:09.700,00:00:00.500,,,,,"you add eighteen"
00:22:10.400,00:22:11.900,00:00:01.500,,,,,"you add eighteen to each side"
00:22:12.500,00:22:12.900,00:00:00.400,,,,"wait",
00:22:13.400,00:22:17.700,00:00:04.300,,,,,"mm-hmm because then you cancel out eighteen on this side"
00:22:18.300,00:22:19.900,00:00:01.600,,,,,"and you just make the other side bigger"
00:22:21.800,00:22:26.200,00:00:04.400,,,,,"okay I'm just going to like okay what's fifty-two plus eighteen"
00:22:26.200,00:22:29.100,00:00:02.900,,,,,"it is seventy right"
00:22:30.500,00:22:39.380,00:00:08.880,,,,,"yeah seventy it's seventy equals ew equals (laughter)"
00:22:39.380,00:22:43.000,00:00:03.620,,,,,"and then since you added eighteen to the negative eighteen"
00:22:43.300,00:22:45.500,00:00:02.200,,,,,"it's then just negative two y"
00:22:45.500,00:22:49.860,00:00:04.360,,,,,"it's negative two over three y (laughter)"
00:22:54.100,00:22:55.810,00:00:01.710,,,,,"you have a big question mark (laughter)"
00:22:57.720,00:22:59.200,00:00:01.480,,,,,"so you got that"
00:22:59.900,00:23:02.900,00:00:03.000,,,,"yes but that's not all the answers though",
00:23:03.000,00:23:03.900,00:00:00.900,,,,,"well I know that"
00:23:03.900,00:23:05.000,00:00:01.100,,,,,"I know that's not the answer"
00:23:05.100,00:23:10.500,00:00:05.400,,,,,"but then do we do three over negative pause filler"
00:23:10.360,00:23:13.000,00:00:02.640,,,,"oh I know the I don't know the answer",
00:23:13.000,00:23:14.200,00:00:01.200,,,,"but I know what to do next",
00:23:14.200,00:23:17.400,00:00:03.200,,,,"okay do you want the next pause filler thing",
00:23:18.700,00:23:21.000,00:00:02.300,,,,,"should we just like finish this one though"
00:23:23.100,00:23:26.000,00:00:02.900,,,,"so did you add eighteen to both sides",
00:23:27.100,00:23:28.200,00:00:01.100,,,,,"pause filler yeah and"
00:23:28.200,00:23:30.200,00:00:02.000,,,,"eighteen plus fifty-two",
00:23:30.800,00:23:31.600,00:00:00.800,,,,,"is seventy"
00:23:31.600,00:23:32.400,00:00:00.800,,,,,"yeah I got that"
00:23:33.500,00:23:41.200,00:00:07.700,,,,"okay so then you have to take the excuse me pause filler to the fraction",
00:23:41.200,00:23:44.700,00:00:03.500,,,,"and then you have to multiply it on both sides",
00:23:46.500,00:23:48.400,00:00:01.900,,,,,"again like we did the last one"
00:23:48.400,00:23:51.300,00:00:02.900,,,,"but you have to make it inproper so flip it",
00:23:51.900,00:23:56.900,00:00:05.000,,,,,"okay okay so negative three over two"
00:23:56.900,00:23:58.400,00:00:01.500,,,,,"so that would cancel out right"
00:23:58.800,00:23:59.700,00:00:00.900,,,,"wait hold up",
00:24:00.200,00:24:04.000,00:00:03.800,,,,,"if I did negative two over three time three negative three over two"
00:24:04.000,00:24:05.800,00:00:01.800,,,,,"that would cancel out right"
00:24:05.800,00:24:06.900,00:00:01.100,,,,"pause filler",
00:24:06.900,00:24:09.300,00:00:02.400,,,,,"would it I think yeah"
00:24:09.300,00:24:10.500,00:00:01.200,,,,,"because in the last one it did"
00:24:10.900,00:24:13.700,00:00:02.800,,,,"yeah and the one before that",
00:24:14.400,00:24:24.900,00:00:10.500,,,,,"mm-hmm okay I'm never going to just have to do seventy over three over two wait"
00:24:25.000,00:24:27.200,00:00:02.200,,,,,"let me do the other one"
00:24:27.200,00:24:29.400,00:00:02.200,,,,,"is it seventy over three over two or"
00:24:29.400,00:24:30.300,00:00:00.900,,,,"wait hold up",
00:24:30.500,00:24:35.400,00:00:04.900,,,,"seventy times three",
00:24:35.400,00:24:37.300,00:00:01.900,,,,,"pause filler I mean two over three (inaudible)"
00:24:37.300,00:24:39.600,00:00:02.300,,,,"over two equals what",
00:24:40.700,00:24:41.700,00:00:01.000,,,,,"okay let's think"
00:24:41.900,00:24:43.200,00:00:01.300,,,,,"two hundred ten"
00:24:43.500,00:24:49.600,00:00:06.100,,,,,"I'm just like wait no yeah wait no two thousand one hundred"
00:24:47.600,00:24:48.700,00:00:01.100,,,,"no",
00:24:49.700,00:24:58.200,00:00:08.500,,,,,"like now because three time seven is twenty-one yeah two thousand one hundred what pause filler"
00:24:58.500,00:24:59.700,00:00:01.200,,,,"hold up let me see",
00:25:06.600,00:25:07.200,00:00:00.600,,,,"two ten",
00:25:08.300,00:25:09.900,00:00:01.600,,,,,"but that doesn't seem right"
00:25:10.400,00:25:12.350,00:00:01.950,,,,,"like seventy times three"
00:25:13.910,00:25:16.330,00:00:02.420,,,,,"oh yeah actually yeah okay"
00:25:16.330,00:25:19.000,00:00:02.670,,,,,"let's just go with it and then okay so then"
00:25:18.800,00:25:20.400,00:00:01.600,,,,"and then we have to divide it",
00:25:21.700,00:25:23.200,00:00:01.500,,,,,"or can't we just keep it as a fraction"
00:25:24.300,00:25:25.400,00:00:01.100,,,,,"we can't"
00:25:26.300,00:25:26.700,00:00:00.400,,,,,"why"
00:25:28.020,00:25:28.900,00:00:00.880,,,,"I don't know",
00:25:29.500,00:25:33.100,00:00:03.600,,,,,"well okay divide it by two that is a hundred and five"
00:25:34.200,00:25:35.200,00:00:01.000,,,,"no",
00:25:38.000,00:25:40.600,00:00:02.600,,,,"find it's Gs",
00:25:41.900,00:25:43.900,00:00:02.000,,,,,"yup I'll just write a hundred and five"
00:25:47.700,00:25:51.300,00:00:03.600,,,,,"pause filler that's a really bad zero a hundred"
00:25:51.300,00:25:56.300,00:00:05.000,,,,,"that looks like a snail (inaudible) right there"
00:25:56.300,00:25:58.700,00:00:02.400,,,,,"a hundred and five equals y all right"
00:25:58.900,00:26:00.000,00:00:01.100,,,,,"should we do the next one"
00:26:00.900,00:26:02.200,00:00:01.300,,,,"there now it's a snail",
00:26:03.700,00:26:04.400,00:00:00.700,,,,,"oh (laughter)"
00:26:06.800,00:26:08.900,00:00:02.100,,,,,"okay let's just do the next one"
00:26:11.400,00:26:16.600,00:00:05.200,,,,,"okie doke now last one we added eighteen to each side"
00:26:16.600,00:26:20.100,00:00:03.500,,,,,"now we're subtracting eighteen no thirteen right"
00:26:23.000,00:26:23.900,00:00:00.900,,,,"no no no no",
00:26:24.200,00:26:25.100,00:00:00.900,,,,"well yes we are",
00:26:25.200,00:26:28.100,00:00:02.900,,,,,"because then you'll cancel out the thirteen on that side"
00:26:28.100,00:26:29.500,00:00:01.400,,,,,"and then we'll just make the other one bigger"
00:26:29.500,00:26:32.500,00:00:03.000,,,,,"so should we just subtract that"
00:26:33.400,00:26:38.000,00:00:04.600,,,,,"so just yeah just subtract it I think"
00:26:40.100,00:26:40.200,00:00:00.100,,,,,"oh"
00:26:40.200,00:26:44.900,00:00:04.700,,,"cool so that's actually the time pause filler",,
00:26:44.900,00:26:53.100,00:00:08.200,,,"so pause filler oh it's just like last time we'll take a break",,
00:26:53.100,00:26:57.700,00:00:04.600,,,"here are some candy absolutely you're great pause filler yeah",,
00:26:58.100,00:27:08.300,00:00:10.200,,,"hang out and I'll give you a few minutes I'll be back in five minutes",,
00:27:08.400,00:27:11.400,00:00:03.000,,,,,"all right sour patch ooh i like sour patch"
00:27:16.200,00:27:19.100,00:00:02.900,,,,,"it is a six thirty-seven"
00:27:21.600,00:27:23.400,00:00:01.800,,,,"mine says seven fourteen",
00:27:24.700,00:27:25.200,00:00:00.500,,,,,"really"
00:27:25.500,00:27:26.100,00:00:00.600,,,,"yes",
00:27:29.800,00:27:34.200,00:00:04.400,,,,,"okay does yours say it's the fourth"
00:27:40.200,00:27:40.500,00:00:00.300,,,,"yeah",
00:27:41.700,00:27:42.400,00:00:00.700,,,,,"ah weird"
00:27:44.400,00:27:45.000,00:00:00.600,,,,"why",
00:27:45.400,00:27:49.000,00:00:03.600,,,,,"because like we have different times"
00:27:52.800,00:27:54.200,00:00:01.400,,,,,"but isn't this over at seven"
00:27:58.300,00:28:00.900,00:00:02.600,,,,,"pause filler this is so good"
00:28:09.100,00:28:11.500,00:00:02.400,,,,,"this mechanical pencil is so good it has jewels in it"
00:28:11.500,00:28:15.300,00:00:03.800,,,,,"like it looks so sparkly like look at it"
00:28:15.300,00:28:18.400,00:00:03.100,,,,,"doesn't it look sparkly like jewels"
00:28:20.700,00:28:21.900,00:00:01.200,,,,,"that's good"
00:28:31.100,00:28:33.100,00:00:02.000,,,,,"how does that look like a kid though like"
00:28:48.000,00:28:49.000,00:00:01.000,,,,,"yeah go ahead"
00:28:52.300,00:28:53.700,00:00:01.400,,,,"whoo I got a sour one",
00:28:55.000,00:29:00.000,00:00:05.000,,,,,"the ones at the bottom are sour because like (laughter)"
00:29:00.000,00:29:03.556,00:00:03.556,,,,,"all the like the sour powder stuff is like at the bottom"
00:29:19.400,00:29:21.800,00:00:02.400,,,,,"oh the lemon ones are sour"
00:29:25.200,00:29:26.100,00:00:00.900,,,,"no copywriting",
00:29:27.800,00:29:29.000,00:00:01.200,,,,,"no no no"
00:29:29.000,00:29:30.200,00:00:01.200,,,,,"where does it say that"
00:29:31.100,00:29:31.800,00:00:00.700,,,,"right here",
00:29:32.700,00:29:38.800,00:00:06.100,,,,,"where wait do you still have the draw thingy up"
00:29:40.000,00:29:40.400,00:00:00.400,,,,,"I don't"
00:29:40.400,00:29:42.700,00:00:02.300,,,,,"they took mine out (laughter)"
00:29:52.700,00:29:54.190,00:00:01.490,,,,,"there's like nobody out here"
00:29:54.190,00:29:55.450,00:00:01.260,,,,,"it's like weird"
00:30:02.900,00:30:05.200,00:00:02.300,,,,,"I feel like I'm the only person in this building right now"
00:30:05.200,00:30:07.600,00:00:02.400,,,,,"it's because there's nobody here"
00:30:07.700,00:30:10.000,00:00:02.300,,,,"not for me because I have a window",
00:30:10.300,00:30:10.900,00:00:00.600,,,,"well two",
00:30:11.300,00:30:13.200,00:00:01.900,,,,,"well I have a window too and"
00:30:13.400,00:30:15.000,00:00:01.600,,,,,"there's like a bunch of desks and stuff"
00:30:16.200,00:30:17.200,00:00:01.000,,,,,"but there's nobody out here"
00:30:20.000,00:30:22.000,00:00:02.000,,,,,"ooh I have a lot of blue ones"
00:30:22.100,00:30:23.440,00:00:01.340,,,,,"it's my favorite kind"
00:30:24.600,00:30:25.200,00:00:00.600,,,,,"the blue"
00:30:30.300,00:30:33.100,00:00:02.800,,,,,"I wish they give us candy in algebra at school"
00:30:33.300,00:30:34.530,00:00:01.230,,,,,"that would be nice"
00:30:54.800,00:30:58.000,00:00:03.200,,,,,"sour sweet gone it's what it says on here"
00:31:00.200,00:31:06.400,00:00:06.200,,,,,"for more fun check #stk"
00:31:06.400,00:31:08.760,00:00:02.360,,,,,"that's funny I said eck"
00:31:10.000,00:31:12.696,00:00:02.696,,,,,"k I like eck eck"
00:31:13.000,00:31:14.360,00:00:01.360,,,,,"that is so weird"
00:31:15.800,00:31:16.600,00:00:00.800,,,,"barrow",
00:31:16.700,00:31:17.400,00:00:00.700,,,,,"oh orange one"
00:31:17.400,00:31:19.900,00:00:02.500,,,,,"I don't think I have like any orange ones"
00:31:24.600,00:31:26.000,00:00:01.400,,,,,"I think there's like (inaudible)"
00:31:29.600,00:31:30.340,00:00:00.740,,,,"what it says",
00:31:31.600,00:31:33.495,00:00:01.895,,,,"it says br",
00:31:42.300,00:31:45.000,00:00:02.700,,,,"man this has 210 calories",
00:31:45.833,00:31:48.233,00:00:02.400,,,,,"mm-hmm"
00:32:02.700,00:32:04.308,00:00:01.608,,,,"okay I've got a really sour one",
00:32:13.700,00:32:14.387,00:00:00.687,,,,"I have a brother",
00:32:13.700,00:32:14.800,00:00:01.100,,,"yeah you're the tutor",,
00:32:14.900,00:32:19.800,00:00:04.900,,,"and you have your study guide",,
00:32:15.000,00:32:17.490,00:00:02.490,,,,"and he didn't get off the school bus today",
00:32:18.790,00:32:21.000,00:00:02.210,,,,"and I was like where did Will go",
00:32:19.800,00:32:22.300,00:00:02.500,,,"you have twenty minutes",,
00:32:21.000,00:32:25.500,00:00:04.500,,,,"and then he would I kind of found out that he was actually at a friend's house",
00:32:22.300,00:32:23.700,00:00:01.400,,,"and exchange color for you",,
00:32:24.100,00:32:25.900,00:00:01.800,,,"you're in green which should be like",,
00:32:25.500,00:32:27.920,00:00:02.420,,,,"I was like okay good",
00:32:25.900,00:32:35.000,00:00:09.100,,,"you will solve the problems and out here solve them and underline or solve them",,
00:32:34.500,00:32:37.210,00:00:02.710,,,,,"all right so I'm the tutor this time"
00:32:35.500,00:32:38.300,00:00:02.800,,"so now we're going to switch it up",,,
00:32:38.000,00:32:38.800,00:00:00.800,,,,,"okay"
00:32:38.400,00:32:40.500,00:00:02.100,,"and she's going to tutor you",,,
00:32:40.500,00:32:44.000,00:00:03.500,,"and you're going to get tutored same as the last time",,,
00:32:44.000,00:32:46.400,00:00:02.400,,"you're going to have (inaudible)",,,
00:32:46.400,00:32:49.500,00:00:03.100,,"and work through as many problems as you can",,,
00:32:49.600,00:32:53.100,00:00:03.500,,"don't worry if you can't get the problem",,,
00:32:53.200,00:32:58.000,00:00:04.800,,"and if you finish through all of the problems in that sense",,,
00:32:58.100,00:33:00.400,00:00:02.300,,"you can just let us know and (inaudible) yeah",,,
00:33:00.400,00:33:01.700,00:00:01.300,,"okay yeah all right",,,
00:33:01.700,00:33:12.100,00:00:10.400,,"and you can go ahead and get started",,,
00:33:09.590,00:33:10.125,00:00:00.535,,,,,"okay"
00:33:14.000,00:33:15.700,00:00:01.700,,,,,"I'm the tutor (laughter)"
00:33:16.000,00:33:17.220,00:00:01.220,,,,"hello",
00:33:17.000,00:33:17.900,00:00:00.900,,,,,"okay"
00:33:18.000,00:33:19.520,00:00:01.520,,,,"hello family",
00:33:21.900,00:33:22.700,00:00:00.800,,,,,"for this"
00:33:25.100,00:33:26.090,00:00:00.990,,,,"dang it",
00:33:27.400,00:33:29.000,00:00:01.600,,,,,"what do you think we have to do first"
00:33:29.000,00:33:30.300,00:00:01.300,,,,,"because I have the cheat sheet"
00:33:30.300,00:33:32.770,00:00:02.470,,,,,"so like I know (laughter)"
00:33:33.200,00:33:34.410,00:00:01.210,,,,,"it's so sour"
00:33:40.600,00:33:42.200,00:00:01.600,,,,"oh (inaudible) in my bag (inaudible)",
00:33:42.200,00:33:44.000,00:00:01.800,,,,"aw man these are really sour",
00:33:49.000,00:33:50.300,00:00:01.300,,,,"I have a lot of red",
00:33:50.900,00:33:52.300,00:00:01.400,,,,,"I have a lot of blue"
00:33:53.700,00:33:54.800,00:00:01.100,,,,,"yeah four blue"
00:33:58.100,00:33:58.800,00:00:00.700,,,,,"okay"
00:33:59.300,00:34:00.700,00:00:01.400,,,,"you just dumped them out",
00:34:01.550,00:34:02.400,00:00:00.850,,,,,"no"
00:34:04.000,00:34:06.600,00:00:02.600,,,,,"I was just like going through them like"
00:34:09.200,00:34:10.030,00:00:00.830,,,,,"okay"
00:34:09.600,00:34:11.800,00:00:02.200,,,,"I don't know if I should eat these",
00:34:11.800,00:34:13.000,00:00:01.200,,,,"they're really sour",
00:34:12.900,00:34:14.300,00:00:01.400,,,,,"like shake them"
00:34:15.700,00:34:16.600,00:00:00.900,,,,,"shake them"
00:34:16.600,00:34:18.000,00:00:01.400,,,,,"okay all right"
00:34:18.100,00:34:20.200,00:00:02.100,,,,"okay don't do that ever again",
00:34:20.800,00:34:23.800,00:00:03.000,,,,,"just like shake off the sugar stuff okay pause filler"
00:34:23.800,00:34:24.700,00:00:00.900,,,,"but that's sugar",
00:34:25.300,00:34:25.800,00:00:00.500,,,,,"I don't know"
00:34:25.800,00:34:26.700,00:00:00.900,,,,,"okay so"
00:34:27.000,00:34:28.300,00:00:01.300,,,,"it's not working",
00:34:29.500,00:34:30.500,00:00:01.000,,,,,"what you want to do"
00:34:30.600,00:34:33.000,00:00:02.400,,,,,"do you know what you want to do"
00:34:33.700,00:34:36.700,00:00:03.000,,,,,"you want to multiply x on each side"
00:34:37.000,00:34:38.250,00:00:01.250,,,,,"so like write that down"
00:34:42.000,00:34:43.890,00:00:01.890,,,,,"so write down like times x"
00:34:44.600,00:34:46.000,00:00:01.400,,,,"okay that's disgusting",
00:34:48.700,00:34:49.400,00:00:00.700,,,,,"Jesus"
00:34:51.800,00:34:52.800,00:00:01.000,,,,"okay",
00:34:56.000,00:35:01.000,00:00:05.000,,,,,"just do like times x times x"
00:35:01.700,00:35:03.600,00:00:01.900,,,,,"wait am I green"
00:35:04.000,00:35:06.500,00:00:02.500,,,,"you're mm-hmm",
00:35:07.500,00:35:08.000,00:00:00.500,,,,,"wait"
00:35:09.300,00:35:11.100,00:00:01.800,,,,,"yeah here let me make it more green okay"
00:35:11.300,00:35:12.500,00:00:01.200,,,,,"here we go"
00:35:12.500,00:35:17.100,00:00:04.600,,,,,"times x well times x okay well"
00:35:17.100,00:35:19.700,00:00:02.600,,,,,"so then well what do you think is going to happen"
00:35:25.700,00:35:26.400,00:00:00.700,,,,,"done"
00:35:29.000,00:35:31.400,00:00:02.400,,,,,"and then you multiply x each side"
00:35:33.500,00:35:36.900,00:00:03.400,,,,"the x on the bottom of the fraction goes away",
00:35:37.200,00:35:37.800,00:00:00.600,,,,,"yeah so"
00:35:37.800,00:35:39.200,00:00:01.400,,,,"and then it's just one",
00:35:39.700,00:35:41.500,00:00:01.800,,,,,"yeah and then the other side"
00:35:41.000,00:35:44.700,00:00:03.700,,,,"one times twenty-five which equals twenty-fivex",
00:35:46.000,00:35:46.400,00:00:00.400,,,,,"whoa"
00:35:46.400,00:35:48.388,00:00:01.988,,,,,"now twenty-five times x"
00:35:48.700,00:35:50.400,00:00:01.700,,,,"yeah twenty-fivex",
00:35:52.100,00:35:52.400,00:00:00.300,,,,,"wait"
00:35:54.400,00:35:57.300,00:00:02.900,,,,"sorry I had a very sour one in my mouth okay",
00:35:58.700,00:36:00.600,00:00:01.900,,,,"equals twenty-five x",
00:36:05.000,00:36:06.100,00:00:01.100,,,,,"yeah but then"
00:36:17.400,00:36:19.100,00:00:01.700,,,,,"yeah I think it's that"
00:36:20.100,00:36:24.200,00:00:04.100,,,,,"no because you want to get x alone"
00:36:27.600,00:36:32.400,00:00:04.800,,,,,"so maybe if you divide each side"
00:36:33.200,00:36:34.900,00:00:01.700,,,,,"yeah yeah yeah yeah okay okay okay"
00:36:35.000,00:36:38.200,00:00:03.200,,,,,"you have to divide each side by twenty-five because then"
00:36:38.300,00:36:41.200,00:00:02.900,,,,,"x on this side is going to just is going to be"
00:36:43.100,00:36:44.900,00:00:01.800,,,,,"hello it's"
00:36:44.900,00:36:47.120,00:00:02.220,,,,"you can actually read that",
00:36:47.000,00:36:47.500,00:00:00.500,,,,,"yeah"
00:36:49.700,00:36:50.300,00:00:00.600,,,,"how",
00:36:54.200,00:36:55.000,00:00:00.800,,,,,"I just can"
00:36:56.500,00:36:59.000,00:00:02.500,,,,,"but going on ok"
00:37:01.000,00:37:02.000,00:00:01.000,,,,,"if we"
00:37:04.270,00:37:04.810,00:00:00.540,,,,,"divide"
00:37:04.300,00:37:05.500,00:00:01.200,,,,"you're like wow",
00:37:05.800,00:37:10.100,00:00:04.300,,,,"this is like you're skipping like all over like",
00:37:10.100,00:37:11.500,00:00:01.400,,,,"it's going very slow",
00:37:11.800,00:37:13.200,00:00:01.400,,,,,"like I'm moving like is it"
00:37:13.200,00:37:16.400,00:00:03.200,,,,"you move and then it like stops",
00:37:16.400,00:37:19.700,00:00:03.300,,,,,"yeah I don't know okay"
00:37:24.700,00:37:26.100,00:00:01.400,,,,,"it's the sour stuff"
00:37:30.900,00:37:34.400,00:00:03.500,,,,,"okay (laughter) in fact it's actually not that sour"
00:37:34.400,00:37:40.300,00:00:05.900,,,,,"but okay so if we divide each side by twenty-five so because then what will happen to this side"
00:37:40.300,00:37:41.600,00:00:01.300,,,,,"is it will just be x alone"
00:37:41.600,00:37:43.000,00:00:01.400,,,,,"and that will be"
00:37:43.000,00:37:44.100,00:00:01.100,,,,,"what will that be"
00:37:45.700,00:37:46.400,00:00:00.700,,,,"onex",
00:37:46.900,00:37:48.000,00:00:01.100,,,,,"one over twenty-five"
00:37:48.200,00:37:51.300,00:00:03.100,,,,,"because if we're dividing this by twenty-five"
00:37:51.600,00:37:54.400,00:00:02.800,,,,,"then it will be one divided by twenty-five which is that"
00:37:54.400,00:37:56.200,00:00:01.800,,,,,"and then divide that by twenty-five"
00:37:56.400,00:37:58.700,00:00:02.300,,,,,"and then it's just going to be x alone"
00:37:58.700,00:38:00.800,00:00:02.100,,,,,"so whatever twenty-five equals x"
00:38:04.300,00:38:05.200,00:00:00.900,,,,,"I have two left"
00:38:05.700,00:38:06.600,00:00:00.900,,,,,"how many do you have left"
00:38:06.600,00:38:08.300,00:00:01.700,,,,"I have no idea",
00:38:08.300,00:38:12.200,00:00:03.900,,,,,"(laughter) all right let's go to the next one"
00:38:16.900,00:38:20.100,00:00:03.200,,,,,"okay I know what you do for this but"
00:38:20.300,00:38:20.900,00:00:00.600,,,,"I do too",
00:38:21.100,00:38:21.700,00:00:00.600,,,,,"what do you do"
00:38:22.000,00:38:23.900,00:00:01.900,,,,"you have to add them to both sides",
00:38:23.900,00:38:25.200,00:00:01.300,,,,"seventeen to both sides",
00:38:25.600,00:38:27.600,00:00:02.000,,,,,"okay well do that"
00:38:31.600,00:38:32.800,00:00:01.200,,,,"I'm going to be red",
00:38:33.400,00:38:33.800,00:00:00.400,,,,,"red"
00:38:34.900,00:38:36.700,00:00:01.800,,,,,"well I think you're supposed to be black"
00:38:37.200,00:38:37.800,00:00:00.600,,,,"who cares",
00:38:40.700,00:38:43.000,00:00:02.300,,,,,"rebel (laughter)"
00:38:57.400,00:38:58.600,00:00:01.200,,,,,"just try that"
00:38:58.600,00:38:59.900,00:00:01.300,,,,,"no no you don't have to multiply"
00:39:00.000,00:39:01.300,00:00:01.300,,,,,"you just have to add"
00:39:04.000,00:39:05.100,00:00:01.100,,,,,"like yeah let me show you"
00:39:05.100,00:39:08.200,00:00:03.100,,,,,"so you add seventeen to this side"
00:39:08.400,00:39:10.400,00:00:02.000,,,,,"then that will cancel out right"
00:39:10.600,00:39:10.800,00:00:00.200,,,,"yeah",
00:39:11.100,00:39:12.000,00:00:00.900,,,,,"so you can just all right"
00:39:12.500,00:39:15.500,00:00:03.000,,,,,"and then if you add seventeen to this side"
00:39:15.500,00:39:16.800,00:00:01.300,,,,,"what's it get us"
00:39:22.200,00:39:23.000,00:00:00.800,,,,,"eighty"
00:39:24.500,00:39:26.000,00:00:01.500,,,,"what you said eighty",
00:39:26.000,00:39:27.100,00:00:01.100,,,,,"yeah eighty"
00:39:27.100,00:39:35.300,00:00:08.200,,,,,"so right now it's negative negative three over y"
00:39:37.000,00:39:38.100,00:00:01.100,,,,"did you hear that",
00:39:38.700,00:39:39.700,00:00:01.000,,,,,"what was that"
00:39:40.100,00:39:41.000,00:00:00.900,,,,"what",
00:39:41.700,00:39:43.100,00:00:01.400,,,,,"that like like what"
00:39:44.600,00:39:45.200,00:00:00.600,,,,"I just burped",
00:39:45.500,00:39:48.000,00:00:02.500,,,,,"oh I did not hear that okay"
00:39:47.200,00:39:48.600,00:00:01.400,,,,"okay good",
00:39:49.700,00:39:51.500,00:00:01.800,,,,,"so right now negative three"
00:39:51.500,00:39:52.600,00:00:01.100,,,,,"we're not going to write it"
00:39:52.900,00:39:56.700,00:00:03.800,,,,,"negative three over y equals pause filler eight"
00:39:56.700,00:39:59.200,00:00:02.500,,,,"I can write with the back of the pen",
00:39:59.400,00:40:07.100,00:00:07.700,,,,,"so then what we're supposed to do is multiply"
00:40:09.000,00:40:11.064,00:00:02.064,,,,,"I like this stuff on the bottom"
00:40:12.600,00:40:15.500,00:00:02.900,,,,,"it's like try it"
00:40:15.500,00:40:17.300,00:00:01.800,,,,,"it's like sweet but like sour"
00:40:17.800,00:40:19.100,00:00:01.300,,,,"yeah I don't like sour things",
00:40:20.300,00:40:21.000,00:00:00.700,,,,,"you don't"
00:40:22.400,00:40:25.270,00:00:02.870,,,,,"it's actually like really good okay"
00:40:29.400,00:40:34.700,00:00:05.300,,,,,"so if we multiply each side by x then"
00:40:35.800,00:40:37.000,00:00:01.200,,,,,"what's going to happen"
00:40:40.600,00:40:41.500,00:00:00.900,,,,"(sfx)",
