"Begin Time - hh:mm:ss.ms","End Time - hh:mm:ss.ms","Duration - hh:mm:ss.ms","default","Experimenter 1","P1","Experimenter 2","P2","Experiment 1"
00:43:20.112,00:43:21.340,00:00:01.228,,,"thirteen ",,,
00:43:26.740,00:43:43.670,00:00:16.930,,,"seventeen negative two b is equal to negative four (inaudible) ",,,
00:43:52.020,00:44:00.037,00:00:08.017,,,"this one would be b is equal to two",,,
00:44:03.954,00:44:04.552,00:00:00.598,,,,,"yes",
00:44:07.775,00:44:24.357,00:00:16.582,,,"oh okay this is much easier so I just divide both sides by negative nine g is equal to negative nine",,,
00:44:24.476,00:44:24.826,00:00:00.350,,,,,"yup",
00:44:30.122,00:44:49.031,00:00:18.909,,,"okay so add negative ten seventy-two is equal to negative eight y",,,
00:44:51.031,00:45:04.616,00:00:13.585,,,"negative eight it's negative nine is equal to y",,,
00:45:07.260,00:45:08.916,00:00:01.656,,,,,"yes yeah",
00:45:13.001,00:45:34.790,00:00:21.789,,,"okay (inaudible) one o seven is equal to six sixty-five plus negative fourteen x ",,,
00:45:39.090,00:45:55.440,00:00:16.350,,,"oh (inaudible) plus negative sixty-five what the",,,
00:46:00.479,00:46:37.550,00:00:37.071,,,"that's two and (inaudible) four is forty-two equal to negative fourteen x (inaudible) fourteen (sfx) fourteen (sfx)",,,
00:46:45.250,00:46:46.370,00:00:01.120,,,"okay so that's",,,
00:46:51.850,00:47:18.032,00:00:26.182,,,"fourteen (sfx) twelve two (inaudible) (sfx)so that's negative three is equal to x",,,
00:47:18.441,00:47:18.761,00:00:00.320,,,,,"yup",
00:47:20.158,00:47:41.679,00:00:21.521,,,"finally okay then forty-four equal to negative forty-one minus (inaudible)",,,
00:47:42.397,00:48:03.798,00:00:21.401,,,"so that's that's forty-one seventy-five is equal to negative nine k pause filler",,,
00:48:07.570,00:48:24.741,00:00:17.171,,,"nine that's a five (inaudible)",,,
00:48:17.000,00:48:18.000,00:00:01.000,,,,,"pause filler",
00:48:25.180,00:48:29.100,00:00:03.920,,,,,"yeah it's in its reduced form okay",
00:48:42.649,00:49:09.050,00:00:26.401,,,"okay so then can be negative p plus negative fifty-two is equal to eight p plus negative sixteen okay so all right pause filler p",,,
00:49:09.978,00:49:28.524,00:00:18.546,,,"add p negative fifty-two is equal to nine p plus negative sixteen plus sixteen",,,
00:49:42.933,00:49:43.393,00:00:00.460,,,"there we go",,,
00:49:45.393,00:50:03.157,00:00:17.764,,,"fifty-two minus sixteen four twelve six three so it's thirty-six",,,
00:50:03.157,00:50:18.927,00:00:15.770,,,"negative plus nine p nine four is equal to p okay",,,
00:50:26.140,00:50:26.790,00:00:00.650,,,,,"alright",
00:50:27.801,00:50:37.749,00:00:09.948,,,"big numbers and four one plus one is negative",,,
00:50:37.908,00:50:49.372,00:00:11.464,,,"and four w equals one nine plus two six (inaudible)",,,
00:50:49.632,00:51:07.900,00:00:18.268,,,"okay so that's plus fourteen w okay",,,
00:51:07.900,00:51:10.744,00:00:02.844,,,"so then that's eighty-one",,,
00:51:10.883,00:51:20.260,00:00:09.377,,,"forty-one equals ninety nineteen plus",,,
00:51:31.257,00:51:31.260,00:00:00.003,,,"okay so that's (inaudible)",,,
00:51:31.260,00:51:37.257,00:00:05.997,,,"three four forty (inaudible)",,,
00:51:44.257,00:52:24.538,00:00:40.281,,,"that's ten (inaudible) six (inaudible) sixty is equal to forty w pause filler (inaudible) forty",,,
00:52:27.310,00:52:34.660,00:00:07.350,,,"its negative four equals w",,,
00:52:35.850,00:52:45.580,00:00:09.730,,,,,"yes okay then I will be right back",
00:53:06.952,00:53:08.466,00:00:01.514,,,,"all right (inaudible)",,
00:53:12.700,00:53:13.430,00:00:00.730,,,,,"okay then",
00:53:13.840,00:53:17.430,00:00:03.590,,,"all right oh this is lovely",,,
00:53:22.330,00:53:53.267,00:00:30.937,,,"so that's negative y plus negative sixty-three is equal to forty-three plus y plus negative y that's negative two y plus negative sixty-three is equal to forty-three",,,
00:53:53.813,00:53:58.251,00:00:04.438,,,"add sixty-three to both sides",,,
00:53:59.590,00:54:02.014,00:00:02.424,,,"that's eighty-six",,,
00:54:02.214,00:54:06.344,00:00:04.130,,,"that's one o six is equal to negative two y",,,
00:54:09.144,00:54:23.835,00:00:14.691,,,"negative two get two y is equal to fifty-three",,,
00:54:24.842,00:54:25.531,00:00:00.689,,,,,"yup",
00:54:30.270,00:54:48.169,00:00:17.899,,,"oh well two plus negative p equal to forty-eight plus p",,,
00:54:49.339,00:54:51.321,00:00:01.982,,,"add negative p",,,
00:54:53.348,00:54:56.361,00:00:03.013,,,,,"so wait are you moving pause filler",
00:54:56.361,00:54:57.578,00:00:01.217,,,"I'm moving this p over here",,,
00:54:57.578,00:54:58.855,00:00:01.277,,,,,"variable first or the other one",
00:54:59.394,00:55:02.128,00:00:02.734,,,"I'm moving this one to here",,,
00:55:02.547,00:55:02.906,00:00:00.359,,,,,"okay",
00:55:04.472,00:55:20.020,00:00:15.548,,,"so plus negative p (inaudible) one eighty-two plus negative two p equals forty",,,
00:55:35.470,00:55:42.140,00:00:06.670,,,"okay negative two p",,,
00:56:01.720,00:56:04.426,00:00:02.706,,,"this is really weird I hear music outside of my room",,,
00:56:05.214,00:56:08.433,00:00:03.219,,,,,"yeah I hear it because of the microphone pause filler",
00:56:35.875,00:56:42.105,00:00:06.230,,,"(inaudible) negative two oh wait that's a negative that is a negative",,,
00:56:46.105,00:57:11.956,00:00:25.851,,,"okay so it's pause filler cancel that cancels p equal to negative what one two three two ",,,
00:57:25.056,00:57:26.464,00:00:01.408,,,"I think I did that right",,,
00:57:28.490,00:57:28.950,00:00:00.460,,,,,"yeah",
00:57:35.459,00:58:09.202,00:00:33.743,,,"okay (inaudible) plus negative g is equal to fifty-three plus g okay so plus g plus g negative nine equal to fifty-three plus two g",,,
00:58:10.811,00:58:14.700,00:00:03.889,,,"add negative fifty-three",,,
00:58:20.267,00:58:23.001,00:00:02.734,,,"so that's two g",,,
00:58:23.710,00:58:24.360,00:00:00.650,,,"that's a g ",,,
00:58:46.706,00:58:48.523,00:00:01.817,,,"that's seven",,,
00:58:48.932,00:58:52.614,00:00:03.682,,,,,"there we go no go (sfx)",
00:58:53.103,00:58:56.864,00:00:03.761,,,,,"I accidentally opened Windows",
00:58:58.804,00:59:00.975,00:00:02.171,,,"really you accidentally opened Windows",,,
00:59:00.975,00:59:04.100,00:00:03.125,,,,,"(laughter) yeah I know because my pen was near the bottom of the screen",
00:59:07.700,00:59:10.982,00:00:03.282,,,,"all right (inaudible) so",,
00:59:08.382,00:59:12.592,00:00:04.210,,"okay so you're done with the tutoring portion today pause filler so",,,,
00:59:13.920,00:59:18.688,00:00:04.768,,"okay I'm just gonna show the clock again",,,,
00:59:25.298,00:59:26.655,00:00:01.357,,"all right so you can say goodbye",,,,
00:59:27.010,00:59:27.420,00:00:00.410,,,"bye",,,
00:59:27.500,00:59:28.150,00:00:00.650,,,,,"see ya",

