"Temps de départ - hh:mm:ss.ms","temps de fin - hh:mm:ss.ms","Durée - hh:mm:ss.ms","default","Experimenter","P2","P1","Experimenter 2"
00:20:04.800,00:20:07.400,00:00:02.600,,,"yeah well then yeah (laughter)",,
00:20:08.159,00:20:09.318,00:00:01.159,,,,"whoops",
00:20:09.768,00:20:15.100,00:00:05.332,,,,"okay so first you are going to take the nine",
00:20:16.000,00:20:23.800,00:00:07.800,,,,"and what you want to do is actually you want to add it to thirteen p",
00:20:24.200,00:20:25.800,00:00:01.600,,,"you want to add the nine to thirteen p",,
00:20:26.400,00:20:26.800,00:00:00.400,,,,"yeah",
00:20:28.400,00:20:29.200,00:00:00.800,,,"wait what do you mean",,
00:20:29.200,00:20:32.400,00:00:03.200,,,"like so or you want to add like add nine",,
00:20:32.900,00:20:35.400,00:00:02.500,,,"like do you want to cancel out the nine and",,
00:20:35.400,00:20:41.100,00:00:05.700,,,,"no what you want to do is you want to add nine plus negative nine which wait no",
00:20:41.100,00:20:42.600,00:00:01.500,,,"yeah yeah because (inaudible) yeah",,
00:20:42.600,00:20:44.700,00:00:02.100,,,"and then you could like cross that",,
00:20:44.700,00:20:46.200,00:00:01.500,,,,"yeah which would equal nine so",
00:20:46.200,00:20:48.500,00:00:02.300,,,"well wait negative nine plus nine",,
00:20:48.700,00:20:49.300,00:00:00.600,,,,"yeah",
00:20:49.500,00:20:50.000,00:00:00.500,,,"so it's zero",,
00:20:52.200,00:20:53.000,00:00:00.800,,,,"wait might be",
00:20:53.000,00:20:58.900,00:00:05.900,,,,"well anyway you want to make that nine to a positive",
00:20:59.100,00:21:01.600,00:00:02.500,,,,"so I don't know how to do that",
00:21:01.600,00:21:02.000,00:00:00.400,,,,"I forget",
00:21:02.000,00:21:05.600,00:00:03.600,,,"or a zero or a positive like okay",,
00:21:06.840,00:21:10.200,00:00:03.360,,,"I can hear my voice like going all along it's like",,
00:21:12.300,00:21:15.300,00:00:03.000,,,"I can hear like it goes that",,
00:21:15.300,00:21:18.000,00:00:02.700,,,"what are you drawing",,
00:21:18.000,00:21:19.400,00:00:01.400,,,"you're like hello",,
00:21:19.400,00:21:21.300,00:00:01.900,,,,"I have no idea",
00:21:21.300,00:21:24.100,00:00:02.800,,,,"okay let's go back to the point",
00:21:24.100,00:21:28.800,00:00:04.700,,,,"so what you want to do is you want to pause filler make that nine a positive",
00:21:29.500,00:21:30.700,00:00:01.200,,,"a positive so",,
00:21:31.100,00:21:34.400,00:00:03.300,,,,"yes so positive nine negative",
00:21:34.600,00:21:37.400,00:00:02.800,,,"so add eighteen and then",,
00:21:37.400,00:21:45.700,00:00:08.300,,,,"I'm going to replace this because this makes no sense (sfx) (laughter)",
00:21:45.700,00:21:50.700,00:00:05.000,,,"you just erased the problem (laughter)",,
00:21:50.700,00:21:51.200,00:00:00.500,,,,"ops",
00:21:51.300,00:21:52.200,00:00:00.900,,,"there you go",,
00:21:52.200,00:21:52.500,00:00:00.300,,,"oh no",,
00:21:52.500,00:21:55.100,00:00:02.600,,,"that's because I wrote on it",,
00:21:55.100,00:21:56.200,00:00:01.100,,,"and you probably yeah",,
00:21:56.200,00:21:56.700,00:00:00.500,,,"oh gosh",,
00:21:58.500,00:21:59.400,00:00:00.900,,,"just like undo it",,
00:22:01.200,00:22:03.000,00:00:01.800,,,"there we are okay",,
00:22:03.100,00:22:03.900,00:00:00.800,,,,"ah",
00:22:04.100,00:22:09.900,00:00:05.800,,,"so are we trying to so how do you get the negative nine to a nine a positive",,
00:22:10.500,00:22:13.600,00:00:03.100,,,"so you add eighteen wait because that would get you there",,
00:22:13.600,00:22:16.145,00:00:02.545,,,,"no you have to keep the nine",
00:22:16.652,00:22:20.913,00:00:04.261,,,,"so just do nine plus thirteen",
00:22:21.300,00:22:21.700,00:00:00.400,,,"negative nine",,
00:22:22.100,00:22:23.400,00:00:01.300,,,,"no positive nine",
00:22:23.700,00:22:25.200,00:00:01.500,,,"but this is a negative nine",,
00:22:25.200,00:22:25.600,00:00:00.400,,,"what do you mean",,
00:22:25.600,00:22:29.600,00:00:04.000,,,,"yeah just I think don't you add it",
00:22:29.800,00:22:33.600,00:00:03.800,,,"I think you add nine because then that will cancel out like positive and",,
00:22:33.600,00:22:34.100,00:00:00.500,,,,"yeah add it",
00:22:34.100,00:22:36.100,00:00:02.000,,,"so then that would be zero and so then",,
00:22:37.500,00:22:38.500,00:00:01.000,,,,"no really",
00:22:38.500,00:22:38.811,00:00:00.311,,,"yeah because if you add negative nine and then a positive nine like they cancel out","no really",
00:22:38.811,00:22:44.300,00:00:05.489,,,"yeah because if you add negative nine and then a positive nine like they cancel out",,
00:22:44.300,00:22:46.800,00:00:02.500,,,"and just equal zero I think",,
00:22:47.700,00:22:50.000,00:00:02.300,,,,"maybe well I know so",
00:22:50.000,00:22:52.000,00:00:02.000,,,"(inaudible) and then you add listen",,
00:22:52.000,00:22:54.900,00:00:02.900,,,"and then if you do one thing to one side you have to do it to the other",,
00:22:54.900,00:22:56.700,00:00:01.800,,,"so you have to add nine to the side I think",,
00:22:59.500,00:23:03.000,00:00:03.500,,,,"yeah you have to add nine to both sides",
00:23:03.000,00:23:03.500,00:00:00.500,,,"yeah",,
00:23:03.800,00:23:10.900,00:00:07.100,,,,"and then you get the pause filler variable and the number together",
00:23:11.100,00:23:13.100,00:00:02.000,,,,"and then it has one number on the other side",
00:23:13.900,00:23:16.900,00:00:03.000,,,"so this is fifty and then this is",,
00:23:17.029,00:23:17.130,00:00:00.101,,,,"good",
00:23:17.507,00:23:18.600,00:00:01.093,,,,"oh my gosh",
00:23:18.600,00:23:19.800,00:00:01.200,,,,"okay I get it",
00:23:19.800,00:23:20.500,00:00:00.700,,,,"I get it",
00:23:20.500,00:23:25.200,00:00:04.700,,,,"okay so what you want to do is so you cancel out that nine",
00:23:25.200,00:23:29.200,00:00:04.000,,,,"and then you add that nine where you got it",
00:23:29.200,00:23:30.400,00:00:01.200,,,"so then forty-nine right",,
00:23:31.121,00:23:34.300,00:00:03.179,,,,"no you add it to thirteen and forty-one",
00:23:34.800,00:23:38.333,00:00:03.533,,,"wait so you add the nine to the thirteen and then negative nine and forty-one",,
00:23:38.800,00:23:39.200,00:00:00.400,,,,"yeah",
00:23:39.900,00:23:40.600,00:00:00.700,,,"okay",,
00:23:41.400,00:23:43.800,00:00:02.400,,,,"so you want to add it to both sides",
00:23:45.300,00:23:49.300,00:00:04.000,,,"but like but thirteen p is on the same side as negative nine",,
00:23:50.000,00:23:50.900,00:00:00.900,,,,"well that's separate",
00:23:50.900,00:23:52.200,00:00:01.300,,,,"that's like separate somehow",
00:23:54.707,00:23:57.565,00:00:02.858,,,,"okay but like the paper says that it's separate",
00:23:57.565,00:23:59.600,00:00:02.035,,,,"I don't know how",
00:23:59.600,00:24:00.900,00:00:01.300,,,,"confusing okay",
00:24:05.505,00:24:07.400,00:00:01.895,,,"all right what does the paper say",,
00:24:08.300,00:24:09.800,00:00:01.500,,,"so the I don't know",,
00:24:09.800,00:24:10.282,00:00:00.482,,,"so the I don't know","it's not the exact answer to that so",
00:24:10.282,00:24:12.000,00:00:01.718,,,,"it's not the exact answer to that so",
00:24:12.000,00:24:12.800,00:00:00.800,,,"well yeah",,
00:24:13.200,00:24:15.100,00:00:01.900,,,,"it's a different equation",
00:24:15.700,00:24:19.800,00:00:04.100,,,,"so what I'm doing is I'm just switching up the numbers and variable",
00:24:20.400,00:24:29.300,00:00:08.900,,,,"okay so what it says to do here is so you got thirteen p equals fifty",
00:24:30.200,00:24:33.600,00:00:03.400,,,,"so that is probably correct",
00:24:34.000,00:24:34.800,00:00:00.800,,,,"I have no idea",
00:24:34.800,00:24:38.600,00:00:03.800,,,"yeah but do we have to do we have to simplify it down to one p",,
00:24:39.800,00:24:42.200,00:00:02.400,,,,"no not yet",
00:24:42.200,00:24:45.400,00:00:03.200,,,,"okay so then you want to divide",
00:24:45.600,00:24:45.800,00:00:00.200,,,"oh",,
00:24:45.800,00:24:50.000,00:00:04.200,,,,"thirteen divided b thirteen divide and then",
00:24:50.000,00:24:52.400,00:00:02.400,,,"and then fifty divided by thirteen",,
00:24:52.400,00:24:52.600,00:00:00.200,,,,"no",
00:24:53.400,00:24:56.500,00:00:03.100,,,,"you want to divide well yeah technically",
00:24:57.797,00:24:58.222,00:00:00.425,,,"okay",,
00:24:58.939,00:25:03.600,00:00:04.661,,,,"and that equals pause filler the p equals whatever",
00:25:03.800,00:25:12.500,00:00:08.700,,,"fifteen divided by thirteen is right so because if you do or now we do thirteen p divided thirteen which is p",,
00:25:13.500,00:25:14.200,00:00:00.700,,,"I think yeah",,
00:25:14.600,00:25:17.000,00:00:02.400,,,"and then fifty divided by thirteen",,
00:25:17.000,00:25:19.403,00:00:02.403,,,"so we can probably just write that as a fraction right",,
00:25:19.888,00:25:20.929,00:00:01.041,,,,"no you can't",
00:25:21.403,00:25:21.505,00:00:00.102,,,"no",,
00:25:22.242,00:25:22.343,00:00:00.101,,,,"no",
00:25:22.848,00:25:24.626,00:00:01.778,,,"oh gosh okay (laughter)",,
00:25:24.626,00:25:25.545,00:00:00.919,,,"oh gosh okay (laughter)","you have to divide",
00:25:25.545,00:25:26.030,00:00:00.485,,,,"you have to divide",
00:25:26.232,00:25:34.979,00:00:08.747,,,"oh yeah okay so thirteen and then fifty",,
00:25:36.111,00:25:36.800,00:00:00.689,,,"so what's the",,
00:25:36.800,00:25:37.909,00:00:01.109,,,"so what's the","I think you should do the thinner pencil",
00:25:37.909,00:25:39.900,00:00:01.991,,,,"I think you should do the thinner pencil",
00:25:41.070,00:25:42.200,00:00:01.130,,,"but you can do that",,
00:25:42.200,00:25:43.171,00:00:00.971,,,"but you can do that","yeah so you",
00:25:43.171,00:25:43.393,00:00:00.222,,,"how","yeah so you",
00:25:43.393,00:25:43.400,00:00:00.007,,,"how",,
00:25:43.400,00:25:49.600,00:00:06.200,,,,"do you see two pencils at the top of the right hand side for me probably the right hand side for you",
00:25:49.600,00:25:50.696,00:00:01.096,,,"oh yeah yeah yeah",,
00:25:51.040,00:25:55.191,00:00:04.151,,,,"take the one on the third from the top",
00:25:55.200,00:25:57.000,00:00:01.800,,,"oh you can like make it smaller",,
00:25:57.100,00:25:57.800,00:00:00.700,,,"oh I see",,
00:25:58.300,00:25:59.300,00:00:01.000,,,"it's thinner now",,
00:25:59.600,00:26:00.300,00:00:00.700,,,,"yeah",
00:26:00.700,00:26:07.600,00:00:06.900,,,"oh okay okay and then this is thirteen time like three",,
00:26:09.090,00:26:12.000,00:00:02.910,,,"but thirteen doesn't go perfectly in the fifty does it",,
00:26:13.000,00:26:15.700,00:00:02.700,,,,"oh I can change the color now okay",
00:26:15.700,00:26:17.333,00:00:01.633,,,"well I think you're supposed to have green though","oh I can change the color now okay",
00:26:17.333,00:26:18.900,00:00:01.567,,,"well I think you're supposed to have green though",,
00:26:19.800,00:26:23.300,00:00:03.500,,,,"oh well now I have green yeah",
00:26:23.300,00:26:24.800,00:00:01.500,,,"yeah I think you're supposed to have green okay",,
00:26:24.800,00:26:29.400,00:00:04.600,,,,"I was like what am I supposed to do I have black ah",
00:26:30.545,00:26:30.646,00:00:00.101,,,"(laughter) okay",,
00:26:34.919,00:26:37.000,00:00:02.081,,,,"there's like these buttons on the side of the pen",
00:26:37.000,00:26:37.500,00:00:00.500,,,,"what do they do",
00:26:37.500,00:26:39.700,00:00:02.200,,,"like I'm scared to press them like",,
00:26:39.700,00:26:41.000,00:00:01.300,,,,"I've been pressing it",
00:26:41.000,00:26:44.900,00:00:03.900,,,,"and nothing has been happening on like on accident",
00:26:45.800,00:26:48.400,00:00:02.600,,,"does it like click",,
00:26:48.400,00:26:49.900,00:00:01.500,,,"oh does it like click",,
00:26:49.900,00:26:52.200,00:00:02.300,,,"I don't know that's",,
00:26:52.200,00:26:53.900,00:00:01.700,,,,"oh yeah it clicks",
00:26:54.000,00:26:57.200,00:00:03.200,,,"oh they're coming okay you can select I think",,
00:26:57.200,00:26:57.800,00:00:00.600,,,"we're working now",,
00:26:58.100,00:26:59.500,00:00:01.400,,,"we are working right (laughter)",,
00:27:00.292,00:27:02.900,00:00:02.608,,,,"yeah we are totally working",
00:27:04.500,00:27:10.200,00:00:05.700,,,"okay oh yeah pause filler and then yeah",,
00:27:11.600,00:27:16.080,00:00:04.480,,"okay so that is the end of the first session",,,
00:27:16.080,00:27:16.400,00:00:00.320,,"okay so that is the end of the first session","okay",,
00:27:16.400,00:27:16.878,00:00:00.478,,,"okay",,
00:27:20.474,00:27:20.600,00:00:00.126,,,"oh okay",,
00:27:20.600,00:27:20.979,00:00:00.379,,,"oh okay",,"let's switch things up"
00:27:20.979,00:27:22.500,00:00:01.521,,,,,"let's switch things up"
00:27:23.200,00:27:25.300,00:00:02.100,,,,,"and now you're replacing"
00:27:25.300,00:27:30.100,00:00:04.800,,"cool so before we switch pause filler we're going to take over the break",,,
00:27:31.131,00:27:31.200,00:00:00.069,,,"all right",,
00:27:31.200,00:27:31.939,00:00:00.739,,"pause filler just a few minutes (inaudible) you're free to hang out","all right",,
00:27:31.939,00:27:35.800,00:00:03.861,,"pause filler just a few minutes (inaudible) you're free to hang out",,,
00:27:35.800,00:27:36.400,00:00:00.600,,"and chat",,,
00:27:36.600,00:27:40.900,00:00:04.300,,"and pause filler we'll be back in about four minutes",,,
00:27:41.900,00:27:43.100,00:00:01.200,,,"okay",,
00:27:43.900,00:27:46.000,00:00:02.100,,,,,"so I'm just going to go"
00:27:46.200,00:27:47.100,00:00:00.900,,,,,"and check something"
00:27:49.800,00:27:52.500,00:00:02.700,,,,,"then I'll be right back"
00:27:55.000,00:27:57.400,00:00:02.400,,,"did they give you Skittles (sfx) (laughter)",,
00:28:04.515,00:28:06.656,00:00:02.141,,,,"do you have braces",
00:28:06.858,00:28:08.302,00:00:01.444,,,"yeah do you",,
00:28:09.252,00:28:10.700,00:00:01.448,,,"I don't like braces at all",,
00:28:10.700,00:28:11.000,00:00:00.300,,,"oh my god",,
00:28:11.000,00:28:11.700,00:00:00.700,,,,"me neither",
00:28:11.800,00:28:12.600,00:00:00.800,,,,"they are so",
00:28:12.600,00:28:13.400,00:00:00.800,,,"they hurt",,
00:28:13.500,00:28:13.900,00:00:00.400,,,,"yeah",
00:28:14.200,00:28:17.100,00:00:02.900,,,"mm-hmm like the other day I broke my braces",,
00:28:17.100,00:28:20.100,00:00:03.000,,,"and I had to go to the orthodontist",,
00:28:20.100,00:28:23.400,00:00:03.300,,,"and they had to like redo the entire thing",,
00:28:23.700,00:28:27.737,00:00:04.037,,,"and it was like so painful I was like (sfx)",,
00:28:27.737,00:28:38.600,00:00:10.863,,,"does your orthodontist like when you got your braces did they have to put this like sour stuff on it like this glue soured (inaudible) thing because for me they have like stuff",,
00:28:39.000,00:28:42.200,00:00:03.200,,,"and it like stung through that",,
00:28:45.700,00:28:50.700,00:00:05.000,,,"I wish they gave us Skittles at school (laughter)",,
00:28:50.700,00:28:51.767,00:00:01.067,,,"that would be nice",,
00:29:10.400,00:29:12.000,00:00:01.600,,,"my chair has these weird things on",,
00:29:12.000,00:29:16.700,00:00:04.700,,,"do you have that like accordion like yeah",,
00:29:16.700,00:29:18.858,00:00:02.158,,,"and like when you bend back it's like",,
00:29:20.000,00:29:20.200,00:00:00.200,,,,"mm-hmm",
00:29:20.302,00:29:21.999,00:00:01.697,,,,"weird stuff",
00:29:27.700,00:29:30.969,00:00:03.269,,,,"there's a skeleton in my room well ahead",
00:29:33.535,00:29:34.636,00:00:01.101,,,"what",,
00:29:35.979,00:29:37.605,00:00:01.626,,,"you're just like sitting there",,
00:29:38.333,00:29:38.434,00:00:00.101,,,,"yeah",
00:29:40.232,00:29:41.000,00:00:00.768,,,"that's weird",,
00:29:41.000,00:29:41.010,00:00:00.010,,,"that's weird","Yurik",
00:29:41.010,00:29:41.131,00:00:00.121,,,"that's weird","I'm going to call it Yurik the skull",
00:29:41.131,00:29:43.515,00:00:02.384,,,,"I'm going to call it Yurik the skull",
00:29:44.424,00:29:44.909,00:00:00.485,,,,"yeah",
00:29:45.797,00:29:48.121,00:00:02.324,,,"oh good name",,
00:30:03.171,00:30:09.747,00:00:06.576,,,,"there's melon berry berry punch raspberry wild cherry and strawberry",
00:30:13.797,00:30:16.040,00:00:02.243,,,"I can't choose which is my favorite",,
00:30:16.040,00:30:18.200,00:00:02.160,,,"let's see ah",,
00:30:19.500,00:30:22.600,00:00:03.100,,,,"I'm not paying attention to which color I'm putting in so",
00:30:23.600,00:30:23.900,00:00:00.300,,,"what",,
00:30:25.400,00:30:27.800,00:00:02.400,,,,"I'm not paying attention to which color I'm putting in",
00:30:27.800,00:30:28.900,00:00:01.100,,,,"so I have no idea",
00:30:29.400,00:30:33.800,00:00:04.400,,,"yeah okay here's the melon berry",,
00:30:35.323,00:30:36.800,00:00:01.477,,,,"I don't like the melon berry",
00:30:39.565,00:30:41.868,00:00:02.303,,,"yeah it's like good but",,
00:30:42.999,00:30:43.800,00:00:00.801,,,,"not my favorite",
00:30:44.300,00:30:50.700,00:00:06.400,,,"yeah okay now I'm going to try to raspberry or with the wild cherry yeah",,
00:30:59.090,00:31:01.100,00:00:02.010,,,"the wild cherry one isn't that like strong",,
00:31:04.500,00:31:07.000,00:00:02.500,,,"have you ever had the sour Skittles",,
00:31:07.000,00:31:07.500,00:00:00.500,,,,"oh my gosh",
00:31:07.500,00:31:10.900,00:00:03.400,,,,"I hate it because it like make me make as like up days",
00:31:10.900,00:31:13.200,00:00:02.300,,,,"I was like no",
00:31:13.200,00:31:16.600,00:00:03.400,,,"like how yeah it's really this sour yeah",,
00:31:39.676,00:31:43.464,00:00:03.788,,,,"the strawberry one tastes like a strawberry starburst",
00:32:31.607,00:32:33.848,00:00:02.241,,,"oh I think they're coming",,
00:32:39.924,00:32:41.886,00:00:01.962,,,"because the lady just walked over",,
00:32:41.911,00:32:43.708,00:00:01.797,,,"she's probably coming to you yup",,
00:32:44.632,00:32:45.886,00:00:01.254,,,,,"thanks for your patience all right (inaudible)"
00:32:48.329,00:32:49.151,00:00:00.822,,,,,"so just like last time you're going to have about twenty minutes to work here as many of these problems as you can except this time (inaudible) to work some of these problems"
00:33:05.000,00:33:06.100,00:00:01.100,,"so pause filler it's now (inaudible)",,,
00:33:06.100,00:33:09.400,00:00:03.300,,,,"pause filler they're like on the screen",
00:33:12.139,00:33:15.050,00:00:02.911,,,,,"and then there is no pressure (inaudible) and then"
00:33:16.240,00:33:16.595,00:00:00.355,,,,,"yeah you guys are going to work through the problems together on the screen"
00:33:18.500,00:33:21.100,00:00:02.600,,,,,"and just go through whenever you're done (inaudible)"
00:33:21.500,00:33:22.500,00:00:01.000,,"cool here we go",,,
00:33:22.600,00:33:27.500,00:00:04.900,,"so we just have the problems the last time (inaudible)",,,
00:33:27.600,00:33:31.000,00:00:03.400,,"and make sure (inaudible) you're on green",,,
00:33:31.100,00:33:38.600,00:00:07.500,,"just make sure that you're not pause filler solving the problem for her that you're pause filler helping her solve the problem",,,
00:33:38.700,00:33:41.100,00:00:02.400,,"so pause filler underline the circle that kind of thing",,,
00:33:41.200,00:33:45.400,00:00:04.200,,"but not actually right now",,,
00:33:45.700,00:33:49.700,00:00:04.000,,,"all right okay so the first one",,
00:33:53.600,00:33:55.300,00:00:01.700,,,"and then through the three",,
00:33:56.100,00:33:57.900,00:00:01.800,,,"so now I guess I'm like the tutor",,
00:33:58.400,00:34:03.658,00:00:05.258,,,"so negative three plus x equals twenty-two",,
00:34:03.658,00:34:04.200,00:00:00.542,,,"so negative three plus x equals twenty-two","is there are writing on the front of the paper",
00:34:04.200,00:34:06.784,00:00:02.584,,,,"is there are writing on the front of the paper",
00:34:06.886,00:34:07.886,00:00:01.000,,,,"mm-hmm (inaudible)",
00:34:11.000,00:34:12.000,00:00:01.000,,,,"but handwriting",
00:34:12.800,00:34:13.100,00:00:00.300,,,"no",,
00:34:14.000,00:34:14.400,00:00:00.400,,,,"oh",
00:34:15.300,00:34:15.600,00:00:00.300,,,"why",,
00:34:16.300,00:34:18.113,00:00:01.813,,,,"because I have on mine",
00:34:18.202,00:34:22.177,00:00:03.975,,,"oh (laughter) all right",,
00:34:24.493,00:34:25.088,00:00:00.595,,,"so",,
00:34:29.300,00:34:34.800,00:00:05.500,,,"what we probably want to do first is cancel out the three",,
00:34:36.000,00:34:37.800,00:00:01.800,,,,"I would never have guessed",
00:34:40.481,00:34:43.088,00:00:02.607,,,"so how you think you're going to do that",,
00:34:45.063,00:34:50.400,00:00:05.337,,,"(laughter) yeah but you have to add three to both sides",,
00:34:55.911,00:34:58.924,00:00:03.013,,,"so then yeah plus twenty-two",,
00:35:03.924,00:35:05.367,00:00:01.443,,,,"twenty-five",
00:35:05.671,00:35:08.200,00:00:02.529,,,"yeah and then x equals twenty-five",,
00:35:08.800,00:35:13.100,00:00:04.300,,,"no yay oh (laughter)",,
00:35:14.772,00:35:16.886,00:00:02.114,,,"I was like writing it to like okay",,
00:35:20.100,00:35:20.800,00:00:00.700,,,"go back",,
00:35:20.800,00:35:22.200,00:00:01.400,,,"oh my gosh whatever",,
00:35:22.700,00:35:25.700,00:00:03.000,,,"okay now on the next one",,
00:35:29.500,00:35:37.700,00:00:08.200,,,"you're going to add you're going to like do the same thing except pause filler you're adding like y I think",,
00:35:40.400,00:35:40.900,00:00:00.500,,,"so",,
00:35:44.500,00:35:49.531,00:00:05.031,,,"so add okay so pause filler",,
00:35:49.557,00:35:53.500,00:00:03.943,,,"yeah wait yeah because you could then then you could cancel out the y",,
00:35:53.700,00:35:56.500,00:00:02.800,,,"so if you added y to both sides",,
00:35:56.500,00:35:59.800,00:00:03.300,,,"then yeah just try doing that",,
00:35:59.800,00:36:01.100,00:00:01.300,,,"adding y to both sides",,
00:36:03.063,00:36:06.633,00:00:03.570,,,,"the actual weird y because I did not mean to do that",
00:36:09.700,00:36:15.100,00:00:05.400,,,"so then yeah and so then that would be twenty-three plus y",,
00:36:15.100,00:36:18.400,00:00:03.300,,,,"wait well then that would be eighteen yeah wait",
00:36:18.400,00:36:24.200,00:00:05.800,,,"yeah because it would cancel out because the negative y and the positive y just makes zero oh",,
00:36:26.800,00:36:27.800,00:00:01.000,,,,"now wait",
00:36:40.400,00:36:44.700,00:00:04.300,,,,"it's really awkward that we're like in the building with all these college students",
00:36:44.700,00:36:47.800,00:00:03.100,,,,"it's like we're only in like seventh grade",
00:36:48.100,00:36:50.000,00:00:01.900,,,,"and we're only like twenty year olds",
00:36:50.000,00:36:51.900,00:00:01.900,,,,"it's like hi",
00:36:51.900,00:36:57.303,00:00:05.403,,,,"and I don't know you this is really scary okay",
00:36:57.949,00:37:04.848,00:00:06.899,,,"all right so if you added y to both sides the ys",,
00:37:05.721,00:37:08.000,00:00:02.279,,,,"I think it's adding eighteen",
00:37:10.000,00:37:20.700,00:00:10.700,,,"well because if you added y to both sides then you would because you can have the negative y I don't think",,
00:37:23.848,00:37:27.000,00:00:03.152,,,"like because then if you add y to both sides",,
00:37:27.000,00:37:34.500,00:00:07.500,,,"then pause filler then this the y on this side will become just zero",,
00:37:34.500,00:37:37.900,00:00:03.400,,,"sort of like have with the nine it's like you have negative nine plus nine equals zero",,
00:37:37.900,00:37:48.671,00:00:10.771,,,"and then this will just become twenty-three plus y equals eighteen oh (laughter) plus y equals eighteen",,
00:37:48.700,00:37:53.200,00:00:04.500,,,"and then like and then you could probably subtract twenty-three from each side",,
00:37:55.200,00:37:55.600,00:00:00.400,,,,"yeah",
00:37:55.600,00:37:58.300,00:00:02.700,,,"you see here you want to try it",,
00:37:59.100,00:38:00.468,00:00:01.368,,,"and I'll like yeah",,
00:38:41.784,00:38:43.200,00:00:01.416,,,"so what's in the box",,
00:38:49.595,00:38:52.500,00:00:02.905,,,"(laughter) all right",,
00:38:56.200,00:38:57.600,00:00:01.400,,,"back to the problem (laughter)",,
00:38:59.468,00:39:00.300,00:00:00.832,,,"oh my gosh",,
00:39:00.400,00:39:01.700,00:00:01.300,,,"it's on my leg pause filler",,
00:39:05.500,00:39:06.000,00:00:00.500,,,"so",,
00:39:08.500,00:39:09.100,00:00:00.600,,,"if we're",,
00:39:10.900,00:39:12.300,00:00:01.400,,,"just trying to go through it",,
00:39:12.300,00:39:15.200,00:00:02.900,,,"so if we add y to the side",,
00:39:15.200,00:39:18.900,00:00:03.700,,,"and we add y to the other side as well",,
00:39:18.900,00:39:20.500,00:00:01.600,,,"what do we have",,
00:39:22.300,00:39:22.400,00:00:00.100,,,"oh",,
00:39:36.253,00:39:38.000,00:00:01.747,,,,"I'm still chewing",
00:39:38.000,00:39:41.300,00:00:03.300,,,,"okay so I don't think we add y",
00:39:42.200,00:39:45.900,00:00:03.700,,,,"I think we only add y once",
00:39:46.500,00:39:48.900,00:00:02.400,,,,"and then it's eighteen plus twenty-three",
00:39:52.300,00:39:53.100,00:00:00.800,,,"but yeah",,
00:39:53.400,00:39:54.100,00:00:00.700,,,"wait what do you mean",,
00:39:56.400,00:39:59.400,00:00:03.000,,,,"I'm like explaining the problem now (laughter)",
00:40:00.700,00:40:08.100,00:00:07.400,,,,"okay so negative y plus eighteen equals twenty",
00:40:08.100,00:40:08.519,00:00:00.419,,,"negative","okay so negative y plus eighteen equals twenty",
00:40:08.519,00:40:08.600,00:00:00.081,,,"negative",,
00:40:10.300,00:40:11.063,00:00:00.763,,,"what do you mean",,
00:40:11.100,00:40:13.200,00:00:02.100,,,"how did you get that because I don't",,
00:40:13.200,00:40:14.400,00:00:01.200,,,,"it's the problem up here",
00:40:15.683,00:40:16.300,00:00:00.617,,,"oh yeah",,
00:40:16.300,00:40:19.405,00:00:03.105,,,"(laughter) I was like where did that come from",,
00:40:21.139,00:40:28.569,00:00:07.430,,,,"okay so we would subtract y from eighteen negative y",
00:40:31.000,00:40:39.300,00:00:08.300,,,,"and then we would equal twenty-three plus eighteen",
00:40:42.800,00:40:46.600,00:00:03.800,,,"but on here they have like the same form",,
00:40:46.600,00:40:53.000,00:00:06.400,,,"and they add like y first like",,
00:40:53.000,00:40:56.600,00:00:03.600,,,"around here we're pause filler it's like the same thing with different numbers",,
00:40:57.500,00:41:00.700,00:00:03.200,,,"they just added like the number they've added like the x first",,
00:41:02.700,00:41:03.600,00:00:00.900,,,"and then they add",,
00:41:03.600,00:41:08.800,00:00:05.200,,,"and then they subtracted the number so",,
00:41:10.700,00:41:12.911,00:00:02.211,,,,"so then it would be eighteen y",
00:41:15.341,00:41:18.405,00:00:03.064,,,"what do you mean (laughter)",,
00:41:19.400,00:41:21.800,00:00:02.400,,,,"y plus eighteen equals eighteen y",
00:41:22.300,00:41:23.000,00:00:00.700,,,"negative y",,
00:41:23.100,00:41:24.000,00:00:00.900,,,"remember it's negative",,
00:41:27.100,00:41:28.700,00:00:01.600,,,,"then negative eighteen y",
00:41:29.200,00:41:29.700,00:00:00.500,,,"yeah",,
00:41:31.721,00:41:38.500,00:00:06.779,,,"all right negative yeah eighteen negative y what because like no y has to be positive",,
00:41:43.038,00:41:43.329,00:00:00.291,,,"doesn't it",,
00:41:45.152,00:41:46.114,00:00:00.962,,,,"I don't know",
00:41:46.300,00:41:48.500,00:00:02.200,,,"that's like start this thing fresh again",,
00:41:49.800,00:41:52.341,00:00:02.541,,,"because it's like a mess (laughter)",,
00:42:10.300,00:42:14.700,00:00:04.400,,,"okay so let's try like what I see on the paper",,
00:42:14.700,00:42:23.400,00:00:08.700,,,"so let's try plus y on the side plus y on this side",,
00:42:23.800,00:42:26.600,00:00:02.800,,,,"don't you want to make the ink a little smaller",
00:42:27.500,00:42:28.500,00:00:01.000,,,"yeah I can try that",,
00:42:30.600,00:42:31.100,00:00:00.500,,,"here we go",,
