"Begin Time - hh:mm:ss.ms","End Time - hh:mm:ss.ms","Duration - hh:mm:ss.ms","default","Experimenter 1","Experimenter 2","P1","P2","Experimenter"
00:34:46.800,00:34:50.700,00:00:03.900,,,"so just open up the Google Chrome again and then same thing for pitching out",,,
00:34:47.400,00:34:48.000,00:00:00.600,,,,"no",,
00:34:50.700,00:34:53.200,00:00:02.500,,,"but he'll have the tutor sheets",,,
00:34:53.200,00:34:55.000,00:00:01.800,,,"and you'll be bringing in (inaudible) and that",,,
00:34:55.200,00:34:58.300,00:00:03.100,,,,,,"yeah these are similar kind of problems in between"
00:34:58.500,00:35:00.000,00:00:01.500,,,,,"do we have to turn them in",
00:35:01.400,00:35:01.800,00:00:00.400,,,,,,"pause filler we'll begin"
00:35:01.800,00:35:04.100,00:00:02.300,,,,,,"you have about twenty minutes to help them work through"
00:35:04.100,00:35:06.300,00:00:02.200,,,,,,"just make sure that you're not solving the problems"
00:35:06.300,00:35:07.900,00:00:01.600,,,,,,"pause filler because you're the tutor"
00:35:07.900,00:35:11.500,00:00:03.600,,,,,,"or maybe just like circle the things underline that kind of thing"
00:35:14.700,00:35:18.700,00:00:04.000,,,,"all right so do we like try to just kind of finish all over or",,
00:35:18.700,00:35:22.400,00:00:03.700,,,"pause filler oh yeah once you get to number ten do come out to like",,,
00:35:22.400,00:35:25.500,00:00:03.100,,,"I guess again probably to pause pause filler",,,
00:35:24.000,00:35:28.600,00:00:04.600,,,,"also for the pause filler questions that like it's not a whole number",,
00:35:28.600,00:35:32.400,00:00:03.800,,,,"do you want me to like actually solve it",,
00:35:32.400,00:35:34.560,00:00:02.160,,,,"or can I just leave it as",,
00:35:46.200,00:35:49.700,00:00:03.500,,,,"okay cool okay so this is",,
00:35:46.600,00:35:48.700,00:00:02.100,,,"probably fraction pause filler or (inaudible)",,,
00:35:49.700,00:35:54.130,00:00:04.430,,,,"x equals twenty-five",,
00:36:00.000,00:36:03.300,00:00:03.300,,,,"all right next problem",,
00:36:05.400,00:36:09.100,00:00:03.700,,,,"okay so you have y subtract that",,
00:36:09.100,00:36:13.920,00:00:04.820,,,,"or subtract it to twenty-two equals y",,
00:36:20.000,00:36:23.170,00:00:03.170,,,,"one equals three over five",,
00:36:32.300,00:36:37.000,00:00:04.700,,,,"okay so you have y equals negative five",,
00:36:39.300,00:36:40.000,00:00:00.700,,,,"okay",,
00:36:42.000,00:36:47.250,00:00:05.250,,,,"oops okay oh",,
00:36:47.250,00:36:51.400,00:00:04.150,,,,"that's going okay so let's see",,
00:36:52.400,00:36:53.700,00:00:01.300,,,,"oh no this is",,
00:36:53.700,00:37:02.500,00:00:08.800,,,,"okay okay so subtract okay equals",,
00:37:02.500,00:37:14.700,00:00:12.200,,,,"so k equals twenty-five okay yup",,
00:37:21.900,00:37:23.100,00:00:01.200,,,,,"I wonder if we could (inaudible)",
00:37:23.100,00:37:25.100,00:00:02.000,,,,,"would they let us leave early",
00:37:25.400,00:37:27.600,00:00:02.200,,,,"yeah that's what I'm doing",,
00:37:28.500,00:37:32.500,00:00:04.000,,,,"(inaudible) fifteen equals eight",,
00:37:35.700,00:37:41.800,00:00:06.100,,,,"okay nineteen equals negative nine",,
00:37:45.700,00:37:53.800,00:00:08.100,,,,"subtract (inaudible) equals negative nine",,
00:37:58.700,00:38:00.100,00:00:01.400,,,,,"you're better thean me at man",
00:38:02.000,00:38:07.600,00:00:05.600,,,,"I'm not accurate though okay sixty-two",,
00:38:08.300,00:38:10.200,00:00:01.900,,,,,"I missed on that three in sports",
00:38:11.400,00:38:14.700,00:00:03.300,,,,"in sports it's really good to be in sports",,
00:38:16.100,00:38:18.300,00:00:02.200,,,,,"he's coming on your side now",
00:38:19.400,00:38:20.600,00:00:01.200,,,,,"the white guy is coming over",
00:38:21.300,00:38:21.980,00:00:00.680,,,,"okay",,
00:38:24.000,00:38:24.600,00:00:00.600,,,,"so",,
00:38:26.300,00:38:29.170,00:00:02.870,,,,,"a very slow one",
00:38:26.300,00:38:32.400,00:00:06.100,,,"a very slow one oh this one here",,,
00:38:33.170,00:38:34.900,00:00:01.730,,,,,"oh this one here",
00:38:37.400,00:39:01.800,00:00:24.400,,,,"okay so you have sixty-two (inaudible) equals sixty-two over three ten x okay is equal okay next question",,
00:39:04.300,00:39:07.000,00:00:02.700,,,,"add that yeah pause filler (inaudible)",,
00:40:07.000,00:40:08.900,00:00:01.900,,,,"last question over now",,
00:40:10.500,00:40:11.000,00:00:00.500,,,,,"wow",
00:40:11.200,00:40:11.800,00:00:00.600,,,,"add that",,
00:40:12.200,00:40:13.400,00:00:01.200,,,,"subtract that",,
00:40:14.000,00:40:19.400,00:00:05.400,,,,"y equals sixty equals forty (inaudible)",,
00:40:35.450,00:40:37.360,00:00:01.910,,,,"negative ten",,
00:40:45.500,00:40:52.000,00:00:06.500,,,,"we have sixteen (inaudible)",,
00:40:53.000,00:40:57.400,00:00:04.400,,,,"okay so now we're going",,
00:40:57.800,00:40:58.800,00:00:01.000,,,,,"oh can I get him",
00:40:58.800,00:41:00.400,00:00:01.600,,,,,"because they're both before my side",
00:41:35.500,00:41:39.700,00:00:04.200,,,"all righty you are through ten already",,,
00:41:38.000,00:41:38.800,00:00:00.800,,,,"yeah",,
00:41:40.400,00:41:44.700,00:00:04.300,,,"oh so (inaudible) pause filler so you're on thirteen now",,,
00:41:41.900,00:41:44.000,00:00:02.100,,,,"oh no I have not taken the question",,
00:41:49.300,00:41:58.000,00:00:08.700,,,"okay just a blank naturally so just continue along",,,
00:41:53.200,00:41:56.300,00:00:03.100,,,,"all right okay I'm so stressed out",,
00:42:17.000,00:42:20.700,00:00:03.700,,,,,"yup do you think they check this or grade it check it",
00:42:21.200,00:42:23.200,00:00:02.000,,,,"I have no idea",,
00:42:25.600,00:42:30.300,00:00:04.700,,,,"I think that's probably not the point of the exercise",,
00:42:30.300,00:42:32.100,00:00:01.800,,,,"but I don't know okay",,
00:42:32.100,00:42:33.560,00:00:01.460,,,,"okay you subtract that",,
00:42:56.250,00:43:00.000,00:00:03.750,,,,"so move it here to here (inaudible)",,
00:43:15.600,00:43:18.400,00:00:02.800,,,,"(inaudible) thirty-eight equals two",,
00:43:39.000,00:43:41.130,00:00:02.130,,,,"(inaudible) equals ten (inaudible)",,
00:44:16.200,00:44:18.200,00:00:02.000,,,,,"this room is really spacious",
00:44:18.800,00:44:20.200,00:00:01.400,,,,"yeah it's a really",,
00:44:20.900,00:44:22.200,00:00:01.300,,,,"I have a pretty nice room too",,
00:44:23.600,00:44:27.000,00:00:03.400,,,,,"they got all this project stuff going on in the walls",
00:44:27.500,00:44:28.900,00:00:01.400,,,,"oh wow yeah",,
00:44:31.300,00:44:36.800,00:00:05.500,,,,,"refrigerators and on the outside is this",
00:44:39.000,00:44:44.700,00:00:05.700,,,,"wow nice yeah I'm in like a lounge place",,
00:44:44.700,00:44:48.780,00:00:04.080,,,,"I have like couches and stuff like all around here",,
00:44:50.000,00:44:53.100,00:00:03.100,,,,,"yeah you got the TV or something oh yeah you're right next door",
00:44:53.000,00:44:53.750,00:00:00.750,,,,"yeah",,
00:45:00.000,00:45:01.140,00:00:01.140,,,,"yeah (laughter)",,
00:45:05.000,00:45:07.300,00:00:02.300,,,,"okay what's going on this",,
00:45:13.000,00:45:16.370,00:00:03.370,,,,"one hundred equals two handred",,
00:45:21.900,00:45:24.230,00:00:02.330,,,,"equals ninety two",,
00:45:29.000,00:45:30.000,00:00:01.000,,,,"okay",,
00:45:30.600,00:45:35.000,00:00:04.400,,,,"and so you have that's kind of forty-nine forty-two (inaudible)",,
00:46:41.000,00:46:50.550,00:00:09.550,,,,"and this is fifteen sixty-five six seven",,
00:47:00.700,00:47:02.800,00:00:02.100,,,," okay pens up",,
00:47:02.800,00:47:04.200,00:00:01.400,,,,"there we go okay",,
00:47:04.800,00:47:05.700,00:00:00.900,,,,,"oh my gosh",
00:47:06.300,00:47:09.200,00:00:02.900,,,,"this is let's see",,
00:47:08.500,00:47:09.470,00:00:00.970,,,,,"annoying",
00:47:09.500,00:47:19.340,00:00:09.840,,,,"yeah oh my god negative thirteen so we have thirty-five",,
00:47:24.500,00:47:33.000,00:00:08.500,,,,"you add that to make it forty-five equals one hundred and ninety",,
00:47:34.740,00:47:40.410,00:00:05.670,,,,"equals one ninety over",,
00:47:43.900,00:47:45.600,00:00:01.700,,,,,"(inaudible) yesterday",
00:47:46.000,00:47:48.290,00:00:02.290,,,,"oh nice with friends",,
00:47:49.270,00:47:49.870,00:00:00.600,,,,,"yeah",
00:47:50.700,00:47:53.100,00:00:02.400,,,,"I haven't been there in a while Salton",,
00:47:52.800,00:47:55.120,00:00:02.320,,,,,"mm-hmm yesterday is the first day",
00:47:53.100,00:47:54.100,00:00:01.000,,,,"that's cool",,
00:47:56.160,00:47:57.020,00:00:00.860,,,,"okay",,
00:47:59.000,00:48:00.300,00:00:01.300,,,,"(inaudible) okay",,
00:48:00.380,00:48:04.600,00:00:04.220,,,,"so one forty-five minus sixty equals",,
00:48:05.800,00:48:07.600,00:00:01.800,,,,,"I didn't get a full season pay",
00:48:07.600,00:48:08.400,00:00:00.800,,,,,"so I was there",
00:48:08.100,00:48:09.500,00:00:01.400,,,,"that's nice",,
00:48:09.200,00:48:12.600,00:00:03.400,,,,,"so I don't think I remember of course",
00:48:11.600,00:48:12.200,00:00:00.600,,,,"yeah",,
00:48:12.600,00:48:14.600,00:00:02.000,,,,,"my cousin works there",
00:48:15.400,00:48:19.400,00:00:04.000,,,,"that's cool yeah yeah my sister's friend used to work there",,
00:48:24.000,00:48:26.200,00:00:02.200,,,,"oh there are nothing on this page",,
00:48:28.000,00:48:29.800,00:00:01.800,,,,"and there's nothing on that page",,
00:48:30.300,00:48:31.700,00:00:01.400,,,,,"let's go get them",
00:48:31.300,00:48:32.000,00:00:00.700,,,,"yep",,
00:48:36.200,00:49:41.200,00:01:05.000,,,"(inaudible) then this needs to show the timer for you on this end",,,
00:49:27.000,00:49:32.000,00:00:05.000,,,,,,"hey so pause filler (inaudible)"
00:49:41.200,00:49:42.100,00:00:00.900,,,"okay okay Tyler",,,
00:49:41.450,00:49:42.030,00:00:00.580,,,,"okay",,
00:49:44.100,00:49:47.600,00:00:03.500,,,"okay yeah you're pause filler done",,,
00:49:55.200,00:49:59.900,00:00:04.700,,,"so I guess just to say goodbye to Tyler right and pause filler",,,
00:50:06.200,00:50:07.100,00:00:00.900,,,,"okay",,
00:50:08.500,00:50:10.300,00:00:01.800,,,,"ah do you want us again next week or",,
00:50:19.000,00:50:20.000,00:00:01.000,,,,"okay",,
00:50:21.000,00:50:22.000,00:00:01.000,,,"say goodbye you're done so",,,
00:50:22.000,00:50:24.700,00:00:02.700,,,,"all right I'll see you Tyler",,
00:50:25.000,00:50:26.000,00:00:01.000,,,"pause filler let me just",,,

