"Begin Time - hh:mm:ss.ms","End Time - hh:mm:ss.ms","default","Experimenter","P1","P2",
00:39:07.707,00:39:10.012,,,"okay I did this in my homework the other day",,
00:39:10.989,00:39:14.801,,,"x squared equals twelve plus eighteen",,
00:39:15.280,00:39:18.003,,,"yup that's about the start you forget on this one right",,
00:39:18.223,00:39:22.154,,,,"yeah yeah yeah yeah",
00:39:22.154,00:39:24.349,,,,"I mean I'm not really sure",
00:39:25.127,00:39:26.513,,,"I'm bad at math",,
00:39:26.744,00:39:27.622,,,,"most kids maybe",
00:39:29.607,00:39:30.555,,,"I'm drawing a bow",,
00:39:30.567,00:39:32.767,,,"you know what I'm drawing bow",,
00:39:33.000,00:39:34.567,,,,"mm-hmm",
00:39:34.567,00:39:34.606,,,"okay plus ninety-two because we got to get rid of that negative right","mm-hmm",
00:39:34.606,00:39:39.813,,,"okay plus ninety-two because we got to get rid of that negative right",,
00:39:41.191,00:39:43.027,,,"so then you get one zero three",,
00:39:45.351,00:39:50.859,,,"one zero three plus twelve x",,
00:39:50.859,00:39:56.396,,,"(inaudible) negative nine x equals one of three",,
00:39:56.865,00:39:59.709,,,"and negative (inaudible)",,
00:39:59.709,00:40:04.807,,,"I don't know it's like eleven and four ninths",,
00:40:06.324,00:40:08.030,,,,"oh I'm seeing just like a bunch of random ys",
00:40:08.030,00:40:08.658,,,,"so I can't really (laugther)",
00:40:09.113,00:40:10.747,,,"yeah I know it's not writing",,
00:40:11.033,00:40:13.437,,,,"aside from what it says",
00:40:14.276,00:40:15.104,,,"it's not writing",,
00:40:15.104,00:40:17.129,,,"I don't know why I'm so annoyed",,
00:40:18.286,00:40:23.960,,,"awesome track what is it pause filler",,
00:40:34.887,00:40:36.016,,,"oh I'm going to play everything",,
00:40:36.016,00:40:36.695,,,"don't write yet",,
00:40:36.944,00:40:37.453,,,,"okay",
00:40:38.291,00:40:41.913,,,"so you would subtract twenty-five",,
00:40:43.749,00:40:46.203,,,"subtract twenty-five",,
00:40:46.203,00:40:52.800,,,"so you got one over x plus forty-five equals that",,
00:40:52.847,00:40:53.947,,,,"no it should be thirty-five",
00:40:54.763,00:40:56.001,,,"oh yup you're right",,
00:40:56.001,00:40:56.520,,,"you're right",,
00:40:56.520,00:40:56.929,,,"you're right",,
00:40:56.929,00:40:59.573,,,"thank you tutor for math",,
00:41:00.650,00:41:07.235,,,"so I guess you could just really subtract one over x minus one over thirty-five equals eight over x",,
00:41:07.235,00:41:11.326,,,"then you get thirty-five x equals eight",,
00:41:11.326,00:41:12.553,,,"and then you get",,
00:41:13.052,00:41:16.175,,,,"x equals eight",
00:41:16.175,00:41:18.579,,,"eight thirty fifth",,
00:41:19.886,00:41:20.196,,,,"yeah",
00:41:21.124,00:41:24.227,,,"that's right because I don't even know",,
00:41:24.805,00:41:27.669,,,,"okay and then what do you do first",
00:41:27.669,00:41:31.530,,,"you add one ninety-two both sides",,
00:41:31.530,00:41:39.442,,,"this is the x equals scruples",,
00:41:40.320,00:41:40.879,,,,"wow",
00:41:40.879,00:41:42.106,,,,"pause filler that's really nice",
00:41:44.467,00:41:47.973,,,"I think that should be qualified as a legitimate answer",,
00:41:52.607,00:41:55.545,,,"all right and this is what happens when I'm tired",,
00:41:56.134,00:41:57.980,,,,"okay you add the one ninety",
00:41:57.980,00:42:05.423,,,,"and that equals like three hundred forty if you plan on doing that first yeah",
00:42:06.710,00:42:11.307,,,"and then negative fix x plus six x is x equals one x",,
00:42:11.700,00:42:13.554,,,"(inaudible) I don't even know (inaudible)",,
00:42:14.353,00:42:21.676,,,"so then you get oh wait no you have to subtract this you get negative eleven x to this equals three hundred and forty",,
00:42:21.676,00:42:25.627,,,"and then you get negative eleven equals three hundred and forty x",,
00:42:25.687,00:42:28.441,,,"and you get eleven three hundred and forty x",,
00:42:28.441,00:42:29.548,,,"but it's negative",,
00:42:29.817,00:42:30.366,,,"there you go",,
00:42:31.294,00:42:31.853,,,,"beauty",
00:42:31.853,00:42:33.220,,,"stop come on",,
00:42:33.220,00:42:35.385,,,"can I go get them so we can",,
00:42:35.385,00:42:36.502,,,,"they just skip ahead",
00:42:36.502,00:42:38.067,,,,"so I think we can just keep on going",
00:42:38.527,00:42:41.307,,,"okay let me see how much time we have left",,
00:42:42.440,00:42:45.153,,,"for nineteen minutes until we get to finish",,
00:42:45.378,00:42:47.337,,,"well let's draw I'm drawing (sfx)",,
00:42:59.702,00:43:02.054,,,"let's see who can fill up the page first",,
00:43:07.459,00:43:09.892,,,"I can't see any of your writing",,
00:43:16.002,00:43:16.142,,,,"okay",
00:43:25.591,00:43:25.810,,,,"yeah",
00:43:26.635,00:43:28.446,,,"at five thirty-two",,
00:43:28.843,00:43:29.991,,,,"at five thirty-two",
00:43:30.759,00:43:31.986,,,,"okay so wait",
00:43:33.121,00:43:35.729,,,"we have like nineteen minutes-ish",,
00:43:36.237,00:43:39.818,,,,"okay like I say give us twenty-five minutes to do pause filler",
00:43:42.333,00:43:47.042,,,,"so I like five fifty-seven they should come and get us",
00:43:47.042,00:43:50.953,,,,"so that's how much longer we have",
00:43:52.968,00:43:55.343,,,,"boom let's go",
00:43:57.029,00:43:57.119,,,,"math (sfx)",
00:43:57.432,00:44:00.554,,,"I'm so (inaudible)",,
00:44:01.486,00:44:03.283,,,"they say I'm sewing a lot",,
00:44:05.420,00:44:06.697,,,,"okay what you do",
00:44:06.697,00:44:07.835,,,,"you just drive twenty",
00:44:07.835,00:44:08.513,,,,"woo yeah",
00:44:15.513,00:44:17.513,,,"no that's a good handwriting",,
00:44:17.702,00:44:18.141,,,,"yeah (laughter)",
00:44:19.378,00:44:23.432,,,"I'm just moving on because the answer is negative eight over three x",,
00:44:23.432,00:44:25.604,,,"and I can tell you that just from looking at it",,
00:44:26.632,00:44:27.171,,,,"one",
00:44:28.175,00:44:29.365,,,"oh wait I want to skip one",,
00:44:30.662,00:44:34.094,,,"x plus thirty-eight how do you",,
00:44:34.567,00:44:37.756,,,"so first of all you got to multiply it by x plus thirty",,
00:44:37.756,00:44:38.770,,,"cancel it out",,
00:44:39.034,00:44:39.293,,,,"yeah",
00:44:40.716,00:44:44.810,,,"so that would be negative two equals seventy-three",,
00:44:45.260,00:44:48.473,,,"you could distribute with that some kind of boring",,
00:44:53.648,00:44:59.837,,,"negative forty equals seventy-three x I'm going to do it on seventy-three",,
00:44:59.837,00:45:01.000,,,"and here is your answer",,
00:45:08.636,00:45:10.800,,,"all right let's go to the next problem",,
00:45:11.866,00:45:12.297,,,,"okay ",
00:45:17.902,00:45:18.528,,,,"so I guess ",
00:45:22.420,00:45:27.644,,,,"you multiply it by negative x minus one to cancel out ",
00:45:31.000,00:45:34.040,,,,"hmm",
00:45:34.040,00:45:37.405,,,"this is also my first week back at school so I'm kinda dead","hmm",
00:45:37.405,00:45:38.430,,,,"hmm",
00:45:39.459,00:45:40.946,,,"just what we could go back",,
00:45:41.751,00:45:44.834,,,,"my spring break was like in the middle of March or something",
00:45:45.702,00:45:47.418,,,,"so it was like four weeks ago",
00:45:48.486,00:45:52.148,,,"mine was like three weeks long because there was a debate thing (inaudible)",,
00:45:52.243,00:45:56.148,,,"but it wasn't even intentional the computer did that",,
00:45:56.737,00:46:01.635,,,"kind of like love each other you know",,
00:46:02.756,00:46:04.108,,,"I love to figure out how to do this",,
00:46:04.121,00:46:06.156,,,"you shouldn't let homework I'll just like skip this problem",,
00:46:06.156,00:46:08.500,,,"and be like I'll do it later",,
00:46:09.310,00:46:10.586,,,"and then never do it (inaudible)",,
00:46:10.586,00:46:11.392,,,"and then never do it (inaudible)","okay so well then there would be like you didn't do your work",
00:46:11.392,00:46:15.455,,,,"okay so well then there would be like you didn't do your work",
00:46:15.534,00:46:18.797,,,,"you're such a fail zero now huh and then",
00:46:18.797,00:46:21.689,,,"my teacher don't even care anymore she used to",,
00:46:21.689,00:46:25.000,,,"but not like oh well I guess I'll give you an a anyway",,
00:46:25.000,00:46:25.462,,,"but not like oh well I guess I'll give you an a anyway","(inaudible)",
00:46:25.462,00:46:25.921,,,,"(inaudible)",
00:46:25.921,00:46:28.770,,,"there I'm just kidding","(inaudible)",
00:46:28.770,00:46:29.608,,,,"(inaudible)",
00:46:29.608,00:46:31.788,,,"I'm still too confused","(inaudible)",
00:46:31.788,00:46:32.739,,,"out of hundred seventy-seven","(inaudible)",
00:46:32.739,00:46:34.711,,,"out of hundred seventy-seven",,
00:46:34.950,00:46:49.008,,,"so we get ten over x equals two hundred and ninety-five plus one hundred is three hundred and ninety-five equals seventy is four hundred and sixty five plus seven is four hundred and seventy-two",,
00:46:51.824,00:46:52.865,,,"over x",,
00:46:53.119,00:46:57.689,,,"so then you just got to like yeah that's the answer",,
00:46:59.804,00:47:04.433,,,,"oh well oh well let's just let's just forget about that one",
00:47:04.643,00:47:08.554,,,"we just did this you just cleared the page",,
00:47:13.892,00:47:17.486,,,"I don't know what I'm drawing I just feel like drawing",,
00:47:19.500,00:47:22.256,,,"I'm just trying to kill time so we don't have to do all of them",,
00:47:24.013,00:47:25.675,,,"this sounds like me on my homework",,
00:47:25.675,00:47:27.905,,,"and then she always goes over in class",,
00:47:27.905,00:47:29.459,,,"so like if you didn't do it",,
00:47:29.459,00:47:30.946,,,"you're really not that screwed",,
00:47:32.351,00:47:34.914,,,"I also like (inaudible) she looks for her like that",,
00:47:34.914,00:47:37.568,,,,"I feel kind of bad (laughter) (inaudible)",
00:47:46.486,00:47:50.919,,,"well this is what happens when you put two thirteen year olds on FaceTime",,
00:47:50.919,00:47:51.327,,,"and to talk about class",,
00:47:51.327,00:47:52.394,,,"and to talk about class","and make them do math yeah",
00:47:52.394,00:47:52.837,,,"and to talk about class",,
00:47:53.013,00:47:54.659,,,"because they end up talking about other things",,
00:47:54.659,00:47:55.202,,,"because they end up talking about other things","and we have like little pens",
00:47:55.202,00:47:56.365,,,,"and we have like little pens",
00:47:56.365,00:47:57.932,,,,"like I can't just not doodle",
00:47:59.689,00:48:00.925,,,"I doddle on everything",,
00:48:01.054,00:48:03.067,,,"oh she's (inaudible)",,
00:48:04.608,00:48:06.000,,,"oh what I'm drawing",,
00:48:06.000,00:48:09.000,,,"(sfx)",,
00:48:09.865,00:48:14.215,,,,"these are also like complicated",
00:48:14.215,00:48:20.041,,,,"do you know what time it is",
00:48:21.000,00:48:21.256,,,"yeah",,
00:48:21.309,00:48:23.675,,,"amazing we can do as soon as we finish",,
00:48:23.973,00:48:24.900,,,"I'm kidding",,
00:48:24.973,00:48:27.446,,,"that's five forty-seven",,
00:48:27.485,00:48:29.743,,,"I feel like they're going to use this data and be like",,
00:48:30.000,00:48:38.310,,,"so a lot of the students did them all exactly because they also because we put two thirteen years olds who wouldn't do work in a group",,
00:48:38.310,00:48:44.486,,,"and it didn't go over well because there's a problem if you invented an app the kids would probably become friends",,
00:48:46.671,00:48:46.880,,,,"yeah",
00:48:47.932,00:48:49.540,,,"I mean that's true",,
00:48:49.594,00:48:50.911,,,,"okay so we have ten minutes",
00:48:50.911,00:48:52.528,,,,"we have to kill ten minutes",
00:48:52.558,00:48:55.182,,,,"and then we can be free from this math do",
00:48:55.182,00:48:57.716,,,"oh no they're going to make us do that survey again right",,
00:48:58.454,00:48:58.564,,,,"oh",
00:48:59.442,00:49:09.810,,,"ninety-two minus twenty seven is sixty-four plus nine over two x plus nine equals two x plus nine",,
00:49:09.810,00:49:11.500,,,"and then the answer is seven",,
00:49:11.694,00:49:13.148,,,"I'm guessing x is seven",,
00:49:13.162,00:49:14.202,,,"and I'm probably right yikes",,
00:49:16.403,00:49:18.359,,,,"I have no idea what you can (inaudible)",
00:49:18.359,00:49:21.242,,,,"it's going to make assume it's right",
00:49:21.242,00:49:23.966,,,"everything I do is definitely right",,
00:49:26.189,00:49:28.351,,,"my shirt is like a (inaudible) on the inside",,
00:49:28.351,00:49:30.716,,,"and then just like wonderful sleeve",,
00:49:33.189,00:49:33.674,,,"and then like miserable (inaudible)",,
00:49:33.674,00:49:34.865,,,"and then like miserable (inaudible)","I'm sitting like in a conference room",
00:49:34.865,00:49:38.174,,,,"I'm sitting like in a conference room",
00:49:38.563,00:49:38.783,,,,"oh my god",
00:49:38.783,00:49:39.729,,,"(inaudible)","oh my god",
00:49:39.729,00:49:41.437,,,,"oh my god",
00:49:41.437,00:49:42.604,,,,"that's so nice",
00:49:43.310,00:49:44.879,,,"I just want to go sit in it",,
00:49:44.879,00:49:45.594,,,"I just want to go sit in it","but mine is just a conference room",
00:49:45.594,00:49:46.794,,,,"but mine is just a conference room",
00:49:47.500,00:49:49.770,,,"stupid plastic chair",,
00:49:52.541,00:49:53.938,,,"fractions",,
00:49:55.265,00:49:56.901,,,"one half",,
00:49:57.071,00:49:58.897,,,"there math",,
00:50:00.175,00:50:02.892,,,"so this is one third",,
00:50:04.256,00:50:04.684,,,"oh stop",,
00:50:04.684,00:50:05.592,,,"oh stop","pause filler sorry",
00:50:05.592,00:50:06.283,,,"oh stop",,
00:50:06.829,00:50:09.337,,,"I'm so accounted right now",,
00:50:10.148,00:50:11.729,,,"okay so seventeen",,
00:50:12.256,00:50:12.596,,,"so okay first (inaudible)",,
00:50:12.596,00:50:14.702,,,"so okay first (inaudible)","seventeen thirty-eight ha ha",
00:50:14.702,00:50:18.013,,,,"seventeen thirty-eight ha ha",
00:50:21.013,00:50:25.367,,,"(sfx) oh I have to write a history essay two by May six (inaudible)",,
00:50:25.367,00:50:26.702,,,"(sfx) oh I have to write a history essay two by May six (inaudible)","isn't May six like a month away",
00:50:26.702,00:50:29.218,,,,"isn't May six like a month away",
00:50:30.202,00:50:33.000,,,"May six is a very important day in history",,
00:50:37.589,00:50:43.865,,,"I'm writing about how the art how World War II affected the arts",,
00:50:43.865,00:50:47.826,,,"and then just like I think I'm smart for the idea",,
00:50:47.826,00:50:50.865,,,"but I'm also really annoyed by the idea you know",,
00:50:50.959,00:50:51.278,,,,"yeah",
00:50:51.946,00:50:58.092,,,"because it's like I only did research on one part because I'm writing about Captain America for a mass section of it",,
00:50:58.362,00:50:59.489,,,,"Captain America",
00:51:00.178,00:51:02.594,,,"comic started in the fortys",,
00:51:02.594,00:51:06.164,,,"and gave children help blah blah blah that definitely supports my thesis",,
00:51:06.164,00:51:06.593,,,,"that's so cool",
00:51:06.593,00:51:07.651,,,"blah blah blah (inaudible)",,
00:51:07.651,00:51:09.081,,,"blah blah blah (inaudible)","I don't know that's cool",
00:51:09.081,00:51:09.666,,,,"I don't know that's cool",
00:51:09.756,00:51:11.986,,,"those cancel each other out",,
00:51:12.716,00:51:15.500,,,"so then you don't have any xs so it's undefined",,
00:51:17.243,00:51:19.554,,,"algebra yeah",,
00:51:21.329,00:51:26.228,,,"and then I'm writing about portraits and political cartoons for the other two",,
00:51:26.228,00:51:26.824,,,"and then I'm writing about portraits and political cartoons for the other two","oh that's sounds interesting",
00:51:26.824,00:51:28.493,,,,"oh that's sounds interesting",
00:51:29.081,00:51:30.946,,,"that's probably going to end up a really long answer",,
00:51:31.135,00:51:32.648,,,"I mean I don't hate writing essay",,
00:51:32.648,00:51:34.067,,,"I just don't want to do the research part",,
00:51:34.889,00:51:36.295,,,"like the last meeting",,
00:51:36.295,00:51:37.692,,,"I'm a writing person",,
00:51:37.692,00:51:38.860,,,"I'm not a math person",,
00:51:40.466,00:51:44.547,,,"what kind of science do you take next year",,
00:51:45.225,00:51:47.310,,,,"pause filler like physics or something",
00:51:47.310,00:51:48.139,,,"I hate I hate it","pause filler like physics or something",
00:51:48.139,00:51:50.523,,,"I hate I hate it",,
00:51:51.878,00:51:52.756,,,"that's terrible",,
00:51:52.798,00:51:56.370,,,,"I think like the first year of Winchester because now I was looking there for high school",
00:51:56.729,00:51:59.563,,,,"we have to take physics as well the first year",
00:51:59.563,00:52:00.820,,,,"or maybe it's biology",
00:52:00.820,00:52:01.458,,,,"I'm not sure",
00:52:01.458,00:52:03.486,,,"oh it's physics wait are you going there",,
00:52:04.841,00:52:05.858,,,,"I was considering",
00:52:05.858,00:52:07.878,,,,"but I think going Ellis",
00:52:07.878,00:52:08.871,,,"did you get accepted at Winchester","but I think going Ellis",
00:52:08.871,00:52:09.567,,,"did you get accepted at Winchester",,
00:52:12.862,00:52:12.982,,,,"yeah",
00:52:13.594,00:52:15.243,,,"but Ellis is all girls",,
00:52:15.243,00:52:16.297,,,"that's sad",,
00:52:16.354,00:52:19.148,,,,"I know I'm kind of not looking for it",
00:52:19.148,00:52:21.852,,,,"but it's like a nice place I guess pause filler",
00:52:23.027,00:52:31.939,,,"I mean I have quite here's the thing I have quite a few friends there because the thing about Ellis is really like very not rough",,
00:52:31.939,00:52:34.503,,,"they're really like girly and sweet",,
00:52:34.503,00:52:34.770,,,"they're really like girly and sweet","no a lot of them are really like sporty and like smart",
00:52:34.770,00:52:39.562,,,,"no a lot of them are really like sporty and like smart",
00:52:39.562,00:52:40.959,,,,"and I'm just like ha hi",
00:52:42.892,00:52:44.365,,,"you'll probably like it",,
00:52:44.365,00:52:45.946,,,"I mean I have good friends there",,
00:52:47.460,00:52:49.162,,,"did you like did you shadow there",,
00:52:49.479,00:52:50.956,,,,"yeah they all seemed really nice",
00:52:51.170,00:52:53.131,,,"did you shadow at the high school or the middle school because I know like",,
00:52:53.131,00:52:53.680,,,"did you shadow at the high school or the middle school because I know like","high school",
00:52:53.680,00:52:53.950,,,"did you shadow at the high school or the middle school because I know like",,
00:52:54.360,00:52:57.230,,,"oh because I know all the girls do you know anybody further",,
00:52:57.471,00:52:58.858,,,,"just one girl",
00:52:58.858,00:52:59.157,,,"who",,
00:52:59.277,00:53:00.374,,,,"her name is Elena",
00:53:01.189,00:53:02.899,,,"oh I like met her once",,
00:53:02.899,00:53:02.959,,,"oh I like met her once","yeah",
00:53:02.959,00:53:03.175,,,"oh I like met her once",,
00:53:07.716,00:53:11.100,,,"but you know what Ellis here last two years you don't have to wear uniform apparently",,
00:53:11.100,00:53:13.240,,,"I'm just kind of like well that's amazing",,
00:53:13.265,00:53:17.346,,,,"I know I think it's like whenever you're a senior you don't have to wear uniform",
00:53:17.720,00:53:20.360,,,"at Winchester it's like we have a dress code",,
00:53:20.360,00:53:22.250,,,"but we don't care if you follow it",,
00:53:22.614,00:53:24.659,,,,"yeah it's like get to those business casual",
00:53:24.659,00:53:25.218,,,,"but I don't think any",
00:53:25.218,00:53:29.179,,,"no no but there were these kids who wear these skinny jeans and t-shirts",,
00:53:29.269,00:53:33.400,,,"it's like I want to actually care it's what I guess it's nice don't you think",,
00:53:36.622,00:53:36.712,,,,"yeah",
00:53:37.251,00:53:46.610,,,"I mean like I'm so sick of (inaudible) that it's like you have to dress nice like I was wearing this sweatshirt and it's a Michigan on it",,
00:53:46.610,00:53:49.134,,,"and I got yelled that it was a school colors it's like",,
00:53:49.134,00:53:49.240,,,"and I got yelled that it was a school colors it's like","I see you don't have the uniform",
00:53:49.240,00:53:50.301,,,,"I see you don't have the uniform",
00:53:50.870,00:53:52.150,,,"we have a uniform yeah",,
00:53:52.556,00:53:52.975,,,,"oh",
00:53:53.350,00:54:00.920,,,"we have to wear solid-colored skirts that go down to at least the knees or solid-colored pants or solid-colored shorts",,
00:54:00.920,00:54:02.840,,,"but nobody wear shorts really except the boys",,
00:54:03.270,00:54:06.000,,,"and then we'd have to wear shoes as long as clothes are towed",,
00:54:06.000,00:54:07.262,,,"and it doesn't matter what our socks are",,
00:54:07.482,00:54:11.762,,,"so wear any solid-colored shirt colored shirt",,
00:54:11.762,00:54:13.210,,,"and our sweatshirts have to say (inaudible)",,
00:54:13.210,00:54:14.920,,,"and it can have a hood on them",,
00:54:15.244,00:54:15.590,,,,"that is kind of strict",
00:54:15.590,00:54:17.310,,,"and sweaters they changed the rule every day","that is kind of strict",
00:54:17.310,00:54:20.010,,,"and sweaters they changed the rule every day",,
00:54:20.240,00:54:22.960,,,"some days are like oh it's okay that your sweater is multicolored",,
00:54:22.960,00:54:24.922,,,"and somebody say like you have to take that up",,
00:54:24.922,00:54:26.568,,,"or I'm giving you detention",,
00:54:26.938,00:54:27.666,,,,"oh wow",
00:54:29.020,00:54:32.170,,,"like if I were against the school just like a black Star Wars voucher",,
00:54:32.170,00:54:33.350,,,"I would get yelled at",,
00:54:33.872,00:54:34.660,,,,"that sucks",
00:54:35.540,00:54:36.566,,,"it's really warm",,
00:54:36.566,00:54:36.865,,,"it's really warm","the school I go to now Folk",
00:54:36.865,00:54:38.312,,,,"the school I go to now Folk",
00:54:38.402,00:54:38.779,,,,"it's like no uniform",
00:54:38.779,00:54:39.644,,,"yeah they're","it's like no uniform",
00:54:39.644,00:54:40.597,,,,"it's like no uniform",
00:54:40.666,00:54:41.774,,,,"not many rules",
00:54:41.774,00:54:44.358,,,,"there's no such thing as detention (laughter) so",
00:54:45.256,00:54:46.919,,,"I've never actually got detention",,
00:54:46.932,00:54:51.094,,,"like I'm shocked that Winchester accepted me because I've gotten so many points",,
00:54:51.189,00:54:52.560,,,"like I haven't gotten detention",,
00:54:52.560,00:54:54.392,,,"but I got points which kind of lead up to detention",,
00:54:54.986,00:55:02.432,,,"and I'm also bad and I get really bad grades so I don't understand how they will accept me",,
00:55:03.944,00:55:04.327,,,,"yeah I might like after two years at Ellis my parents will like me switch schools",
00:55:04.327,00:55:04.948,,"what should I ",,"yeah I might like after two years at Ellis my parents will like me switch schools",
00:55:04.948,00:55:09.301,,,,"yeah I might like after two years at Ellis my parents will like me switch schools",
00:55:09.301,00:55:10.549,,,,"so I might go to Winchester",
00:55:11.270,00:55:12.300,,,"that would be nice",,
00:55:12.300,00:55:14.013,,,"so then I'd have another friend",,
00:55:14.013,00:55:16.216,,,"I only know one person going who I like",,
00:55:16.216,00:55:18.486,,,"so, no, two people going who I like",,
00:55:18.486,00:55:19.229,,,"so there you go",,
00:55:19.598,00:55:21.075,,,,"yeah I did like Winchester a lot",
00:55:21.075,00:55:24.148,,,,"and I was like about I was pretty much going until my parents were like",
00:55:24.581,00:55:26.203,,,"so you didn't like it or you did",,
00:55:26.203,00:55:26.608,,,"so you didn't like it or you did","I liked it a lot",
00:55:26.608,00:55:27.151,,,,"I liked it a lot",
00:55:27.151,00:55:29.825,,,,"like I was like pretty much about to go to Winchester",
00:55:29.825,00:55:31.840,,,,"and then my parents were like no",
00:55:31.840,00:55:33.337,,,,"don't go there go here",
00:55:33.337,00:55:34.993,,,"I think, I think it's like, I think it's a better fit for me cause of the atmos.. like","don't go there go here",
00:55:34.993,00:55:38.810,,,"I think, I think it's like, I think it's a better fit for me cause of the atmos.. like",,
00:55:38.810,00:55:42.316,,,"you know how Shadyside's like really preppy atmosphere like",,
00:55:42.316,00:55:42.616,,,"you know how Shadyside's like really preppy atmosphere like","yeah",
00:55:42.616,00:55:42.648,,,"you know how Shadyside's like really preppy atmosphere like","I mean I've never been",
00:55:42.648,00:55:43.933,,,,"I mean I've never been",
00:55:43.933,00:55:45.639,,,,"but like from what people have told me",
00:55:45.639,00:55:45.909,,,,"it just seems",
00:55:45.909,00:55:46.439,,,"yeah ","it just seems",
00:55:46.439,00:55:46.587,,,,"it just seems",
00:55:46.587,00:55:51.486,,,"but like Winches.. Winchester seems like oh we want you to be adored",,
00:55:52.837,00:55:55.297,,,"whereas Shadyside is like oh you don't do sport",,
00:55:55.297,00:55:55.437,,,"you suck",,
00:55:55.437,00:55:56.229,,,"you suck","oh yeah I wouldn't fit in there then",
00:55:56.229,00:55:58.031,,,,"oh yeah I wouldn't fit in there then",
00:55:58.581,00:55:59.990,,,"oh I'd I'd never (inaudible)",,
00:55:59.990,00:56:01.480,,,"I hate it I hate it so much ",,
00:56:04.180,00:56:05.680,,,"all my friends complain about it",,
00:56:05.680,00:56:07.220,,,"and they all tell me how I should stay",,
00:56:07.220,00:56:07.997,,,"and why I should stay",,
00:56:08.000,00:56:11.047,,,"and I'm just like you hated here too you know",,
00:56:15.353,00:56:18.740,,,"like I don't know for private school I think it's literally miserable",,
00:56:20.173,00:56:22.966,,,"but I think I saw you at interview day at Winchester",,
00:56:23.440,00:56:24.546,,,"that like just occurred to me ",,
00:56:25.179,00:56:26.945,,,,"oh no I always saw you at TechNights",
00:56:27.015,00:56:29.070,,,,"Do you still go to that",
00:56:29.070,00:56:29.968,,,,"I don't go to that anymore",
00:56:30.386,00:56:31.673,,,"I quit I hated it ",,
00:56:31.934,00:56:33.171,,,,"I just couldn't go",
00:56:33.460,00:56:34.900,,,"I got so sick of it",,
00:56:34.900,00:56:38.007,,,"it was so like this thing because I've been going since fourth grade",,
00:56:38.007,00:56:38.050,,,"so it's like",,
00:56:38.050,00:56:38.493,,,"so it's like","fourth grade",
00:56:38.493,00:56:38.788,,,,"fourth grade",
00:56:38.828,00:56:39.257,,,,"oh wow",
00:56:39.596,00:56:40.225,,,,"that's a long time",
00:56:40.560,00:56:42.573,,,"they let me in early cause I'm special ",,
00:56:43.128,00:56:44.655,,,,"I just started like a few months ago",
00:56:44.804,00:56:46.680,,,,"but now I stopped going",
00:56:46.680,00:56:47.628,,,,"oh they're coming back",
00:56:48.400,00:56:51.153,,,"I was just kind of like it's boring now",,
00:56:51.153,00:56:51.739,,,"I've seen it all so many times ",,
00:56:51.739,00:56:52.856,,,"I've seen it all so many times ","yeah",
00:56:52.856,00:56:53.193,,,"I've seen it all so many times ",,
00:56:54.533,00:56:54.911,,,"hello",,
00:56:54.911,00:56:55.280,,"hello","hello",,
00:56:55.280,00:56:55.400,,"hello",,,
00:56:56.468,00:57:00.638,,"so you're done with the tutoring, say goodbye, hang up ",,,
00:57:00.638,00:57:00.708,,"so you're done with the tutoring, say goodbye, hang up ","okay ",,
00:57:00.708,00:57:01.018,,,"okay ",,
00:57:01.333,00:57:03.060,,,"I'm supposed to hang up",,
00:57:03.931,00:57:04.797,,,,"okay bye",
00:57:04.797,00:57:04.998,,,"bye","okay bye",
00:57:04.998,00:57:05.275,,,"bye",,
00:57:05.746,00:57:07.223,,,"I'll probably see you in the atrium thingy ",,
00:57:07.223,00:57:08.086,,"you just made friends","I'll probably see you in the atrium thingy ",,
00:57:08.086,00:57:08.640,,"you just made friends",,,
